,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,259.45,264.8,256.67,262.61,259.45,264.8,256.67,262.61,10563.952,10563.952
1,2021-07-21,223.39,263.48,216.99,259.45,223.39,263.48,216.99,259.45,247998.9693,247998.9693
2,2021-07-20,238.45,242.41,212.54,223.03,238.45,242.41,212.54,223.03,191015.8602,191015.8602
3,2021-07-19,253.88,255.99,232.93,238.51,253.88,255.99,232.93,238.51,147774.6078,147774.6078
4,2021-07-18,253.14,267.96,250.69,253.68,253.14,267.96,250.69,253.68,107331.6064,107331.6064
5,2021-07-17,253.14,259.06,245.01,253.14,253.14,259.06,245.01,253.14,132529.3776,132529.3776
6,2021-07-16,272.28,279.79,252.2,253.13,272.28,279.79,252.2,253.13,159349.1979,159349.1979
7,2021-07-15,279.34,288.38,265.38,272.3,279.34,288.38,265.38,272.3,247936.7541,247936.7541
8,2021-07-14,271.23,285.59,251.85,279.29,271.23,285.59,251.85,279.29,300658.576,300658.576
9,2021-07-13,296.73,297.74,267.45,271.23,296.73,297.74,267.45,271.23,196443.9373,196443.9373
10,2021-07-12,305.1,321.95,291.18,296.73,305.1,321.95,291.18,296.73,249947.8467,249947.8467
11,2021-07-11,294.66,311.0,286.03,305.09,294.66,311.0,286.03,305.09,171310.8925,171310.8925
12,2021-07-10,303.07,311.87,288.21,294.7,303.07,311.87,288.21,294.7,181454.0335,181454.0335
13,2021-07-09,291.34,314.72,276.0,303.0,291.34,314.72,276.0,303.0,414420.679,414420.679
14,2021-07-08,314.76,315.68,275.96,291.36,314.76,315.68,275.96,291.36,541972.3649,541972.3649
15,2021-07-07,316.49,331.7,310.06,314.83,316.49,331.7,310.06,314.83,301732.4367,301732.4367
16,2021-07-06,308.1,347.53,308.06,316.49,308.1,347.53,308.06,316.49,680686.4398,680686.4398
17,2021-07-05,277.0,318.4,260.42,308.22,277.0,318.4,260.42,308.22,595969.2872,595969.2872
18,2021-07-04,259.41,289.9,248.03,277.0,259.41,289.9,248.03,277.0,287632.6323,287632.6323
19,2021-07-03,234.05,267.08,227.75,259.42,234.05,267.08,227.75,259.42,275045.4219,275045.4219
20,2021-07-02,230.18,234.96,215.62,234.12,230.18,234.96,215.62,234.12,183917.2291,183917.2291
21,2021-07-01,250.96,253.02,227.22,230.17,250.96,253.02,227.22,230.17,234518.7354,234518.7354
22,2021-06-30,238.03,252.58,219.71,251.08,238.03,252.58,219.71,251.08,273789.0701,273789.0701
23,2021-06-29,227.32,253.32,226.04,238.22,227.32,253.32,226.04,238.22,280295.6893,280295.6893
24,2021-06-28,202.93,233.22,200.62,227.37,202.93,233.22,200.62,227.37,261935.838,261935.838
25,2021-06-27,187.17,203.29,183.06,202.87,187.17,203.29,183.06,202.87,206406.7783,206406.7783
