,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.1058,0.1074,0.1049,0.1061,0.1058,0.1074,0.1049,0.1061,913563.35,913563.35
1,2021-07-21,0.0983,0.1077,0.096,0.1057,0.0983,0.1077,0.096,0.1057,11837549.28,11837549.28
2,2021-07-20,0.1081,0.109,0.0932,0.0983,0.1081,0.109,0.0932,0.0983,14713369.57,14713369.57
3,2021-07-19,0.1153,0.116,0.1061,0.1081,0.1153,0.116,0.1061,0.1081,5166635.94,5166635.94
4,2021-07-18,0.1156,0.1197,0.1136,0.1153,0.1156,0.1197,0.1136,0.1153,5616060.53,5616060.53
5,2021-07-17,0.1172,0.12,0.1147,0.1156,0.1172,0.12,0.1147,0.1156,5931144.15,5931144.15
6,2021-07-16,0.1254,0.1308,0.1167,0.1172,0.1254,0.1308,0.1167,0.1172,12231857.63,12231857.63
7,2021-07-15,0.1224,0.1325,0.1171,0.125,0.1224,0.1325,0.1171,0.125,20773757.0,20773757.0
8,2021-07-14,0.1209,0.125,0.1143,0.1225,0.1209,0.125,0.1143,0.1225,8006060.51,8006060.51
9,2021-07-13,0.1248,0.1268,0.1188,0.1209,0.1248,0.1268,0.1188,0.1209,6710825.48,6710825.48
10,2021-07-12,0.1285,0.1326,0.1216,0.125,0.1285,0.1326,0.1216,0.125,9482844.55,9482844.55
11,2021-07-11,0.1249,0.1322,0.1226,0.1285,0.1249,0.1322,0.1226,0.1285,14736504.48,14736504.48
12,2021-07-10,0.1269,0.1295,0.1225,0.1252,0.1269,0.1295,0.1225,0.1252,5711506.42,5711506.42
13,2021-07-09,0.1279,0.1316,0.1207,0.1272,0.1279,0.1316,0.1207,0.1272,11082707.08,11082707.08
14,2021-07-08,0.1375,0.1375,0.1253,0.1285,0.1375,0.1375,0.1253,0.1285,16706567.58,16706567.58
15,2021-07-07,0.1327,0.1447,0.1302,0.138,0.1327,0.1447,0.1302,0.138,25261577.58,25261577.58
16,2021-07-06,0.1278,0.137,0.1276,0.1328,0.1278,0.137,0.1276,0.1328,10778425.9,10778425.9
17,2021-07-05,0.1332,0.1333,0.1247,0.128,0.1332,0.1333,0.1247,0.128,7683284.08,7683284.08
18,2021-07-04,0.135,0.1434,0.1274,0.1332,0.135,0.1434,0.1274,0.1332,13507598.28,13507598.28
19,2021-07-03,0.1292,0.14,0.1263,0.135,0.1292,0.14,0.1263,0.135,13053667.21,13053667.21
20,2021-07-02,0.1322,0.1387,0.1239,0.1292,0.1322,0.1387,0.1239,0.1292,11393399.96,11393399.96
21,2021-07-01,0.1441,0.1479,0.1281,0.1322,0.1441,0.1479,0.1281,0.1322,20806342.57,20806342.57
22,2021-06-30,0.1317,0.1479,0.1233,0.1444,0.1317,0.1479,0.1233,0.1444,33584741.93,33584741.93
23,2021-06-29,0.1247,0.1388,0.1243,0.1316,0.1247,0.1388,0.1243,0.1316,17776454.23,17776454.23
24,2021-06-28,0.1231,0.1274,0.1175,0.1243,0.1231,0.1274,0.1175,0.1243,16379245.1,16379245.1
