,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.13369,0.13492,0.13195,0.1335,0.13369,0.13492,0.13195,0.1335,220266.8,220266.8
1,2021-07-21,0.12419,0.13517,0.11945,0.13422,0.12419,0.13517,0.11945,0.13422,5933139.7,5933139.7
2,2021-07-20,0.13458,0.14141,0.11678,0.12419,0.13458,0.14141,0.11678,0.12419,11729891.1,11729891.1
3,2021-07-19,0.148,0.1499,0.13229,0.13425,0.148,0.1499,0.13229,0.13425,2323166.8,2323166.8
4,2021-07-18,0.14769,0.15048,0.14397,0.148,0.14769,0.15048,0.14397,0.148,1958251.4,1958251.4
5,2021-07-17,0.14503,0.15004,0.14324,0.14751,0.14503,0.15004,0.14324,0.14751,2211114.9,2211114.9
6,2021-07-16,0.16192,0.16239,0.14196,0.14504,0.16192,0.16239,0.14196,0.14504,4436041.8,4436041.8
7,2021-07-15,0.16015,0.16626,0.15396,0.16193,0.16015,0.16626,0.15396,0.16193,6310126.2,6310126.2
8,2021-07-14,0.16509,0.16568,0.15008,0.16065,0.16509,0.16568,0.15008,0.16065,5866210.8,5866210.8
9,2021-07-13,0.165,0.17394,0.15717,0.16544,0.165,0.17394,0.15717,0.16544,8120890.9,8120890.9
10,2021-07-12,0.1655,0.17897,0.15921,0.16553,0.1655,0.17897,0.15921,0.16553,8243489.1,8243489.1
11,2021-07-11,0.16143,0.16708,0.15496,0.1655,0.16143,0.16708,0.15496,0.1655,7584875.9,7584875.9
12,2021-07-10,0.16374,0.16938,0.15617,0.16108,0.16374,0.16938,0.15617,0.16108,5582946.5,5582946.5
13,2021-07-09,0.15747,0.18039,0.15549,0.16365,0.15747,0.18039,0.15549,0.16365,11834949.4,11834949.4
14,2021-07-08,0.17688,0.17693,0.15223,0.15699,0.17688,0.17693,0.15223,0.15699,10652045.9,10652045.9
15,2021-07-07,0.17881,0.17951,0.17213,0.17685,0.17881,0.17951,0.17213,0.17685,5976074.3,5976074.3
16,2021-07-06,0.1774,0.18245,0.17144,0.17883,0.1774,0.18245,0.17144,0.17883,10257260.1,10257260.1
17,2021-07-05,0.18405,0.1919,0.16837,0.17778,0.18405,0.1919,0.16837,0.17778,15304604.3,15304604.3
18,2021-07-04,0.17002,0.23779,0.17001,0.18443,0.17002,0.23779,0.17001,0.18443,53360727.2,53360727.2
19,2021-07-03,0.16242,0.17097,0.15763,0.16973,0.16242,0.17097,0.15763,0.16973,18145213.6,18145213.6
20,2021-07-02,0.18357,0.18357,0.15036,0.16242,0.18357,0.18357,0.15036,0.16242,35592936.5,35592936.5
21,2021-07-01,0.15495,0.19704,0.14756,0.18433,0.15495,0.19704,0.14756,0.18433,84672458.5,84672458.5
22,2021-06-30,0.13268,0.17683,0.13018,0.15536,0.13268,0.17683,0.13018,0.15536,66524921.2,66524921.2
23,2021-06-29,0.1203,0.13788,0.12022,0.13256,0.1203,0.13788,0.12022,0.13256,14980038.6,14980038.6
24,2021-06-28,0.10989,0.12171,0.10593,0.12073,0.10989,0.12171,0.10593,0.12073,11761330.0,11761330.0
25,2021-06-27,0.1069,0.10999,0.103,0.10989,0.1069,0.10999,0.103,0.10989,7457002.9,7457002.9
26,2021-06-26,0.10432,0.10838,0.09701,0.10677,0.10432,0.10838,0.09701,0.10677,6350025.8,6350025.8
27,2021-06-25,0.11679,0.11886,0.10271,0.10506,0.11679,0.11886,0.10271,0.10506,7229712.5,7229712.5
28,2021-06-24,0.10887,0.1168,0.10342,0.11618,0.10887,0.1168,0.10342,0.11618,6619677.2,6619677.2
29,2021-06-23,0.10145,0.11386,0.0979,0.10865,0.10145,0.11386,0.0979,0.10865,11139816.5,11139816.5
30,2021-06-22,0.11076,0.11967,0.08713,0.10146,0.11076,0.11967,0.08713,0.10146,14990486.9,14990486.9
31,2021-06-21,0.15042,0.16318,0.11045,0.11137,0.15042,0.16318,0.11045,0.11137,15186409.4,15186409.4
32,2021-06-20,0.15111,0.15648,0.13419,0.15042,0.15111,0.15648,0.13419,0.15042,15487049.8,15487049.8
33,2021-06-19,0.15847,0.16005,0.151,0.15133,0.15847,0.16005,0.151,0.15133,2914823.4,2914823.4
34,2021-06-18,0.16462,0.17484,0.151,0.15825,0.16462,0.17484,0.151,0.15825,5215235.8,5215235.8
