,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,111.9,112.77,111.21,111.97,111.9,112.77,111.21,111.97,240.3782,240.3782
1,2021-07-21,100.78,112.58,97.91,111.87,100.78,112.58,97.91,111.87,9093.4622,9093.4622
2,2021-07-20,101.41,102.38,90.98,100.97,101.41,102.38,90.98,100.97,9205.2062,9205.2062
3,2021-07-19,115.14,115.83,100.21,101.81,115.14,115.83,100.21,101.81,7729.8145,7729.8145
4,2021-07-18,115.97,120.0,111.79,114.66,115.97,120.0,111.79,114.66,4961.0179,4961.0179
5,2021-07-17,113.11,118.0,109.93,116.58,113.11,118.0,109.93,116.58,5890.6754,5890.6754
6,2021-07-16,113.07,115.94,110.06,113.1,113.07,115.94,110.06,113.1,6917.7885,6917.7885
7,2021-07-15,114.74,116.1,109.78,112.83,114.74,116.1,109.78,112.83,6249.147,6249.147
8,2021-07-14,123.79,124.79,113.7,114.71,123.79,124.79,113.7,114.71,9746.625,9746.625
9,2021-07-13,127.33,128.67,122.0,123.78,127.33,128.67,122.0,123.78,3881.2175,3881.2175
10,2021-07-12,133.57,139.0,125.53,127.33,133.57,139.0,125.53,127.33,5435.3553,5435.3553
11,2021-07-11,133.45,137.0,128.72,133.56,133.45,137.0,128.72,133.56,5966.3185,5966.3185
12,2021-07-10,131.51,134.65,128.74,133.59,131.51,134.65,128.74,133.59,5100.5376,5100.5376
13,2021-07-09,121.39,134.09,117.39,131.51,121.39,134.09,117.39,131.51,5181.8082,5181.8082
14,2021-07-08,136.6,137.3,118.18,121.44,136.6,137.3,118.18,121.44,16454.4804,16454.4804
15,2021-07-07,139.77,141.0,136.5,136.5,139.77,141.0,136.5,136.5,4093.1984,4093.1984
16,2021-07-06,137.14,141.49,134.69,139.77,137.14,141.49,134.69,139.77,7804.9897,7804.9897
17,2021-07-05,138.89,141.5,132.0,137.15,138.89,141.5,132.0,137.15,8310.3002,8310.3002
18,2021-07-04,148.1,149.8,136.69,138.42,148.1,149.8,136.69,138.42,8307.8756,8307.8756
19,2021-07-03,140.68,149.0,138.0,148.14,140.68,149.0,138.0,148.14,5989.8375,5989.8375
20,2021-07-02,135.02,143.26,129.22,140.99,135.02,143.26,129.22,140.99,12961.7184,12961.7184
21,2021-07-01,143.18,144.61,127.36,135.03,143.18,144.61,127.36,135.03,12324.5053,12324.5053
22,2021-06-30,147.47,149.95,134.1,142.7,147.47,149.95,134.1,142.7,13359.2942,13359.2942
23,2021-06-29,131.72,148.8,130.09,147.69,131.72,148.8,130.09,147.69,11950.4141,11950.4141
24,2021-06-28,123.91,134.38,122.76,131.34,123.91,134.38,122.76,131.34,11905.6302,11905.6302
25,2021-06-27,116.68,124.46,111.66,123.48,116.68,124.46,111.66,123.48,23450.3712,23450.3712
26,2021-06-26,112.21,119.03,99.0,116.94,112.21,119.03,99.0,116.94,30143.8268,30143.8268
