,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.11271,0.11457,0.11265,0.11374,0.11271,0.11457,0.11265,0.11374,458518.1,458518.1
1,2021-07-21,0.10328,0.12371,0.10201,0.11286,0.10328,0.12371,0.10201,0.11286,12558168.7,12558168.7
2,2021-07-20,0.11,0.11271,0.09801,0.10328,0.11,0.11271,0.09801,0.10328,9404779.3,9404779.3
3,2021-07-19,0.11636,0.11814,0.1067,0.11089,0.11636,0.11814,0.1067,0.11089,7938400.3,7938400.3
4,2021-07-18,0.116,0.11978,0.11423,0.11629,0.116,0.11978,0.11423,0.11629,9406178.4,9406178.4
5,2021-07-17,0.11811,0.13476,0.11522,0.11609,0.11811,0.13476,0.11522,0.11609,45136436.0,45136436.0
6,2021-07-16,0.11349,0.19333,0.11208,0.11801,0.11349,0.19333,0.11208,0.11801,200199210.1,200199210.1
7,2021-07-15,0.11579,0.1218,0.11249,0.11355,0.11579,0.1218,0.11249,0.11355,4131831.5,4131831.5
8,2021-07-14,0.11688,0.12199,0.11088,0.11594,0.11688,0.12199,0.11088,0.11594,6543830.2,6543830.2
9,2021-07-13,0.12122,0.12341,0.11653,0.11672,0.12122,0.12341,0.11653,0.11672,2847629.3,2847629.3
10,2021-07-12,0.12616,0.12827,0.12054,0.1213,0.12616,0.12827,0.12054,0.1213,2870885.5,2870885.5
11,2021-07-11,0.12383,0.12969,0.1231,0.12621,0.12383,0.12969,0.1231,0.12621,7358161.9,7358161.9
12,2021-07-10,0.12578,0.12751,0.12145,0.12356,0.12578,0.12751,0.12145,0.12356,2967624.6,2967624.6
13,2021-07-09,0.12444,0.1263,0.11796,0.1258,0.12444,0.1263,0.11796,0.1258,6317498.7,6317498.7
14,2021-07-08,0.13113,0.13253,0.12165,0.12514,0.13113,0.13253,0.12165,0.12514,9615497.3,9615497.3
15,2021-07-07,0.13027,0.1355,0.12892,0.13131,0.13027,0.1355,0.12892,0.13131,7329394.0,7329394.0
16,2021-07-06,0.12977,0.13486,0.1281,0.13012,0.12977,0.13486,0.1281,0.13012,8701682.5,8701682.5
17,2021-07-05,0.13393,0.13444,0.12741,0.13024,0.13393,0.13444,0.12741,0.13024,6066918.5,6066918.5
18,2021-07-04,0.13,0.14281,0.1266,0.13426,0.13,0.14281,0.1266,0.13426,16016126.6,16016126.6
19,2021-07-03,0.12864,0.13879,0.12656,0.13008,0.12864,0.13879,0.12656,0.13008,14605858.6,14605858.6
20,2021-07-02,0.13058,0.13167,0.12334,0.1285,0.13058,0.13167,0.12334,0.1285,10315008.4,10315008.4
21,2021-07-01,0.13399,0.13555,0.12592,0.13078,0.13399,0.13555,0.12592,0.13078,9782736.4,9782736.4
22,2021-06-30,0.13491,0.13647,0.12601,0.13422,0.13491,0.13647,0.12601,0.13422,9806665.6,9806665.6
23,2021-06-29,0.13056,0.14218,0.12998,0.13466,0.13056,0.14218,0.12998,0.13466,18487229.7,18487229.7
24,2021-06-28,0.13165,0.145,0.12793,0.13058,0.13165,0.145,0.12793,0.13058,19295993.1,19295993.1
25,2021-06-27,0.1438,0.1443,0.12316,0.13215,0.1438,0.1443,0.12316,0.13215,36494157.0,36494157.0
26,2021-06-26,0.11359,0.15162,0.10766,0.14346,0.11359,0.15162,0.10766,0.14346,99343991.8,99343991.8
27,2021-06-25,0.12537,0.135,0.11277,0.11321,0.12537,0.135,0.11277,0.11321,14634687.3,14634687.3
28,2021-06-24,0.12688,0.13475,0.12266,0.12516,0.12688,0.13475,0.12266,0.12516,14946195.9,14946195.9
29,2021-06-23,0.12697,0.139,0.12144,0.12681,0.12697,0.139,0.12144,0.12681,34095608.8,34095608.8
30,2021-06-22,0.14772,0.14772,0.10739,0.12721,0.14772,0.14772,0.10739,0.12721,89373608.7,89373608.7
31,2021-06-21,0.14186,0.22397,0.14186,0.14795,0.14186,0.22397,0.14186,0.14795,363648086.8,363648086.8
32,2021-06-20,0.12517,0.1813,0.11579,0.14208,0.12517,0.1813,0.11579,0.14208,76352255.9,76352255.9
33,2021-06-19,0.12684,0.13538,0.12358,0.12487,0.12684,0.13538,0.12358,0.12487,6019323.2,6019323.2
34,2021-06-18,0.13467,0.1352,0.122,0.12685,0.13467,0.1352,0.122,0.12685,3020459.3,3020459.3
35,2021-06-17,0.1344,0.137,0.13058,0.13467,0.1344,0.137,0.13058,0.13467,3115278.2,3115278.2
36,2021-06-16,0.15433,0.15433,0.13272,0.1344,0.15433,0.15433,0.13272,0.1344,6333253.7,6333253.7
37,2021-06-15,0.15053,0.15438,0.1417,0.15418,0.15053,0.15438,0.1417,0.15418,5175964.2,5175964.2
38,2021-06-14,0.14766,0.15904,0.1435,0.15083,0.14766,0.15904,0.1435,0.15083,9417039.4,9417039.4
39,2021-06-13,0.14256,0.14888,0.1379,0.14748,0.14256,0.14888,0.1379,0.14748,2329312.4,2329312.4
40,2021-06-12,0.14845,0.14845,0.13468,0.14236,0.14845,0.14845,0.13468,0.14236,4015836.9,4015836.9
41,2021-06-11,0.15586,0.15758,0.14695,0.14793,0.15586,0.15758,0.14695,0.14793,4387839.8,4387839.8
42,2021-06-10,0.16868,0.16868,0.15483,0.15498,0.16868,0.16868,0.15483,0.15498,3307722.2,3307722.2
43,2021-06-09,0.15766,0.16907,0.15116,0.16783,0.15766,0.16907,0.15116,0.16783,5567578.6,5567578.6
44,2021-06-08,0.16148,0.16531,0.14404,0.15774,0.16148,0.16531,0.14404,0.15774,4263450.4,4263450.4
45,2021-06-07,0.17816,0.189,0.15807,0.16266,0.17816,0.189,0.15807,0.16266,7505115.1,7505115.1
46,2021-06-06,0.1725,0.1886,0.17163,0.17795,0.1725,0.1886,0.17163,0.17795,6105343.0,6105343.0
47,2021-06-05,0.1843,0.18913,0.16868,0.1725,0.1843,0.18913,0.16868,0.1725,3742992.2,3742992.2
48,2021-06-04,0.1963,0.19636,0.17146,0.18405,0.1963,0.19636,0.17146,0.18405,5712703.7,5712703.7
49,2021-06-03,0.19481,0.20421,0.1915,0.1963,0.19481,0.20421,0.1915,0.1963,3732243.3,3732243.3
50,2021-06-02,0.18394,0.20497,0.17975,0.19481,0.18394,0.20497,0.17975,0.19481,6405682.4,6405682.4
