,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.9371,0.9478,0.925,0.9354,0.9371,0.9478,0.925,0.9354,95182.0,95182.0
1,2021-07-21,0.8875,0.96,0.8646,0.938,0.8875,0.96,0.8646,0.938,2142352.0,2142352.0
2,2021-07-20,0.9111,1.23,0.824,0.8876,0.9111,1.23,0.824,0.8876,8143823.0,8143823.0
3,2021-07-19,0.9076,0.9729,0.8743,0.9165,0.9076,0.9729,0.8743,0.9165,2389598.0,2389598.0
4,2021-07-18,0.8868,0.9217,0.8857,0.9042,0.8868,0.9217,0.8857,0.9042,777185.0,777185.0
5,2021-07-17,0.879,0.8926,0.861,0.8899,0.879,0.8926,0.861,0.8899,765046.0,765046.0
6,2021-07-16,0.9044,0.9246,0.8698,0.879,0.9044,0.9246,0.8698,0.879,667048.0,667048.0
7,2021-07-15,0.919,0.9485,0.8788,0.9001,0.919,0.9485,0.8788,0.9001,778470.0,778470.0
8,2021-07-14,0.9214,0.9353,0.8645,0.9186,0.9214,0.9353,0.8645,0.9186,1719300.0,1719300.0
9,2021-07-13,0.9489,0.9516,0.903,0.917,0.9489,0.9516,0.903,0.917,1135100.0,1135100.0
10,2021-07-12,0.985,0.99,0.9312,0.9453,0.985,0.99,0.9312,0.9453,1854646.0,1854646.0
11,2021-07-11,0.9517,0.9999,0.94,0.9827,0.9517,0.9999,0.94,0.9827,1187757.0,1187757.0
12,2021-07-10,0.955,0.9754,0.93,0.9517,0.955,0.9754,0.93,0.9517,1154327.0,1154327.0
13,2021-07-09,0.9421,1.0392,0.9,0.9581,0.9421,1.0392,0.9,0.9581,2538217.0,2538217.0
14,2021-07-08,1.005,1.0086,0.931,0.9405,1.005,1.0086,0.931,0.9405,1847518.0,1847518.0
15,2021-07-07,1.0235,1.0522,1.002,1.0045,1.0235,1.0522,1.002,1.0045,2355550.0,2355550.0
16,2021-07-06,1.017,1.06,1.0046,1.0235,1.017,1.06,1.0046,1.0235,2682586.0,2682586.0
17,2021-07-05,1.0199,1.0763,0.9997,1.017,1.0199,1.0763,0.9997,1.017,3772542.0,3772542.0
18,2021-07-04,1.0084,1.04,0.9998,1.0177,1.0084,1.04,0.9998,1.0177,1408172.0,1408172.0
19,2021-07-03,0.9771,1.054,0.9641,1.0084,0.9771,1.054,0.9641,1.0084,2158216.0,2158216.0
20,2021-07-02,0.9745,1.0359,0.9394,0.9784,0.9745,1.0359,0.9394,0.9784,2043087.0,2043087.0
21,2021-07-01,1.0243,1.04,0.953,0.9745,1.0243,1.04,0.953,0.9745,1712900.0,1712900.0
22,2021-06-30,1.0289,1.0322,0.956,1.0241,1.0289,1.0322,0.956,1.0241,1762565.0,1762565.0
23,2021-06-29,1.0029,1.07,1.0004,1.0301,1.0029,1.07,1.0004,1.0301,3946774.0,3946774.0
24,2021-06-28,0.9911,1.046,0.957,1.0028,0.9911,1.046,0.957,1.0028,2989909.0,2989909.0
25,2021-06-27,0.9341,1.0014,0.92,0.9933,0.9341,1.0014,0.92,0.9933,2319212.0,2319212.0
26,2021-06-26,0.93,0.965,0.8635,0.9341,0.93,0.965,0.8635,0.9341,3597904.0,3597904.0
27,2021-06-25,1.0158,1.0791,0.9178,0.931,1.0158,1.0791,0.9178,0.931,9375602.0,9375602.0
28,2021-06-24,0.8974,1.356,0.8974,1.0157,0.8974,1.356,0.8974,1.0157,34224060.0,34224060.0
