,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2020-10-23,2.826,2.831,2.682,2.744,2.826,2.831,2.682,2.744,43778.407,43778.407
1,2020-10-22,3.191,3.214,2.719,2.826,3.191,3.214,2.719,2.826,231969.21,231969.21
2,2020-10-21,3.446,3.451,2.958,3.196,3.446,3.451,2.958,3.196,129110.0,129110.0
3,2020-10-20,3.289,3.635,3.26,3.451,3.289,3.635,3.26,3.451,39055.657,39055.657
4,2020-10-19,3.509,3.527,3.277,3.289,3.509,3.527,3.277,3.289,43183.062,43183.062
5,2020-10-18,3.761,3.786,3.494,3.498,3.761,3.786,3.494,3.498,37962.985,37962.985
6,2020-10-17,3.8,3.841,3.758,3.776,3.8,3.841,3.758,3.776,3228.212,3228.212
7,2020-10-16,4.163,4.171,3.752,3.81,4.163,4.171,3.752,3.81,18144.99,18144.99
8,2020-10-15,4.087,4.186,4.057,4.169,4.087,4.186,4.057,4.169,5870.745,5870.745
9,2020-10-14,4.246,4.274,4.087,4.087,4.246,4.274,4.087,4.087,4686.605,4686.605
10,2020-10-13,4.336,4.365,4.186,4.257,4.336,4.365,4.186,4.257,6375.987,6375.987
11,2020-10-12,4.221,4.366,4.135,4.331,4.221,4.366,4.135,4.331,8599.102,8599.102
12,2020-10-11,4.242,4.322,4.001,4.226,4.242,4.322,4.001,4.226,4906.12,4906.12
13,2020-10-10,4.237,4.364,4.171,4.242,4.237,4.364,4.171,4.242,5600.655,5600.655
14,2020-10-09,4.109,4.245,4.078,4.245,4.109,4.245,4.078,4.245,6012.888,6012.888
15,2020-10-08,4.043,4.143,3.96,4.124,4.043,4.143,3.96,4.124,4696.224,4696.224
16,2020-10-07,4.051,4.071,3.996,4.039,4.051,4.071,3.996,4.039,2986.486,2986.486
17,2020-10-06,4.138,4.139,4.015,4.069,4.138,4.139,4.015,4.069,4569.495,4569.495
18,2020-10-05,4.165,4.187,4.117,4.138,4.165,4.187,4.117,4.138,2761.642,2761.642
19,2020-10-04,4.094,4.165,4.015,4.164,4.094,4.165,4.015,4.164,4805.782,4805.782
20,2020-10-03,4.098,4.146,4.093,4.111,4.098,4.146,4.093,4.111,3229.585,3229.585
21,2020-10-02,4.151,4.151,4.015,4.099,4.151,4.151,4.015,4.099,5451.978,5451.978
22,2020-10-01,4.197,4.274,4.059,4.151,4.197,4.274,4.059,4.151,6324.489,6324.489
