,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,71.38,73.39,70.65,71.0,71.38,73.39,70.65,71.0,1299.86,1299.86
1,2021-07-21,64.45,79.39,63.2,71.02,64.45,79.39,63.2,71.02,25619.46,25619.46
2,2021-07-20,68.24,68.36,63.0,64.47,68.24,68.36,63.0,64.47,11835.76,11835.76
3,2021-07-19,76.23,77.07,67.78,68.12,76.23,77.07,67.78,68.12,25321.29,25321.29
4,2021-07-18,77.11,79.01,75.01,76.2,77.11,79.01,75.01,76.2,8096.79,8096.79
5,2021-07-17,76.27,83.99,74.97,77.36,76.27,83.99,74.97,77.36,23985.97,23985.97
6,2021-07-16,76.82,89.97,74.48,76.33,76.82,89.97,74.48,76.33,42507.96,42507.96
7,2021-07-15,80.92,84.63,75.08,76.88,80.92,84.63,75.08,76.88,13842.61,13842.61
8,2021-07-14,81.52,87.47,76.6,80.93,81.52,87.47,76.6,80.93,18432.21,18432.21
9,2021-07-13,85.6,92.0,81.06,81.5,85.6,92.0,81.06,81.5,14450.12,14450.12
10,2021-07-12,90.74,91.58,84.29,85.58,90.74,91.58,84.29,85.58,12881.6,12881.6
11,2021-07-11,93.74,94.52,88.02,90.53,93.74,94.52,88.02,90.53,22146.18,22146.18
12,2021-07-10,89.54,103.5,88.44,93.59,89.54,103.5,88.44,93.59,90594.76,90594.76
13,2021-07-09,83.47,93.44,78.14,89.5,83.47,93.44,78.14,89.5,24703.61,24703.61
14,2021-07-08,92.27,93.33,81.15,83.21,92.27,93.33,81.15,83.21,39322.92,39322.92
15,2021-07-07,101.35,106.0,92.0,92.27,101.35,106.0,92.0,92.27,53473.79,53473.79
16,2021-07-06,101.13,120.46,100.2,101.08,101.13,120.46,100.2,101.08,184991.74,184991.74
17,2021-07-05,83.01,166.68,80.11,101.5,83.01,166.68,80.11,101.5,545392.13,545392.13
