,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,5.395,5.463,5.315,5.437,5.395,5.463,5.315,5.437,70388.39,70388.39
1,2021-07-21,4.977,5.547,4.831,5.388,4.977,5.547,4.831,5.388,1613489.722,1613489.722
2,2021-07-20,5.324,5.437,4.821,4.977,5.324,5.437,4.821,4.977,1536147.837,1536147.837
3,2021-07-19,5.667,5.724,5.251,5.314,5.667,5.724,5.251,5.314,983196.73,983196.73
4,2021-07-18,5.568,5.859,5.524,5.67,5.568,5.859,5.524,5.67,988544.469,988544.469
5,2021-07-17,5.534,5.704,5.415,5.565,5.534,5.704,5.415,5.565,955288.264,955288.264
6,2021-07-16,5.927,6.067,5.511,5.528,5.927,6.067,5.511,5.528,1390337.413,1390337.413
7,2021-07-15,6.199,6.33,5.786,5.92,6.199,6.33,5.786,5.92,1154369.087,1154369.087
8,2021-07-14,6.213,6.333,5.806,6.2,6.213,6.333,5.806,6.2,1134626.718,1134626.718
9,2021-07-13,6.545,6.595,6.151,6.212,6.545,6.595,6.151,6.212,838628.29,838628.29
10,2021-07-12,6.703,6.917,6.416,6.548,6.703,6.917,6.416,6.548,1187281.724,1187281.724
11,2021-07-11,6.64,6.807,6.442,6.7,6.64,6.807,6.442,6.7,933641.144,933641.144
12,2021-07-10,6.777,6.913,6.439,6.639,6.777,6.913,6.439,6.639,842541.383,842541.383
13,2021-07-09,6.492,6.966,6.091,6.776,6.492,6.966,6.091,6.776,1752449.03,1752449.03
14,2021-07-08,7.08,7.102,6.378,6.495,7.08,7.102,6.378,6.495,1888970.773,1888970.773
15,2021-07-07,7.165,7.357,7.019,7.086,7.165,7.357,7.019,7.086,1636455.49,1636455.49
16,2021-07-06,6.95,7.381,6.946,7.167,6.95,7.381,6.946,7.167,1613170.797,1613170.797
17,2021-07-05,7.394,7.394,6.798,6.952,7.394,7.394,6.798,6.952,1724946.015,1724946.015
18,2021-07-04,7.241,7.705,7.046,7.395,7.241,7.705,7.046,7.395,1445567.641,1445567.641
19,2021-07-03,7.066,7.44,6.937,7.251,7.066,7.44,6.937,7.251,1250738.295,1250738.295
20,2021-07-02,7.062,7.268,6.65,7.06,7.062,7.268,6.65,7.06,1585247.974,1585247.974
21,2021-07-01,7.68,7.68,6.828,7.062,7.68,7.68,6.828,7.062,2398170.719,2398170.719
22,2021-06-30,7.562,7.955,6.805,7.68,7.562,7.955,6.805,7.68,5610226.787,5610226.787
23,2021-06-29,6.326,7.678,6.29,7.566,6.326,7.678,6.29,7.566,3779318.797,3779318.797
24,2021-06-28,6.161,6.454,5.992,6.323,6.161,6.454,5.992,6.323,1816354.431,1816354.431
25,2021-06-27,5.82,6.266,5.697,6.16,5.82,6.266,5.697,6.16,2655836.178,2655836.178
26,2021-06-26,5.511,5.866,5.242,5.822,5.511,5.866,5.242,5.822,2786602.576,2786602.576
27,2021-06-25,6.178,6.51,5.414,5.512,6.178,6.51,5.414,5.512,3188607.696,3188607.696
28,2021-06-24,5.901,6.25,5.519,6.175,5.901,6.25,5.519,6.175,2551257.477,2551257.477
29,2021-06-23,4.999,6.076,4.763,5.898,4.999,6.076,4.763,5.898,3639235.837,3639235.837
30,2021-06-22,5.477,5.888,4.439,4.997,5.477,5.888,4.439,4.997,7402858.992,7402858.992
31,2021-06-21,7.553,7.61,5.393,5.478,7.553,7.61,5.393,5.478,4659377.978,4659377.978
32,2021-06-20,7.672,7.689,6.901,7.545,7.672,7.689,6.901,7.545,1625411.576,1625411.576
33,2021-06-19,8.031,8.095,7.653,7.672,8.031,8.095,7.653,7.672,1004336.73,1004336.73
34,2021-06-18,8.633,8.633,7.747,8.02,8.633,8.633,7.747,8.02,1496803.616,1496803.616
35,2021-06-17,8.689,9.049,8.442,8.632,8.689,9.049,8.442,8.632,1065575.977,1065575.977
36,2021-06-16,9.257,9.26,8.609,8.694,9.257,9.26,8.609,8.694,1205617.966,1205617.966
37,2021-06-15,9.423,9.605,9.067,9.257,9.423,9.605,9.067,9.257,1280666.526,1280666.526
38,2021-06-14,9.254,9.497,8.86,9.428,9.254,9.497,8.86,9.428,1418969.642,1418969.642
39,2021-06-13,8.596,9.282,8.329,9.243,8.596,9.282,8.329,9.243,1342968.251,1342968.251
40,2021-06-12,9.06,9.062,8.246,8.578,9.06,9.062,8.246,8.578,1377259.133,1377259.133
41,2021-06-11,9.715,9.833,8.91,9.06,9.715,9.833,8.91,9.06,1504634.215,1504634.215
42,2021-06-10,9.939,10.677,9.374,9.73,9.939,10.677,9.374,9.73,2867000.444,2867000.444
43,2021-06-09,9.362,9.95,8.768,9.934,9.362,9.95,8.768,9.934,1969769.77,1969769.77
44,2021-06-08,9.693,9.903,8.366,9.376,9.693,9.903,8.366,9.376,3410692.851,3410692.851
45,2021-06-07,11.061,11.269,9.551,9.701,11.061,11.269,9.551,9.701,1846426.467,1846426.467
46,2021-06-06,10.913,11.2,10.707,11.07,10.913,11.2,10.707,11.07,997464.685,997464.685
47,2021-06-05,11.274,11.75,10.531,10.927,11.274,11.75,10.531,10.927,1797405.165,1797405.165
48,2021-06-04,12.417,12.6,10.752,11.296,12.417,12.6,10.752,11.296,2703730.043,2703730.043
49,2021-06-03,12.09,12.766,11.865,12.41,12.09,12.766,11.865,12.41,2929433.341,2929433.341
50,2021-06-02,11.872,12.4,11.373,12.096,11.872,12.4,11.373,12.096,2692810.217,2692810.217
51,2021-06-01,12.401,12.622,11.318,11.87,12.401,12.622,11.318,11.87,2737857.116,2737857.116
52,2021-05-31,11.411,12.447,10.776,12.402,11.411,12.447,10.776,12.402,3202699.756,3202699.756
53,2021-05-30,11.257,11.9,10.255,11.412,11.257,11.9,10.255,11.412,3481353.056,3481353.056
54,2021-05-29,12.133,12.928,10.478,11.254,12.133,12.928,10.478,11.254,3782577.262,3782577.262
55,2021-05-28,14.619,14.619,11.283,12.116,14.619,14.619,11.283,12.116,6775382.027,6775382.027
56,2021-05-27,12.6,14.941,12.147,14.614,12.6,14.941,12.147,14.614,8501081.327,8501081.327
57,2021-05-26,11.602,12.839,11.282,12.605,11.602,12.839,11.282,12.605,4179955.391,4179955.391
58,2021-05-25,11.291,12.9,10.61,11.604,11.291,12.9,10.61,11.604,10085664.715,10085664.715
59,2021-05-24,8.125,11.429,7.604,11.282,8.125,11.429,7.604,11.282,7334928.234,7334928.234
