,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.9505,1.0663,0.9465,1.0447,0.9505,1.0663,0.9465,1.0447,726941.35,726941.35
1,2021-07-21,0.8118,0.9796,0.7897,0.9489,0.8118,0.9796,0.7897,0.9489,5735458.45,5735458.45
2,2021-07-20,0.9054,0.9055,0.77,0.8123,0.9054,0.9055,0.77,0.8123,5180960.49,5180960.49
3,2021-07-19,1.0185,1.0204,0.8616,0.9034,1.0185,1.0204,0.8616,0.9034,4860721.4,4860721.4
4,2021-07-18,1.0165,1.112,0.9801,1.0198,1.0165,1.112,0.9801,1.0198,4584047.96,4584047.96
5,2021-07-17,1.0921,1.0976,0.9952,1.0191,1.0921,1.0976,0.9952,1.0191,5338418.22,5338418.22
6,2021-07-16,1.2551,1.3313,1.0737,1.0949,1.2551,1.3313,1.0737,1.0949,7242920.39,7242920.39
7,2021-07-15,1.2327,1.3765,1.178,1.2524,1.2327,1.3765,1.178,1.2524,11475730.39,11475730.39
8,2021-07-14,1.1731,1.2873,1.1433,1.23,1.1731,1.2873,1.1433,1.23,11762476.06,11762476.06
9,2021-07-13,1.1843,1.2429,1.1222,1.1707,1.1843,1.2429,1.1222,1.1707,7692475.53,7692475.53
10,2021-07-12,1.3752,1.3753,1.1843,1.1843,1.3752,1.3753,1.1843,1.1843,7125081.56,7125081.56
11,2021-07-11,1.228,1.4709,1.222,1.3753,1.228,1.4709,1.222,1.3753,13675148.31,13675148.31
12,2021-07-10,1.1845,1.3418,1.1105,1.2288,1.1845,1.3418,1.1105,1.2288,13808950.04,13808950.04
13,2021-07-09,1.2168,1.2388,1.0006,1.1811,1.2168,1.2388,1.0006,1.1811,15319594.32,15319594.32
14,2021-07-08,0.9743,1.28,0.9742,1.2132,0.9743,1.28,0.9742,1.2132,28486346.91,28486346.91
15,2021-07-07,0.877,1.0332,0.8743,0.9755,0.877,1.0332,0.8743,0.9755,7399863.9,7399863.9
16,2021-07-06,0.8115,0.8772,0.8102,0.874,0.8115,0.8772,0.8102,0.874,12133582.16,12133582.16
17,2021-07-05,0.8562,0.8706,0.7854,0.812,0.8562,0.8706,0.7854,0.812,19652592.37,19652592.37
18,2021-07-04,0.8466,0.9005,0.8043,0.8597,0.8466,0.9005,0.8043,0.8597,11180413.11,11180413.11
19,2021-07-03,0.8058,0.8497,0.7767,0.8473,0.8058,0.8497,0.7767,0.8473,6416374.86,6416374.86
20,2021-07-02,0.7749,0.8967,0.7721,0.8043,0.7749,0.8967,0.7721,0.8043,9553957.5,9553957.5
21,2021-07-01,0.7913,0.8033,0.7308,0.7763,0.7913,0.8033,0.7308,0.7763,3688063.82,3688063.82
