,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2018-10-19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1224.0,1224.0
1,2018-07-23,1.7963,1.862,1.7909,1.8319,1.7963,1.862,1.7909,1.8319,578711.51,578711.51
2,2018-07-22,1.8639,1.91,1.7568,1.7955,1.8639,1.91,1.7568,1.7955,3106011.12,3106011.12
3,2018-07-21,1.686,1.9026,1.6551,1.865,1.686,1.9026,1.6551,1.865,5353100.58,5353100.58
4,2018-07-20,1.8032,1.8081,1.5633,1.6795,1.8032,1.8081,1.5633,1.6795,6161440.06,6161440.06
5,2018-07-19,1.912,1.9656,1.7777,1.8032,1.912,1.9656,1.7777,1.8032,4337420.66,4337420.66
6,2018-07-18,1.99,2.0834,1.82,1.9169,1.99,2.0834,1.82,1.9169,5893367.96,5893367.96
7,2018-07-17,1.9255,2.09,1.799,1.9938,1.9255,2.09,1.799,1.9938,5428231.55,5428231.55
8,2018-07-16,1.9212,1.9606,1.6,1.922,1.9212,1.9606,1.6,1.922,8466204.91,8466204.91
9,2018-07-15,1.8861,1.9709,1.8196,1.9193,1.8861,1.9709,1.8196,1.9193,3201906.97,3201906.97
10,2018-07-14,2.0888,2.103,1.78,1.8802,2.0888,2.103,1.78,1.8802,3305703.16,3305703.16
11,2018-07-13,2.0859,2.15,2.0404,2.0897,2.0859,2.15,2.0404,2.0897,1633496.44,1633496.44
12,2018-07-12,2.2199,2.2274,2.0285,2.0896,2.2199,2.2274,2.0285,2.0896,1815729.51,1815729.51
13,2018-07-11,2.214,2.2817,2.103,2.2089,2.214,2.2817,2.103,2.2089,1734265.23,1734265.23
14,2018-07-10,2.4237,2.4399,2.2,2.214,2.4237,2.4399,2.2,2.214,2003541.8,2003541.8
15,2018-07-09,2.507,2.54,2.4185,2.4237,2.507,2.54,2.4185,2.4237,1736762.38,1736762.38
16,2018-07-08,2.5267,2.6097,2.5004,2.5015,2.5267,2.6097,2.5004,2.5015,1508000.63,1508000.63
17,2018-07-07,2.5285,2.54,2.395,2.5267,2.5285,2.54,2.395,2.5267,1422827.18,1422827.18
18,2018-07-06,2.5064,2.5784,2.38,2.5172,2.5064,2.5784,2.38,2.5172,1545613.38,1545613.38
19,2018-07-05,2.6409,2.7145,2.43,2.5064,2.6409,2.7145,2.43,2.5064,1804103.02,1804103.02
20,2018-07-04,2.6404,2.79,2.601,2.6459,2.6404,2.79,2.601,2.6459,1523047.59,1523047.59
21,2018-07-03,2.7575,2.8822,2.601,2.6404,2.7575,2.8822,2.601,2.6404,2712194.39,2712194.39
22,2018-07-02,2.5662,2.81,2.5024,2.7533,2.5662,2.81,2.5024,2.7533,2515960.94,2515960.94
23,2018-07-01,2.5957,2.6546,2.47,2.5578,2.5957,2.6546,2.47,2.5578,2206891.96,2206891.96
24,2018-06-30,2.5696,2.7301,2.553,2.5911,2.5696,2.7301,2.553,2.5911,2295403.05,2295403.05
25,2018-06-29,2.3654,2.6553,2.3374,2.5605,2.3654,2.6553,2.3374,2.5605,2102084.83,2102084.83
26,2018-06-28,2.6302,2.6686,2.299,2.3619,2.6302,2.6686,2.299,2.3619,1977290.62,1977290.62
27,2018-06-27,2.4912,2.67,2.4401,2.6302,2.4912,2.67,2.4401,2.6302,1877480.24,1877480.24
28,2018-06-26,2.7273,2.76,2.4841,2.5044,2.7273,2.76,2.4841,2.5044,1394247.6,1394247.6
29,2018-06-25,2.4403,2.766,2.4402,2.7273,2.4403,2.766,2.4402,2.7273,2545400.42,2545400.42
30,2018-06-24,2.7877,2.82,2.2185,2.4409,2.7877,2.82,2.2185,2.4409,3095295.5,3095295.5
31,2018-06-23,2.7409,2.8771,2.688,2.7876,2.7409,2.8771,2.688,2.7876,1778679.61,1778679.61
32,2018-06-22,3.1498,3.1499,2.4,2.7412,3.1498,3.1499,2.4,2.7412,1567922.02,1567922.02
