,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.7702,0.7838,0.7644,0.7785,0.7702,0.7838,0.7644,0.7785,449743.13,449743.13
1,2021-07-21,0.6963,0.7829,0.6817,0.7701,0.6963,0.7829,0.6817,0.7701,16155479.42,16155479.42
2,2021-07-20,0.7507,0.7657,0.676,0.6961,0.7507,0.7657,0.676,0.6961,20985312.95,20985312.95
3,2021-07-19,0.7984,0.8087,0.7473,0.7505,0.7984,0.8087,0.7473,0.7505,10143048.26,10143048.26
4,2021-07-18,0.7836,0.8137,0.7746,0.7981,0.7836,0.8137,0.7746,0.7981,8872525.42,8872525.42
5,2021-07-17,0.7843,0.8067,0.7717,0.7843,0.7843,0.8067,0.7717,0.7843,10709935.78,10709935.78
6,2021-07-16,0.8348,0.8513,0.7732,0.7842,0.8348,0.8513,0.7732,0.7842,15193894.31,15193894.31
7,2021-07-15,0.8585,0.8792,0.82,0.8347,0.8585,0.8792,0.82,0.8347,9883519.86,9883519.86
8,2021-07-14,0.8748,0.881,0.8218,0.8587,0.8748,0.881,0.8218,0.8587,11958303.4,11958303.4
9,2021-07-13,0.8672,0.8973,0.8487,0.8753,0.8672,0.8973,0.8487,0.8753,9496720.42,9496720.42
10,2021-07-12,0.8953,0.9044,0.8504,0.8675,0.8953,0.9044,0.8504,0.8675,8082545.18,8082545.18
11,2021-07-11,0.8922,0.9185,0.8848,0.8952,0.8922,0.9185,0.8848,0.8952,7161488.41,7161488.41
12,2021-07-10,0.9059,0.9225,0.8662,0.8918,0.9059,0.9225,0.8662,0.8918,9079190.96,9079190.96
13,2021-07-09,0.8676,0.9336,0.8288,0.9058,0.8676,0.9336,0.8288,0.9058,19120633.52,19120633.52
14,2021-07-08,0.906,0.9076,0.8474,0.8683,0.906,0.9076,0.8474,0.8683,13542386.8,13542386.8
15,2021-07-07,0.9129,0.9408,0.9015,0.9062,0.9129,0.9408,0.9015,0.9062,12482528.75,12482528.75
16,2021-07-06,0.8731,0.9336,0.8715,0.9132,0.8731,0.9336,0.8715,0.9132,15437352.09,15437352.09
17,2021-07-05,0.8793,0.8921,0.8386,0.8728,0.8793,0.8921,0.8386,0.8728,10676768.51,10676768.51
18,2021-07-04,0.8761,0.9142,0.8562,0.88,0.8761,0.9142,0.8562,0.88,7600902.36,7600902.36
19,2021-07-03,0.8457,0.885,0.8337,0.8764,0.8457,0.885,0.8337,0.8764,7593790.39,7593790.39
20,2021-07-02,0.833,0.8459,0.7989,0.8456,0.833,0.8459,0.7989,0.8456,9905766.21,9905766.21
21,2021-07-01,0.8836,0.8839,0.8104,0.834,0.8836,0.8839,0.8104,0.834,14216317.3,14216317.3
22,2021-06-30,0.8883,0.9124,0.833,0.8833,0.8883,0.9124,0.833,0.8833,15547037.92,15547037.92
23,2021-06-29,0.8425,0.9241,0.839,0.8889,0.8425,0.9241,0.839,0.8889,18054385.86,18054385.86
24,2021-06-28,0.836,0.8646,0.8218,0.8426,0.836,0.8646,0.8218,0.8426,16809517.34,16809517.34
25,2021-06-27,0.8089,0.849,0.771,0.8358,0.8089,0.849,0.771,0.8358,17215147.44,17215147.44
26,2021-06-26,0.7908,0.8259,0.7603,0.8094,0.7908,0.8259,0.7603,0.8094,20398020.3,20398020.3
27,2021-06-25,0.8746,0.8988,0.7781,0.7904,0.8746,0.8988,0.7781,0.7904,23275845.25,23275845.25
28,2021-06-24,0.8327,0.8947,0.796,0.8743,0.8327,0.8947,0.796,0.8743,16670371.31,16670371.31
29,2021-06-23,0.7434,0.8708,0.713,0.8323,0.7434,0.8708,0.713,0.8323,35395187.77,35395187.77
30,2021-06-22,0.7536,0.8553,0.6712,0.7436,0.7536,0.8553,0.6712,0.7436,58396503.62,58396503.62
31,2021-06-21,0.9342,0.9416,0.7505,0.7539,0.9342,0.9416,0.7505,0.7539,38568300.57,38568300.57
32,2021-06-20,0.935,0.9527,0.878,0.9339,0.935,0.9527,0.878,0.9339,19487672.69,19487672.69
33,2021-06-19,0.9918,0.992,0.934,0.934,0.9918,0.992,0.934,0.934,16974573.76,16974573.76
34,2021-06-18,1.0646,1.0924,0.9599,0.992,1.0646,1.0924,0.9599,0.992,20249014.79,20249014.79
35,2021-06-17,1.0178,1.0848,1.0128,1.0646,1.0178,1.0848,1.0128,1.0646,19738793.88,19738793.88
36,2021-06-16,1.0324,1.057,0.998,1.0178,1.0324,1.057,0.998,1.0178,15850200.16,15850200.16
37,2021-06-15,1.0557,1.0937,1.0229,1.0323,1.0557,1.0937,1.0229,1.0323,19892856.17,19892856.17
38,2021-06-14,1.0411,1.0865,1.0241,1.0552,1.0411,1.0865,1.0241,1.0552,20055900.79,20055900.79
39,2021-06-13,0.9907,1.0662,0.9626,1.0406,0.9907,1.0662,0.9626,1.0406,18843798.88,18843798.88
40,2021-06-12,0.9729,1.0198,0.9105,0.991,0.9729,1.0198,0.9105,0.991,23426336.5,23426336.5
41,2021-06-11,1.0488,1.0819,0.9566,0.9732,1.0488,1.0819,0.9566,0.9732,39320033.71,39320033.71
42,2021-06-10,1.041,1.0522,0.9741,1.0496,1.041,1.0522,0.9741,1.0496,36549059.74,36549059.74
43,2021-06-09,0.9403,1.1523,0.9076,1.0415,0.9403,1.1523,0.9076,1.0415,68702978.3,68702978.3
44,2021-06-08,0.9632,0.9766,0.856,0.9406,0.9632,0.9766,0.856,0.9406,26800573.26,26800573.26
45,2021-06-07,1.0248,1.089,0.9469,0.9633,1.0248,1.089,0.9469,0.9633,20579526.56,20579526.56
46,2021-06-06,0.9752,1.0253,0.9642,1.0247,0.9752,1.0253,0.9642,1.0247,14186891.49,14186891.49
47,2021-06-05,1.0274,1.0942,0.947,0.9763,1.0274,1.0942,0.947,0.9763,24711755.92,24711755.92
48,2021-06-04,1.1119,1.133,0.9719,1.0284,1.1119,1.133,0.9719,1.0284,30312792.76,30312792.76
49,2021-06-03,1.0189,1.1537,1.0049,1.1113,1.0189,1.1537,1.0049,1.1113,34622258.52,34622258.52
50,2021-06-02,0.8951,1.0708,0.8725,1.0187,0.8951,1.0708,0.8725,1.0187,34348783.01,34348783.01
51,2021-06-01,0.9356,0.9515,0.876,0.8952,0.9356,0.9515,0.876,0.8952,20571318.46,20571318.46
52,2021-05-31,0.8491,0.9385,0.8139,0.9359,0.8491,0.9385,0.8139,0.9359,23377949.57,23377949.57
53,2021-05-30,0.8319,0.8946,0.7784,0.8491,0.8319,0.8946,0.7784,0.8491,19187675.92,19187675.92
54,2021-05-29,0.9006,0.9306,0.7904,0.8315,0.9006,0.9306,0.7904,0.8315,21248486.75,21248486.75
55,2021-05-28,0.9756,0.987,0.8458,0.8999,0.9756,0.987,0.8458,0.8999,29097745.82,29097745.82
56,2021-05-27,1.0235,1.0333,0.9356,0.9752,1.0235,1.0333,0.9356,0.9752,23181140.83,23181140.83
57,2021-05-26,0.9757,1.0593,0.9538,1.0237,0.9757,1.0593,0.9538,1.0237,35451063.14,35451063.14
58,2021-05-25,0.9813,1.0179,0.8672,0.9754,0.9813,1.0179,0.8672,0.9754,36972077.69,36972077.69
59,2021-05-24,0.8169,1.0063,0.8005,0.9811,0.8169,1.0063,0.8005,0.9811,32235991.16,32235991.16
60,2021-05-23,0.9739,1.0405,0.6774,0.8178,0.9739,1.0405,0.6774,0.8178,65498680.99,65498680.99
61,2021-05-22,0.9735,1.0153,0.8552,0.9739,0.9735,1.0153,0.8552,0.9739,38750541.91,38750541.91
62,2021-05-21,1.1086,1.1472,0.8441,0.9736,1.1086,1.1472,0.8441,0.9736,50329798.21,50329798.21
63,2021-05-20,0.9329,1.12,0.8377,1.1089,0.9329,1.12,0.8377,1.1089,64554630.71,64554630.71
64,2021-05-19,1.3658,1.388,0.7561,0.9309,1.3658,1.388,0.7561,0.9309,111653363.05,111653363.05
65,2021-05-18,1.2854,1.393,1.2567,1.365,1.2854,1.393,1.2567,1.365,30186993.39,30186993.39
66,2021-05-17,1.396,1.4126,1.256,1.2842,1.396,1.4126,1.256,1.2842,39031598.92,39031598.92
67,2021-05-16,1.3884,1.54,1.3318,1.3956,1.3884,1.54,1.3318,1.3956,52071682.45,52071682.45
68,2021-05-15,1.4772,1.537,1.373,1.3888,1.4772,1.537,1.373,1.3888,54344627.65,54344627.65
69,2021-05-14,1.3528,1.49,1.3229,1.4775,1.3528,1.49,1.3229,1.4775,38997654.08,38997654.08
70,2021-05-13,1.2732,1.453,1.201,1.3526,1.2732,1.453,1.201,1.3526,58295062.52,58295062.52
71,2021-05-12,1.474,1.4997,1.2396,1.2734,1.474,1.4997,1.2396,1.2734,41345401.83,41345401.83
72,2021-05-11,1.3704,1.4776,1.323,1.474,1.3704,1.4776,1.323,1.474,29157905.15,29157905.15
73,2021-05-10,1.5152,1.5561,1.3054,1.3707,1.5152,1.5561,1.3054,1.3707,37404899.93,37404899.93
74,2021-05-09,1.5182,1.53,1.4261,1.5151,1.5182,1.53,1.4261,1.5151,32906775.52,32906775.52
75,2021-05-08,1.5775,1.6244,1.488,1.5182,1.5775,1.6244,1.488,1.5182,33259498.39,33259498.39
76,2021-05-07,1.5444,1.6965,1.471,1.5769,1.5444,1.6965,1.471,1.5769,65135937.22,65135937.22
77,2021-05-06,1.4419,1.5792,1.4129,1.5444,1.4419,1.5792,1.4129,1.5444,64557373.8,64557373.8
78,2021-05-05,1.2741,1.4533,1.2541,1.4425,1.2741,1.4533,1.2541,1.4425,32738167.36,32738167.36
79,2021-05-04,1.4362,1.445,1.2721,1.2742,1.4362,1.445,1.2721,1.2742,42901870.73,42901870.73
80,2021-05-03,1.3877,1.4747,1.3871,1.4346,1.3877,1.4747,1.3871,1.4346,30865267.07,30865267.07
81,2021-05-02,1.3933,1.4135,1.3205,1.3877,1.3933,1.4135,1.3205,1.3877,28935955.19,28935955.19
