,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,16.98,17.1,16.95,17.05,16.98,17.1,16.95,17.05,1179.6,1179.6
1,2021-08-28,17.24,17.32,16.81,16.98,17.24,17.32,16.81,16.98,115908.45,115908.45
2,2021-08-27,16.66,17.24,16.4,17.22,16.66,17.24,16.4,17.22,174583.672,174583.672
3,2021-08-26,17.597,18.243,16.6,16.67,17.597,18.243,16.6,16.67,807303.024,807303.024
4,2021-08-25,17.716,18.39,17.257,17.597,17.716,18.39,17.257,17.597,221575.217,221575.217
5,2021-08-24,17.768,19.0,17.069,17.745,17.768,19.0,17.069,17.745,379262.653,379262.653
6,2021-08-23,17.632,18.37,17.525,17.779,17.632,18.37,17.525,17.779,195431.222,195431.222
7,2021-08-22,18.29,18.9,17.413,17.587,18.29,18.9,17.413,17.587,243788.654,243788.654
8,2021-08-21,18.46,18.9,18.1,18.3,18.46,18.9,18.1,18.3,182250.601,182250.601
9,2021-08-20,18.354,19.171,18.0,18.46,18.354,19.171,18.0,18.46,297124.798,297124.798
10,2021-08-19,18.149,18.512,17.8,18.354,18.149,18.512,17.8,18.354,166573.983,166573.983
11,2021-08-18,18.175,19.516,17.9,18.151,18.175,19.516,17.9,18.151,422495.529,422495.529
12,2021-08-17,17.978,20.57,17.555,18.176,17.978,20.57,17.555,18.176,639579.366,639579.366
13,2021-08-16,19.175,19.489,17.924,18.015,19.175,19.489,17.924,18.015,264037.91,264037.91
14,2021-08-15,19.674,20.474,18.766,19.16,19.674,20.474,18.766,19.16,361171.973,361171.973
15,2021-08-14,20.073,20.818,19.45,19.694,20.073,20.818,19.45,19.694,266271.765,266271.765
16,2021-08-13,20.177,20.511,19.325,20.073,20.177,20.511,19.325,20.073,431224.115,431224.115
17,2021-08-12,19.176,21.998,18.94,20.177,19.176,21.998,18.94,20.177,1113436.767,1113436.767
18,2021-08-11,20.547,20.576,18.705,19.176,20.547,20.576,18.705,19.176,747211.963,747211.963
19,2021-08-10,22.479,23.24,20.29,20.558,22.479,23.24,20.29,20.558,1051126.324,1051126.324
20,2021-08-09,14.521,24.787,14.398,22.482,14.521,24.787,14.398,22.482,4809980.637,4809980.637
21,2021-08-08,14.66,15.798,14.238,14.54,14.66,15.798,14.238,14.54,522635.254,522635.254
22,2021-08-07,14.726,15.75,14.092,14.677,14.726,15.75,14.092,14.677,483401.836,483401.836
23,2021-08-06,13.793,15.888,13.434,14.73,13.793,15.888,13.434,14.73,584566.409,584566.409
24,2021-08-05,13.674,13.995,13.284,13.793,13.674,13.995,13.284,13.793,154485.705,154485.705
25,2021-08-04,13.513,13.88,13.41,13.674,13.513,13.88,13.41,13.674,98216.17,98216.17
26,2021-08-03,13.802,14.006,13.45,13.513,13.802,14.006,13.45,13.513,107272.452,107272.452
27,2021-08-02,13.478,14.111,13.377,13.802,13.478,14.111,13.377,13.802,106196.751,106196.751
28,2021-08-01,13.881,14.5,13.47,13.505,13.881,14.5,13.47,13.505,168461.43,168461.43
29,2021-07-31,13.909,14.083,13.526,13.882,13.909,14.083,13.526,13.882,135777.714,135777.714
30,2021-07-30,14.083,14.57,13.74,13.904,14.083,14.57,13.74,13.904,225304.339,225304.339
31,2021-07-29,13.532,14.35,13.3,14.082,13.532,14.35,13.3,14.082,234472.779,234472.779
32,2021-07-28,13.713,13.844,13.3,13.529,13.713,13.844,13.3,13.529,166714.447,166714.447
33,2021-07-27,13.333,14.456,13.144,13.713,13.333,14.456,13.144,13.713,470565.248,470565.248
34,2021-07-26,14.136,14.203,13.201,13.333,14.136,14.203,13.201,13.333,373145.336,373145.336
35,2021-07-25,13.301,14.584,12.901,14.099,13.301,14.584,12.901,14.099,769719.549,769719.549
36,2021-07-24,13.943,14.333,13.016,13.3,13.943,14.333,13.016,13.3,466205.849,466205.849
37,2021-07-23,15.033,15.828,13.548,13.876,15.033,15.828,13.548,13.876,919367.85,919367.85
38,2021-07-22,12.071,15.85,11.684,15.034,12.071,15.85,11.684,15.034,1305834.184,1305834.184
39,2021-07-21,10.859,12.496,10.366,12.1,10.859,12.496,10.366,12.1,1003777.88,1003777.88
40,2021-07-20,11.358,12.7,10.251,10.833,11.358,12.7,10.251,10.833,1919137.487,1919137.487
41,2021-07-19,9.443,11.444,9.396,11.333,9.443,11.444,9.396,11.333,1156985.065,1156985.065
42,2021-07-18,9.144,9.78,9.036,9.469,9.144,9.78,9.036,9.469,129001.984,129001.984
