,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.2442,0.2444,0.2403,0.243,0.2442,0.2444,0.2403,0.243,201628.0,201628.0
1,2021-08-28,0.2371,0.2516,0.2341,0.2442,0.2371,0.2516,0.2341,0.2442,21789887.2,21789887.2
2,2021-08-27,0.2255,0.2434,0.2154,0.2371,0.2255,0.2434,0.2154,0.2371,24968473.0,24968473.0
3,2021-08-26,0.25216,0.25809,0.2221,0.2256,0.25216,0.25809,0.2221,0.2256,19557373.2,19557373.2
4,2021-08-25,0.24437,0.26671,0.22925,0.25177,0.24437,0.26671,0.22925,0.25177,41759543.0,41759543.0
5,2021-08-24,0.26186,0.27536,0.24,0.24467,0.26186,0.27536,0.24,0.24467,22005215.1,22005215.1
6,2021-08-23,0.25867,0.27727,0.25381,0.26186,0.25867,0.27727,0.25381,0.26186,28529633.6,28529633.6
7,2021-08-22,0.25445,0.25908,0.24317,0.25893,0.25445,0.25908,0.24317,0.25893,28078588.2,28078588.2
8,2021-08-21,0.25221,0.27145,0.24584,0.2544,0.25221,0.27145,0.24584,0.2544,33077224.6,33077224.6
9,2021-08-20,0.24616,0.25944,0.23952,0.25221,0.24616,0.25944,0.23952,0.25221,26904599.3,26904599.3
10,2021-08-19,0.22124,0.25282,0.21728,0.246,0.22124,0.25282,0.21728,0.246,39268752.9,39268752.9
11,2021-08-18,0.22472,0.23486,0.20722,0.22091,0.22472,0.23486,0.20722,0.22091,25804563.7,25804563.7
12,2021-08-17,0.23524,0.256,0.22032,0.22516,0.23524,0.256,0.22032,0.22516,40097248.4,40097248.4
13,2021-08-16,0.24382,0.2583,0.2312,0.23552,0.24382,0.2583,0.2312,0.23552,39487612.7,39487612.7
14,2021-08-15,0.23053,0.25402,0.22677,0.24376,0.23053,0.25402,0.22677,0.24376,41572603.3,41572603.3
15,2021-08-14,0.2334,0.2405,0.22,0.23045,0.2334,0.2405,0.22,0.23045,30564598.7,30564598.7
16,2021-08-13,0.22926,0.2407,0.22132,0.2334,0.22926,0.2407,0.22132,0.2334,39342933.3,39342933.3
17,2021-08-12,0.20977,0.23178,0.20096,0.22885,0.20977,0.23178,0.20096,0.22885,40756430.4,40756430.4
18,2021-08-11,0.19801,0.22877,0.19801,0.20995,0.19801,0.22877,0.19801,0.20995,48257321.0,48257321.0
19,2021-08-10,0.1911,0.20705,0.18662,0.1977,0.1911,0.20705,0.18662,0.1977,55728383.5,55728383.5
20,2021-08-09,0.17783,0.1939,0.17135,0.1911,0.17783,0.1939,0.17135,0.1911,31735198.4,31735198.4
21,2021-08-08,0.19305,0.19465,0.17486,0.17784,0.19305,0.19465,0.17486,0.17784,16770642.8,16770642.8
22,2021-08-07,0.18812,0.20122,0.18265,0.19325,0.18812,0.20122,0.18265,0.19325,28735996.4,28735996.4
23,2021-08-06,0.18378,0.19551,0.17931,0.18812,0.18378,0.19551,0.17931,0.18812,25937602.1,25937602.1
24,2021-08-05,0.17347,0.1857,0.16973,0.18343,0.17347,0.1857,0.16973,0.18343,26507777.3,26507777.3
25,2021-08-04,0.17198,0.18084,0.16768,0.17336,0.17198,0.18084,0.16768,0.17336,25896662.9,25896662.9
26,2021-08-03,0.17087,0.17433,0.15763,0.17182,0.17087,0.17433,0.15763,0.17182,23283469.6,23283469.6
27,2021-08-02,0.165,0.17489,0.1621,0.17091,0.165,0.17489,0.1621,0.17091,24522048.6,24522048.6
28,2021-08-01,0.17194,0.18807,0.15925,0.165,0.17194,0.18807,0.15925,0.165,52886733.7,52886733.7
29,2021-07-31,0.16755,0.1767,0.16085,0.17153,0.16755,0.1767,0.16085,0.17153,25497869.1,25497869.1
30,2021-07-30,0.16362,0.16895,0.1541,0.16711,0.16362,0.16895,0.1541,0.16711,21933007.4,21933007.4
31,2021-07-29,0.15844,0.16531,0.15318,0.16365,0.15844,0.16531,0.15318,0.16365,35846633.3,35846633.3
32,2021-07-28,0.15443,0.16561,0.15063,0.15838,0.15443,0.16561,0.15063,0.15838,34910439.1,34910439.1
33,2021-07-27,0.14851,0.15979,0.14328,0.1545,0.14851,0.15979,0.14328,0.1545,35407458.6,35407458.6
34,2021-07-26,0.14652,0.178,0.14577,0.14871,0.14652,0.178,0.14577,0.14871,85637383.8,85637383.8
35,2021-07-25,0.14925,0.1535,0.14232,0.14653,0.14925,0.1535,0.14232,0.14653,37180264.6,37180264.6
36,2021-07-24,0.15049,0.162,0.14725,0.14923,0.15049,0.162,0.14725,0.14923,52820879.2,52820879.2
37,2021-07-23,0.13794,0.15649,0.13522,0.15025,0.13794,0.15649,0.13522,0.15025,69564073.4,69564073.4
38,2021-07-22,0.12838,0.14395,0.12641,0.13766,0.12838,0.14395,0.12641,0.13766,36480168.3,36480168.3
39,2021-07-21,0.11737,0.13278,0.1135,0.12851,0.11737,0.13278,0.1135,0.12851,25319109.4,25319109.4
40,2021-07-20,0.12559,0.12783,0.1105,0.1171,0.12559,0.12783,0.1105,0.1171,22365570.9,22365570.9
41,2021-07-19,0.13663,0.13692,0.12425,0.12541,0.13663,0.13692,0.12425,0.12541,21680936.2,21680936.2
42,2021-07-18,0.13181,0.1409,0.13116,0.13649,0.13181,0.1409,0.13116,0.13649,17344704.3,17344704.3
43,2021-07-17,0.1324,0.13851,0.12977,0.13181,0.1324,0.13851,0.12977,0.13181,31497290.2,31497290.2
44,2021-07-16,0.14941,0.15564,0.13203,0.13234,0.14941,0.15564,0.13203,0.13234,39581107.5,39581107.5
45,2021-07-15,0.14133,0.16831,0.13828,0.1494,0.14133,0.16831,0.13828,0.1494,106026247.0,106026247.0
46,2021-07-14,0.13856,0.14267,0.1294,0.14124,0.13856,0.14267,0.1294,0.14124,20335626.8,20335626.8
47,2021-07-13,0.14414,0.14729,0.13636,0.1385,0.14414,0.14729,0.13636,0.1385,26002232.1,26002232.1
48,2021-07-12,0.14622,0.14932,0.14036,0.14423,0.14622,0.14932,0.14036,0.14423,29646701.7,29646701.7
49,2021-07-11,0.14354,0.15186,0.14011,0.14612,0.14354,0.15186,0.14011,0.14612,35649270.2,35649270.2
50,2021-07-10,0.14797,0.1513,0.13877,0.14337,0.14797,0.1513,0.13877,0.14337,26778468.8,26778468.8
51,2021-07-09,0.14758,0.15,0.13806,0.14781,0.14758,0.15,0.13806,0.14781,20983312.8,20983312.8
52,2021-07-08,0.16776,0.1689,0.14336,0.14795,0.16776,0.1689,0.14336,0.14795,38177751.0,38177751.0
53,2021-07-07,0.15557,0.18147,0.15367,0.1677,0.15557,0.18147,0.15367,0.1677,60677106.1,60677106.1
54,2021-07-06,0.14715,0.16,0.14686,0.15522,0.14715,0.16,0.14686,0.15522,33607307.4,33607307.4
55,2021-07-05,0.15098,0.15204,0.14027,0.14712,0.15098,0.15204,0.14027,0.14712,23129934.8,23129934.8
56,2021-07-04,0.15364,0.15989,0.14838,0.15106,0.15364,0.15989,0.14838,0.15106,33386292.5,33386292.5
57,2021-07-03,0.13979,0.15855,0.13624,0.15345,0.13979,0.15855,0.13624,0.15345,47562773.7,47562773.7
58,2021-07-02,0.13779,0.14384,0.13032,0.13979,0.13779,0.14384,0.13032,0.13979,20170431.4,20170431.4
59,2021-07-01,0.14869,0.15112,0.13466,0.13814,0.14869,0.15112,0.13466,0.13814,20155347.2,20155347.2
60,2021-06-30,0.15336,0.158,0.13809,0.14844,0.15336,0.158,0.13809,0.14844,18916399.8,18916399.8
61,2021-06-29,0.13995,0.15515,0.13821,0.15347,0.13995,0.15515,0.13821,0.15347,24056900.6,24056900.6
62,2021-06-28,0.13299,0.1431,0.13122,0.13979,0.13299,0.1431,0.13122,0.13979,21619258.7,21619258.7
63,2021-06-27,0.1272,0.1342,0.12148,0.13225,0.1272,0.1342,0.12148,0.13225,16209554.8,16209554.8
64,2021-06-26,0.1297,0.13483,0.12002,0.12695,0.1297,0.13483,0.12002,0.12695,19499481.9,19499481.9
65,2021-06-25,0.14473,0.14868,0.12649,0.12985,0.14473,0.14868,0.12649,0.12985,15751365.4,15751365.4
66,2021-06-24,0.13713,0.15024,0.1299,0.14391,0.13713,0.15024,0.1299,0.14391,16893849.4,16893849.4
67,2021-06-23,0.12809,0.147,0.12094,0.1369,0.12809,0.147,0.12094,0.1369,21350845.8,21350845.8
68,2021-06-22,0.13185,0.14449,0.10819,0.12737,0.13185,0.14449,0.10819,0.12737,30726487.4,30726487.4
