,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,2.8376,2.8733,2.8168,2.8448,2.8376,2.8733,2.8168,2.8448,5694.43,5694.43
1,2021-07-21,2.5828,2.8872,2.5333,2.8319,2.5828,2.8872,2.5333,2.8319,325403.65,325403.65
2,2021-07-20,2.6802,2.7058,2.4902,2.5837,2.6802,2.7058,2.4902,2.5837,305281.01,305281.01
3,2021-07-19,2.7912,2.8091,2.6545,2.6775,2.7912,2.8091,2.6545,2.6775,179281.98,179281.98
4,2021-07-18,2.8031,2.9102,2.758,2.7979,2.8031,2.9102,2.758,2.7979,105417.14,105417.14
5,2021-07-17,2.7842,2.8434,2.7573,2.8019,2.7842,2.8434,2.7573,2.8019,142135.28,142135.28
6,2021-07-16,2.8971,2.9819,2.7739,2.7876,2.8971,2.9819,2.7739,2.7876,181645.25,181645.25
7,2021-07-15,3.034,3.0946,2.8454,2.896,3.034,3.0946,2.8454,2.896,179404.8,179404.8
8,2021-07-14,2.9937,3.0826,2.8735,3.0326,2.9937,3.0826,2.8735,3.0326,211760.48,211760.48
9,2021-07-13,3.0889,3.1324,2.9643,2.9949,3.0889,3.1324,2.9643,2.9949,185512.9,185512.9
10,2021-07-12,3.234,3.2856,3.0421,3.093,3.234,3.2856,3.0421,3.093,273809.69,273809.69
11,2021-07-11,3.2023,3.2822,3.1611,3.2316,3.2023,3.2822,3.1611,3.2316,110341.32,110341.32
12,2021-07-10,3.2455,3.3059,3.1397,3.1897,3.2455,3.3059,3.1397,3.1897,178911.49,178911.49
13,2021-07-09,3.1695,3.2708,3.082,3.2398,3.1695,3.2708,3.082,3.2398,181739.91,181739.91
14,2021-07-08,3.4182,3.4382,3.1152,3.1791,3.4182,3.4382,3.1152,3.1791,383657.11,383657.11
15,2021-07-07,3.4131,3.555,3.3731,3.4223,3.4131,3.555,3.3731,3.4223,267555.27,267555.27
16,2021-07-06,3.2472,3.4983,3.2463,3.4208,3.2472,3.4983,3.2463,3.4208,587701.15,587701.15
17,2021-07-05,3.3796,3.3796,3.1825,3.2495,3.3796,3.3796,3.1825,3.2495,523980.74,523980.74
18,2021-07-04,3.271,3.5,3.2075,3.3796,3.271,3.5,3.2075,3.3796,610907.67,610907.67
19,2021-07-03,3.1979,3.2899,3.1222,3.268,3.1979,3.2899,3.1222,3.268,328181.03,328181.03
20,2021-07-02,3.168,3.2119,3.0453,3.1962,3.168,3.2119,3.0453,3.1962,619252.92,619252.92
21,2021-07-01,3.3538,3.3587,3.1146,3.1679,3.3538,3.3587,3.1146,3.1679,687961.33,687961.33
22,2021-06-30,3.2835,3.3777,3.134,3.3596,3.2835,3.3777,3.134,3.3596,1076593.52,1076593.52
23,2021-06-29,3.1345,3.5554,3.1231,3.2836,3.1345,3.5554,3.1231,3.2836,2792531.27,2792531.27
24,2021-06-28,3.0588,3.1952,3.0164,3.1272,3.0588,3.1952,3.0164,3.1272,779562.22,779562.22
25,2021-06-27,2.8735,3.0645,2.8351,3.0632,2.8735,3.0645,2.8351,3.0632,547430.35,547430.35
26,2021-06-26,2.8567,2.9173,2.7181,2.8719,2.8567,2.9173,2.7181,2.8719,1242665.12,1242665.12
27,2021-06-25,3.1364,3.1937,2.8198,2.8582,3.1364,3.1937,2.8198,2.8582,1212742.81,1212742.81
28,2021-06-24,3.09,3.1912,2.9546,3.1364,3.09,3.1912,2.9546,3.1364,611006.13,611006.13
29,2021-06-23,2.9267,3.2052,2.8516,3.0908,2.9267,3.2052,2.8516,3.0908,613208.37,613208.37
30,2021-06-22,2.9678,3.1416,2.66,2.9259,2.9678,3.1416,2.66,2.9259,1147238.75,1147238.75
31,2021-06-21,3.5389,3.5496,2.9148,2.9645,3.5389,3.5496,2.9148,2.9645,1324383.12,1324383.12
32,2021-06-20,3.4574,3.571,3.2675,3.5347,3.4574,3.571,3.2675,3.5347,871310.1,871310.1
33,2021-06-19,3.5359,3.6032,3.4182,3.4574,3.5359,3.6032,3.4182,3.4574,876845.83,876845.83
34,2021-06-18,3.7906,3.7963,3.4264,3.5371,3.7906,3.7963,3.4264,3.5371,776432.28,776432.28
35,2021-06-17,3.7922,3.9418,3.7173,3.7876,3.7922,3.9418,3.7173,3.7876,725579.78,725579.78
36,2021-06-16,4.0069,4.3991,3.7524,3.792,4.0069,4.3991,3.7524,3.792,836820.88,836820.88
37,2021-06-15,4.0634,4.1668,3.9731,4.0102,4.0634,4.1668,3.9731,4.0102,502876.46,502876.46
38,2021-06-14,3.955,4.0974,3.9081,4.0629,3.955,4.0974,3.9081,4.0629,612356.77,612356.77
39,2021-06-13,3.7394,3.9873,3.6438,3.9551,3.7394,3.9873,3.6438,3.9551,526444.53,526444.53
40,2021-06-12,3.7946,3.8397,3.6042,3.7395,3.7946,3.8397,3.6042,3.7395,596317.89,596317.89
41,2021-06-11,4.0302,4.0769,3.7432,3.7944,4.0302,4.0769,3.7432,3.7944,531477.68,531477.68
42,2021-06-10,4.2633,4.2848,3.9795,4.0301,4.2633,4.2848,3.9795,4.0301,678508.49,678508.49
43,2021-06-09,4.1032,4.3206,3.9276,4.2591,4.1032,4.3206,3.9276,4.2591,1211370.27,1211370.27
44,2021-06-08,4.1773,4.2219,3.7512,4.1032,4.1773,4.2219,3.7512,4.1032,849841.97,849841.97
45,2021-06-07,4.4761,4.6447,4.1748,4.1811,4.4761,4.6447,4.1748,4.1811,445168.64,445168.64
46,2021-06-06,4.4258,4.5754,4.3996,4.4776,4.4258,4.5754,4.3996,4.4776,965767.73,965767.73
47,2021-06-05,4.564,4.78,4.31,4.427,4.564,4.78,4.31,4.427,463950.98,463950.98
48,2021-06-04,4.9083,4.9083,4.3545,4.5574,4.9083,4.9083,4.3545,4.5574,558597.14,558597.14
49,2021-06-03,4.6964,4.9732,4.6373,4.9016,4.6964,4.9732,4.6373,4.9016,624483.87,624483.87
50,2021-06-02,4.6406,4.8355,4.5125,4.6952,4.6406,4.8355,4.5125,4.6952,367544.41,367544.41
