,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,1.0,1.0001,0.9999,0.9999,1.0,1.0001,0.9999,0.9999,27528094.26,27528094.26
1,2021-07-21,0.9999,1.0002,0.9998,1.0,0.9999,1.0002,0.9998,1.0,797402433.2899998,797402433.2899998
2,2021-07-20,1.0,1.0002,0.9998,0.9999,1.0,1.0002,0.9998,0.9999,506883123.53,506883123.53
3,2021-07-19,1.0,1.0006,0.9999,1.0,1.0,1.0006,0.9999,1.0,622754712.09,622754712.09
4,2021-07-18,0.9998,1.0,0.9998,0.9999,0.9998,1.0,0.9998,0.9999,290302331.15,290302331.15
5,2021-07-17,0.9998,1.0,0.9998,0.9998,0.9998,1.0,0.9998,0.9998,332790917.44,332790917.44
6,2021-07-16,1.0002,1.0002,0.9998,0.9999,1.0002,1.0002,0.9998,0.9999,533678603.31,533678603.31
7,2021-07-15,1.0,1.0004,0.9998,1.0002,1.0,1.0004,0.9998,1.0002,740398506.97,740398506.97
8,2021-07-14,1.0001,1.0002,0.9999,1.0,1.0001,1.0002,0.9999,1.0,555584525.3,555584525.3
9,2021-07-13,0.9999,1.0002,0.9997,1.0,0.9999,1.0002,0.9997,1.0,681270019.92,681270019.92
10,2021-07-12,1.0,1.0001,0.9999,0.9999,1.0,1.0001,0.9999,0.9999,587897254.94,587897254.94
11,2021-07-11,0.9999,1.0001,0.9999,0.9999,0.9999,1.0001,0.9999,0.9999,314979687.86,314979687.86
12,2021-07-10,1.0001,1.0001,0.9999,1.0,1.0001,1.0001,0.9999,1.0,351513512.84,351513512.84
13,2021-07-09,0.9999,1.0001,0.9998,1.0001,0.9999,1.0001,0.9998,1.0001,515696923.84,515696923.84
14,2021-07-08,0.9998,1.0,0.9996,0.9999,0.9998,1.0,0.9996,0.9999,630116895.11,630116895.11
15,2021-07-07,0.9999,1.0,0.9996,0.9998,0.9999,1.0,0.9996,0.9998,559006931.02,559006931.02
16,2021-07-06,0.9997,1.0,0.9996,0.9999,0.9997,1.0,0.9996,0.9999,650004034.42,650004034.42
17,2021-07-05,0.9999,1.0,0.9997,0.9997,0.9999,1.0,0.9997,0.9997,441413822.78,441413822.78
