,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,414.0,417.5,411.8,417.0,414.0,417.5,411.8,417.0,848.348,848.348
1,2021-08-28,421.2,426.2,410.2,413.7,421.2,426.2,410.2,413.7,28514.35294,28514.35294
2,2021-08-27,405.2,425.5,389.7,421.2,405.2,425.5,389.7,421.2,47687.15844,47687.15844
3,2021-08-26,435.25,439.23,400.1,405.0,435.25,439.23,400.1,405.0,37187.9399,37187.9399
4,2021-08-25,422.76,438.36,411.01,435.49,422.76,438.36,411.01,435.49,43036.83218,43036.83218
5,2021-08-24,465.41,470.29,412.01,423.0,465.41,470.29,412.01,423.0,85743.28705,85743.28705
6,2021-08-23,459.71,484.99,455.71,465.38,459.71,484.99,455.71,465.38,115548.75334,115548.75334
7,2021-08-22,462.4,482.74,446.26,459.89,462.4,482.74,446.26,459.89,60658.79184,60658.79184
8,2021-08-21,479.94,483.93,455.63,462.4,479.94,483.93,455.63,462.4,69308.16356,69308.16356
9,2021-08-20,458.17,507.99,451.96,479.9,458.17,507.99,451.96,479.9,74405.8393,74405.8393
10,2021-08-19,435.73,458.19,419.29,457.94,435.73,458.19,419.29,457.94,56039.24687,56039.24687
11,2021-08-18,447.13,459.68,420.0,435.51,447.13,459.68,420.0,435.51,86146.6257,86146.6257
12,2021-08-17,469.38,517.15,441.15,447.33,469.38,517.15,441.15,447.33,110263.79156,110263.79156
13,2021-08-16,488.77,529.53,467.77,469.34,488.77,529.53,467.77,469.34,125225.24789,125225.24789
14,2021-08-15,476.97,491.72,446.71,488.95,476.97,491.72,446.71,488.95,72658.43211,72658.43211
15,2021-08-14,483.76,485.79,454.71,477.0,483.76,485.79,454.71,477.0,56748.33065,56748.33065
16,2021-08-13,453.84,484.54,450.03,483.69,453.84,484.54,450.03,483.69,41333.74898,41333.74898
17,2021-08-12,467.65,482.43,440.18,454.01,467.65,482.43,440.18,454.01,66004.45672,66004.45672
18,2021-08-11,472.92,497.89,464.23,467.7,472.92,497.89,464.23,467.7,68324.80516,68324.80516
19,2021-08-10,466.89,485.1,459.31,472.58,466.89,485.1,459.31,472.58,41716.79697,41716.79697
20,2021-08-09,466.99,489.32,444.42,466.99,466.99,489.32,444.42,466.99,43879.87012,43879.87012
21,2021-08-08,507.49,512.71,456.67,467.09,507.49,512.71,456.67,467.09,40215.71946,40215.71946
22,2021-08-07,466.75,508.0,460.92,507.89,466.75,508.0,460.92,507.89,84382.94631,84382.94631
23,2021-08-06,475.63,485.0,449.93,466.65,475.63,485.0,449.93,466.65,57077.61713,57077.61713
24,2021-08-05,464.5,496.0,436.69,475.65,464.5,496.0,436.69,475.65,132477.67539,132477.67539
25,2021-08-04,396.65,472.8,391.15,464.42,396.65,472.8,391.15,464.42,103324.86482,103324.86482
26,2021-08-03,407.4,408.8,385.23,396.65,407.4,408.8,385.23,396.65,44399.99201,44399.99201
27,2021-08-02,409.07,426.86,393.08,407.26,409.07,426.86,393.08,407.26,66287.94734,66287.94734
28,2021-08-01,405.74,425.0,392.23,409.03,405.74,425.0,392.23,409.03,56147.16535,56147.16535
29,2021-07-31,404.31,409.88,391.79,405.81,404.31,409.88,391.79,405.81,37445.09167,37445.09167
30,2021-07-30,396.69,412.28,381.89,403.98,396.69,412.28,381.89,403.98,58135.96215,58135.96215
31,2021-07-29,388.33,401.96,378.39,396.49,388.33,401.96,378.39,396.49,46481.04033,46481.04033
32,2021-07-28,392.52,400.0,380.71,388.49,392.52,400.0,380.71,388.49,49480.94263,49480.94263
33,2021-07-27,391.83,408.2,375.7,392.64,391.83,408.2,375.7,392.64,85641.46349,85641.46349
34,2021-07-26,391.12,438.32,385.0,392.09,391.12,438.32,385.0,392.09,131489.86113,131489.86113
35,2021-07-25,409.52,412.84,370.0,391.35,409.52,412.84,370.0,391.35,79782.87504,79782.87504
36,2021-07-24,417.89,428.5,401.68,409.31,417.89,428.5,401.68,409.31,68781.17949,68781.17949
37,2021-07-23,414.05,427.0,385.78,417.56,414.05,427.0,385.78,417.56,79120.75072,79120.75072
38,2021-07-22,376.94,415.25,368.49,414.2,376.94,415.25,368.49,414.2,108526.74771,108526.74771
39,2021-07-21,349.91,399.0,338.74,376.89,349.91,399.0,338.74,376.89,99118.49419,99118.49419
40,2021-07-20,340.5,360.9,310.0,349.56,340.5,360.9,310.0,349.56,87857.92379,87857.92379
41,2021-07-19,379.41,379.93,334.6,340.04,379.41,379.93,334.6,340.04,86188.68199,86188.68199
42,2021-07-18,378.9,398.95,371.32,379.37,378.9,398.95,371.32,379.37,46954.16365,46954.16365
43,2021-07-17,368.09,388.99,365.2,379.1,368.09,388.99,365.2,379.1,44446.40647,44446.40647
44,2021-07-16,398.9,409.9,366.67,368.09,398.9,409.9,366.67,368.09,60864.32328,60864.32328
45,2021-07-15,410.11,431.52,392.65,398.79,410.11,431.52,392.65,398.79,142539.43665,142539.43665
46,2021-07-14,387.64,424.66,358.51,410.51,387.64,424.66,358.51,410.51,95737.89989,95737.89989
47,2021-07-13,412.1,418.0,381.11,387.31,412.1,418.0,381.11,387.31,55500.80762,55500.80762
48,2021-07-12,436.62,444.52,401.91,412.34,436.62,444.52,401.91,412.34,62710.33572,62710.33572
49,2021-07-11,423.1,457.82,414.29,436.65,423.1,457.82,414.29,436.65,78271.4692,78271.4692
50,2021-07-10,434.18,448.96,408.8,423.35,434.18,448.96,408.8,423.35,94436.33699,94436.33699
51,2021-07-09,414.67,441.27,386.7,434.18,414.67,441.27,386.7,434.18,120471.55939,120471.55939
52,2021-07-08,441.51,445.74,408.43,414.83,441.51,445.74,408.43,414.83,138677.91063,138677.91063
53,2021-07-07,481.23,493.0,434.41,441.47,481.23,493.0,434.41,441.47,150139.6649,150139.6649
54,2021-07-06,492.43,530.98,462.51,481.55,492.43,530.98,462.51,481.55,239428.82404,239428.82404
55,2021-07-05,443.72,520.25,412.99,492.32,443.72,520.25,412.99,492.32,320467.18234,320467.18234
56,2021-07-04,380.87,464.72,368.43,443.98,380.87,464.72,368.43,443.98,178068.46446,178068.46446
57,2021-07-03,368.17,386.91,362.41,380.61,368.17,386.91,362.41,380.61,128546.08082,128546.08082
58,2021-07-02,331.95,369.04,307.0,368.5,331.95,369.04,307.0,368.5,137314.07381,137314.07381
