,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.1231,0.1253,0.1227,0.1241,0.1231,0.1253,0.1227,0.1241,139936.75,139936.75
1,2021-07-21,0.1136,0.1314,0.1106,0.1236,0.1136,0.1314,0.1106,0.1236,20841086.7,20841086.7
2,2021-07-20,0.1241,0.1253,0.1104,0.1138,0.1241,0.1253,0.1104,0.1138,6875992.17,6875992.17
3,2021-07-19,0.1401,0.1454,0.1236,0.1242,0.1401,0.1454,0.1236,0.1242,11740844.2,11740844.2
4,2021-07-18,0.1379,0.153,0.1347,0.1412,0.1379,0.153,0.1347,0.1412,41196392.78,41196392.78
5,2021-07-17,0.139,0.1459,0.1372,0.1379,0.139,0.1459,0.1372,0.1379,8304332.95,8304332.95
6,2021-07-16,0.1422,0.1478,0.1348,0.139,0.1422,0.1478,0.1348,0.139,13448535.1,13448535.1
7,2021-07-15,0.1535,0.1552,0.1389,0.1424,0.1535,0.1552,0.1389,0.1424,9668450.51,9668450.51
8,2021-07-14,0.1582,0.1585,0.1421,0.1536,0.1582,0.1585,0.1421,0.1536,9593150.67,9593150.67
9,2021-07-13,0.1484,0.1644,0.145,0.1581,0.1484,0.1644,0.145,0.1581,18807029.33,18807029.33
10,2021-07-12,0.1484,0.152,0.1437,0.148,0.1484,0.152,0.1437,0.148,4462228.87,4462228.87
11,2021-07-11,0.1445,0.1567,0.1437,0.1484,0.1445,0.1567,0.1437,0.1484,14911616.69,14911616.69
12,2021-07-10,0.1453,0.1491,0.1395,0.1448,0.1453,0.1491,0.1395,0.1448,4182421.92,4182421.92
13,2021-07-09,0.1421,0.151,0.14,0.1456,0.1421,0.151,0.14,0.1456,11672221.22,11672221.22
14,2021-07-08,0.1516,0.1519,0.1386,0.1422,0.1516,0.1519,0.1386,0.1422,15809782.19,15809782.19
15,2021-07-07,0.1562,0.1634,0.1509,0.1512,0.1562,0.1634,0.1509,0.1512,9202998.08,9202998.08
16,2021-07-06,0.1479,0.1609,0.1472,0.1564,0.1479,0.1609,0.1472,0.1564,9785111.69,9785111.69
17,2021-07-05,0.153,0.1537,0.1406,0.1475,0.153,0.1537,0.1406,0.1475,9932599.84,9932599.84
18,2021-07-04,0.1531,0.1582,0.1479,0.1527,0.1531,0.1582,0.1479,0.1527,5625024.87,5625024.87
19,2021-07-03,0.1541,0.163,0.1495,0.1533,0.1541,0.163,0.1495,0.1533,11727664.57,11727664.57
20,2021-07-02,0.1519,0.1595,0.1422,0.154,0.1519,0.1595,0.1422,0.154,29457325.46,29457325.46
21,2021-07-01,0.1558,0.1627,0.149,0.1522,0.1558,0.1627,0.149,0.1522,12674805.25,12674805.25
