,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.0018173,0.0018485,0.0018005,0.0018253,0.0018173,0.0018485,0.0018005,0.0018253,257019613.0,257019613.0
1,2021-07-21,0.0016172,0.0018978,0.001561,0.0018176,0.0016172,0.0018978,0.001561,0.0018176,7724079180.0,7724079180.0
2,2021-07-20,0.0017929,0.0018251,0.0015606,0.0016164,0.0017929,0.0018251,0.0015606,0.0016164,5643252932.0,5643252932.0
3,2021-07-19,0.0019001,0.001924,0.0017723,0.0017918,0.0019001,0.001924,0.0017723,0.0017918,3625805097.0,3625805097.0
4,2021-07-18,0.001927,0.0020539,0.0018729,0.0018978,0.001927,0.0020539,0.0018729,0.0018978,4630374571.0,4630374571.0
5,2021-07-17,0.0018754,0.0020126,0.0018324,0.001927,0.0018754,0.0020126,0.0018324,0.001927,5953684199.0,5953684199.0
6,2021-07-16,0.0020126,0.0020642,0.0018635,0.001877,0.0020126,0.0020642,0.0018635,0.001877,4989619183.0,4989619183.0
7,2021-07-15,0.0020846,0.0021375,0.0019612,0.0020136,0.0020846,0.0021375,0.0019612,0.0020136,5473849178.0,5473849178.0
8,2021-07-14,0.0021259,0.0021341,0.0019835,0.0020846,0.0021259,0.0021341,0.0019835,0.0020846,4660712263.0,4660712263.0
9,2021-07-13,0.0022262,0.0022388,0.0020802,0.0021256,0.0022262,0.0022388,0.0020802,0.0021256,3527423590.0,3527423590.0
10,2021-07-12,0.0022819,0.0023373,0.002185,0.0022262,0.0022819,0.0023373,0.002185,0.0022262,3807156362.0,3807156362.0
11,2021-07-11,0.0022578,0.0023419,0.0022104,0.0022795,0.0022578,0.0023419,0.0022104,0.0022795,3211382284.0,3211382284.0
12,2021-07-10,0.0022922,0.0023899,0.0022009,0.0022555,0.0022922,0.0023899,0.0022009,0.0022555,2742853587.0,2742853587.0
13,2021-07-09,0.0022663,0.0023319,0.0021268,0.0022935,0.0022663,0.0023319,0.0021268,0.0022935,3173944386.0,3173944386.0
14,2021-07-08,0.0024348,0.0024425,0.0022093,0.0022679,0.0024348,0.0024425,0.0022093,0.0022679,5288473195.0,5288473195.0
15,2021-07-07,0.0023949,0.0025475,0.0023686,0.0024413,0.0023949,0.0025475,0.0023686,0.0024413,5347095656.0,5347095656.0
16,2021-07-06,0.002343,0.0025046,0.0023308,0.0023954,0.002343,0.0025046,0.0023308,0.0023954,5704120106.0,5704120106.0
17,2021-07-05,0.002512,0.00263,0.0023101,0.0023422,0.002512,0.00263,0.0023101,0.0023422,5754997842.0,5754997842.0
18,2021-07-04,0.0024576,0.0025981,0.00237,0.002515,0.0024576,0.0025981,0.00237,0.002515,4299405188.0,4299405188.0
19,2021-07-03,0.002383,0.002495,0.0023061,0.0024589,0.002383,0.002495,0.0023061,0.0024589,3818682301.0,3818682301.0
20,2021-07-02,0.0023708,0.0024194,0.0022502,0.0023811,0.0023708,0.0024194,0.0022502,0.0023811,5426768100.0,5426768100.0
21,2021-07-01,0.0026366,0.0026389,0.0023039,0.0023708,0.0026366,0.0026389,0.0023039,0.0023708,6071148703.0,6071148703.0
22,2021-06-30,0.0026733,0.0027533,0.002376,0.0026347,0.0026733,0.0027533,0.002376,0.0026347,8070670707.0,8070670707.0
23,2021-06-29,0.0023254,0.002814,0.002317,0.0026733,0.0023254,0.002814,0.002317,0.0026733,9883128744.0,9883128744.0
24,2021-06-28,0.0023413,0.002423,0.0022569,0.0023282,0.0023413,0.002423,0.0022569,0.0023282,6769225599.0,6769225599.0
25,2021-06-27,0.0022299,0.0023515,0.002175,0.0023389,0.0022299,0.0023515,0.002175,0.0023389,5571654961.0,5571654961.0
26,2021-06-26,0.0021805,0.00226,0.0020251,0.0022289,0.0021805,0.00226,0.0020251,0.0022289,8922437221.0,8922437221.0
27,2021-06-25,0.002484,0.0025624,0.0021475,0.0021788,0.002484,0.0025624,0.0021475,0.0021788,6182755422.0,6182755422.0
28,2021-06-24,0.0023071,0.0025496,0.0021881,0.0024799,0.0023071,0.0025496,0.0021881,0.0024799,6692401651.0,6692401651.0
29,2021-06-23,0.0021398,0.0025516,0.00205,0.0023057,0.0021398,0.0025516,0.00205,0.0023057,8814866211.0,8814866211.0
30,2021-06-22,0.0023431,0.0025157,0.0017835,0.00214,0.0023431,0.0025157,0.0017835,0.00214,13980993807.0,13980993807.0
31,2021-06-21,0.0029583,0.0029897,0.002279,0.0023432,0.0029583,0.0029897,0.002279,0.0023432,8937657755.0,8937657755.0
32,2021-06-20,0.0030016,0.0030288,0.0026807,0.0029595,0.0030016,0.0030288,0.0026807,0.0029595,5730870025.0,5730870025.0
33,2021-06-19,0.00308,0.0031471,0.0029742,0.0029999,0.00308,0.0031471,0.0029742,0.0029999,3495150459.0,3495150459.0
34,2021-06-18,0.0033808,0.0033832,0.0029743,0.0030728,0.0033808,0.0033832,0.0029743,0.0030728,6363135864.0,6363135864.0
35,2021-06-17,0.0033925,0.0035085,0.0032279,0.0033808,0.0033925,0.0035085,0.0032279,0.0033808,4646696849.0,4646696849.0
36,2021-06-16,0.0034982,0.0037208,0.00334,0.0033925,0.0034982,0.0037208,0.00334,0.0033925,8345568419.0,8345568419.0
37,2021-06-15,0.0034464,0.0035942,0.0033842,0.0034982,0.0034464,0.0035942,0.0033842,0.0034982,6905708285.0,6905708285.0
38,2021-06-14,0.0033994,0.0036001,0.003279,0.0034484,0.0033994,0.0036001,0.003279,0.0034484,6759288621.0,6759288621.0
39,2021-06-13,0.00311,0.0035241,0.0030246,0.0033995,0.00311,0.0035241,0.0030246,0.0033995,6185361251.0,6185361251.0
