,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,25.96,26.25,25.86,26.17,25.96,26.25,25.86,26.17,247858.19,247858.19
1,2021-08-28,26.53,26.76,25.4,25.96,26.53,26.76,25.4,25.96,6962096.43,6962096.43
2,2021-08-27,23.92,26.79,23.45,26.53,23.92,26.79,23.45,26.53,12760582.382,12760582.382
3,2021-08-26,25.982,26.4,23.46,23.92,25.982,26.4,23.46,23.92,12202094.793,12202094.793
4,2021-08-25,25.07,26.55,24.471,25.982,25.07,26.55,24.471,25.982,13580763.063,13580763.063
5,2021-08-24,27.876,28.172,24.351,25.067,27.876,28.172,24.351,25.067,15563782.332,15563782.332
6,2021-08-23,27.683,28.627,27.312,27.877,27.683,28.627,27.312,27.877,12452305.837,12452305.837
7,2021-08-22,27.861,28.52,26.5,27.685,27.861,28.52,26.5,27.685,12726834.131,12726834.131
8,2021-08-21,28.149,29.351,27.47,27.863,28.149,29.351,27.47,27.863,15380800.777,15380800.777
9,2021-08-20,26.579,28.477,26.066,28.149,26.579,28.477,26.066,28.149,18087062.298,18087062.298
10,2021-08-19,23.868,26.849,23.464,26.582,23.868,26.849,23.464,26.582,18955398.089,18955398.089
11,2021-08-18,23.548,25.183,22.5,23.868,23.548,25.183,22.5,23.868,20325842.456,20325842.456
12,2021-08-17,24.419,27.422,23.01,23.545,24.419,27.422,23.01,23.545,29082405.854,29082405.854
13,2021-08-16,23.15,25.699,22.821,24.432,23.15,25.699,22.821,24.432,23210244.18,23210244.18
14,2021-08-15,22.833,23.33,21.836,23.15,22.833,23.33,21.836,23.15,10311557.705,10311557.705
15,2021-08-14,22.723,23.488,21.771,22.835,22.723,23.488,21.771,22.835,12206858.981,12206858.981
16,2021-08-13,20.759,22.729,20.503,22.723,20.759,22.729,20.503,22.723,10079219.543,10079219.543
17,2021-08-12,21.346,22.314,19.9,20.755,21.346,22.314,19.9,20.755,13916627.074,13916627.074
18,2021-08-11,20.61,22.45,20.54,21.347,20.61,22.45,20.54,21.347,17980834.426,17980834.426
19,2021-08-10,20.566,21.419,20.08,20.616,20.566,21.419,20.08,20.616,13345048.98,13345048.98
20,2021-08-09,19.651,21.267,18.706,20.566,19.651,21.267,18.706,20.566,12450237.876,12450237.876
21,2021-08-08,20.963,21.205,19.192,19.65,20.963,21.205,19.192,19.65,11727291.345,11727291.345
22,2021-08-07,20.417,21.683,20.025,20.963,20.417,21.683,20.025,20.963,16386907.83,16386907.83
23,2021-08-06,19.124,20.8,18.522,20.416,19.124,20.8,18.522,20.416,17461334.492,17461334.492
24,2021-08-05,19.146,19.458,17.861,19.124,19.146,19.458,17.861,19.124,17528313.721,17528313.721
25,2021-08-04,17.426,19.584,17.094,19.15,17.426,19.584,17.094,19.15,17035350.579,17035350.579
26,2021-08-03,17.984,18.546,16.811,17.425,17.984,18.546,16.811,17.425,15066105.66,15066105.66
27,2021-08-02,18.418,18.938,17.555,17.984,18.418,18.938,17.555,17.984,17843839.093,17843839.093
28,2021-08-01,16.779,19.9,16.539,18.418,16.779,19.9,16.539,18.418,29839953.331,29839953.331
29,2021-07-31,15.791,17.018,15.58,16.784,15.791,17.018,15.58,16.784,12127994.279,12127994.279
30,2021-07-30,15.258,15.859,14.404,15.793,15.258,15.859,14.404,15.793,12163617.879,12163617.879
31,2021-07-29,14.542,15.391,14.257,15.254,14.542,15.391,14.257,15.254,16761635.313,16761635.313
32,2021-07-28,14.364,14.762,13.921,14.546,14.364,14.762,13.921,14.546,13296413.169,13296413.169
33,2021-07-27,13.924,14.54,13.349,14.365,13.924,14.54,13.349,14.365,16376850.101,16376850.101
34,2021-07-26,13.732,15.298,13.634,13.925,13.732,15.298,13.634,13.925,25704112.204,25704112.204
35,2021-07-25,13.759,13.827,13.085,13.734,13.759,13.827,13.085,13.734,10636601.766,10636601.766
36,2021-07-24,13.4,14.057,13.123,13.754,13.4,14.057,13.123,13.754,13352533.272,13352533.272
37,2021-07-23,13.154,13.52,12.321,13.401,13.154,13.52,12.321,13.401,14319244.955,14319244.955
38,2021-07-22,12.344,13.37,11.81,13.152,12.344,13.37,11.81,13.152,17109976.612,17109976.612
39,2021-07-21,10.962,12.861,10.673,12.343,10.962,12.861,10.673,12.343,20720488.404,20720488.404
40,2021-07-20,11.463,11.558,10.373,10.958,11.463,11.558,10.373,10.958,15411227.688,15411227.688
41,2021-07-19,12.648,12.735,11.354,11.46,12.648,12.735,11.354,11.46,13496594.169,13496594.169
42,2021-07-18,12.296,12.934,12.258,12.647,12.296,12.934,12.258,12.647,8943548.853,8943548.853
43,2021-07-17,12.025,12.742,11.71,12.294,12.025,12.742,11.71,12.294,12685758.457,12685758.457
44,2021-07-16,13.095,13.313,12.0,12.026,13.095,13.313,12.0,12.026,11747810.942,11747810.942
45,2021-07-15,13.798,14.108,12.739,13.095,13.798,14.108,12.739,13.095,11295460.335,11295460.335
46,2021-07-14,14.191,14.227,13.164,13.801,14.191,14.227,13.164,13.801,11240723.808,11240723.808
47,2021-07-13,14.845,15.099,14.011,14.19,14.845,15.099,14.011,14.19,7000669.871,7000669.871
48,2021-07-12,15.495,15.65,14.381,14.845,15.495,15.65,14.381,14.845,7384762.29,7384762.29
49,2021-07-11,15.277,15.708,15.138,15.495,15.277,15.708,15.138,15.495,5220591.256,5220591.256
50,2021-07-10,15.681,15.999,15.038,15.276,15.681,15.999,15.038,15.276,7361515.051,7361515.051
