,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,140.77,141.75,140.08,141.39,140.77,141.75,140.08,141.39,4917.68,4917.68
1,2021-08-28,140.91,144.0,137.9,140.71,140.91,144.0,137.9,140.71,122765.04,122765.04
2,2021-08-27,134.6,141.1,128.36,140.99,134.6,141.1,128.36,140.99,197890.8547,197890.8547
3,2021-08-26,138.96,145.94,132.8,134.63,138.96,145.94,132.8,134.63,229395.0545,229395.0545
4,2021-08-25,137.21,140.77,131.51,138.97,137.21,140.77,131.51,138.97,155473.5421,155473.5421
5,2021-08-24,149.0,151.86,133.02,137.41,149.0,151.86,133.02,137.41,207235.6666,207235.6666
6,2021-08-23,148.61,154.89,145.53,149.03,148.61,154.89,145.53,149.03,161194.4428,161194.4428
7,2021-08-22,148.93,152.5,140.99,148.65,148.93,152.5,140.99,148.65,212228.5808,212228.5808
8,2021-08-21,155.9,155.94,147.8,148.94,155.9,155.94,147.8,148.94,161132.9776,161132.9776
9,2021-08-20,146.15,159.9,143.02,155.86,146.15,159.9,143.02,155.86,356094.7847,356094.7847
10,2021-08-19,146.55,153.21,137.35,146.04,146.55,153.21,137.35,146.04,304819.2626,304819.2626
11,2021-08-18,140.05,152.75,128.36,146.43,140.05,152.75,128.36,146.43,436126.9908,436126.9908
12,2021-08-17,136.11,159.54,132.16,140.08,136.11,159.54,132.16,140.08,646369.6508,646369.6508
13,2021-08-16,136.62,142.36,132.1,136.14,136.62,142.36,132.1,136.14,231822.1875,231822.1875
14,2021-08-15,137.13,140.0,131.13,136.66,137.13,140.0,131.13,136.66,156355.3298,156355.3298
15,2021-08-14,138.17,141.4,134.58,137.23,138.17,141.4,134.58,137.23,144906.2091,144906.2091
16,2021-08-13,134.17,139.3,131.47,138.17,134.17,139.3,131.47,138.17,200100.5393,200100.5393
17,2021-08-12,135.16,142.77,123.65,134.22,135.16,142.77,123.65,134.22,439009.8511,439009.8511
18,2021-08-11,139.49,143.5,133.43,135.17,139.49,143.5,133.43,135.17,148586.1836,148586.1836
19,2021-08-10,134.23,142.8,132.46,139.5,134.23,142.8,132.46,139.5,207375.1366,207375.1366
20,2021-08-09,125.42,135.01,118.44,134.31,125.42,135.01,118.44,134.31,285328.9383,285328.9383
21,2021-08-08,117.9,129.0,114.77,125.46,117.9,129.0,114.77,125.46,298485.8827,298485.8827
22,2021-08-07,115.65,120.68,114.0,117.89,115.65,120.68,114.0,117.89,142639.9449,142639.9449
23,2021-08-06,109.0,120.89,107.02,115.64,109.0,120.89,107.02,115.64,473500.2491,473500.2491
24,2021-08-05,102.63,110.73,100.0,108.96,102.63,110.73,100.0,108.96,401259.6427,401259.6427
25,2021-08-04,97.86,103.64,97.31,102.6,97.86,103.64,97.31,102.6,144741.6806,144741.6806
26,2021-08-03,104.27,104.62,95.76,97.84,104.27,104.62,95.76,97.84,332785.1969,332785.1969
27,2021-08-02,87.11,104.92,85.67,104.27,87.11,104.92,85.67,104.27,553381.8407,553381.8407
28,2021-08-01,86.69,91.8,85.57,87.13,86.69,91.8,85.57,87.13,303452.3418,303452.3418
29,2021-07-31,86.79,89.96,84.52,86.78,86.79,89.96,84.52,86.78,207159.5516,207159.5516
30,2021-07-30,84.98,87.65,81.5,86.71,84.98,87.65,81.5,86.71,168438.5697,168438.5697
31,2021-07-29,85.16,87.0,83.2,85.02,85.16,87.0,83.2,85.02,122733.664,122733.664
32,2021-07-28,86.42,87.69,82.01,85.27,86.42,87.69,82.01,85.27,186660.057,186660.057
33,2021-07-27,86.05,95.0,80.8,86.52,86.05,95.0,80.8,86.52,194007.9122,194007.9122
34,2021-07-26,84.91,93.1,84.5,86.03,84.91,93.1,84.5,86.03,437567.3466,437567.3466
35,2021-07-25,82.56,86.91,81.1,84.99,82.56,86.91,81.1,84.99,122326.7182,122326.7182
36,2021-07-24,80.29,88.36,78.99,82.63,80.29,88.36,78.99,82.63,251028.048,251028.048
37,2021-07-23,78.72,82.0,75.19,80.28,78.72,82.0,75.19,80.28,124803.7406,124803.7406
38,2021-07-22,76.38,82.62,75.14,78.75,76.38,82.62,75.14,78.75,160476.8196,160476.8196
39,2021-07-21,67.71,78.27,65.54,76.42,67.71,78.27,65.54,76.42,190579.8222,190579.8222
40,2021-07-20,70.21,71.31,65.0,67.75,70.21,71.31,65.0,67.75,172573.3809,172573.3809
41,2021-07-19,74.44,75.53,69.65,70.21,74.44,75.53,69.65,70.21,148414.9092,148414.9092
42,2021-07-18,74.37,80.0,74.27,74.49,74.37,80.0,74.27,74.49,243557.0654,243557.0654
43,2021-07-17,74.49,76.57,72.11,74.33,74.49,76.57,72.11,74.33,103480.0523,103480.0523
44,2021-07-16,79.27,80.29,74.21,74.52,79.27,80.29,74.21,74.52,126452.0729,126452.0729
45,2021-07-15,84.17,85.58,77.44,79.24,84.17,85.58,77.44,79.24,169440.6382,169440.6382
46,2021-07-14,85.6,85.9,80.2,84.17,85.6,85.9,80.2,84.17,118712.7755,118712.7755
47,2021-07-13,88.08,88.88,83.35,85.69,88.08,88.88,83.35,85.69,115953.3141,115953.3141
48,2021-07-12,89.19,91.0,85.89,88.17,89.19,91.0,85.89,88.17,93265.3696,93265.3696
49,2021-07-11,88.25,91.93,86.79,89.17,88.25,91.93,86.79,89.17,77406.705,77406.705
50,2021-07-10,89.84,92.42,87.2,88.28,89.84,92.42,87.2,88.28,85077.5246,85077.5246
51,2021-07-09,88.59,93.88,84.81,89.89,88.59,93.88,84.81,89.89,133661.1579,133661.1579
