,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,2.055,2.074,2.025,2.056,2.055,2.074,2.025,2.056,1043530.4,1043530.4
1,2021-08-28,2.003,2.078,1.946,2.055,2.003,2.078,1.946,2.055,21008718.79,21008718.79
2,2021-08-27,1.85,2.0429,1.799,2.001,1.85,2.0429,1.799,2.001,25868340.79,25868340.79
3,2021-08-26,2.0724,2.078,1.82,1.85,2.0724,2.078,1.82,1.85,27528369.86,27528369.86
4,2021-08-25,1.8913,2.08,1.7808,2.0721,1.8913,2.08,1.7808,2.0721,43730043.35,43730043.35
5,2021-08-24,2.1784,2.1861,1.8566,1.8911,2.1784,2.1861,1.8566,1.8911,44224875.11,44224875.11
6,2021-08-23,1.8427,2.1988,1.81,2.1796,1.8427,2.1988,1.81,2.1796,57128524.84,57128524.84
7,2021-08-22,1.8371,1.9518,1.721,1.8431,1.8371,1.9518,1.721,1.8431,34406202.51,34406202.51
8,2021-08-21,1.6712,1.959,1.6557,1.8374,1.6712,1.959,1.6557,1.8374,50339281.5,50339281.5
9,2021-08-20,1.5822,1.6712,1.5634,1.6712,1.5822,1.6712,1.5634,1.6712,15984972.34,15984972.34
10,2021-08-19,1.5186,1.583,1.4637,1.5822,1.5186,1.583,1.4637,1.5822,14588931.18,14588931.18
11,2021-08-18,1.5361,1.5698,1.4437,1.5205,1.5361,1.5698,1.4437,1.5205,17741304.89,17741304.89
12,2021-08-17,1.6206,1.7076,1.5202,1.5359,1.6206,1.7076,1.5202,1.5359,20630296.7,20630296.7
13,2021-08-16,1.6661,1.755,1.6,1.6204,1.6661,1.755,1.6,1.6204,22740054.36,22740054.36
14,2021-08-15,1.683,1.6871,1.585,1.6664,1.683,1.6871,1.585,1.6664,13399955.75,13399955.75
15,2021-08-14,1.6756,1.7275,1.614,1.684,1.6756,1.7275,1.614,1.684,18755507.31,18755507.31
16,2021-08-13,1.5647,1.68,1.5462,1.6764,1.5647,1.68,1.5462,1.6764,13750063.01,13750063.01
17,2021-08-12,1.6184,1.6686,1.479,1.5647,1.6184,1.6686,1.479,1.5647,20277424.4,20277424.4
