,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,3.5027,3.5471,3.4643,3.5262,3.5027,3.5471,3.4643,3.5262,958953.81,958953.81
1,2021-07-21,3.2597,3.571,3.208,3.5026,3.2597,3.571,3.208,3.5026,25471757.42,25471757.42
2,2021-07-20,3.4365,3.5454,3.1522,3.2596,3.4365,3.5454,3.1522,3.2596,20408294.9,20408294.9
3,2021-07-19,3.6365,3.6841,3.4019,3.437,3.6365,3.6841,3.4019,3.437,15850330.78,15850330.78
4,2021-07-18,3.6574,3.7747,3.5555,3.6353,3.6574,3.7747,3.5555,3.6353,10740097.12,10740097.12
5,2021-07-17,3.6536,3.7796,3.581,3.6562,3.6536,3.7796,3.581,3.6562,18956126.91,18956126.91
6,2021-07-16,3.6707,3.8385,3.5301,3.6529,3.6707,3.8385,3.5301,3.6529,19626663.37,19626663.37
7,2021-07-15,3.7974,3.9189,3.5555,3.6707,3.7974,3.9189,3.5555,3.6707,15566205.81,15566205.81
8,2021-07-14,3.8895,3.9283,3.5906,3.7983,3.8895,3.9283,3.5906,3.7983,20869223.41,20869223.41
9,2021-07-13,4.187,4.2139,3.7866,3.8909,4.187,4.2139,3.7866,3.8909,25083974.82,25083974.82
10,2021-07-12,4.0775,4.3786,4.0413,4.1873,4.0775,4.3786,4.0413,4.1873,38217590.79,38217590.79
11,2021-07-11,3.9656,4.1777,3.8334,4.0766,3.9656,4.1777,3.8334,4.0766,22936376.52,22936376.52
12,2021-07-10,4.2175,4.42,3.8723,3.9633,4.2175,4.42,3.8723,3.9633,39271615.66,39271615.66
13,2021-07-09,3.5959,4.3133,3.4555,4.2174,3.5959,4.3133,3.4555,4.2174,49803432.92,49803432.92
14,2021-07-08,3.8245,3.84,3.5246,3.5959,3.8245,3.84,3.5246,3.5959,16308329.05,16308329.05
15,2021-07-07,3.8777,3.9796,3.8143,3.8249,3.8777,3.9796,3.8143,3.8249,10925537.03,10925537.03
16,2021-07-06,3.8101,4.0055,3.7826,3.8776,3.8101,4.0055,3.7826,3.8776,14528435.95,14528435.95
17,2021-07-05,4.0606,4.0609,3.7591,3.8101,4.0606,4.0609,3.7591,3.8101,14667457.05,14667457.05
18,2021-07-04,4.0508,4.1866,3.9501,4.061,4.0508,4.1866,3.9501,4.061,17331712.71,17331712.71
19,2021-07-03,3.9226,4.0651,3.851,4.0504,3.9226,4.0651,3.851,4.0504,12196067.8,12196067.8
20,2021-07-02,3.9226,4.005,3.745,3.9224,3.9226,4.005,3.745,3.9224,17292675.9,17292675.9
21,2021-07-01,4.1381,4.2095,3.8541,3.9227,4.1381,4.2095,3.8541,3.9227,17183604.41,17183604.41
22,2021-06-30,4.1285,4.3,3.8336,4.1383,4.1285,4.3,3.8336,4.1383,22277103.1,22277103.1
23,2021-06-29,3.8526,4.2923,3.8382,4.1289,3.8526,4.2923,3.8382,4.1289,22443557.94,22443557.94
24,2021-06-28,3.7766,3.9455,3.6865,3.8507,3.7766,3.9455,3.6865,3.8507,13666088.31,13666088.31
25,2021-06-27,3.5706,3.7824,3.4874,3.7766,3.5706,3.7824,3.4874,3.7766,11994997.22,11994997.22
26,2021-06-26,3.5332,3.6576,3.35,3.5712,3.5332,3.6576,3.35,3.5712,17664309.55,17664309.55
27,2021-06-25,3.924,4.0251,3.5059,3.5333,3.924,4.0251,3.5059,3.5333,24547992.59,24547992.59
28,2021-06-24,3.6726,3.9292,3.5184,3.924,3.6726,3.9292,3.5184,3.924,22591189.67,22591189.67
29,2021-06-23,3.3868,3.8076,3.2512,3.6732,3.3868,3.8076,3.2512,3.6732,27495124.03,27495124.03
30,2021-06-22,3.519,3.7619,3.0392,3.3869,3.519,3.7619,3.0392,3.3869,49227688.14,49227688.14
31,2021-06-21,4.5066,4.5225,3.5026,3.5181,4.5066,4.5225,3.5026,3.5181,36492092.09,36492092.09
32,2021-06-20,4.46,4.5333,4.1032,4.5069,4.46,4.5333,4.1032,4.5069,17437328.04,17437328.04
33,2021-06-19,4.5627,4.7029,4.45,4.4597,4.5627,4.7029,4.45,4.4597,11474644.75,11474644.75
34,2021-06-18,4.8727,4.8941,4.3904,4.564,4.8727,4.8941,4.3904,4.564,16357445.09,16357445.09
35,2021-06-17,4.8647,5.0845,4.754,4.8725,4.8647,5.0845,4.754,4.8725,13977776.94,13977776.94
36,2021-06-16,5.1826,5.2337,4.8152,4.8657,5.1826,5.2337,4.8152,4.8657,16610868.82,16610868.82
37,2021-06-15,5.2984,5.3982,5.1058,5.1808,5.2984,5.3982,5.1058,5.1808,16182855.73,16182855.73
38,2021-06-14,5.0893,5.3241,4.9532,5.2992,5.0893,5.3241,4.9532,5.2992,18027075.11,18027075.11
39,2021-06-13,4.8311,5.11,4.6557,5.0874,4.8311,5.11,4.6557,5.0874,15078415.85,15078415.85
40,2021-06-12,4.916,4.916,4.5842,4.8302,4.916,4.916,4.5842,4.8302,19411925.45,19411925.45
41,2021-06-11,5.0788,5.3941,4.8546,4.9157,5.0788,5.3941,4.8546,4.9157,29079424.27,29079424.27
42,2021-06-10,5.339,5.4757,4.9259,5.0799,5.339,5.4757,4.9259,5.0799,27109652.34,27109652.34
43,2021-06-09,5.0491,5.4,4.7708,5.3404,5.0491,5.4,4.7708,5.3404,33763045.3,33763045.3
44,2021-06-08,5.1882,5.2552,4.5046,5.0502,5.1882,5.2552,4.5046,5.0502,40563736.6,40563736.6
45,2021-06-07,5.8452,5.9699,5.0681,5.1894,5.8452,5.9699,5.0681,5.1894,22547226.45,22547226.45
46,2021-06-06,5.7758,5.9516,5.7061,5.8457,5.7758,5.9516,5.7061,5.8457,15060918.03,15060918.03
47,2021-06-05,6.015,6.2206,5.6379,5.7776,6.015,6.2206,5.6379,5.7776,23001120.91,23001120.91
48,2021-06-04,6.5338,6.5424,5.7752,6.0142,6.5338,6.5424,5.7752,6.0142,30733500.44,30733500.44
49,2021-06-03,6.3726,6.7,6.2254,6.5335,6.3726,6.7,6.2254,6.5335,30348664.31,30348664.31
50,2021-06-02,6.3056,6.6,6.1238,6.3695,6.3056,6.6,6.1238,6.3695,32498475.08,32498475.08
51,2021-06-01,6.6322,6.7606,6.0687,6.3069,6.6322,6.7606,6.0687,6.3069,40141810.11,40141810.11
52,2021-05-31,6.0359,6.6888,5.74,6.6297,6.0359,6.6888,5.74,6.6297,44952581.91,44952581.91
53,2021-05-30,6.0248,6.3789,5.5361,6.0358,6.0248,6.3789,5.5361,6.0358,48706229.91,48706229.91
54,2021-05-29,6.1109,6.8199,5.7449,6.0225,6.1109,6.8199,5.7449,6.0225,74939179.11,74939179.11
55,2021-05-28,7.0205,7.07,5.8261,6.113,7.0205,7.07,5.8261,6.113,99492222.07,99492222.07
56,2021-05-27,6.4333,7.6685,6.05,7.021,6.4333,7.6685,6.05,7.021,104749617.54,104749617.54
57,2021-05-26,5.6944,6.5225,5.5395,6.4315,5.6944,6.5225,5.5395,6.4315,58737933.55,58737933.55
58,2021-05-25,5.6453,6.0,5.05,5.6926,5.6453,6.0,5.05,5.6926,71062139.69,71062139.69
59,2021-05-24,4.2898,5.646,4.1694,5.6421,4.2898,5.646,4.1694,5.6421,75626040.36,75626040.36
