,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,64.2,65.2,63.93,65.16,64.2,65.2,63.93,65.16,89706.46,89706.46
1,2021-08-28,64.12,66.64,62.79,64.19,64.12,66.64,62.79,64.19,1923644.212,1923644.212
2,2021-08-27,59.78,64.21,58.63,64.09,59.78,64.21,58.63,64.09,2001233.949,2001233.949
3,2021-08-26,63.757,64.4,58.58,59.77,63.757,64.4,58.58,59.77,1980257.912,1980257.912
4,2021-08-25,62.81,64.812,60.792,63.773,62.81,64.812,60.792,63.773,2055120.896,2055120.896
5,2021-08-24,68.244,68.649,60.812,62.832,68.244,68.649,60.812,62.832,2215908.828,2215908.828
6,2021-08-23,67.369,69.5,66.72,68.257,67.369,69.5,66.72,68.257,1966588.729,1966588.729
7,2021-08-22,67.49,68.642,64.686,67.359,67.49,68.642,64.686,67.359,1279047.344,1279047.344
8,2021-08-21,70.199,70.361,66.69,67.512,70.199,70.361,66.69,67.512,1691684.675,1691684.675
9,2021-08-20,67.094,70.491,66.101,70.2,67.094,70.491,66.101,70.2,2442079.229,2442079.229
10,2021-08-19,63.913,67.111,60.571,67.054,63.913,67.111,60.571,67.054,2184040.808,2184040.808
11,2021-08-18,62.885,66.183,59.638,63.952,62.885,66.183,59.638,63.952,2812490.818,2812490.818
12,2021-08-17,69.024,71.744,60.939,62.891,69.024,71.744,60.939,62.891,3610987.778,3610987.778
13,2021-08-16,74.977,75.797,64.758,69.036,74.977,75.797,64.758,69.036,3926733.101,3926733.101
14,2021-08-15,67.274,77.111,66.974,74.989,67.274,77.111,66.974,74.989,7066757.146,7066757.146
15,2021-08-14,64.271,67.626,61.705,67.268,64.271,67.626,61.705,67.268,4227668.666,4227668.666
16,2021-08-13,60.028,64.438,59.337,64.264,60.028,64.438,59.337,64.264,2326384.666,2326384.666
17,2021-08-12,60.732,65.894,57.515,60.0,60.732,65.894,57.515,60.0,3803081.684,3803081.684
18,2021-08-11,58.88,63.94,58.603,60.721,58.88,63.94,58.603,60.721,3577816.098,3577816.098
19,2021-08-10,59.015,60.366,56.944,58.884,59.015,60.366,56.944,58.884,2144610.92,2144610.92
20,2021-08-09,57.087,60.41,55.0,59.034,57.087,60.41,55.0,59.034,2812025.95,2812025.95
21,2021-08-08,60.585,63.256,55.852,57.068,60.585,63.256,55.852,57.068,4189098.164,4189098.164
22,2021-08-07,53.09,61.2,52.644,60.587,53.09,61.2,52.644,60.587,5177607.573,5177607.573
23,2021-08-06,52.445,53.694,51.223,53.1,52.445,53.694,51.223,53.1,1746895.04,1746895.04
24,2021-08-05,51.589,53.558,48.744,52.431,51.589,53.558,48.744,52.431,2375249.805,2375249.805
25,2021-08-04,49.455,52.24,48.521,51.576,49.455,52.24,48.521,51.576,1538891.396,1538891.396
26,2021-08-03,51.307,52.222,48.374,49.451,51.307,52.222,48.374,49.451,1598482.133,1598482.133
27,2021-08-02,50.238,52.29,49.273,51.325,50.238,52.29,49.273,51.325,1596362.126,1596362.126
28,2021-08-01,51.338,54.069,49.055,50.245,51.338,54.069,49.055,50.245,2408954.228,2408954.228
29,2021-07-31,50.954,52.396,49.572,51.324,50.954,52.396,49.572,51.324,1675291.889,1675291.889
30,2021-07-30,49.372,51.513,47.339,50.963,49.372,51.513,47.339,50.963,2045842.489,2045842.489
31,2021-07-29,49.276,50.016,48.301,49.379,49.276,50.016,48.301,49.379,1002001.437,1002001.437
32,2021-07-28,49.513,51.099,47.916,49.275,49.513,51.099,47.916,49.275,2040898.081,2040898.081
33,2021-07-27,48.371,50.365,46.145,49.515,48.371,50.365,46.145,49.515,3068115.774,3068115.774
34,2021-07-26,48.432,55.936,47.469,48.373,48.432,55.936,47.469,48.373,5093945.237,5093945.237
35,2021-07-25,49.415,49.81,45.858,48.433,49.415,49.81,45.858,48.433,1761072.953,1761072.953
36,2021-07-24,45.809,51.57,44.957,49.414,45.809,51.57,44.957,49.414,3004137.45,3004137.45
37,2021-07-23,43.39,46.788,43.059,45.814,43.39,46.788,43.059,45.814,2687167.831,2687167.831
38,2021-07-22,42.906,44.221,41.898,43.395,42.906,44.221,41.898,43.395,2131353.459,2131353.459
39,2021-07-21,39.311,43.79,38.579,42.905,39.311,43.79,38.579,42.905,2648148.025,2648148.025
40,2021-07-20,41.586,42.096,37.738,39.311,41.586,42.096,37.738,39.311,2294950.728,2294950.728
41,2021-07-19,41.881,43.927,40.582,41.582,41.881,43.927,40.582,41.582,2451647.197,2451647.197
42,2021-07-18,41.461,43.3,40.924,41.88,41.461,43.3,40.924,41.88,1073560.982,1073560.982
43,2021-07-17,41.128,43.359,40.255,41.459,41.128,43.359,40.255,41.459,1449014.792,1449014.792
44,2021-07-16,43.241,43.883,40.6,41.153,43.241,43.883,40.6,41.153,1497021.777,1497021.777
45,2021-07-15,45.605,47.179,42.241,43.235,45.605,47.179,42.241,43.235,1288093.229,1288093.229
46,2021-07-14,45.55,47.81,42.525,45.61,45.55,47.81,42.525,45.61,1760965.899,1760965.899
47,2021-07-13,47.677,48.218,45.037,45.544,47.677,48.218,45.037,45.544,1087865.861,1087865.861
48,2021-07-12,49.705,50.725,46.683,47.689,49.705,50.725,46.683,47.689,1152999.873,1152999.873
49,2021-07-11,49.135,50.514,48.253,49.704,49.135,50.514,48.253,49.704,661077.498,661077.498
50,2021-07-10,50.082,51.4,48.15,49.135,50.082,51.4,48.15,49.135,1091653.289,1091653.289
51,2021-07-09,49.465,51.35,46.503,50.084,49.465,51.35,46.503,50.084,1687011.174,1687011.174
52,2021-07-08,52.8,52.974,48.503,49.471,52.8,52.974,48.503,49.471,1984565.947,1984565.947
53,2021-07-07,54.651,55.549,52.555,52.813,54.651,55.549,52.555,52.813,1820444.204,1820444.204
54,2021-07-06,53.683,56.888,53.497,54.649,53.683,56.888,53.497,54.649,1722006.961,1722006.961
55,2021-07-05,56.348,57.009,52.77,53.683,56.348,57.009,52.77,53.683,2235251.319,2235251.319
56,2021-07-04,56.862,58.941,55.875,56.363,56.862,58.941,55.875,56.363,2222049.604,2222049.604
57,2021-07-03,53.764,58.5,52.413,56.877,53.764,58.5,52.413,56.877,2989769.6,2989769.6
58,2021-07-02,53.06,55.23,50.713,53.737,53.06,55.23,50.713,53.737,2628027.534,2628027.534
59,2021-07-01,57.549,58.329,52.32,53.076,57.549,58.329,52.32,53.076,4310884.157,4310884.157
60,2021-06-30,56.767,62.673,51.711,57.551,56.767,62.673,51.711,57.551,9679613.927,9679613.927
61,2021-06-29,43.355,58.821,43.12,56.829,43.355,58.821,43.12,56.829,7683256.758,7683256.758
62,2021-06-28,42.319,44.558,41.022,43.351,42.319,44.558,41.022,43.351,1485357.287,1485357.287
63,2021-06-27,40.54,42.497,39.371,42.307,40.54,42.497,39.371,42.307,1187877.02,1187877.02
64,2021-06-26,39.348,41.006,37.542,40.555,39.348,41.006,37.542,40.555,1635775.452,1635775.452
65,2021-06-25,43.156,45.499,38.946,39.35,43.156,45.499,38.946,39.35,2722988.803,2722988.803
66,2021-06-24,40.769,43.558,38.726,43.151,40.769,43.558,38.726,43.151,2251950.724,2251950.724
67,2021-06-23,36.536,42.978,34.55,40.763,36.536,42.978,34.55,40.763,3758417.658,3758417.658
68,2021-06-22,39.452,42.8,32.21,36.545,39.452,42.8,32.21,36.545,5759701.293,5759701.293
69,2021-06-21,50.949,51.44,38.507,39.461,50.949,51.44,38.507,39.461,4022053.682,4022053.682
70,2021-06-20,50.871,51.527,46.939,50.956,50.871,51.527,46.939,50.956,1347207.022,1347207.022
71,2021-06-19,52.584,53.332,50.828,50.864,52.584,53.332,50.828,50.864,636772.238,636772.238
72,2021-06-18,55.55,55.583,50.479,52.568,55.55,55.583,50.479,52.568,1087152.934,1087152.934
73,2021-06-17,55.363,57.253,54.265,55.552,55.363,57.253,54.265,55.552,684930.561,684930.561
74,2021-06-16,58.162,58.374,54.864,55.351,58.162,58.374,54.864,55.351,1046955.002,1046955.002
75,2021-06-15,59.278,60.2,57.222,58.154,59.278,60.2,57.222,58.154,1054504.216,1054504.216
76,2021-06-14,58.999,60.98,56.118,59.304,58.999,60.98,56.118,59.304,1550963.08,1550963.08
77,2021-06-13,55.221,60.714,53.685,58.998,55.221,60.714,53.685,58.998,1548532.139,1548532.139
78,2021-06-12,56.872,56.989,53.049,55.195,56.872,56.989,53.049,55.195,1535637.503,1535637.503
79,2021-06-11,57.9,60.84,56.068,56.865,57.9,60.84,56.068,56.865,1789292.867,1789292.867
80,2021-06-10,62.306,63.56,57.005,57.894,62.306,63.56,57.005,57.894,2663144.3,2663144.3
81,2021-06-09,56.697,62.95,53.549,62.32,56.697,62.95,53.549,62.32,3881056.575,3881056.575
82,2021-06-08,58.023,59.221,49.432,56.681,58.023,59.221,49.432,56.681,3821990.778,3821990.778
83,2021-06-07,64.107,65.16,57.225,58.01,64.107,65.16,57.225,58.01,1843327.997,1843327.997
84,2021-06-06,63.108,65.679,62.736,64.086,63.108,65.679,62.736,64.086,1072093.326,1072093.326
85,2021-06-05,64.748,67.397,61.646,63.122,64.748,67.397,61.646,63.122,2068513.061,2068513.061
86,2021-06-04,69.848,69.902,61.343,64.72,69.848,69.902,61.343,64.72,2739548.267,2739548.267
87,2021-06-03,68.384,72.7,67.115,69.864,68.384,72.7,67.115,69.864,2235215.207,2235215.207
88,2021-06-02,67.784,70.4,65.767,68.403,67.784,70.4,65.767,68.403,2215354.919,2215354.919
