,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.5576,0.5608,0.5446,0.5539,0.5576,0.5608,0.5446,0.5539,951827.14,951827.14
1,2021-07-21,0.4922,0.5766,0.474,0.5575,0.4922,0.5766,0.474,0.5575,30643352.07,30643352.07
2,2021-07-20,0.5076,0.5186,0.4755,0.4921,0.5076,0.5186,0.4755,0.4921,20906421.42,20906421.42
3,2021-07-19,0.5516,0.5572,0.5021,0.5075,0.5516,0.5572,0.5021,0.5075,20518109.29,20518109.29
4,2021-07-18,0.5589,0.5864,0.5487,0.5516,0.5589,0.5864,0.5487,0.5516,12680626.28,12680626.28
5,2021-07-17,0.5805,0.5894,0.5556,0.5587,0.5805,0.5894,0.5556,0.5587,15902465.73,15902465.73
6,2021-07-16,0.6005,0.6173,0.5761,0.5807,0.6005,0.6173,0.5761,0.5807,18113424.4,18113424.4
7,2021-07-15,0.6384,0.6523,0.5906,0.6003,0.6384,0.6523,0.5906,0.6003,23422613.35,23422613.35
8,2021-07-14,0.6333,0.6509,0.5931,0.6384,0.6333,0.6509,0.5931,0.6384,24086859.57,24086859.57
9,2021-07-13,0.67,0.6839,0.626,0.6331,0.67,0.6839,0.626,0.6331,23604887.88,23604887.88
10,2021-07-12,0.7129,0.7418,0.6619,0.67,0.7129,0.7418,0.6619,0.67,29534992.87,29534992.87
11,2021-07-11,0.6866,0.7498,0.6822,0.7127,0.6866,0.7498,0.6822,0.7127,39506846.87,39506846.87
12,2021-07-10,0.6921,0.7177,0.6485,0.6865,0.6921,0.7177,0.6485,0.6865,26923821.03,26923821.03
13,2021-07-09,0.6556,0.7036,0.628,0.692,0.6556,0.7036,0.628,0.692,37937754.47,37937754.47
14,2021-07-08,0.7066,0.7095,0.6326,0.6549,0.7066,0.7095,0.6326,0.6549,47384055.05,47384055.05
15,2021-07-07,0.7018,0.7569,0.6874,0.7063,0.7018,0.7569,0.6874,0.7063,56806397.4,56806397.4
16,2021-07-06,0.733,0.768,0.6866,0.702,0.733,0.768,0.6866,0.702,57398181.43,57398181.43
17,2021-07-05,0.7251,0.8,0.6961,0.7328,0.7251,0.8,0.6961,0.7328,103788700.61,103788700.61
18,2021-07-04,0.6763,0.7585,0.6438,0.7253,0.6763,0.7585,0.6438,0.7253,70367640.38,70367640.38
19,2021-07-03,0.6025,0.6843,0.5877,0.6764,0.6025,0.6843,0.5877,0.6764,72364628.27,72364628.27
20,2021-07-02,0.5361,0.6049,0.52,0.6029,0.5361,0.6049,0.52,0.6029,27737850.55,27737850.55
21,2021-07-01,0.5917,0.5924,0.5236,0.5361,0.5917,0.5924,0.5236,0.5361,22007298.91,22007298.91
22,2021-06-30,0.5796,0.5923,0.5479,0.5914,0.5796,0.5923,0.5479,0.5914,28018285.98,28018285.98
23,2021-06-29,0.5715,0.624,0.5665,0.5795,0.5715,0.624,0.5665,0.5795,40236078.75,40236078.75
24,2021-06-28,0.5584,0.5891,0.5422,0.5716,0.5584,0.5891,0.5422,0.5716,29838755.14,29838755.14
25,2021-06-27,0.543,0.5596,0.517,0.5588,0.543,0.5596,0.517,0.5588,19005756.25,19005756.25
26,2021-06-26,0.5258,0.5484,0.5033,0.5435,0.5258,0.5484,0.5033,0.5435,24145810.34,24145810.34
27,2021-06-25,0.6024,0.6227,0.5215,0.5254,0.6024,0.6227,0.5215,0.5254,34092990.83,34092990.83
28,2021-06-24,0.6014,0.6255,0.5757,0.6018,0.6014,0.6255,0.5757,0.6018,35722762.54,35722762.54
29,2021-06-23,0.4937,0.6087,0.4721,0.602,0.4937,0.6087,0.4721,0.602,51869057.35,51869057.35
30,2021-06-22,0.5048,0.5528,0.4287,0.4937,0.5048,0.5528,0.4287,0.4937,56823107.02,56823107.02
31,2021-06-21,0.6424,0.6492,0.5,0.5042,0.6424,0.6492,0.5,0.5042,46794251.12,46794251.12
32,2021-06-20,0.6006,0.6561,0.5643,0.6422,0.6006,0.6561,0.5643,0.6422,32742004.16,32742004.16
33,2021-06-19,0.6095,0.6294,0.5901,0.6003,0.6095,0.6294,0.5901,0.6003,26259526.69,26259526.69
34,2021-06-18,0.686,0.6921,0.5916,0.6099,0.686,0.6921,0.5916,0.6099,33283185.31,33283185.31
35,2021-06-17,0.681,0.7208,0.6578,0.6861,0.681,0.7208,0.6578,0.6861,27114715.17,27114715.17
36,2021-06-16,0.7164,0.7942,0.6685,0.6814,0.7164,0.7942,0.6685,0.6814,53480006.14,53480006.14
37,2021-06-15,0.6827,0.7611,0.674,0.7167,0.6827,0.7611,0.674,0.7167,49055899.76,49055899.76
38,2021-06-14,0.6843,0.724,0.662,0.6829,0.6843,0.724,0.662,0.6829,46529457.4,46529457.4
39,2021-06-13,0.6028,0.6941,0.5819,0.6848,0.6028,0.6941,0.5819,0.6848,29618752.83,29618752.83
40,2021-06-12,0.6132,0.6254,0.5674,0.6025,0.6132,0.6254,0.5674,0.6025,23575551.82,23575551.82
41,2021-06-11,0.6641,0.6815,0.6029,0.6136,0.6641,0.6815,0.6029,0.6136,29068812.22,29068812.22
42,2021-06-10,0.709,0.7169,0.654,0.6642,0.709,0.7169,0.654,0.6642,30501308.21,30501308.21
43,2021-06-09,0.6925,0.7315,0.656,0.7092,0.6925,0.7315,0.656,0.7092,47158776.67,47158776.67
44,2021-06-08,0.6994,0.7158,0.6274,0.6924,0.6994,0.7158,0.6274,0.6924,45729324.84,45729324.84
45,2021-06-07,0.784,0.8399,0.6883,0.6987,0.784,0.8399,0.6883,0.6987,47555207.68,47555207.68
46,2021-06-06,0.7536,0.8198,0.7469,0.7838,0.7536,0.8198,0.7469,0.7838,25424301.33,25424301.33
47,2021-06-05,0.8022,0.8489,0.7227,0.7544,0.8022,0.8489,0.7227,0.7544,41125906.74,41125906.74
48,2021-06-04,0.9512,0.9563,0.75,0.8016,0.9512,0.9563,0.75,0.8016,68055940.77,68055940.77
49,2021-06-03,0.7668,0.97,0.7534,0.9524,0.7668,0.97,0.7534,0.9524,69373601.75,69373601.75
50,2021-06-02,0.7677,0.8138,0.7367,0.7664,0.7677,0.8138,0.7367,0.7664,26715052.5,26715052.5
51,2021-06-01,0.7937,0.8294,0.7479,0.7684,0.7937,0.8294,0.7479,0.7684,34925276.32,34925276.32
52,2021-05-31,0.7393,0.8574,0.6907,0.7933,0.7393,0.8574,0.6907,0.7933,69588340.74,69588340.74
53,2021-05-30,0.6287,0.7734,0.5878,0.7394,0.6287,0.7734,0.5878,0.7394,37143839.02,37143839.02
54,2021-05-29,0.6514,0.7,0.5941,0.6283,0.6514,0.7,0.5941,0.6283,29935454.89,29935454.89
55,2021-05-28,0.7713,0.7926,0.6173,0.6513,0.7713,0.7926,0.6173,0.6513,54945418.68,54945418.68
56,2021-05-27,0.8431,0.844,0.7483,0.7711,0.8431,0.844,0.7483,0.7711,42473205.93,42473205.93
57,2021-05-26,0.8228,0.8839,0.7966,0.8429,0.8228,0.8839,0.7966,0.8429,45592230.66,45592230.66
58,2021-05-25,0.8253,0.8656,0.7217,0.823,0.8253,0.8656,0.7217,0.823,43799971.11,43799971.11
59,2021-05-24,0.6504,0.8601,0.6286,0.8254,0.6504,0.8601,0.6286,0.8254,64921575.51,64921575.51
60,2021-05-23,0.7899,0.8072,0.5,0.6507,0.7899,0.8072,0.5,0.6507,77518114.81,77518114.81
61,2021-05-22,0.8518,0.8726,0.759,0.7896,0.8518,0.8726,0.759,0.7896,42721297.02,42721297.02
62,2021-05-21,0.9054,0.9578,0.7421,0.8529,0.9054,0.9578,0.7421,0.8529,66246652.2,66246652.2
63,2021-05-20,0.7458,0.977,0.69,0.9073,0.7458,0.977,0.69,0.9073,70409609.49,70409609.49
64,2021-05-19,1.2246,1.2458,0.525,0.7458,1.2246,1.2458,0.525,0.7458,126942239.25,126942239.25
65,2021-05-18,1.1943,1.2705,1.1767,1.2245,1.1943,1.2705,1.1767,1.2245,29556670.77,29556670.77
66,2021-05-17,1.2986,1.3002,1.167,1.1957,1.2986,1.3002,1.167,1.1957,48240338.17,48240338.17
67,2021-05-16,1.3168,1.4207,1.2295,1.299,1.3168,1.4207,1.2295,1.299,34620678.09,34620678.09
68,2021-05-15,1.3648,1.5272,1.301,1.3168,1.3648,1.5272,1.301,1.3168,56592202.85,56592202.85
69,2021-05-14,1.3135,1.3972,1.284,1.3647,1.3135,1.3972,1.284,1.3647,25878636.68,25878636.68
