,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,13.924,13.99,13.4,13.48,13.924,13.99,13.4,13.48,259143.5,259143.5
1,2021-08-28,10.506,14.44,10.099,13.918,10.506,14.44,10.099,13.918,3943046.85,3943046.85
2,2021-08-27,10.153,11.047,9.617,10.501,10.153,11.047,9.617,10.501,2281964.99,2281964.99
3,2021-08-26,11.71,13.4,10.004,10.168,11.71,13.4,10.004,10.168,5455156.61,5455156.61
4,2021-08-25,8.34,12.23,8.08,11.71,8.34,12.23,8.08,11.71,4178541.39,4178541.39
5,2021-08-24,9.31,9.55,7.93,8.36,9.31,9.55,7.93,8.36,1317172.85,1317172.85
6,2021-08-23,8.94,9.8,8.74,9.29,8.94,9.8,8.74,9.29,1474764.97,1474764.97
7,2021-08-22,8.23,9.16,8.19,8.94,8.23,9.16,8.19,8.94,1291298.84,1291298.84
8,2021-08-21,8.32,8.71,8.08,8.22,8.32,8.71,8.08,8.22,704270.34,704270.34
9,2021-08-20,8.14,8.58,8.01,8.32,8.14,8.58,8.01,8.32,704390.95,704390.95
10,2021-08-19,7.61,8.17,7.53,8.14,7.61,8.17,7.53,8.14,898086.54,898086.54
11,2021-08-18,8.4,8.52,7.55,7.61,8.4,8.52,7.55,7.61,1365778.56,1365778.56
12,2021-08-17,9.05,9.6,8.26,8.4,9.05,9.6,8.26,8.4,1284237.37,1284237.37
13,2021-08-16,9.28,9.64,8.99,9.03,9.28,9.64,8.99,9.03,1156644.92,1156644.92
14,2021-08-15,9.1,9.34,8.54,9.26,9.1,9.34,8.54,9.26,992084.52,992084.52
15,2021-08-14,8.98,9.35,8.69,9.1,8.98,9.35,8.69,9.1,1115327.34,1115327.34
16,2021-08-13,8.52,8.99,8.31,8.98,8.52,8.99,8.31,8.98,509219.55,509219.55
17,2021-08-12,8.91,9.35,8.1,8.52,8.91,9.35,8.1,8.52,935758.82,935758.82
18,2021-08-11,8.68,9.68,8.62,8.92,8.68,9.68,8.62,8.92,1134988.34,1134988.34
19,2021-08-10,8.83,9.03,8.36,8.68,8.83,9.03,8.36,8.68,905766.02,905766.02
20,2021-08-09,8.48,9.15,8.06,8.83,8.48,9.15,8.06,8.83,734213.92,734213.92
21,2021-08-08,9.15,9.47,8.37,8.49,9.15,9.47,8.37,8.49,1040615.86,1040615.86
22,2021-08-07,8.83,9.58,8.35,9.14,8.83,9.58,8.35,9.14,1552099.12,1552099.12
23,2021-08-06,7.84,9.15,7.52,8.83,7.84,9.15,7.52,8.83,1304723.64,1304723.64
24,2021-08-05,7.83,8.02,7.3,7.83,7.83,8.02,7.3,7.83,563609.35,563609.35
25,2021-08-04,7.39,7.98,7.23,7.82,7.39,7.98,7.23,7.82,530402.76,530402.76
26,2021-08-03,7.86,8.05,7.21,7.39,7.86,8.05,7.21,7.39,713961.52,713961.52
27,2021-08-02,8.09,8.38,7.8,7.86,8.09,8.38,7.8,7.86,948664.99,948664.99
28,2021-08-01,7.18,8.86,7.14,8.09,7.18,8.86,7.14,8.09,2309473.25,2309473.25
29,2021-07-31,6.88,7.35,6.58,7.17,6.88,7.35,6.58,7.17,1033280.25,1033280.25
30,2021-07-30,6.82,7.14,6.43,6.87,6.82,7.14,6.43,6.87,1034412.17,1034412.17
31,2021-07-29,6.69,6.89,6.47,6.81,6.69,6.89,6.47,6.81,581460.15,581460.15
32,2021-07-28,6.73,7.03,6.5,6.69,6.73,7.03,6.5,6.69,580892.52,580892.52
33,2021-07-27,6.69,6.95,6.28,6.73,6.69,6.95,6.28,6.73,1159011.57,1159011.57
