,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.6916,0.6931,0.6876,0.6922,0.6916,0.6931,0.6876,0.6922,24761.0,24761.0
1,2021-08-28,0.7146,0.7181,0.6852,0.691,0.7146,0.7181,0.6852,0.691,1320573.0,1320573.0
2,2021-08-27,0.66,0.78,0.643,0.7146,0.66,0.78,0.643,0.7146,4636973.37,4636973.37
3,2021-08-26,0.7333,0.7378,0.6567,0.66,0.7333,0.7378,0.6567,0.66,4021559.65,4021559.65
4,2021-08-25,0.7284,0.8581,0.7186,0.7328,0.7284,0.8581,0.7186,0.7328,19052916.07,19052916.07
5,2021-08-24,0.7278,0.7672,0.6925,0.7284,0.7278,0.7672,0.6925,0.7284,21075787.95,21075787.95
6,2021-08-23,0.7363,0.7491,0.717,0.7278,0.7363,0.7491,0.717,0.7278,2069343.6,2069343.6
7,2021-08-22,0.724,0.74,0.7069,0.736,0.724,0.74,0.7069,0.736,2519793.19,2519793.19
8,2021-08-21,0.7426,0.7502,0.7171,0.7258,0.7426,0.7502,0.7171,0.7258,5504310.77,5504310.77
9,2021-08-20,0.7339,0.79,0.7282,0.7427,0.7339,0.79,0.7282,0.7427,3899268.77,3899268.77
10,2021-08-19,0.6594,0.75,0.6545,0.7323,0.6594,0.75,0.6545,0.7323,5791235.31,5791235.31
11,2021-08-18,0.6313,0.7018,0.6144,0.6606,0.6313,0.7018,0.6144,0.6606,5979922.43,5979922.43
12,2021-08-17,0.6769,0.6895,0.6255,0.6313,0.6769,0.6895,0.6255,0.6313,1910149.85,1910149.85
13,2021-08-16,0.7034,0.7214,0.6589,0.6772,0.7034,0.7214,0.6589,0.6772,2889944.45,2889944.45
14,2021-08-15,0.6948,0.72,0.6696,0.7055,0.6948,0.72,0.6696,0.7055,4917680.76,4917680.76
15,2021-08-14,0.7248,0.755,0.682,0.6943,0.7248,0.755,0.682,0.6943,4064830.27,4064830.27
16,2021-08-13,0.6321,0.799,0.6248,0.725,0.6321,0.799,0.6248,0.725,13403218.98,13403218.98
17,2021-08-12,0.6395,0.6538,0.6056,0.6321,0.6395,0.6538,0.6056,0.6321,4088961.71,4088961.71
18,2021-08-11,0.6432,0.7099,0.618,0.6395,0.6432,0.7099,0.618,0.6395,10045978.1,10045978.1
19,2021-08-10,0.659,0.6755,0.6226,0.6433,0.659,0.6755,0.6226,0.6433,6193403.73,6193403.73
20,2021-08-09,0.651,0.74,0.632,0.6589,0.651,0.74,0.632,0.6589,11133012.87,11133012.87
21,2021-08-08,0.7243,0.7522,0.6386,0.6501,0.7243,0.7522,0.6386,0.6501,14464770.29,14464770.29
22,2021-08-07,0.7457,0.8316,0.6682,0.7244,0.7457,0.8316,0.6682,0.7244,45339114.82,45339114.82
23,2021-08-06,0.5072,0.89,0.4958,0.7451,0.5072,0.89,0.4958,0.7451,94901818.05,94901818.05
24,2021-08-05,0.4819,0.5271,0.4781,0.5071,0.4819,0.5271,0.4781,0.5071,3611233.95,3611233.95
25,2021-08-04,0.4638,0.4885,0.4622,0.4817,0.4638,0.4885,0.4622,0.4817,1058533.51,1058533.51
26,2021-08-03,0.4673,0.4837,0.4505,0.4637,0.4673,0.4837,0.4505,0.4637,1062322.77,1062322.77
27,2021-08-02,0.4693,0.4821,0.4601,0.467,0.4693,0.4821,0.4601,0.467,1009655.96,1009655.96
28,2021-08-01,0.4918,0.508,0.465,0.4694,0.4918,0.508,0.465,0.4694,1437223.32,1437223.32
29,2021-07-31,0.4885,0.5024,0.4782,0.4912,0.4885,0.5024,0.4782,0.4912,1770895.06,1770895.06
30,2021-07-30,0.4767,0.489,0.4515,0.4879,0.4767,0.489,0.4515,0.4879,2204237.73,2204237.73
31,2021-07-29,0.4592,0.4826,0.4503,0.4765,0.4592,0.4826,0.4503,0.4765,2053469.66,2053469.66
32,2021-07-28,0.4665,0.4822,0.45,0.4599,0.4665,0.4822,0.45,0.4599,2976426.15,2976426.15
33,2021-07-27,0.4445,0.4722,0.43,0.4663,0.4445,0.4722,0.43,0.4663,5498399.95,5498399.95
34,2021-07-26,0.4569,0.4871,0.4378,0.4448,0.4569,0.4871,0.4378,0.4448,4075568.4,4075568.4
35,2021-07-25,0.4414,0.459,0.4231,0.4564,0.4414,0.459,0.4231,0.4564,3791488.43,3791488.43
36,2021-07-24,0.435,0.447,0.4308,0.441,0.435,0.447,0.4308,0.441,2202694.93,2202694.93
37,2021-07-23,0.4208,0.4364,0.4134,0.4346,0.4208,0.4364,0.4134,0.4346,1904218.68,1904218.68
38,2021-07-22,0.4158,0.4388,0.4091,0.4201,0.4158,0.4388,0.4091,0.4201,2778979.2,2778979.2
39,2021-07-21,0.3844,0.4328,0.381,0.4157,0.3844,0.4328,0.381,0.4157,1710144.06,1710144.06
40,2021-07-20,0.4158,0.4198,0.3715,0.3842,0.4158,0.4198,0.3715,0.3842,1325567.91,1325567.91
41,2021-07-19,0.4321,0.4451,0.4023,0.4154,0.4321,0.4451,0.4023,0.4154,2356842.06,2356842.06
42,2021-07-18,0.4438,0.4638,0.4271,0.4321,0.4438,0.4638,0.4271,0.4321,2849434.19,2849434.19
43,2021-07-17,0.4506,0.498,0.4425,0.4437,0.4506,0.498,0.4425,0.4437,5428192.88,5428192.88
44,2021-07-16,0.4436,0.5143,0.4163,0.4506,0.4436,0.5143,0.4163,0.4506,7895897.9,7895897.9
45,2021-07-15,0.4612,0.4769,0.4259,0.4453,0.4612,0.4769,0.4259,0.4453,3231710.43,3231710.43
46,2021-07-14,0.441,0.4832,0.4228,0.4611,0.441,0.4832,0.4228,0.4611,3476759.51,3476759.51
47,2021-07-13,0.4695,0.4766,0.434,0.4409,0.4695,0.4766,0.434,0.4409,2363752.49,2363752.49
48,2021-07-12,0.4969,0.5071,0.46,0.4705,0.4969,0.5071,0.46,0.4705,3452685.16,3452685.16
49,2021-07-11,0.44,0.56,0.4396,0.4972,0.44,0.56,0.4396,0.4972,19966057.25,19966057.25
50,2021-07-10,0.445,0.4696,0.4317,0.4398,0.445,0.4696,0.4317,0.4398,3391881.1,3391881.1
51,2021-07-09,0.4258,0.47,0.4136,0.4451,0.4258,0.47,0.4136,0.4451,2850977.97,2850977.97
52,2021-07-08,0.4578,0.4587,0.4205,0.4253,0.4578,0.4587,0.4205,0.4253,1748222.24,1748222.24
53,2021-07-07,0.4606,0.4796,0.455,0.4577,0.4606,0.4796,0.455,0.4577,2433686.89,2433686.89
54,2021-07-06,0.462,0.4754,0.4489,0.459,0.462,0.4754,0.4489,0.459,1927535.96,1927535.96
55,2021-07-05,0.4671,0.4697,0.4364,0.463,0.4671,0.4697,0.4364,0.463,2642069.82,2642069.82
56,2021-07-04,0.459,0.52,0.4486,0.4671,0.459,0.52,0.4486,0.4671,8459588.33,8459588.33
57,2021-07-03,0.4378,0.4758,0.4275,0.459,0.4378,0.4758,0.4275,0.459,2177827.48,2177827.48
58,2021-07-02,0.4352,0.4405,0.4158,0.4378,0.4352,0.4405,0.4158,0.4378,1768836.79,1768836.79
59,2021-07-01,0.4657,0.4658,0.419,0.434,0.4657,0.4658,0.419,0.434,1961755.09,1961755.09
60,2021-06-30,0.4709,0.4745,0.4367,0.4658,0.4709,0.4745,0.4367,0.4658,1715194.84,1715194.84
61,2021-06-29,0.4506,0.4923,0.45,0.4709,0.4506,0.4923,0.45,0.4709,3248818.31,3248818.31
62,2021-06-28,0.448,0.4617,0.433,0.4512,0.448,0.4617,0.433,0.4512,2739661.91,2739661.91
63,2021-06-27,0.4369,0.4609,0.4154,0.448,0.4369,0.4609,0.4154,0.448,1905073.31,1905073.31
64,2021-06-26,0.4283,0.4486,0.4052,0.4369,0.4283,0.4486,0.4052,0.4369,1663405.5,1663405.5
65,2021-06-25,0.49,0.5024,0.4257,0.4291,0.49,0.5024,0.4257,0.4291,1727249.24,1727249.24
66,2021-06-24,0.4869,0.4973,0.4526,0.4892,0.4869,0.4973,0.4526,0.4892,1757098.65,1757098.65
67,2021-06-23,0.4457,0.5199,0.4231,0.4845,0.4457,0.5199,0.4231,0.4845,2360376.27,2360376.27
68,2021-06-22,0.5017,0.528,0.3889,0.4461,0.5017,0.528,0.3889,0.4461,6162024.78,6162024.78
69,2021-06-21,0.6357,0.6396,0.5017,0.5045,0.6357,0.6396,0.5017,0.5045,3370671.55,3370671.55
70,2021-06-20,0.6494,0.66,0.5785,0.635,0.6494,0.66,0.5785,0.635,2618712.75,2618712.75
71,2021-06-19,0.6681,0.6856,0.6432,0.649,0.6681,0.6856,0.6432,0.649,2014948.0,2014948.0
72,2021-06-18,0.7154,0.7286,0.643,0.6667,0.7154,0.7286,0.643,0.6667,2576050.71,2576050.71
73,2021-06-17,0.7085,0.7723,0.7,0.7133,0.7085,0.7723,0.7,0.7133,3186904.5,3186904.5
