,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,1.0137,1.0188,1.006,1.0158,1.0137,1.0188,1.006,1.0158,376849.0,376849.0
1,2021-08-28,1.0417,1.0476,1.0009,1.0135,1.0417,1.0476,1.0009,1.0135,11153589.0,11153589.0
2,2021-08-27,0.9713,1.05,0.936,1.0413,0.9713,1.05,0.936,1.0413,19702326.37,19702326.37
3,2021-08-26,1.0817,1.0927,0.959,0.9727,1.0817,1.0927,0.959,0.9727,20260077.95,20260077.95
4,2021-08-25,1.0567,1.1,1.0033,1.0833,1.0567,1.1,1.0033,1.0833,24287996.79,24287996.79
5,2021-08-24,1.1557,1.1767,1.0511,1.0567,1.1557,1.1767,1.0511,1.0567,23411068.95,23411068.95
6,2021-08-23,1.1672,1.19,1.1238,1.1563,1.1672,1.19,1.1238,1.1563,24018499.32,24018499.32
7,2021-08-22,1.0722,1.173,1.05,1.1672,1.0722,1.173,1.05,1.1672,30120975.79,30120975.79
8,2021-08-21,1.1084,1.1201,1.0585,1.0725,1.1084,1.1201,1.0585,1.0725,16364732.85,16364732.85
9,2021-08-20,1.0595,1.121,1.0365,1.1084,1.0595,1.121,1.0365,1.1084,21482862.96,21482862.96
10,2021-08-19,1.0002,1.06,0.9515,1.0593,1.0002,1.06,0.9515,1.0593,22922534.1,22922534.1
11,2021-08-18,1.019,1.0583,0.9637,1.0003,1.019,1.0583,0.9637,1.0003,20727398.36,20727398.36
12,2021-08-17,1.1059,1.1442,1.0,1.0185,1.1059,1.1442,1.0,1.0185,26539193.95,26539193.95
13,2021-08-16,1.1726,1.224,1.0964,1.1061,1.1726,1.224,1.0964,1.1061,24801893.77,24801893.77
14,2021-08-15,1.1634,1.1841,1.1031,1.1718,1.1634,1.1841,1.1031,1.1718,16128990.55,16128990.55
15,2021-08-14,1.1137,1.1725,1.081,1.1634,1.1137,1.1725,1.081,1.1634,29800640.35,29800640.35
16,2021-08-13,1.0518,1.1199,1.0371,1.1139,1.0518,1.1199,1.0371,1.1139,26539537.9,26539537.9
17,2021-08-12,1.0556,1.121,0.9777,1.0518,1.0556,1.121,0.9777,1.0518,26063038.37,26063038.37
18,2021-08-11,0.9786,1.0897,0.9684,1.0562,0.9786,1.0897,0.9684,1.0562,36763053.75,36763053.75
19,2021-08-10,0.9191,1.0,0.9013,0.9781,0.9191,1.0,0.9013,0.9781,32184393.9,32184393.9
20,2021-08-09,0.8792,0.935,0.8521,0.9191,0.8792,0.935,0.8521,0.9191,14559152.03,14559152.03
21,2021-08-08,0.9395,0.9463,0.8562,0.8794,0.9395,0.9463,0.8562,0.8794,13191946.89,13191946.89
22,2021-08-07,0.9196,0.9621,0.9031,0.9394,0.9196,0.9621,0.9031,0.9394,16876487.32,16876487.32
23,2021-08-06,0.8798,0.9488,0.8501,0.9197,0.8798,0.9488,0.8501,0.9197,15918113.17,15918113.17
24,2021-08-05,0.875,0.8864,0.8238,0.88,0.875,0.8864,0.8238,0.88,13404039.21,13404039.21
25,2021-08-04,0.851,0.8875,0.8353,0.8751,0.851,0.8875,0.8353,0.8751,11450543.89,11450543.89
26,2021-08-03,0.8957,0.9067,0.8473,0.8512,0.8957,0.9067,0.8473,0.8512,13677053.56,13677053.56
27,2021-08-02,0.8736,0.9322,0.86,0.8955,0.8736,0.9322,0.86,0.8955,11873236.55,11873236.55
28,2021-08-01,0.9308,0.96,0.86,0.8735,0.9308,0.96,0.86,0.8735,18495016.83,18495016.83
29,2021-07-31,0.8346,0.9375,0.8221,0.9318,0.8346,0.9375,0.8221,0.9318,22084267.09,22084267.09
30,2021-07-30,0.8495,0.8623,0.7882,0.8352,0.8495,0.8623,0.7882,0.8352,15302323.01,15302323.01
31,2021-07-29,0.841,0.883,0.82,0.8496,0.841,0.883,0.82,0.8496,10682032.53,10682032.53
32,2021-07-28,0.8787,0.8837,0.8251,0.8423,0.8787,0.8837,0.8251,0.8423,13735892.09,13735892.09
33,2021-07-27,0.7557,0.8983,0.7359,0.8796,0.7557,0.8983,0.7359,0.8796,29485480.38,29485480.38
34,2021-07-26,0.742,0.8347,0.7348,0.7569,0.742,0.8347,0.7348,0.7569,27701620.27,27701620.27
35,2021-07-25,0.7329,0.7649,0.7065,0.7427,0.7329,0.7649,0.7065,0.7427,12770673.21,12770673.21
36,2021-07-24,0.6859,0.7435,0.6803,0.7329,0.6859,0.7435,0.6803,0.7329,18161378.67,18161378.67
37,2021-07-23,0.6515,0.6916,0.6425,0.6852,0.6515,0.6916,0.6425,0.6852,16378309.64,16378309.64
38,2021-07-22,0.6492,0.6643,0.6296,0.6513,0.6492,0.6643,0.6296,0.6513,11021041.96,11021041.96
39,2021-07-21,0.59,0.6547,0.5753,0.6491,0.59,0.6547,0.5753,0.6491,17003442.94,17003442.94
40,2021-07-20,0.6248,0.6386,0.5738,0.59,0.6248,0.6386,0.5738,0.59,17243497.44,17243497.44
41,2021-07-19,0.6834,0.69,0.62,0.6247,0.6834,0.69,0.62,0.6247,14149533.92,14149533.92
42,2021-07-18,0.6875,0.72,0.6653,0.6833,0.6875,0.72,0.6653,0.6833,10896059.33,10896059.33
43,2021-07-17,0.6568,0.7199,0.648,0.6872,0.6568,0.7199,0.648,0.6872,15557628.33,15557628.33
44,2021-07-16,0.6938,0.7146,0.6522,0.6568,0.6938,0.7146,0.6522,0.6568,11532546.85,11532546.85
45,2021-07-15,0.7402,0.7554,0.6832,0.6936,0.7402,0.7554,0.6832,0.6936,12266110.46,12266110.46
46,2021-07-14,0.7559,0.7586,0.6958,0.7408,0.7559,0.7586,0.6958,0.7408,13329942.19,13329942.19
47,2021-07-13,0.793,0.812,0.732,0.7559,0.793,0.812,0.732,0.7559,12609455.77,12609455.77
48,2021-07-12,0.8405,0.845,0.7814,0.7931,0.8405,0.845,0.7814,0.7931,7583361.1,7583361.1
49,2021-07-11,0.7912,0.8513,0.7781,0.8403,0.7912,0.8513,0.7781,0.8403,9795322.43,9795322.43
50,2021-07-10,0.8198,0.856,0.776,0.7916,0.8198,0.856,0.776,0.7916,9186823.56,9186823.56
