,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,305.2,310.1,304.2,308.6,305.2,310.1,304.2,308.6,3877.451,3877.451
1,2021-08-28,305.6,320.9,296.3,305.2,305.6,320.9,296.3,305.2,121826.0727,121826.0727
2,2021-08-27,277.1,312.0,266.3,305.7,277.1,312.0,266.3,305.7,229463.5956,229463.5956
3,2021-08-26,303.53,310.95,273.4,277.1,303.53,310.95,273.4,277.1,148429.0197,148429.0197
4,2021-08-25,296.07,309.33,283.01,303.7,296.07,309.33,283.01,303.7,121921.1679,121921.1679
5,2021-08-24,328.11,332.47,285.3,296.0,328.11,332.47,285.3,296.0,157971.5935,157971.5935
6,2021-08-23,330.79,341.0,320.75,328.18,330.79,341.0,320.75,328.18,112615.2083,112615.2083
7,2021-08-22,328.25,343.58,314.0,330.65,328.25,343.58,314.0,330.65,105173.7986,105173.7986
8,2021-08-21,345.63,353.0,325.98,328.14,345.63,353.0,325.98,328.14,132657.5088,132657.5088
9,2021-08-20,327.64,350.33,313.17,345.89,327.64,350.33,313.17,345.89,244745.9855,244745.9855
10,2021-08-19,281.5,334.4,275.1,327.68,281.5,334.4,275.1,327.68,372743.6442,372743.6442
11,2021-08-18,277.66,304.0,261.01,281.47,277.66,304.0,261.01,281.47,237208.0985,237208.0985
12,2021-08-17,299.59,325.0,267.37,277.54,299.59,325.0,267.37,277.54,288751.2175,288751.2175
13,2021-08-16,273.83,318.5,269.96,299.59,273.83,318.5,269.96,299.59,327423.3812,327423.3812
14,2021-08-15,272.91,277.95,260.0,273.69,272.91,277.95,260.0,273.69,109719.1687,109719.1687
15,2021-08-14,281.04,285.84,263.05,272.79,281.04,285.84,263.05,272.79,130083.5429,130083.5429
16,2021-08-13,261.5,283.71,260.32,281.04,261.5,283.71,260.32,281.04,148699.8963,148699.8963
17,2021-08-12,267.6,279.9,246.71,261.69,267.6,279.9,246.71,261.69,200760.6365,200760.6365
18,2021-08-11,241.37,300.0,241.11,267.61,241.37,300.0,241.11,267.61,315874.7223,315874.7223
19,2021-08-10,221.66,254.12,217.03,241.08,221.66,254.12,217.03,241.08,269409.6765,269409.6765
20,2021-08-09,215.78,229.58,207.1,221.5,215.78,229.58,207.1,221.5,145717.1704,145717.1704
21,2021-08-08,235.08,235.71,211.3,215.73,235.08,235.71,211.3,215.73,125565.1019,125565.1019
22,2021-08-07,227.58,243.4,223.32,235.08,227.58,243.4,223.32,235.08,167197.8849,167197.8849
23,2021-08-06,215.93,236.61,211.2,227.46,215.93,236.61,211.2,227.46,173378.5514,173378.5514
24,2021-08-05,215.25,219.7,202.52,216.02,215.25,219.7,202.52,216.02,109973.6076,109973.6076
25,2021-08-04,201.99,218.6,198.51,215.18,201.99,218.6,198.51,215.18,103050.0276,103050.0276
26,2021-08-03,204.85,209.16,192.52,201.96,204.85,209.16,192.52,201.96,101169.3549,101169.3549
27,2021-08-02,206.69,211.42,200.67,204.81,206.69,211.42,200.67,204.81,108975.9384,108975.9384
28,2021-08-01,198.79,223.3,195.68,206.7,198.79,223.3,195.68,206.7,297903.3217,297903.3217
29,2021-07-31,194.53,204.0,191.0,198.34,194.53,204.0,191.0,198.34,130779.7794,130779.7794
