,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,15.3,15.483,15.135,15.365,15.3,15.483,15.135,15.365,232304.07,232304.07
1,2021-07-21,13.744,15.797,13.46,15.297,13.744,15.797,13.46,15.297,8493449.369,8493449.369
2,2021-07-20,14.529,14.783,13.384,13.742,14.529,14.783,13.384,13.742,7700512.325,7700512.325
3,2021-07-19,15.475,15.641,14.404,14.528,15.475,15.641,14.404,14.528,5829694.304,5829694.304
4,2021-07-18,15.352,16.078,15.155,15.47,15.352,16.078,15.155,15.47,3946695.121,3946695.121
5,2021-07-17,15.234,15.678,15.02,15.352,15.234,15.678,15.02,15.352,5177561.722,5177561.722
6,2021-07-16,15.764,16.33,15.125,15.234,15.764,16.33,15.125,15.234,5213696.453,5213696.453
7,2021-07-15,16.936,17.238,15.517,15.764,16.936,17.238,15.517,15.764,6244804.485,6244804.485
8,2021-07-14,16.873,17.419,16.014,16.936,16.873,17.419,16.014,16.936,5451319.438,5451319.438
9,2021-07-13,17.514,17.766,16.663,16.87,17.514,17.766,16.663,16.87,3654707.118,3654707.118
10,2021-07-12,18.382,18.609,17.0,17.518,18.382,18.609,17.0,17.518,3787713.432,3787713.432
11,2021-07-11,18.209,18.581,17.861,18.383,18.209,18.581,17.861,18.383,2750998.477,2750998.477
12,2021-07-10,18.656,18.988,17.734,18.204,18.656,18.988,17.734,18.204,4080693.184,4080693.184
13,2021-07-09,18.365,18.877,17.617,18.656,18.365,18.877,17.617,18.656,5274715.584,5274715.584
14,2021-07-08,19.786,19.873,18.138,18.353,19.786,19.873,18.138,18.353,7810651.198,7810651.198
15,2021-07-07,20.073,21.274,19.62,19.788,20.073,21.274,19.62,19.788,7382310.549,7382310.549
16,2021-07-06,18.364,20.271,18.317,20.073,18.364,20.271,18.317,20.073,8365971.342,8365971.342
17,2021-07-05,19.238,19.242,17.767,18.362,19.238,19.242,17.767,18.362,5293286.65,5293286.65
18,2021-07-04,18.543,19.925,18.002,19.242,18.543,19.925,18.002,19.242,4719545.203,4719545.203
19,2021-07-03,18.277,18.894,17.864,18.543,18.277,18.894,17.864,18.543,3457947.186,3457947.186
20,2021-07-02,18.184,18.523,17.256,18.274,18.184,18.523,17.256,18.274,5454370.72,5454370.72
21,2021-07-01,19.517,19.533,17.603,18.186,19.517,19.533,17.603,18.186,6081147.359,6081147.359
22,2021-06-30,19.531,19.776,18.149,19.516,19.531,19.776,18.149,19.516,7407061.566,7407061.566
23,2021-06-29,18.83,20.546,18.752,19.535,18.83,20.546,18.752,19.535,7920272.502,7920272.502
24,2021-06-28,18.407,19.434,17.902,18.83,18.407,19.434,17.902,18.83,7730969.378,7730969.378
25,2021-06-27,16.951,18.412,16.591,18.406,16.951,18.412,16.591,18.406,6672229.029,6672229.029
26,2021-06-26,16.872,17.495,15.92,16.952,16.872,17.495,15.92,16.952,8397555.9,8397555.9
27,2021-06-25,19.06,19.5,16.813,16.87,19.06,19.5,16.813,16.87,10064722.521,10064722.521
28,2021-06-24,18.393,19.525,17.352,19.06,18.393,19.525,17.352,19.06,6913929.289,6913929.289
29,2021-06-23,16.84,19.199,16.149,18.395,16.84,19.199,16.149,18.395,10955575.372,10955575.372
30,2021-06-22,17.357,18.797,15.0,16.85,17.357,18.797,15.0,16.85,19816152.567,19816152.567
31,2021-06-21,21.641,21.881,16.981,17.365,21.641,21.881,16.981,17.365,16334287.906,16334287.906
32,2021-06-20,20.263,22.071,19.077,21.646,20.263,22.071,19.077,21.646,6747456.736,6747456.736
33,2021-06-19,21.236,21.95,20.0,20.246,21.236,21.95,20.0,20.246,5051884.872,5051884.872
34,2021-06-18,23.401,23.425,20.526,21.233,23.401,23.425,20.526,21.233,6991986.015,6991986.015
