,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,175.7,179.5,175.2,179.0,175.7,179.5,175.2,179.0,51062.4705,51062.4705
1,2021-08-28,176.2,177.1,171.3,175.6,176.2,177.1,171.3,175.6,316185.26963,316185.26963
2,2021-08-27,167.7,176.35,165.0,176.2,167.7,176.35,165.0,176.2,456121.02531,456121.02531
3,2021-08-26,177.76,180.18,164.9,167.7,177.76,180.18,164.9,167.7,568905.75324,568905.75324
4,2021-08-25,173.39,179.0,169.06,177.75,173.39,179.0,169.06,177.75,617983.0803,617983.0803
5,2021-08-24,186.98,188.64,172.25,173.42,186.98,188.64,172.25,173.42,780692.69421,780692.69421
6,2021-08-23,185.85,191.94,183.61,187.01,185.85,191.94,183.61,187.01,877311.28336,877311.28336
7,2021-08-22,179.57,189.6,178.38,185.91,179.57,189.6,178.38,185.91,935874.98336,935874.98336
8,2021-08-21,183.59,184.48,176.52,179.63,183.59,184.48,176.52,179.63,644225.29965,644225.29965
9,2021-08-20,175.57,184.11,174.11,183.59,175.57,184.11,174.11,183.59,708140.15383,708140.15383
10,2021-08-19,166.64,175.82,162.66,175.59,166.64,175.82,162.66,175.59,682216.29479,682216.29479
11,2021-08-18,168.6,174.54,162.92,166.65,168.6,174.54,162.92,166.65,694819.54486,694819.54486
12,2021-08-17,177.96,184.38,168.01,168.61,177.96,184.38,168.01,168.61,781038.75082,781038.75082
13,2021-08-16,184.59,189.03,176.35,177.93,184.59,189.03,176.35,177.93,898330.4154,898330.4154
14,2021-08-15,182.78,186.55,175.18,184.6,182.78,186.55,175.18,184.6,948648.90733,948648.90733
15,2021-08-14,183.32,185.11,174.62,182.76,183.32,185.11,174.62,182.76,944596.30069,944596.30069
16,2021-08-13,165.41,184.57,164.0,183.31,165.41,184.57,164.0,183.31,1122682.76822,1122682.76822
17,2021-08-12,170.57,179.74,160.77,165.38,170.57,179.74,160.77,165.38,987267.21224,987267.21224
18,2021-08-11,165.38,176.07,164.23,170.6,165.38,176.07,164.23,170.6,914647.0176,914647.0176
19,2021-08-10,166.27,168.28,158.79,165.38,166.27,168.28,158.79,165.38,894686.73503,894686.73503
20,2021-08-09,149.69,170.78,145.15,166.31,149.69,170.78,145.15,166.31,1165618.32076,1165618.32076
21,2021-08-08,155.92,157.63,147.0,149.69,155.92,157.63,147.0,149.69,700140.23658,700140.23658
22,2021-08-07,147.93,156.39,147.06,155.92,147.93,156.39,147.06,155.92,878574.53896,878574.53896
23,2021-08-06,143.51,150.9,141.73,147.95,143.51,150.9,141.73,147.95,685973.67511,685973.67511
24,2021-08-05,142.57,145.19,136.12,143.53,142.57,145.19,136.12,143.53,615027.38819,615027.38819
25,2021-08-04,138.49,144.5,135.54,142.57,138.49,144.5,135.54,142.57,486488.33119,486488.33119
26,2021-08-03,141.32,143.24,135.6,138.49,141.32,143.24,135.6,138.49,402821.08451,402821.08451
27,2021-08-02,140.31,145.93,138.76,141.35,140.31,145.93,138.76,141.35,419849.68249,419849.68249
28,2021-08-01,144.35,149.78,138.04,140.31,144.35,149.78,138.04,140.31,584699.77102,584699.77102
29,2021-07-31,145.51,146.6,141.83,144.37,145.51,146.6,141.83,144.37,388737.61543,388737.61543
30,2021-07-30,141.44,145.88,135.86,145.51,141.44,145.88,135.86,145.51,605847.24082,605847.24082
31,2021-07-29,140.48,143.0,136.55,141.44,140.48,143.0,136.55,141.44,542641.00192,542641.00192
32,2021-07-28,134.73,142.0,132.39,140.42,134.73,142.0,132.39,140.42,729936.12774,729936.12774
33,2021-07-27,131.06,135.12,127.27,134.74,131.06,135.12,127.27,134.74,607384.02252,607384.02252
34,2021-07-26,127.64,140.47,126.85,131.06,127.64,140.47,126.85,131.06,1052092.77379,1052092.77379
35,2021-07-25,126.0,127.99,123.51,127.68,126.0,127.99,123.51,127.68,392963.87036,392963.87036
36,2021-07-24,124.27,127.7,123.29,125.99,124.27,127.7,123.29,125.99,432891.78019,432891.78019
37,2021-07-23,120.69,124.78,117.02,124.24,120.69,124.78,117.02,124.24,404160.06952,404160.06952
38,2021-07-22,117.77,122.0,115.61,120.67,117.77,122.0,115.61,120.67,464759.47146,464759.47146
39,2021-07-21,107.31,119.24,105.05,117.74,107.31,119.24,105.05,117.74,682039.47283,682039.47283
40,2021-07-20,113.14,115.09,103.83,107.29,113.14,115.09,103.83,107.29,766236.24738,766236.24738
41,2021-07-19,119.16,120.75,111.82,113.13,119.16,120.75,111.82,113.13,493082.96266,493082.96266
42,2021-07-18,120.0,124.05,116.23,119.17,120.0,124.05,116.23,119.17,430985.21457,430985.21457
43,2021-07-17,120.66,122.92,117.68,119.95,120.66,122.92,117.68,119.95,425298.69428,425298.69428
44,2021-07-16,125.88,127.87,120.38,120.65,125.88,127.87,120.38,120.65,422183.01506,422183.01506
45,2021-07-15,131.06,133.13,121.93,125.86,131.06,133.13,121.93,125.86,494375.7243,494375.7243
46,2021-07-14,131.45,132.42,123.59,131.07,131.45,132.42,123.59,131.07,538916.43958,538916.43958
47,2021-07-13,133.32,134.61,129.35,131.44,133.32,134.61,129.35,131.44,454856.67168,454856.67168
48,2021-07-12,134.28,139.75,131.82,133.38,134.28,139.75,131.82,133.38,670917.62355,670917.62355
49,2021-07-11,133.99,136.48,132.08,134.28,133.99,136.48,132.08,134.28,324968.57149,324968.57149
50,2021-07-10,134.54,136.82,130.32,133.99,134.54,136.82,130.32,133.99,365844.86832,365844.86832
51,2021-07-09,132.11,135.85,126.0,134.58,132.11,135.85,126.0,134.58,527547.82163,527547.82163
52,2021-07-08,137.38,137.74,127.77,132.15,137.38,137.74,127.77,132.15,645442.57112,645442.57112
53,2021-07-07,138.86,142.93,136.87,137.41,138.86,142.93,136.87,137.41,520913.20131,520913.20131
54,2021-07-06,137.76,142.73,135.6,138.87,137.76,142.73,135.6,138.87,530800.52733,530800.52733
55,2021-07-05,144.96,145.03,133.84,137.71,144.96,145.03,133.84,137.71,561680.84949,561680.84949
56,2021-07-04,140.19,148.1,136.88,144.95,140.19,148.1,136.88,144.95,443949.92264,443949.92264
57,2021-07-03,136.87,141.37,134.57,140.17,136.87,141.37,134.57,140.17,351451.49767,351451.49767
58,2021-07-02,137.01,138.97,130.6,136.85,137.01,138.97,130.6,136.85,467041.14947,467041.14947
59,2021-07-01,144.31,144.31,133.99,137.02,144.31,144.31,133.99,137.02,539535.2997,539535.2997
60,2021-06-30,144.23,146.94,136.01,144.26,144.23,146.94,136.01,144.26,629619.41847,629619.41847
61,2021-06-29,137.68,149.18,137.24,144.2,137.68,149.18,137.24,144.2,898148.69711,898148.69711
62,2021-06-28,132.57,139.55,129.89,137.69,132.57,139.55,129.89,137.69,703645.47159,703645.47159
63,2021-06-27,126.81,132.67,124.66,132.6,126.81,132.67,124.66,132.6,573388.24688,573388.24688
64,2021-06-26,125.03,129.44,118.67,126.89,125.03,129.44,118.67,126.89,871924.09227,871924.09227
65,2021-06-25,134.59,138.45,124.31,125.0,134.59,138.45,124.31,125.0,764515.33892,764515.33892
66,2021-06-24,129.13,137.36,123.71,134.58,129.13,137.36,123.71,134.58,660335.54019,660335.54019
67,2021-06-23,119.69,133.75,115.49,129.1,119.69,133.75,115.49,129.1,1020444.64312,1020444.64312
68,2021-06-22,124.38,133.03,104.92,119.64,124.38,133.03,104.92,119.64,2255757.11457,2255757.11457
69,2021-06-21,154.87,155.5,123.91,124.46,154.87,155.5,123.91,124.46,1492819.3793,1492819.3793
70,2021-06-20,152.51,156.18,143.75,154.88,152.51,156.18,143.75,154.88,611253.37603,611253.37603
71,2021-06-19,156.33,160.88,152.31,152.49,156.33,160.88,152.31,152.49,523073.02283,523073.02283
72,2021-06-18,167.13,167.43,151.2,156.34,167.13,167.43,151.2,156.34,800699.30384,800699.30384
73,2021-06-17,166.56,173.4,162.81,167.08,166.56,173.4,162.81,167.08,559434.62367,559434.62367
74,2021-06-16,175.16,177.31,164.23,166.57,175.16,177.31,164.23,166.57,761479.45263,761479.45263
75,2021-06-15,179.88,181.2,172.15,175.15,179.88,181.2,172.15,175.15,654352.05304,654352.05304
76,2021-06-14,170.85,179.99,166.34,179.89,170.85,179.99,166.34,179.89,802051.95645,802051.95645
77,2021-06-13,161.81,171.59,156.42,170.85,161.81,171.59,156.42,170.85,573493.90783,573493.90783
78,2021-06-12,162.84,164.3,154.14,161.8,162.84,164.3,154.14,161.8,653167.31003,653167.31003
79,2021-06-11,168.18,173.78,160.55,162.83,168.18,173.78,160.55,162.83,928611.54446,928611.54446
80,2021-06-10,172.54,174.61,162.12,168.16,172.54,174.61,162.12,168.16,878866.63371,878866.63371
81,2021-06-09,160.64,173.3,152.31,172.56,160.64,173.3,152.31,172.56,1139739.36054,1139739.36054
82,2021-06-08,161.92,164.48,144.89,160.63,161.92,164.48,144.89,160.63,1417289.87647,1417289.87647
83,2021-06-07,176.42,182.22,160.25,161.95,176.42,182.22,160.25,161.95,1035822.82509,1035822.82509
84,2021-06-06,172.95,179.96,172.02,176.41,172.95,179.96,172.02,176.41,677386.36378,677386.36378
85,2021-06-05,178.46,185.49,167.32,172.94,178.46,185.49,167.32,172.94,846082.98073,846082.98073
86,2021-06-04,193.52,193.81,168.95,178.44,193.52,193.81,168.95,178.44,1130262.18071,1130262.18071
87,2021-06-03,187.18,197.78,181.95,193.5,187.18,197.78,181.95,193.5,1079806.82442,1079806.82442
88,2021-06-02,183.05,191.34,178.27,187.14,183.05,191.34,178.27,187.14,976844.03214,976844.03214
89,2021-06-01,188.01,193.16,175.82,182.99,188.01,193.16,175.82,182.99,1081241.44408,1081241.44408
90,2021-05-31,170.48,188.5,163.5,187.97,170.48,188.5,163.5,187.97,1242054.05369,1242054.05369
91,2021-05-30,164.04,181.1,155.11,170.51,164.04,181.1,155.11,170.51,1123365.50693,1123365.50693
92,2021-05-29,177.3,188.69,157.65,164.01,177.3,188.69,157.65,164.01,1554075.0432,1554075.0432
93,2021-05-28,194.31,198.88,165.5,177.33,194.31,198.88,165.5,177.33,2118247.13851,2118247.13851
94,2021-05-27,198.92,209.0,180.39,194.32,198.92,209.0,180.39,194.32,1457775.38448,1457775.38448
95,2021-05-26,183.89,204.13,179.42,198.91,183.89,204.13,179.42,198.91,1540975.47323,1540975.47323
96,2021-05-25,185.32,194.61,167.15,183.76,185.32,194.61,167.15,183.76,1974384.43463,1974384.43463
97,2021-05-24,142.52,185.37,139.54,185.32,142.52,185.37,139.54,185.32,2491240.93285,2491240.93285
98,2021-05-23,169.3,176.26,118.03,142.39,169.3,176.26,118.03,142.39,3854006.12408,3854006.12408
99,2021-05-22,179.97,184.44,161.61,169.32,179.97,184.44,161.61,169.32,1983438.52337,1983438.52337
100,2021-05-21,210.66,219.12,156.56,179.97,210.66,219.12,156.56,179.97,2998819.79591,2998819.79591
101,2021-05-20,186.31,225.0,166.45,210.74,186.31,225.0,166.45,210.74,4269465.92695,4269465.92695
102,2021-05-19,293.98,300.31,147.0,185.93,293.98,300.31,147.0,185.93,6731555.34383,6731555.34383
103,2021-05-18,281.38,317.97,278.32,293.98,281.38,317.97,278.32,293.98,2558765.69804,2558765.69804
104,2021-05-17,295.89,296.34,261.27,281.53,295.89,296.34,261.27,281.53,2079261.84526,2079261.84526
105,2021-05-16,300.22,323.95,279.66,295.89,300.22,323.95,279.66,295.89,1693568.12752,1693568.12752
106,2021-05-15,326.24,332.0,296.17,300.3,326.24,332.0,296.17,300.3,1486176.50537,1486176.50537
107,2021-05-14,317.95,338.85,307.96,326.23,317.95,338.85,307.96,326.23,1482325.51445,1482325.51445
108,2021-05-13,310.4,332.73,291.0,317.95,310.4,332.73,291.0,317.95,2979065.55728,2979065.55728
109,2021-05-12,377.8,394.37,301.0,310.4,377.8,394.37,301.0,310.4,2537826.91562,2537826.91562
110,2021-05-11,358.93,379.72,345.0,377.6,358.93,379.72,345.0,377.6,2031121.35038,2031121.35038
111,2021-05-10,387.77,413.49,333.68,358.89,387.77,413.49,333.68,358.89,3830553.73813,3830553.73813
112,2021-05-09,347.17,389.0,333.51,387.8,347.17,389.0,333.51,387.8,2292100.05852,2292100.05852
113,2021-05-08,344.89,356.68,334.0,347.1,344.89,356.68,334.0,347.1,1327716.1907,1327716.1907
114,2021-05-07,354.52,374.5,333.33,344.89,354.52,374.5,333.33,344.89,2822668.46597,2822668.46597
115,2021-05-06,356.03,364.93,318.0,354.67,356.03,364.93,318.0,354.67,2752093.00755,2752093.00755
116,2021-05-05,305.24,360.0,300.52,356.04,305.24,360.0,300.52,356.04,3748897.98686,3748897.98686
117,2021-05-04,294.73,327.68,270.0,305.23,294.73,327.68,270.0,305.23,3939316.56899,3939316.56899
118,2021-05-03,268.83,299.72,268.44,294.87,268.83,299.72,268.44,294.87,1427253.57143,1427253.57143
119,2021-05-02,276.77,277.47,264.7,268.88,276.77,277.47,264.7,268.88,656429.21428,656429.21428
120,2021-05-01,271.14,278.58,265.9,276.78,271.14,278.58,265.9,276.78,759685.23196,759685.23196
121,2021-04-30,255.31,273.58,252.61,271.13,255.31,273.58,252.61,271.13,1037748.69625,1037748.69625
