,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,6.615,6.748,6.569,6.697,6.615,6.748,6.569,6.697,207222.085,207222.085
1,2021-07-21,5.867,6.796,5.691,6.602,5.867,6.796,5.691,6.602,8025391.81,8025391.81
2,2021-07-20,5.974,6.057,5.589,5.867,5.974,6.057,5.589,5.867,5674011.602,5674011.602
3,2021-07-19,6.489,6.532,5.924,5.97,6.489,6.532,5.924,5.97,5354185.406,5354185.406
4,2021-07-18,6.492,6.892,6.464,6.483,6.492,6.892,6.464,6.483,4442784.929,4442784.929
5,2021-07-17,6.56,6.795,6.26,6.495,6.56,6.795,6.26,6.495,6087501.538,6087501.538
6,2021-07-16,6.667,7.009,6.214,6.56,6.667,7.009,6.214,6.56,8465474.652,8465474.652
7,2021-07-15,6.933,7.222,6.491,6.665,6.933,7.222,6.491,6.665,7521396.691,7521396.691
8,2021-07-14,7.118,7.456,6.578,6.933,7.118,7.456,6.578,6.933,14992845.592,14992845.592
9,2021-07-13,7.864,8.15,6.955,7.119,7.864,8.15,6.955,7.119,8603893.098,8603893.098
10,2021-07-12,8.445,8.57,7.533,7.864,8.445,8.57,7.533,7.864,9149241.833,9149241.833
11,2021-07-11,7.893,8.728,7.886,8.444,7.893,8.728,7.886,8.444,12097308.515,12097308.515
12,2021-07-10,8.102,8.6,7.462,7.893,8.102,8.6,7.462,7.893,13108450.952,13108450.952
13,2021-07-09,6.708,8.45,6.439,8.103,6.708,8.45,6.439,8.103,20640778.758,20640778.758
14,2021-07-08,7.1,7.214,6.407,6.708,7.1,7.214,6.407,6.708,12714171.666,12714171.666
15,2021-07-07,6.525,7.7,6.44,7.104,6.525,7.7,6.44,7.104,17137934.023,17137934.023
16,2021-07-06,6.015,6.568,5.964,6.529,6.015,6.568,5.964,6.529,9403857.886,9403857.886
17,2021-07-05,5.957,6.2,5.6,6.015,5.957,6.2,5.6,6.015,5216499.162,5216499.162
