,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.58,0.6063,0.5707,0.5979,0.58,0.6063,0.5707,0.5979,2546509.46,2546509.46
1,2021-07-21,0.5167,0.5886,0.5017,0.58,0.5167,0.5886,0.5017,0.58,28069459.78,28069459.78
2,2021-07-20,0.5607,0.5631,0.4917,0.5168,0.5607,0.5631,0.4917,0.5168,23466050.72,23466050.72
3,2021-07-19,0.6114,0.6158,0.5562,0.5604,0.6114,0.6158,0.5562,0.5604,15819157.07,15819157.07
4,2021-07-18,0.6041,0.6513,0.598,0.6115,0.6041,0.6513,0.598,0.6115,26000240.31,26000240.31
5,2021-07-17,0.6057,0.6171,0.587,0.6043,0.6057,0.6171,0.587,0.6043,25039195.12,25039195.12
6,2021-07-16,0.6622,0.6843,0.6038,0.6058,0.6622,0.6843,0.6038,0.6058,36595919.56,36595919.56
7,2021-07-15,0.7137,0.7575,0.6411,0.663,0.7137,0.7575,0.6411,0.663,85883948.19,85883948.19
8,2021-07-14,0.6508,0.747,0.5862,0.7136,0.6508,0.747,0.5862,0.7136,72371964.39,72371964.39
9,2021-07-13,0.6768,0.71,0.6356,0.6499,0.6768,0.71,0.6356,0.6499,44994254.76,44994254.76
10,2021-07-12,0.7445,0.7447,0.6619,0.6767,0.7445,0.7447,0.6619,0.6767,34740531.0,34740531.0
11,2021-07-11,0.7499,0.7848,0.7174,0.7439,0.7499,0.7848,0.7174,0.7439,47712060.23,47712060.23
12,2021-07-10,0.6942,0.7857,0.6821,0.7493,0.6942,0.7857,0.6821,0.7493,104238024.73,104238024.73
13,2021-07-09,0.6401,0.7219,0.5982,0.6944,0.6401,0.7219,0.5982,0.6944,76183982.24,76183982.24
14,2021-07-08,0.7223,0.8476,0.6211,0.6406,0.7223,0.8476,0.6211,0.6406,125148852.98,125148852.98
15,2021-07-07,0.6132,0.7888,0.6074,0.7223,0.6132,0.7888,0.6074,0.7223,90010962.58,90010962.58
16,2021-07-06,0.5467,0.635,0.5454,0.6135,0.5467,0.635,0.5454,0.6135,28381498.3,28381498.3
17,2021-07-05,0.5807,0.5809,0.53,0.5464,0.5807,0.5809,0.53,0.5464,15784440.5,15784440.5
18,2021-07-04,0.5621,0.5992,0.5405,0.5807,0.5621,0.5992,0.5405,0.5807,14345388.53,14345388.53
19,2021-07-03,0.5391,0.573,0.5292,0.5616,0.5391,0.573,0.5292,0.5616,6679233.14,6679233.14
20,2021-07-02,0.5511,0.56,0.5099,0.5391,0.5511,0.56,0.5099,0.5391,7803195.45,7803195.45
21,2021-07-01,0.5802,0.597,0.5222,0.5504,0.5802,0.597,0.5222,0.5504,15035823.43,15035823.43
22,2021-06-30,0.5504,0.5812,0.5143,0.58,0.5504,0.5812,0.5143,0.58,16148530.58,16148530.58
23,2021-06-29,0.5077,0.5633,0.505,0.5507,0.5077,0.5633,0.505,0.5507,11436441.96,11436441.96
24,2021-06-28,0.4941,0.517,0.484,0.5077,0.4941,0.517,0.484,0.5077,9261119.38,9261119.38
25,2021-06-27,0.4701,0.4954,0.4533,0.4938,0.4701,0.4954,0.4533,0.4938,7742093.43,7742093.43
26,2021-06-26,0.4728,0.4915,0.4378,0.4698,0.4728,0.4915,0.4378,0.4698,9707349.45,9707349.45
27,2021-06-25,0.5263,0.546,0.4652,0.472,0.5263,0.546,0.4652,0.472,13134865.77,13134865.77
28,2021-06-24,0.5033,0.5514,0.4679,0.5261,0.5033,0.5514,0.4679,0.5261,16460020.32,16460020.32
29,2021-06-23,0.4376,0.5114,0.4141,0.5034,0.4376,0.5114,0.4141,0.5034,21171978.49,21171978.49
30,2021-06-22,0.464,0.5078,0.3715,0.4372,0.464,0.5078,0.3715,0.4372,37044980.02,37044980.02
31,2021-06-21,0.6228,0.6272,0.4616,0.4634,0.6228,0.6272,0.4616,0.4634,22429899.36,22429899.36
32,2021-06-20,0.6303,0.6362,0.5775,0.623,0.6303,0.6362,0.5775,0.623,7888082.16,7888082.16
33,2021-06-19,0.6473,0.6599,0.6238,0.6301,0.6473,0.6599,0.6238,0.6301,5506544.96,5506544.96
34,2021-06-18,0.6909,0.6909,0.6153,0.6476,0.6909,0.6909,0.6153,0.6476,8930924.46,8930924.46
35,2021-06-17,0.7077,0.7317,0.667,0.6909,0.7077,0.7317,0.667,0.6909,10285208.88,10285208.88
36,2021-06-16,0.7107,0.7612,0.686,0.7082,0.7107,0.7612,0.686,0.7082,26132801.15,26132801.15
37,2021-06-15,0.7113,0.7391,0.6912,0.7104,0.7113,0.7391,0.6912,0.7104,10819544.87,10819544.87
38,2021-06-14,0.693,0.7161,0.6743,0.712,0.693,0.7161,0.6743,0.712,10003826.28,10003826.28
39,2021-06-13,0.6579,0.6983,0.6401,0.6934,0.6579,0.6983,0.6401,0.6934,8997532.71,8997532.71
40,2021-06-12,0.6943,0.696,0.6266,0.657,0.6943,0.696,0.6266,0.657,15663759.46,15663759.46
41,2021-06-11,0.6976,0.7924,0.6749,0.6943,0.6976,0.7924,0.6749,0.6943,35657260.11,35657260.11
42,2021-06-10,0.7377,0.7417,0.6771,0.6981,0.7377,0.7417,0.6771,0.6981,10175220.15,10175220.15
43,2021-06-09,0.711,0.7418,0.6639,0.7375,0.711,0.7418,0.6639,0.7375,14203789.89,14203789.89
44,2021-06-08,0.7401,0.7567,0.628,0.7115,0.7401,0.7567,0.628,0.7115,19278722.15,19278722.15
45,2021-06-07,0.8216,0.8333,0.7291,0.7407,0.8216,0.8333,0.7291,0.7407,11616278.28,11616278.28
46,2021-06-06,0.8149,0.8306,0.8009,0.8216,0.8149,0.8306,0.8009,0.8216,6262029.49,6262029.49
47,2021-06-05,0.8157,0.89,0.7876,0.8157,0.8157,0.89,0.7876,0.8157,22235852.04,22235852.04
48,2021-06-04,0.8886,0.8999,0.7714,0.8145,0.8886,0.8999,0.7714,0.8145,23221536.24,23221536.24
49,2021-06-03,0.8572,0.9039,0.8387,0.889,0.8572,0.9039,0.8387,0.889,14341143.64,14341143.64
50,2021-06-02,0.8302,0.8758,0.8078,0.8572,0.8302,0.8758,0.8078,0.8572,14164029.96,14164029.96
51,2021-06-01,0.8486,0.8689,0.7989,0.8294,0.8486,0.8689,0.7989,0.8294,13018388.82,13018388.82
52,2021-05-31,0.7821,0.8566,0.7384,0.8487,0.7821,0.8566,0.7384,0.8487,17293597.61,17293597.61
53,2021-05-30,0.7467,0.84,0.6917,0.7813,0.7467,0.84,0.6917,0.7813,20970567.29,20970567.29
54,2021-05-29,0.813,0.8439,0.6955,0.7462,0.813,0.8439,0.6955,0.7462,21522759.64,21522759.64
55,2021-05-28,0.8985,0.9438,0.771,0.813,0.8985,0.9438,0.771,0.813,32995240.64,32995240.64
56,2021-05-27,1.006,1.0189,0.8551,0.8992,1.006,1.0189,0.8551,0.8992,42416833.12,42416833.12
57,2021-05-26,0.7859,1.0097,0.762,1.006,0.7859,1.0097,0.762,1.006,61962059.87,61962059.87
58,2021-05-25,0.7799,0.8508,0.7168,0.786,0.7799,0.8508,0.7168,0.786,35854623.14,35854623.14
59,2021-05-24,0.6212,0.7835,0.588,0.7799,0.6212,0.7835,0.588,0.7799,57659287.45,57659287.45
60,2021-05-23,0.7581,0.8031,0.4893,0.6202,0.7581,0.8031,0.4893,0.6202,54725859.56,54725859.56
61,2021-05-22,0.8169,0.8245,0.6953,0.757,0.8169,0.8245,0.6953,0.757,36947343.24,36947343.24
62,2021-05-21,0.9555,1.0036,0.7,0.8164,0.9555,1.0036,0.7,0.8164,45659051.85,45659051.85
63,2021-05-20,0.7711,1.0098,0.6809,0.9562,0.7711,1.0098,0.6809,0.9562,60817366.32,60817366.32
64,2021-05-19,1.1246,1.1621,0.4996,0.7718,1.1246,1.1621,0.4996,0.7718,91186763.93,91186763.93
65,2021-05-18,1.0599,1.2626,1.0488,1.1248,1.0599,1.2626,1.0488,1.1248,42475251.42,42475251.42
66,2021-05-17,1.1797,1.1803,1.0092,1.0597,1.1797,1.1803,1.0092,1.0597,39340296.55,39340296.55
67,2021-05-16,1.2022,1.2887,1.0956,1.1797,1.2022,1.2887,1.0956,1.1797,24045162.55,24045162.55
68,2021-05-15,1.2925,1.3084,1.1972,1.2024,1.2925,1.3084,1.1972,1.2024,16215210.06,16215210.06
69,2021-05-14,1.2536,1.3292,1.23,1.2918,1.2536,1.3292,1.23,1.2918,14163560.89,14163560.89
70,2021-05-13,1.2256,1.3163,1.1581,1.2534,1.2256,1.3163,1.1581,1.2534,28806438.04,28806438.04
71,2021-05-12,1.4303,1.45,1.2067,1.2256,1.4303,1.45,1.2067,1.2256,18922125.31,18922125.31
72,2021-05-11,1.3261,1.4314,1.3,1.4291,1.3261,1.4314,1.3,1.4291,21566134.09,21566134.09
73,2021-05-10,1.4913,1.515,1.2193,1.3284,1.4913,1.515,1.2193,1.3284,39221814.69,39221814.69
74,2021-05-09,1.444,1.5243,1.3539,1.4923,1.444,1.5243,1.3539,1.4923,27038988.29,27038988.29
75,2021-05-08,1.4654,1.5141,1.4117,1.4418,1.4654,1.5141,1.4117,1.4418,19712199.9,19712199.9
76,2021-05-07,1.571,1.6023,1.4129,1.4645,1.571,1.6023,1.4129,1.4645,45778874.79,45778874.79
77,2021-05-06,1.4185,1.573,1.3446,1.5705,1.4185,1.573,1.3446,1.5705,40428867.57,40428867.57
78,2021-05-05,1.2661,1.4254,1.2556,1.4175,1.2661,1.4254,1.2556,1.4175,27079826.38,27079826.38
79,2021-05-04,1.4042,1.4062,1.2376,1.2661,1.4042,1.4062,1.2376,1.2661,34157824.21,34157824.21
80,2021-05-03,1.4099,1.4774,1.389,1.4039,1.4099,1.4774,1.389,1.4039,25357934.59,25357934.59
81,2021-05-02,1.4622,1.4663,1.3795,1.4082,1.4622,1.4663,1.3795,1.4082,14568685.34,14568685.34
82,2021-05-01,1.4882,1.5,1.4131,1.4624,1.4882,1.5,1.4131,1.4624,18597143.31,18597143.31
83,2021-04-30,1.4576,1.503,1.3974,1.4882,1.4576,1.503,1.3974,1.4882,23647403.28,23647403.28
84,2021-04-29,1.5485,1.555,1.3642,1.4578,1.5485,1.555,1.3642,1.4578,54325284.95,54325284.95
85,2021-04-28,1.3117,1.5579,1.2761,1.5485,1.3117,1.5579,1.2761,1.5485,85457568.93,85457568.93
86,2021-04-27,1.2276,1.33,1.2113,1.3106,1.2276,1.33,1.2113,1.3106,28639086.27,28639086.27
87,2021-04-26,1.0954,1.2478,1.0825,1.2284,1.0954,1.2478,1.0825,1.2284,33581746.45,33581746.45
88,2021-04-25,1.10312,1.1859,1.02641,1.0952,1.10312,1.1859,1.02641,1.0952,18145918.46,18145918.46
89,2021-04-24,1.23712,1.23799,1.095,1.10232,1.23712,1.23799,1.095,1.10232,25715231.8,25715231.8
90,2021-04-23,1.24524,1.26843,0.90199,1.23726,1.24524,1.26843,0.90199,1.23726,78461491.2,78461491.2
91,2021-04-22,1.33285,1.40939,1.17556,1.24346,1.33285,1.40939,1.17556,1.24346,61737323.1,61737323.1
92,2021-04-21,1.40174,1.46223,1.29945,1.33072,1.40174,1.46223,1.29945,1.33072,60200803.5,60200803.5
93,2021-04-20,1.31309,1.47985,1.1444,1.40175,1.31309,1.47985,1.1444,1.40175,118028998.4,118028998.4
94,2021-04-19,1.35099,1.43,1.15854,1.31194,1.35099,1.43,1.15854,1.31194,73591818.8,73591818.8
95,2021-04-18,1.52024,1.53576,1.0692,1.35348,1.52024,1.53576,1.0692,1.35348,107618762.2,107618762.2
96,2021-04-17,1.30774,1.67,1.23988,1.52025,1.30774,1.67,1.23988,1.52025,162218919.9,162218919.9
97,2021-04-16,1.24003,1.345,1.11,1.30619,1.24003,1.345,1.11,1.30619,96635617.5,96635617.5
98,2021-04-15,1.09123,1.28,1.07048,1.24106,1.09123,1.28,1.07048,1.24106,79462161.4,79462161.4
99,2021-04-14,1.11813,1.12555,1.00209,1.09336,1.11813,1.12555,1.00209,1.09336,32323884.8,32323884.8
100,2021-04-13,1.13004,1.1445,1.0378,1.118,1.13004,1.1445,1.0378,1.118,35932070.7,35932070.7
101,2021-04-12,1.07272,1.2074,1.02725,1.13003,1.07272,1.2074,1.02725,1.13003,83310849.6,83310849.6
102,2021-04-11,1.01285,1.153,1.00113,1.07064,1.01285,1.153,1.00113,1.07064,68180600.2,68180600.2
103,2021-04-10,1.03355,1.04106,0.97,1.01274,1.03355,1.04106,0.97,1.01274,28777464.7,28777464.7
104,2021-04-09,0.98787,1.12035,0.98771,1.03356,0.98787,1.12035,0.98771,1.03356,74862525.5,74862525.5
105,2021-04-08,0.9297,1.0192,0.91191,0.98888,0.9297,1.0192,0.91191,0.98888,40940906.3,40940906.3
106,2021-04-07,0.95768,0.96639,0.8346,0.92977,0.95768,0.96639,0.8346,0.92977,45888668.1,45888668.1
107,2021-04-06,1.00865,1.01183,0.91346,0.95762,1.00865,1.01183,0.91346,0.95762,34878803.2,34878803.2
108,2021-04-05,1.00402,1.018,0.94507,1.00855,1.00402,1.018,0.94507,1.00855,51171446.3,51171446.3
109,2021-04-04,0.94391,1.01559,0.90756,1.00304,0.94391,1.01559,0.90756,1.00304,32939052.1,32939052.1
110,2021-04-03,1.03652,1.0566,0.92,0.94328,1.03652,1.0566,0.92,0.94328,55224463.1,55224463.1
111,2021-04-02,1.01437,1.07132,0.99532,1.03623,1.01437,1.07132,0.99532,1.03623,44534247.7,44534247.7
112,2021-04-01,1.0205,1.07,0.986,1.01434,1.0205,1.07,0.986,1.01434,51272237.4,51272237.4
113,2021-03-31,1.08927,1.08963,0.9703,1.02086,1.08927,1.08963,0.9703,1.02086,59084262.3,59084262.3
114,2021-03-30,1.09402,1.12808,1.0421,1.08913,1.09402,1.12808,1.0421,1.08913,66842349.8,66842349.8
115,2021-03-29,1.143,1.18,1.04561,1.09186,1.143,1.18,1.04561,1.09186,110520742.1,110520742.1
116,2021-03-28,0.925,1.18315,0.90501,1.14178,0.925,1.18315,0.90501,1.14178,195763105.9,195763105.9
117,2021-03-27,0.896,0.985,0.85366,0.92435,0.896,0.985,0.85366,0.92435,67946607.7,67946607.7
118,2021-03-26,0.81778,0.91129,0.81749,0.89597,0.81778,0.91129,0.81749,0.89597,35904848.2,35904848.2
119,2021-03-25,0.85096,0.8888,0.8,0.81651,0.85096,0.8888,0.8,0.81651,44142877.0,44142877.0
120,2021-03-24,0.84694,1.0,0.82,0.85096,0.84694,1.0,0.82,0.85096,83163522.1,83163522.1
121,2021-03-23,0.91512,0.92227,0.81376,0.8476,0.91512,0.92227,0.81376,0.8476,46732729.0,46732729.0
122,2021-03-22,0.9803,0.9898,0.885,0.91511,0.9803,0.9898,0.885,0.91511,48965577.8,48965577.8
123,2021-03-21,0.89713,1.02724,0.87373,0.98207,0.89713,1.02724,0.87373,0.98207,70460767.8,70460767.8
124,2021-03-20,0.96285,1.019,0.88682,0.8949,0.96285,1.019,0.88682,0.8949,56291451.1,56291451.1
125,2021-03-19,0.97987,1.02582,0.94,0.9622,0.97987,1.02582,0.94,0.9622,60132733.7,60132733.7
126,2021-03-18,1.06003,1.08,0.96258,0.97987,1.06003,1.08,0.96258,0.97987,122558833.7,122558833.7
127,2021-03-17,0.909,1.09,0.775,1.05941,0.909,1.09,0.775,1.05941,256363242.4,256363242.4
128,2021-03-16,1.04999,1.07551,0.8444,0.90915,1.04999,1.07551,0.8444,0.90915,133938803.9,133938803.9
129,2021-03-15,1.01447,1.14438,0.93244,1.05,1.01447,1.14438,0.93244,1.05,200858839.2,200858839.2
