,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,3604.0,3619.0,3580.0,3611.0,3604.0,3619.0,3580.0,3611.0,95.8721,95.8721
1,2021-08-28,3751.0,3785.0,3581.0,3604.0,3751.0,3785.0,3581.0,3604.0,1913.4568,1913.4568
2,2021-08-27,3586.0,3792.0,3540.0,3752.0,3586.0,3792.0,3540.0,3752.0,1836.96266,1836.96266
3,2021-08-26,3701.36,3742.06,3440.0,3586.0,3701.36,3742.06,3440.0,3586.0,2030.22763,2030.22763
4,2021-08-25,3629.22,3751.73,3493.69,3700.68,3629.22,3751.73,3493.69,3700.68,1970.0069,1970.0069
5,2021-08-24,3877.6,3906.6,3592.67,3628.65,3877.6,3906.6,3592.67,3628.65,2973.39595,2973.39595
6,2021-08-23,3802.81,4015.47,3788.42,3879.05,3802.81,4015.47,3788.42,3879.05,2346.72935,2346.72935
7,2021-08-22,3870.62,3887.54,3692.73,3806.04,3870.62,3887.54,3692.73,3806.04,1681.27219,1681.27219
8,2021-08-21,3816.54,3983.17,3694.59,3870.29,3816.54,3983.17,3694.59,3870.29,4765.03238,4765.03238
9,2021-08-20,3748.4,3857.66,3676.0,3815.06,3748.4,3857.66,3676.0,3815.06,2430.96412,2430.96412
10,2021-08-19,3515.39,3750.84,3442.61,3748.4,3515.39,3750.84,3442.61,3748.4,2441.72592,2441.72592
11,2021-08-18,3448.48,3638.57,3370.0,3513.01,3448.48,3638.57,3370.0,3513.01,2425.95649,2425.95649
12,2021-08-17,3572.37,3781.89,3427.56,3450.9,3572.37,3781.89,3427.56,3450.9,2799.57578,2799.57578
13,2021-08-16,3802.37,3891.22,3562.5,3575.25,3802.37,3891.22,3562.5,3575.25,2933.69597,2933.69597
14,2021-08-15,3865.37,3883.53,3612.81,3802.37,3865.37,3883.53,3612.81,3802.37,2659.03343,2659.03343
15,2021-08-14,3711.36,3914.46,3556.87,3871.41,3711.36,3914.46,3556.87,3871.41,4028.48966,4028.48966
16,2021-08-13,3250.11,3714.68,3234.43,3711.02,3250.11,3714.68,3234.43,3711.02,2911.78338,2911.78338
17,2021-08-12,3365.33,3425.99,3163.15,3250.89,3365.33,3425.99,3163.15,3250.89,2879.44186,2879.44186
18,2021-08-11,3393.36,3528.62,3328.88,3368.46,3393.36,3528.62,3328.88,3368.46,2836.62709,2836.62709
19,2021-08-10,3362.03,3465.42,3263.15,3391.81,3362.03,3465.42,3263.15,3391.81,3491.499,3491.499
20,2021-08-09,3232.3,3382.5,3081.26,3361.99,3232.3,3382.5,3081.26,3361.99,2128.50311,2128.50311
21,2021-08-08,3408.76,3449.99,3148.61,3232.57,3408.76,3449.99,3148.61,3232.57,1935.18635,1935.18635
22,2021-08-07,3258.16,3477.56,3223.08,3408.77,3258.16,3477.56,3223.08,3408.77,3567.79692,3567.79692
23,2021-08-06,3291.45,3373.23,3110.78,3250.85,3291.45,3373.23,3110.78,3250.85,4311.97315,4311.97315
24,2021-08-05,2968.44,3300.0,2791.36,3290.54,2968.44,3300.0,2791.36,3290.54,5489.98302,5489.98302
25,2021-08-04,2790.19,2995.36,2741.21,2967.22,2790.19,2995.36,2741.21,2967.22,2567.75764,2567.75764
