,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,127.0,128.3,126.4,128.2,127.0,128.3,126.4,128.2,1176.137,1176.137
1,2021-08-28,128.0,134.6,124.3,127.0,128.0,134.6,124.3,127.0,75904.912,75904.912
2,2021-08-27,127.3,158.8,121.0,127.9,127.3,158.8,121.0,127.9,308530.211,308530.211
3,2021-08-26,94.99,177.0,93.5,127.5,94.99,177.0,93.5,127.5,840979.559,840979.559
4,2021-08-25,91.68,100.53,90.1,94.98,91.68,100.53,90.1,94.98,16933.82,16933.82
5,2021-08-24,96.16,97.34,91.15,91.66,96.16,97.34,91.15,91.66,10717.79,10717.79
6,2021-08-23,94.29,96.66,93.04,95.94,94.29,96.66,93.04,95.94,9134.55,9134.55
7,2021-08-22,93.54,101.84,90.99,94.17,93.54,101.84,90.99,94.17,10521.52,10521.52
8,2021-08-21,93.69,97.99,91.79,93.51,93.69,97.99,91.79,93.51,15515.39,15515.39
9,2021-08-20,90.37,94.62,89.75,93.69,90.37,94.62,89.75,93.69,7926.65,7926.65
10,2021-08-19,86.95,90.43,85.91,89.8,86.95,90.43,85.91,89.8,8770.19,8770.19
11,2021-08-18,90.25,91.22,86.19,86.95,90.25,91.22,86.19,86.95,7659.86,7659.86
12,2021-08-17,94.08,95.82,89.94,90.25,94.08,95.82,89.94,90.25,9608.84,9608.84
13,2021-08-16,95.9,98.8,93.44,93.84,95.9,98.8,93.44,93.84,12680.24,12680.24
14,2021-08-15,96.07,97.17,92.89,95.9,96.07,97.17,92.89,95.9,13871.56,13871.56
15,2021-08-14,96.86,97.49,93.8,96.07,96.86,97.49,93.8,96.07,13837.83,13837.83
16,2021-08-13,93.06,98.07,92.4,97.07,93.06,98.07,92.4,97.07,16738.52,16738.52
17,2021-08-12,94.84,98.42,91.7,92.9,94.84,98.42,91.7,92.9,24582.71,24582.71
18,2021-08-11,94.92,102.23,92.9,94.95,94.92,102.23,92.9,94.95,59653.65,59653.65
19,2021-08-10,92.01,100.0,90.12,95.11,92.01,100.0,90.12,95.11,34632.0,34632.0
20,2021-08-09,90.26,95.5,87.7,92.05,90.26,95.5,87.7,92.05,23357.18,23357.18
21,2021-08-08,95.57,96.0,88.38,90.15,95.57,96.0,88.38,90.15,33952.16,33952.16
22,2021-08-07,94.44,99.67,93.74,95.44,94.44,99.67,93.74,95.44,32409.8,32409.8
23,2021-08-06,94.69,96.89,92.76,94.44,94.69,96.89,92.76,94.44,36484.63,36484.63
24,2021-08-05,100.85,102.63,92.45,94.42,100.85,102.63,92.45,94.42,68920.85,68920.85
25,2021-08-04,105.74,109.15,98.7,100.83,105.74,109.15,98.7,100.83,153669.7,153669.7
26,2021-08-03,106.74,130.61,101.91,105.31,106.74,130.61,101.91,105.31,435973.38,435973.38
27,2021-08-02,82.93,119.0,78.27,106.48,82.93,119.0,78.27,106.48,456740.31,456740.31
28,2021-08-01,78.66,98.54,77.47,83.56,78.66,98.54,77.47,83.56,71799.45,71799.45
29,2021-07-31,78.58,78.99,76.22,78.71,78.58,78.99,76.22,78.71,4642.12,4642.12
30,2021-07-30,73.02,83.67,71.9,78.58,73.02,83.67,71.9,78.58,21658.26,21658.26
31,2021-07-29,72.72,73.5,71.6,73.0,72.72,73.5,71.6,73.0,4815.87,4815.87
32,2021-07-28,72.36,74.37,70.51,72.52,72.36,74.37,70.51,72.52,9275.69,9275.69
33,2021-07-27,71.73,72.91,68.33,72.36,71.73,72.91,68.33,72.36,7205.99,7205.99
34,2021-07-26,74.55,80.0,70.92,71.14,74.55,80.0,70.92,71.14,14458.07,14458.07
35,2021-07-25,70.38,77.5,69.7,74.87,70.38,77.5,69.7,74.87,11177.4,11177.4
36,2021-07-24,72.17,75.5,69.01,70.38,72.17,75.5,69.01,70.38,10388.75,10388.75
37,2021-07-23,70.29,72.68,68.81,72.15,70.29,72.68,68.81,72.15,8651.77,8651.77
38,2021-07-22,71.38,73.39,68.62,70.29,71.38,73.39,68.62,70.29,13314.26,13314.26
39,2021-07-21,64.45,79.39,63.2,71.02,64.45,79.39,63.2,71.02,25619.46,25619.46
40,2021-07-20,68.24,68.36,63.0,64.47,68.24,68.36,63.0,64.47,11835.76,11835.76
41,2021-07-19,76.23,77.07,67.78,68.12,76.23,77.07,67.78,68.12,25321.29,25321.29
42,2021-07-18,77.11,79.01,75.01,76.2,77.11,79.01,75.01,76.2,8096.79,8096.79
43,2021-07-17,76.27,83.99,74.97,77.36,76.27,83.99,74.97,77.36,23985.97,23985.97
44,2021-07-16,76.82,89.97,74.48,76.33,76.82,89.97,74.48,76.33,42507.96,42507.96
45,2021-07-15,80.92,84.63,75.08,76.88,80.92,84.63,75.08,76.88,13842.61,13842.61
46,2021-07-14,81.52,87.47,76.6,80.93,81.52,87.47,76.6,80.93,18432.21,18432.21
47,2021-07-13,85.6,92.0,81.06,81.5,85.6,92.0,81.06,81.5,14450.12,14450.12
48,2021-07-12,90.74,91.58,84.29,85.58,90.74,91.58,84.29,85.58,12881.6,12881.6
49,2021-07-11,93.74,94.52,88.02,90.53,93.74,94.52,88.02,90.53,22146.18,22146.18
50,2021-07-10,89.54,103.5,88.44,93.59,89.54,103.5,88.44,93.59,90594.76,90594.76
51,2021-07-09,83.47,93.44,78.14,89.5,83.47,93.44,78.14,89.5,24703.61,24703.61
52,2021-07-08,92.27,93.33,81.15,83.21,92.27,93.33,81.15,83.21,39322.92,39322.92
53,2021-07-07,101.35,106.0,92.0,92.27,101.35,106.0,92.0,92.27,53473.79,53473.79
54,2021-07-06,101.13,120.46,100.2,101.08,101.13,120.46,100.2,101.08,184991.74,184991.74
55,2021-07-05,83.01,166.68,80.11,101.5,83.01,166.68,80.11,101.5,545392.13,545392.13
