,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.635,0.6375,0.6311,0.6354,0.635,0.6375,0.6311,0.6354,36646.0,36646.0
1,2021-08-28,0.6558,0.6735,0.6311,0.6344,0.6558,0.6735,0.6311,0.6344,2550763.0,2550763.0
2,2021-08-27,0.604,0.68,0.5712,0.6555,0.604,0.68,0.5712,0.6555,10395683.13,10395683.13
3,2021-08-26,0.6405,0.6528,0.5934,0.604,0.6405,0.6528,0.5934,0.604,4493134.17,4493134.17
4,2021-08-25,0.6715,0.6945,0.62,0.6415,0.6715,0.6945,0.62,0.6415,5174102.86,5174102.86
5,2021-08-24,0.6384,0.7079,0.624,0.6712,0.6384,0.7079,0.624,0.6712,9103120.6,9103120.6
6,2021-08-23,0.6291,0.6648,0.6123,0.6376,0.6291,0.6648,0.6123,0.6376,4366294.82,4366294.82
7,2021-08-22,0.5887,0.64,0.584,0.6291,0.5887,0.64,0.584,0.6291,3073543.74,3073543.74
8,2021-08-21,0.5989,0.6195,0.582,0.5894,0.5989,0.6195,0.582,0.5894,2457064.18,2457064.18
9,2021-08-20,0.5822,0.61,0.5743,0.5984,0.5822,0.61,0.5743,0.5984,2272210.45,2272210.45
10,2021-08-19,0.5479,0.5886,0.5382,0.5823,0.5479,0.5886,0.5382,0.5823,2527249.64,2527249.64
11,2021-08-18,0.5591,0.5759,0.5383,0.548,0.5591,0.5759,0.5383,0.548,1876725.35,1876725.35
12,2021-08-17,0.5857,0.6411,0.5572,0.5591,0.5857,0.6411,0.5572,0.5591,3846202.54,3846202.54
13,2021-08-16,0.6116,0.6234,0.5833,0.5853,0.6116,0.6234,0.5833,0.5853,2369253.0,2369253.0
14,2021-08-15,0.6129,0.6189,0.5848,0.6117,0.6129,0.6189,0.5848,0.6117,3563584.59,3563584.59
15,2021-08-14,0.6435,0.6745,0.5906,0.6131,0.6435,0.6745,0.5906,0.6131,6227745.47,6227745.47
16,2021-08-13,0.5158,0.7,0.5143,0.6434,0.5158,0.7,0.5143,0.6434,22615951.73,22615951.73
17,2021-08-12,0.5154,0.534,0.5025,0.5163,0.5154,0.534,0.5025,0.5163,4460272.87,4460272.87
18,2021-08-11,0.4957,0.5318,0.4931,0.5156,0.4957,0.5318,0.4931,0.5156,4628639.33,4628639.33
19,2021-08-10,0.4965,0.5135,0.4787,0.4952,0.4965,0.5135,0.4787,0.4952,4500100.11,4500100.11
20,2021-08-09,0.4797,0.5027,0.4701,0.4965,0.4797,0.5027,0.4701,0.4965,3220813.83,3220813.83
21,2021-08-08,0.5034,0.5053,0.4722,0.4789,0.5034,0.5053,0.4722,0.4789,3282613.61,3282613.61
