,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,3.4642,3.507,3.4312,3.4844,3.4642,3.507,3.4312,3.4844,162731.15,162731.15
1,2021-07-21,3.1723,3.5152,3.0848,3.464,3.1723,3.5152,3.0848,3.464,5000649.77,5000649.77
2,2021-07-20,3.343,3.4448,3.0413,3.1716,3.343,3.4448,3.0413,3.1716,6372494.79,6372494.79
3,2021-07-19,3.6557,3.6732,3.3244,3.3424,3.6557,3.6732,3.3244,3.3424,5083975.9,5083975.9
4,2021-07-18,3.6712,3.899,3.6051,3.6544,3.6712,3.899,3.6051,3.6544,5592166.41,5592166.41
5,2021-07-17,3.5976,3.7691,3.5744,3.6709,3.5976,3.7691,3.5744,3.6709,4963821.93,4963821.93
6,2021-07-16,3.7642,3.8925,3.5545,3.597,3.7642,3.8925,3.5545,3.597,5153796.09,5153796.09
7,2021-07-15,3.897,3.9639,3.6667,3.7647,3.897,3.9639,3.6667,3.7647,5406637.88,5406637.88
8,2021-07-14,3.8956,3.9508,3.6242,3.8973,3.8956,3.9508,3.6242,3.8973,4974701.44,4974701.44
9,2021-07-13,4.0632,4.0995,3.8272,3.8956,4.0632,4.0995,3.8272,3.8956,3393265.83,3393265.83
10,2021-07-12,4.164,4.2815,3.9766,4.0631,4.164,4.2815,3.9766,4.0631,3574725.29,3574725.29
11,2021-07-11,4.0632,4.2716,4.0125,4.1632,4.0632,4.2716,4.0125,4.1632,3082719.52,3082719.52
12,2021-07-10,4.1637,4.2857,3.9171,4.0625,4.1637,4.2857,3.9171,4.0625,3501630.74,3501630.74
13,2021-07-09,4.0789,4.2407,3.8286,4.1638,4.0789,4.2407,3.8286,4.1638,4149970.86,4149970.86
14,2021-07-08,4.5057,4.5126,3.993,4.0768,4.5057,4.5126,3.993,4.0768,5129233.93,5129233.93
15,2021-07-07,4.5493,4.7099,4.4616,4.5056,4.5493,4.7099,4.4616,4.5056,3771487.11,3771487.11
16,2021-07-06,4.4192,4.7696,4.3747,4.5508,4.4192,4.7696,4.3747,4.5508,6664643.95,6664643.95
17,2021-07-05,4.5305,4.875,4.2637,4.4189,4.5305,4.875,4.2637,4.4189,8656094.4,8656094.4
18,2021-07-04,4.5953,4.6355,4.344,4.5299,4.5953,4.6355,4.344,4.5299,4188158.53,4188158.53
