,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.2464,0.247,0.2428,0.2461,0.2464,0.247,0.2428,0.2461,128833.0,128833.0
1,2021-08-28,0.2485,0.2549,0.2407,0.2465,0.2485,0.2549,0.2407,0.2465,4969997.0,4969997.0
2,2021-08-27,0.2335,0.258,0.225,0.2485,0.2335,0.258,0.225,0.2485,7193677.0,7193677.0
3,2021-08-26,0.26,0.2676,0.2314,0.2339,0.26,0.2676,0.2314,0.2339,24048957.0,24048957.0
4,2021-08-25,0.2489,0.269,0.2395,0.2603,0.2489,0.269,0.2395,0.2603,6949922.0,6949922.0
5,2021-08-24,0.266,0.2925,0.2414,0.2495,0.266,0.2925,0.2414,0.2495,13336328.0,13336328.0
6,2021-08-23,0.2717,0.2792,0.26,0.266,0.2717,0.2792,0.26,0.266,10361490.0,10361490.0
7,2021-08-22,0.28,0.3,0.2586,0.2727,0.28,0.3,0.2586,0.2727,11107216.0,11107216.0
8,2021-08-21,0.2883,0.32,0.2756,0.2794,0.2883,0.32,0.2756,0.2794,33585564.0,33585564.0
9,2021-08-20,0.2176,0.4388,0.2176,0.2868,0.2176,0.4388,0.2176,0.2868,80120759.0,80120759.0
