,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.010641,0.010767,0.010471,0.010617,0.010641,0.010767,0.010471,0.010617,107268128.0,107268128.0
1,2021-07-21,0.009763,0.010999,0.009535,0.010636,0.009763,0.010999,0.009535,0.010636,756373576.0,756373576.0
2,2021-07-20,0.01067,0.010852,0.0093,0.009772,0.01067,0.010852,0.0093,0.009772,591462361.0,591462361.0
3,2021-07-19,0.011223,0.011711,0.010532,0.010656,0.011223,0.011711,0.010532,0.010656,464725245.0,464725245.0
4,2021-07-18,0.010987,0.011508,0.010905,0.011218,0.010987,0.011508,0.010905,0.011218,257693717.0,257693717.0
5,2021-07-17,0.010789,0.01116,0.01052,0.010986,0.010789,0.01116,0.01052,0.010986,373846995.0,373846995.0
6,2021-07-16,0.011341,0.011632,0.010622,0.010798,0.011341,0.011632,0.010622,0.010798,351003885.0,351003885.0
7,2021-07-15,0.0118,0.012168,0.010998,0.011369,0.0118,0.012168,0.010998,0.011369,421125466.0,421125466.0
8,2021-07-14,0.012166,0.012315,0.011094,0.0118,0.012166,0.012315,0.011094,0.0118,428884547.0,428884547.0
9,2021-07-13,0.012654,0.012907,0.011946,0.012166,0.012654,0.012907,0.011946,0.012166,271748408.0,271748408.0
10,2021-07-12,0.013016,0.013048,0.012368,0.012653,0.013016,0.013048,0.012368,0.012653,235980683.0,235980683.0
11,2021-07-11,0.012802,0.013208,0.012474,0.012989,0.012802,0.013208,0.012474,0.012989,231743888.0,231743888.0
12,2021-07-10,0.013233,0.013416,0.0125,0.012809,0.013233,0.013416,0.0125,0.012809,213242462.0,213242462.0
13,2021-07-09,0.013385,0.01341,0.012448,0.013233,0.013385,0.01341,0.012448,0.013233,354239161.0,354239161.0
14,2021-07-08,0.014186,0.014993,0.012891,0.013403,0.014186,0.014993,0.012891,0.013403,687529911.0,687529911.0
15,2021-07-07,0.013922,0.015,0.013572,0.014186,0.013922,0.015,0.013572,0.014186,653776903.0,653776903.0
16,2021-07-06,0.013436,0.014195,0.01319,0.013922,0.013436,0.014195,0.01319,0.013922,557088897.0,557088897.0
17,2021-07-05,0.013971,0.013999,0.012929,0.01342,0.013971,0.013999,0.012929,0.01342,521198243.0,521198243.0
18,2021-07-04,0.013779,0.01433,0.013363,0.013995,0.013779,0.01433,0.013363,0.013995,574214915.0,574214915.0
19,2021-07-03,0.013292,0.013897,0.012738,0.013782,0.013292,0.013897,0.012738,0.013782,455991504.0,455991504.0
20,2021-07-02,0.013064,0.013336,0.012187,0.013281,0.013064,0.013336,0.012187,0.013281,554382553.0,554382553.0
21,2021-07-01,0.013311,0.01339,0.012347,0.01307,0.013311,0.01339,0.012347,0.01307,623188216.0,623188216.0
22,2021-06-30,0.012929,0.013311,0.011801,0.013311,0.012929,0.013311,0.011801,0.013311,656520695.0,656520695.0
23,2021-06-29,0.012049,0.0131,0.01201,0.012931,0.012049,0.0131,0.01201,0.012931,833730333.0,833730333.0
24,2021-06-28,0.011262,0.012395,0.011107,0.012058,0.011262,0.012395,0.011107,0.012058,922752862.0,922752862.0
25,2021-06-27,0.010914,0.0113,0.010432,0.011236,0.010914,0.0113,0.010432,0.011236,446814966.0,446814966.0
26,2021-06-26,0.010639,0.01119,0.010053,0.010914,0.010639,0.01119,0.010053,0.010914,653296806.0,653296806.0
27,2021-06-25,0.011585,0.01216,0.010527,0.010629,0.011585,0.01216,0.010527,0.010629,1624229257.0,1624229257.0
28,2021-06-24,0.010428,0.012,0.009894,0.011582,0.010428,0.012,0.009894,0.011582,898809507.0,898809507.0
29,2021-06-23,0.009388,0.010717,0.008955,0.010409,0.009388,0.010717,0.008955,0.010409,879354138.0,879354138.0
30,2021-06-22,0.009843,0.0108,0.007624,0.009388,0.009843,0.0108,0.007624,0.009388,1779909073.0,1779909073.0
31,2021-06-21,0.013248,0.013419,0.009762,0.009831,0.013248,0.013419,0.009762,0.009831,1321649353.0,1321649353.0
32,2021-06-20,0.013342,0.013582,0.012173,0.013245,0.013342,0.013582,0.012173,0.013245,736337072.0,736337072.0
33,2021-06-19,0.014138,0.01439,0.013297,0.013356,0.014138,0.01439,0.013297,0.013356,555323664.0,555323664.0
34,2021-06-18,0.014961,0.015594,0.013662,0.014138,0.014961,0.015594,0.013662,0.014138,854595043.0,854595043.0
35,2021-06-17,0.015192,0.015566,0.0146,0.014963,0.015192,0.015566,0.0146,0.014963,406270181.0,406270181.0
36,2021-06-16,0.015991,0.016038,0.014908,0.015188,0.015991,0.016038,0.014908,0.015188,430465281.0,430465281.0
37,2021-06-15,0.016119,0.016462,0.015549,0.016002,0.016119,0.016462,0.015549,0.016002,529279355.0,529279355.0
38,2021-06-14,0.015673,0.01632,0.015496,0.016129,0.015673,0.01632,0.015496,0.016129,678198996.0,678198996.0
39,2021-06-13,0.015054,0.015884,0.01466,0.015651,0.015054,0.015884,0.01466,0.015651,545392871.0,545392871.0
40,2021-06-12,0.015451,0.015467,0.013902,0.015021,0.015451,0.015467,0.013902,0.015021,720470678.0,720470678.0
41,2021-06-11,0.016417,0.01702,0.015164,0.015442,0.016417,0.01702,0.015164,0.015442,592263054.0,592263054.0
42,2021-06-10,0.016783,0.01761,0.015744,0.01642,0.016783,0.01761,0.015744,0.01642,996080145.0,996080145.0
43,2021-06-09,0.016063,0.016891,0.015148,0.016775,0.016063,0.016891,0.015148,0.016775,689196326.0,689196326.0
44,2021-06-08,0.016489,0.016822,0.0143,0.016046,0.016489,0.016822,0.0143,0.016046,1073801112.0,1073801112.0
45,2021-06-07,0.018758,0.019167,0.016167,0.016532,0.018758,0.019167,0.016167,0.016532,888918338.0,888918338.0
46,2021-06-06,0.018186,0.019331,0.017951,0.018733,0.018186,0.019331,0.017951,0.018733,834614659.0,834614659.0
47,2021-06-05,0.018542,0.0205,0.017559,0.018196,0.018542,0.0205,0.017559,0.018196,1690594574.0,1690594574.0
48,2021-06-04,0.018846,0.019672,0.016292,0.018519,0.018846,0.019672,0.016292,0.018519,1394411076.0,1394411076.0
49,2021-06-03,0.017592,0.018853,0.017321,0.018853,0.017592,0.018853,0.017321,0.018853,687523517.0,687523517.0
50,2021-06-02,0.017156,0.017859,0.016784,0.017601,0.017156,0.017859,0.016784,0.017601,558017115.0,558017115.0
51,2021-06-01,0.01784,0.018119,0.016621,0.017127,0.01784,0.018119,0.016621,0.017127,543278316.0,543278316.0
52,2021-05-31,0.017044,0.01793,0.015922,0.01784,0.017044,0.01793,0.015922,0.01784,725962305.0,725962305.0
53,2021-05-30,0.016259,0.017655,0.01535,0.017044,0.016259,0.017655,0.01535,0.017044,711662674.0,711662674.0
54,2021-05-29,0.01668,0.017462,0.015178,0.016237,0.01668,0.017462,0.015178,0.016237,845223874.0,845223874.0
55,2021-05-28,0.019035,0.019439,0.016006,0.016685,0.019035,0.019439,0.016006,0.016685,1201162463.0,1201162463.0
56,2021-05-27,0.02049,0.020513,0.018223,0.019033,0.02049,0.020513,0.018223,0.019033,924318085.0,924318085.0
57,2021-05-26,0.01763,0.021,0.017608,0.020467,0.01763,0.021,0.017608,0.020467,2134623426.0,2134623426.0
