,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,11.988,12.072,11.828,11.97,11.988,12.072,11.828,11.97,55086.9,55086.9
1,2021-08-28,12.235,12.4,11.812,11.99,12.235,12.4,11.812,11.99,1222938.237,1222938.237
2,2021-08-27,11.427,12.324,11.053,12.238,11.427,12.324,11.053,12.238,1693264.081,1693264.081
3,2021-08-26,12.412,12.625,11.129,11.415,12.412,12.625,11.129,11.415,1784080.979,1784080.979
4,2021-08-25,12.208,12.773,11.75,12.421,12.208,12.773,11.75,12.421,1814986.192,1814986.192
5,2021-08-24,13.63,13.841,12.074,12.207,13.63,13.841,12.074,12.207,2308110.483,2308110.483
6,2021-08-23,13.519,14.35,13.3,13.627,13.519,14.35,13.3,13.627,2091932.105,2091932.105
7,2021-08-22,13.062,13.92,12.726,13.514,13.062,13.92,12.726,13.514,2210868.64,2210868.64
8,2021-08-21,12.592,14.533,12.292,13.064,12.592,14.533,12.292,13.064,3987068.012,3987068.012
9,2021-08-20,12.399,13.0,12.125,12.59,12.399,13.0,12.125,12.59,1950568.388,1950568.388
10,2021-08-19,11.337,12.504,11.032,12.399,11.337,12.504,11.032,12.399,2307342.578,2307342.578
11,2021-08-18,11.251,11.895,10.759,11.324,11.251,11.895,10.759,11.324,2066426.0,2066426.0
12,2021-08-17,12.127,13.109,11.117,11.253,12.127,13.109,11.117,11.253,2002172.103,2002172.103
13,2021-08-16,12.849,13.363,11.982,12.125,12.849,13.363,11.982,12.125,2040397.387,2040397.387
14,2021-08-15,12.992,13.49,11.981,12.848,12.992,13.49,11.981,12.848,1917780.869,1917780.869
15,2021-08-14,12.096,13.2,11.674,12.998,12.096,13.2,11.674,12.998,2971078.452,2971078.452
16,2021-08-13,10.416,12.179,10.286,12.096,10.416,12.179,10.286,12.096,2675439.957,2675439.957
17,2021-08-12,10.656,11.178,9.983,10.413,10.656,11.178,9.983,10.413,2401062.893,2401062.893
18,2021-08-11,10.269,11.503,10.155,10.655,10.269,11.503,10.155,10.655,3612706.146,3612706.146
19,2021-08-10,10.159,10.564,9.797,10.268,10.159,10.564,9.797,10.268,2137801.474,2137801.474
20,2021-08-09,9.685,10.335,9.302,10.154,9.685,10.335,9.302,10.154,1940189.276,1940189.276
21,2021-08-08,10.579,10.8,9.46,9.691,10.579,10.8,9.46,9.691,2934407.626,2934407.626
22,2021-08-07,10.184,11.1,10.044,10.574,10.184,11.1,10.044,10.574,3409604.232,3409604.232
23,2021-08-06,10.53,10.67,9.959,10.185,10.53,10.67,9.959,10.185,3435697.443,3435697.443
24,2021-08-05,9.653,10.88,9.349,10.522,9.653,10.88,9.349,10.522,4624843.351,4624843.351
25,2021-08-04,9.051,9.799,8.909,9.653,9.051,9.799,8.909,9.653,1543654.027,1543654.027
26,2021-08-03,9.493,9.583,8.824,9.051,9.493,9.583,8.824,9.051,1802110.358,1802110.358
27,2021-08-02,9.448,9.849,9.264,9.49,9.448,9.849,9.264,9.49,1618239.227,1618239.227
28,2021-08-01,10.137,10.41,9.316,9.454,10.137,10.41,9.316,9.454,2083190.234,2083190.234
29,2021-07-31,9.595,10.23,9.451,10.138,9.595,10.23,9.451,10.138,2928314.572,2928314.572
30,2021-07-30,9.978,10.248,8.968,9.595,9.978,10.248,8.968,9.595,2570431.279,2570431.279
31,2021-07-29,9.111,10.212,8.843,9.983,9.111,10.212,8.843,9.983,2217181.402,2217181.402
32,2021-07-28,9.348,9.473,8.916,9.105,9.348,9.473,8.916,9.105,1692514.86,1692514.86
33,2021-07-27,9.327,9.853,8.778,9.35,9.327,9.853,8.778,9.35,3070022.628,3070022.628
34,2021-07-26,8.381,10.471,8.344,9.334,8.381,10.471,8.344,9.334,4780598.332,4780598.332
35,2021-07-25,8.618,8.644,8.015,8.381,8.618,8.644,8.015,8.381,1073567.155,1073567.155
36,2021-07-24,8.744,8.788,8.345,8.615,8.744,8.788,8.345,8.615,1875084.95,1875084.95
