,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,6.92,6.98,6.878,6.945,6.92,6.98,6.878,6.945,683478.205,683478.205
1,2021-08-28,6.952,6.97,6.706,6.918,6.952,6.97,6.706,6.918,7490443.3,7490443.3
2,2021-08-27,6.524,6.977,6.31,6.951,6.524,6.977,6.31,6.951,13859260.906,13859260.906
3,2021-08-26,7.206,7.282,6.361,6.525,7.206,7.282,6.361,6.525,15704522.225,15704522.225
4,2021-08-25,7.058,7.324,6.732,7.207,7.058,7.324,6.732,7.207,18144730.615,18144730.615
5,2021-08-24,7.828,8.149,6.9,7.057,7.828,8.149,6.9,7.057,24242900.257,24242900.257
6,2021-08-23,7.342,7.923,7.302,7.829,7.342,7.923,7.302,7.829,17707698.161,17707698.161
7,2021-08-22,7.265,7.535,7.047,7.341,7.265,7.535,7.047,7.341,12257817.031,12257817.031
8,2021-08-21,7.277,7.683,7.12,7.264,7.277,7.683,7.12,7.264,16705662.271,16705662.271
9,2021-08-20,7.151,7.42,7.024,7.276,7.151,7.42,7.024,7.276,12427584.14,12427584.14
10,2021-08-19,6.846,7.218,6.623,7.151,6.846,7.218,6.623,7.151,14660099.265,14660099.265
11,2021-08-18,6.98,7.183,6.521,6.843,6.98,7.183,6.521,6.843,19575405.049,19575405.049
12,2021-08-17,7.601,8.087,6.803,6.98,7.601,8.087,6.803,6.98,21875360.024,21875360.024
13,2021-08-16,7.461,8.335,7.307,7.605,7.461,8.335,7.307,7.605,25173346.545,25173346.545
14,2021-08-15,7.217,7.566,6.941,7.462,7.217,7.566,6.941,7.462,17054072.832,17054072.832
15,2021-08-14,7.164,7.586,7.006,7.217,7.164,7.586,7.006,7.217,17029944.554,17029944.554
16,2021-08-13,6.772,7.31,6.659,7.162,6.772,7.31,6.659,7.162,13099508.514,13099508.514
17,2021-08-12,7.152,7.45,6.531,6.772,7.152,7.45,6.531,6.772,19809392.681,19809392.681
18,2021-08-11,6.938,7.594,6.918,7.152,6.938,7.594,6.918,7.152,18643732.605,18643732.605
19,2021-08-10,6.766,7.097,6.611,6.938,6.766,7.097,6.611,6.938,14208702.817,14208702.817
20,2021-08-09,6.409,6.933,6.122,6.767,6.409,6.933,6.122,6.767,15902984.387,15902984.387
21,2021-08-08,6.936,7.073,6.265,6.408,6.936,7.073,6.265,6.408,15699017.754,15699017.754
22,2021-08-07,6.889,7.18,6.701,6.936,6.889,7.18,6.701,6.936,19450812.925,19450812.925
23,2021-08-06,7.125,7.29,6.845,6.887,7.125,7.29,6.845,6.887,21340038.673,21340038.673
24,2021-08-05,6.07,7.2,5.956,7.135,6.07,7.2,5.956,7.135,27249489.719,27249489.719
25,2021-08-04,5.915,6.19,5.77,6.069,5.915,6.19,5.77,6.069,13551877.008,13551877.008
26,2021-08-03,5.826,5.95,5.548,5.915,5.826,5.95,5.548,5.915,13227060.676,13227060.676
27,2021-08-02,5.75,5.975,5.634,5.825,5.75,5.975,5.634,5.825,12167373.152,12167373.152
28,2021-08-01,6.1,6.29,5.7,5.75,6.1,6.29,5.7,5.75,16643702.152,16643702.152
29,2021-07-31,5.978,6.286,5.79,6.102,5.978,6.286,5.79,6.102,16200930.45,16200930.45
30,2021-07-30,6.037,6.12,5.661,5.98,6.037,6.12,5.661,5.98,15489435.153,15489435.153
31,2021-07-29,5.805,6.108,5.637,6.036,5.805,6.108,5.637,6.036,18494345.182,18494345.182
32,2021-07-28,5.97,6.189,5.617,5.805,5.97,6.189,5.617,5.805,24550083.979,24550083.979
33,2021-07-27,5.638,6.122,5.287,5.968,5.638,6.122,5.287,5.968,30108823.859,30108823.859
34,2021-07-26,6.126,6.75,5.554,5.638,6.126,6.75,5.554,5.638,40182588.862,40182588.862
35,2021-07-25,5.608,6.565,5.464,6.127,5.608,6.565,5.464,6.127,46371051.693,46371051.693
