,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.83,0.8328,0.8241,0.8312,0.83,0.8328,0.8241,0.8312,32930.0,32930.0
1,2021-08-28,0.8615,0.8686,0.8218,0.8296,0.8615,0.8686,0.8218,0.8296,1380724.0,1380724.0
2,2021-08-27,0.8102,0.8628,0.7781,0.8611,0.8102,0.8628,0.7781,0.8611,2338837.99,2338837.99
3,2021-08-26,0.9024,0.9128,0.8068,0.8096,0.9024,0.9128,0.8068,0.8096,2314165.42,2314165.42
4,2021-08-25,0.854,0.93,0.8238,0.9015,0.854,0.93,0.8238,0.9015,3329063.3,3329063.3
5,2021-08-24,0.9339,0.937,0.8201,0.8537,0.9339,0.937,0.8201,0.8537,2993663.92,2993663.92
6,2021-08-23,0.9054,0.948,0.9006,0.934,0.9054,0.948,0.9006,0.934,3825634.48,3825634.48
7,2021-08-22,0.8702,0.926,0.8585,0.9064,0.8702,0.926,0.8585,0.9064,3053860.37,3053860.37
8,2021-08-21,0.8888,0.94,0.8583,0.8699,0.8888,0.94,0.8583,0.8699,3447768.0,3447768.0
9,2021-08-20,0.8546,0.8949,0.8501,0.8904,0.8546,0.8949,0.8501,0.8904,3842513.88,3842513.88
10,2021-08-19,0.8048,0.8663,0.7681,0.8545,0.8048,0.8663,0.7681,0.8545,2787187.76,2787187.76
11,2021-08-18,0.8022,0.8327,0.7716,0.8042,0.8022,0.8327,0.7716,0.8042,2744452.72,2744452.72
12,2021-08-17,0.8482,0.883,0.7802,0.8028,0.8482,0.883,0.7802,0.8028,3385989.81,3385989.81
13,2021-08-16,0.8948,0.9239,0.8442,0.8475,0.8948,0.9239,0.8442,0.8475,3942749.97,3942749.97
14,2021-08-15,0.9161,0.9273,0.8515,0.8951,0.9161,0.9273,0.8515,0.8951,4118576.76,4118576.76
15,2021-08-14,0.9081,0.945,0.8646,0.9163,0.9081,0.945,0.8646,0.9163,4076355.8,4076355.8
16,2021-08-13,0.7708,0.91,0.7622,0.9081,0.7708,0.91,0.7622,0.9081,4899006.49,4899006.49
17,2021-08-12,0.7881,0.8203,0.7256,0.7706,0.7881,0.8203,0.7256,0.7706,3556009.93,3556009.93
18,2021-08-11,0.7448,0.8293,0.7446,0.788,0.7448,0.8293,0.7446,0.788,4612444.84,4612444.84
19,2021-08-10,0.7213,0.7685,0.7089,0.7463,0.7213,0.7685,0.7089,0.7463,4472348.79,4472348.79
20,2021-08-09,0.6873,0.7259,0.6642,0.7212,0.6873,0.7259,0.6642,0.7212,2328163.92,2328163.92
21,2021-08-08,0.7288,0.7345,0.671,0.6875,0.7288,0.7345,0.671,0.6875,1752301.79,1752301.79
22,2021-08-07,0.7105,0.7468,0.6954,0.7289,0.7105,0.7468,0.6954,0.7289,5668651.42,5668651.42
23,2021-08-06,0.6922,0.7183,0.6641,0.7103,0.6922,0.7183,0.6641,0.7103,22251452.5,22251452.5
24,2021-08-05,0.6488,0.71,0.6194,0.6928,0.6488,0.71,0.6194,0.6928,7474309.39,7474309.39
25,2021-08-04,0.6232,0.6588,0.6103,0.6482,0.6232,0.6588,0.6103,0.6482,1652277.38,1652277.38
26,2021-08-03,0.6607,0.669,0.612,0.623,0.6607,0.669,0.612,0.623,2063601.3,2063601.3
27,2021-08-02,0.6126,0.6754,0.6013,0.6592,0.6126,0.6754,0.6013,0.6592,3415383.01,3415383.01
28,2021-08-01,0.611,0.642,0.6011,0.6129,0.611,0.642,0.6011,0.6129,2947239.77,2947239.77
29,2021-07-31,0.6186,0.6358,0.5995,0.6112,0.6186,0.6358,0.5995,0.6112,2043390.17,2043390.17
30,2021-07-30,0.6118,0.6246,0.5788,0.6207,0.6118,0.6246,0.5788,0.6207,1941551.39,1941551.39
31,2021-07-29,0.5713,0.6449,0.5534,0.6145,0.5713,0.6449,0.5534,0.6145,3827528.07,3827528.07
32,2021-07-28,0.5621,0.586,0.5452,0.5728,0.5621,0.586,0.5452,0.5728,2092153.16,2092153.16
33,2021-07-27,0.515,0.6041,0.5057,0.5599,0.515,0.6041,0.5057,0.5599,2648406.39,2648406.39
34,2021-07-26,0.5155,0.5618,0.5086,0.5163,0.5155,0.5618,0.5086,0.5163,2704340.83,2704340.83
35,2021-07-25,0.5114,0.5197,0.4876,0.5152,0.5114,0.5197,0.4876,0.5152,1555454.76,1555454.76
36,2021-07-24,0.5007,0.5185,0.4965,0.5114,0.5007,0.5185,0.4965,0.5114,1269093.02,1269093.02
37,2021-07-23,0.4941,0.5142,0.4782,0.4998,0.4941,0.5142,0.4782,0.4998,1318249.48,1318249.48
38,2021-07-22,0.494,0.4997,0.4784,0.4939,0.494,0.4997,0.4784,0.4939,1275228.2,1275228.2
39,2021-07-21,0.4628,0.5218,0.451,0.4929,0.4628,0.5218,0.451,0.4929,2896413.58,2896413.58
40,2021-07-20,0.4696,0.511,0.43,0.4633,0.4696,0.511,0.43,0.4633,8668964.31,8668964.31
41,2021-07-19,0.5004,0.5019,0.4617,0.4685,0.5004,0.5019,0.4617,0.4685,1093860.77,1093860.77
42,2021-07-18,0.4979,0.5168,0.4909,0.5003,0.4979,0.5168,0.4909,0.5003,633376.06,633376.06
43,2021-07-17,0.5064,0.5121,0.4854,0.4979,0.5064,0.5121,0.4854,0.4979,1015637.85,1015637.85
44,2021-07-16,0.5151,0.5431,0.5025,0.5065,0.5151,0.5431,0.5025,0.5065,1074875.49,1074875.49
45,2021-07-15,0.5392,0.5464,0.5088,0.5146,0.5392,0.5464,0.5088,0.5146,1053528.18,1053528.18
46,2021-07-14,0.541,0.5421,0.5082,0.5394,0.541,0.5421,0.5082,0.5394,1085673.38,1085673.38
47,2021-07-13,0.5761,0.5763,0.5343,0.5399,0.5761,0.5763,0.5343,0.5399,1631208.12,1631208.12
48,2021-07-12,0.5877,0.6072,0.5613,0.576,0.5877,0.6072,0.5613,0.576,1322496.61,1322496.61
49,2021-07-11,0.5727,0.5999,0.5615,0.5877,0.5727,0.5999,0.5615,0.5877,1025633.55,1025633.55
50,2021-07-10,0.5851,0.5933,0.5634,0.5726,0.5851,0.5933,0.5634,0.5726,765025.52,765025.52
51,2021-07-09,0.5797,0.5923,0.5555,0.5852,0.5797,0.5923,0.5555,0.5852,1083956.99,1083956.99
52,2021-07-08,0.6191,0.6209,0.5641,0.5797,0.6191,0.6209,0.5641,0.5797,1307363.95,1307363.95
53,2021-07-07,0.6162,0.6476,0.6072,0.6191,0.6162,0.6476,0.6072,0.6191,1877574.1,1877574.1
54,2021-07-06,0.5964,0.625,0.592,0.6181,0.5964,0.625,0.592,0.6181,2212159.14,2212159.14
55,2021-07-05,0.6139,0.6182,0.571,0.5965,0.6139,0.6182,0.571,0.5965,1500015.01,1500015.01
56,2021-07-04,0.6026,0.6261,0.5862,0.6143,0.6026,0.6261,0.5862,0.6143,1543940.41,1543940.41
57,2021-07-03,0.5781,0.6186,0.564,0.6026,0.5781,0.6186,0.564,0.6026,1925057.0,1925057.0
58,2021-07-02,0.5673,0.5795,0.5368,0.578,0.5673,0.5795,0.5368,0.578,1768008.17,1768008.17
59,2021-07-01,0.6113,0.6132,0.5581,0.5679,0.6113,0.6132,0.5581,0.5679,1345298.66,1345298.66
