,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.1951,0.1959,0.1935,0.1953,0.1951,0.1959,0.1935,0.1953,4479835.0,4479835.0
1,2021-08-28,0.1998,0.2026,0.1931,0.1952,0.1998,0.2026,0.1931,0.1952,48519194.52,48519194.52
2,2021-08-27,0.1908,0.1999,0.1826,0.1998,0.1908,0.1999,0.1826,0.1998,60799968.75,60799968.75
3,2021-08-26,0.2084,0.2088,0.1869,0.1909,0.2084,0.2088,0.1869,0.1909,53789151.69,53789151.69
4,2021-08-25,0.1992,0.2094,0.1908,0.2084,0.1992,0.2094,0.1908,0.2084,60424055.86,60424055.86
5,2021-08-24,0.2137,0.218,0.1934,0.1995,0.2137,0.218,0.1934,0.1995,83466683.15,83466683.15
6,2021-08-23,0.2044,0.2157,0.2032,0.2141,0.2044,0.2157,0.2032,0.2141,81410088.0,81410088.0
7,2021-08-22,0.2054,0.2093,0.1962,0.2044,0.2054,0.2093,0.1962,0.2044,48492386.43,48492386.43
8,2021-08-21,0.2079,0.2127,0.2002,0.2053,0.2079,0.2127,0.2002,0.2053,56282252.87,56282252.87
9,2021-08-20,0.2011,0.2085,0.1972,0.208,0.2011,0.2085,0.1972,0.208,57511953.4,57511953.4
10,2021-08-19,0.1908,0.2012,0.1851,0.2011,0.1908,0.2012,0.1851,0.2011,63980049.2,63980049.2
11,2021-08-18,0.1961,0.1987,0.1824,0.1909,0.1961,0.1987,0.1824,0.1909,73770126.07,73770126.07
12,2021-08-17,0.2141,0.2169,0.1941,0.196,0.2141,0.2169,0.1941,0.196,77799587.72,77799587.72
13,2021-08-16,0.2177,0.2294,0.2122,0.2141,0.2177,0.2294,0.2122,0.2141,91634862.5,91634862.5
14,2021-08-15,0.2133,0.2196,0.2037,0.2179,0.2133,0.2196,0.2037,0.2179,69349805.05,69349805.05
15,2021-08-14,0.2031,0.2159,0.1947,0.2133,0.2031,0.2159,0.1947,0.2133,90251607.1,90251607.1
16,2021-08-13,0.1878,0.2036,0.1854,0.2033,0.1878,0.2036,0.1854,0.2033,48508057.89,48508057.89
17,2021-08-12,0.1952,0.2043,0.1807,0.1878,0.1952,0.2043,0.1807,0.1878,64518915.36,64518915.36
18,2021-08-11,0.1889,0.205,0.188,0.1953,0.1889,0.205,0.188,0.1953,100157750.85,100157750.85
19,2021-08-10,0.1829,0.1922,0.1774,0.189,0.1829,0.1922,0.1774,0.189,67505677.75,67505677.75
20,2021-08-09,0.1754,0.1876,0.1692,0.183,0.1754,0.1876,0.1692,0.183,44086469.07,44086469.07
21,2021-08-08,0.1863,0.189,0.1728,0.1752,0.1863,0.189,0.1728,0.1752,45351478.26,45351478.26
22,2021-08-07,0.1727,0.1871,0.1711,0.1862,0.1727,0.1871,0.1711,0.1862,71541509.75,71541509.75
23,2021-08-06,0.1688,0.1744,0.1649,0.1727,0.1688,0.1744,0.1649,0.1727,36959853.09,36959853.09
24,2021-08-05,0.166,0.17,0.1594,0.1687,0.166,0.17,0.1594,0.1687,36176796.08,36176796.08
25,2021-08-04,0.1625,0.1682,0.1573,0.1659,0.1625,0.1682,0.1573,0.1659,27536379.22,27536379.22
26,2021-08-03,0.1696,0.172,0.1578,0.1624,0.1696,0.172,0.1578,0.1624,32696934.51,32696934.51
27,2021-08-02,0.1691,0.1736,0.1648,0.1696,0.1691,0.1736,0.1648,0.1696,35715604.11,35715604.11
28,2021-08-01,0.1761,0.1854,0.1676,0.1694,0.1761,0.1854,0.1676,0.1694,61098673.72,61098673.72
29,2021-07-31,0.1734,0.179,0.1669,0.1761,0.1734,0.179,0.1669,0.1761,57256786.73,57256786.73
30,2021-07-30,0.1682,0.1737,0.1575,0.1735,0.1682,0.1737,0.1575,0.1735,60494159.26,60494159.26
31,2021-07-29,0.1612,0.1693,0.1564,0.1681,0.1612,0.1693,0.1564,0.1681,62018009.7,62018009.7
32,2021-07-28,0.1597,0.167,0.155,0.1612,0.1597,0.167,0.155,0.1612,66935457.48,66935457.48
33,2021-07-27,0.1514,0.1652,0.1494,0.1597,0.1514,0.1652,0.1494,0.1597,118288574.47,118288574.47
34,2021-07-26,0.1486,0.1724,0.1476,0.1515,0.1486,0.1724,0.1476,0.1515,131021672.73,131021672.73
35,2021-07-25,0.1454,0.1535,0.1399,0.1486,0.1454,0.1535,0.1399,0.1486,119514669.28,119514669.28
36,2021-07-24,0.1441,0.1487,0.1411,0.1456,0.1441,0.1487,0.1411,0.1456,80404942.43,80404942.43
