,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,196.77,198.95,195.5,197.39,196.77,198.95,195.5,197.39,3898.00423,3898.00423
1,2021-07-21,182.89,200.41,178.92,196.77,182.89,200.41,178.92,196.77,123449.12482,123449.12482
2,2021-07-20,189.1,191.63,178.6,182.89,189.1,191.63,178.6,182.89,129942.42816,129942.42816
3,2021-07-19,199.51,200.4,187.56,189.02,199.51,200.4,187.56,189.02,104598.70387,104598.70387
4,2021-07-18,197.61,205.0,196.87,199.41,197.61,205.0,196.87,199.41,69717.77611,69717.77611
5,2021-07-17,192.89,199.72,191.0,197.56,192.89,199.72,191.0,197.56,69494.96323,69494.96323
6,2021-07-16,196.67,200.0,191.33,192.95,196.67,200.0,191.33,192.95,88632.01419,88632.01419
7,2021-07-15,203.42,205.56,190.17,196.71,203.42,205.56,190.17,196.71,96234.28883,96234.28883
8,2021-07-14,203.8,205.04,192.24,203.38,203.8,205.04,192.24,203.38,89484.6842,89484.6842
9,2021-07-13,206.17,211.58,200.39,203.83,206.17,211.58,200.39,203.83,82552.12103,82552.12103
10,2021-07-12,211.88,216.81,203.04,206.25,211.88,216.81,203.04,206.25,80874.38255,80874.38255
11,2021-07-11,209.66,214.68,207.88,211.52,209.66,214.68,207.88,211.52,59523.5112,59523.5112
12,2021-07-10,212.86,217.63,206.74,209.7,212.86,217.63,206.74,209.7,71042.4183,71042.4183
13,2021-07-09,205.27,215.0,199.69,212.87,205.27,215.0,199.69,212.87,78935.16088,78935.16088
14,2021-07-08,215.01,215.77,201.82,205.23,215.01,215.77,201.82,205.23,108787.59766,108787.59766
15,2021-07-07,221.74,231.61,214.21,215.17,221.74,231.61,214.21,215.17,106321.98914,106321.98914
16,2021-07-06,214.45,222.34,211.77,221.75,214.45,222.34,211.77,221.75,96336.9229,96336.9229
17,2021-07-05,219.87,220.55,205.63,214.47,219.87,220.55,205.63,214.47,101846.00844,101846.00844
18,2021-07-04,214.83,225.3,212.88,219.92,214.83,225.3,212.88,219.92,85565.30008,85565.30008
19,2021-07-03,211.35,216.35,206.7,214.86,211.35,216.35,206.7,214.86,68396.1177,68396.1177
20,2021-07-02,205.52,211.86,199.3,211.35,205.52,211.86,199.3,211.35,84529.23072,84529.23072
21,2021-07-01,223.09,223.37,203.18,205.44,223.09,223.37,203.18,205.44,124184.65086,124184.65086
22,2021-06-30,217.81,223.84,208.81,223.06,217.81,223.84,208.81,223.06,118266.61867,118266.61867
23,2021-06-29,213.25,227.04,212.17,217.89,213.25,227.04,212.17,217.89,119238.18174,119238.18174
24,2021-06-28,211.92,217.59,205.91,213.17,211.92,217.59,205.91,213.17,110639.16637,110639.16637
25,2021-06-27,202.83,212.05,195.51,211.92,202.83,212.05,195.51,211.92,85327.16509,85327.16509
26,2021-06-26,194.85,202.95,185.13,202.84,194.85,202.95,185.13,202.84,130234.09925,130234.09925
27,2021-06-25,225.76,227.76,192.64,194.95,225.76,227.76,192.64,194.95,174432.91431,174432.91431
28,2021-06-24,218.66,227.26,204.25,225.74,218.66,227.26,204.25,225.74,145645.61889,145645.61889
29,2021-06-23,201.81,224.14,192.59,218.51,201.81,224.14,192.59,218.51,179935.74855,179935.74855
30,2021-06-22,202.98,225.94,180.07,201.81,202.98,225.94,180.07,201.81,326674.32575,326674.32575
31,2021-06-21,264.56,265.71,200.17,203.05,264.56,265.71,200.17,203.05,227728.00656,227728.00656
32,2021-06-20,267.96,271.36,247.66,264.53,267.96,271.36,247.66,264.53,119084.38746,119084.38746
33,2021-06-19,265.88,282.15,263.07,267.9,265.88,282.15,263.07,267.9,125224.15244,125224.15244
34,2021-06-18,277.17,280.0,260.88,265.77,277.17,280.0,260.88,265.77,172250.17329,172250.17329
35,2021-06-17,262.9,281.95,261.77,277.12,262.9,281.95,261.77,277.12,95468.77049,95468.77049
36,2021-06-16,278.14,288.66,259.35,262.94,278.14,288.66,259.35,262.94,106485.21447,106485.21447
37,2021-06-15,275.51,285.5,272.1,278.15,275.51,285.5,272.1,278.15,124525.83183,124525.83183
38,2021-06-14,260.79,275.59,258.44,275.57,260.79,275.59,258.44,275.57,109891.70905,109891.70905
39,2021-06-13,243.06,262.29,237.45,260.75,243.06,262.29,237.45,260.75,71157.77901,71157.77901
40,2021-06-12,242.9,251.8,232.0,243.04,242.9,251.8,232.0,243.04,97936.08283,97936.08283
41,2021-06-11,255.62,258.61,240.33,242.89,255.62,258.61,240.33,242.89,93280.82417,93280.82417
42,2021-06-10,274.77,283.0,254.3,255.6,274.77,283.0,254.3,255.6,143655.2417,143655.2417
43,2021-06-09,253.59,275.31,237.22,274.87,253.59,275.31,237.22,274.87,155100.8423,155100.8423
44,2021-06-08,248.96,255.73,222.27,253.61,248.96,255.73,222.27,253.61,157186.22259,157186.22259
45,2021-06-07,272.5,282.16,247.0,249.02,272.5,282.16,247.0,249.02,117987.97191,117987.97191
46,2021-06-06,263.91,276.9,262.34,272.5,263.91,276.9,262.34,272.5,103782.64721,103782.64721
47,2021-06-05,287.41,295.14,256.91,264.01,287.41,295.14,256.91,264.01,166798.80051,166798.80051
48,2021-06-04,309.62,312.24,267.65,287.36,309.62,312.24,267.65,287.36,156030.11142,156030.11142
49,2021-06-03,294.63,316.23,285.67,309.57,294.63,316.23,285.67,309.57,177007.95518,177007.95518
50,2021-06-02,266.4,295.0,262.5,294.63,266.4,295.0,262.5,294.63,131447.47903,131447.47903
51,2021-06-01,272.11,276.5,252.5,266.37,272.11,276.5,252.5,266.37,136533.41927,136533.41927
52,2021-05-31,261.88,275.86,242.45,272.21,261.88,275.86,242.45,272.21,138570.24074,138570.24074
53,2021-05-30,243.13,268.45,226.02,261.9,243.13,268.45,226.02,261.9,144914.3873,144914.3873
54,2021-05-29,262.3,297.4,229.15,243.16,262.3,297.4,229.15,243.16,376103.62903,376103.62903
55,2021-05-28,252.81,267.22,218.99,262.1,252.81,267.22,218.99,262.1,244055.00517,244055.00517
56,2021-05-27,268.55,269.2,242.89,252.84,268.55,269.2,242.89,252.84,155071.73981,155071.73981
57,2021-05-26,246.66,275.0,242.63,268.53,246.66,275.0,242.63,268.53,189377.88116,189377.88116
58,2021-05-25,256.39,265.5,226.55,246.62,256.39,265.5,226.55,246.62,198293.23228,198293.23228
59,2021-05-24,225.81,256.94,214.66,256.22,225.81,256.94,214.66,256.22,279996.57079,279996.57079
60,2021-05-23,231.03,261.24,174.33,225.5,231.03,261.24,174.33,225.5,474782.73527,474782.73527
61,2021-05-22,256.18,262.59,222.46,231.12,256.18,262.59,222.46,231.12,399180.83523,399180.83523
62,2021-05-21,280.7,329.99,227.02,256.2,280.7,329.99,227.02,256.2,805091.39058,805091.39058
63,2021-05-20,197.58,289.99,180.0,280.79,197.58,289.99,180.0,280.79,443567.52211,443567.52211
64,2021-05-19,340.89,347.0,124.69,197.34,340.89,347.0,124.69,197.34,541247.34555,541247.34555
65,2021-05-18,339.8,360.88,326.23,341.02,339.8,360.88,326.23,341.02,138408.52483,138408.52483
66,2021-05-17,390.55,390.57,329.95,339.87,390.55,390.57,329.95,339.87,210847.14119,210847.14119
67,2021-05-16,382.47,404.47,371.0,390.65,382.47,404.47,371.0,390.65,158043.70334,158043.70334
68,2021-05-15,412.84,441.99,381.05,382.38,412.84,441.99,381.05,382.38,224708.68969,224708.68969
69,2021-05-14,402.43,422.28,394.3,412.91,402.43,422.28,394.3,412.91,112687.6801,112687.6801
70,2021-05-13,395.47,420.97,369.78,402.34,395.47,420.97,369.78,402.34,201834.77761,201834.77761
71,2021-05-12,453.42,480.0,385.3,396.06,453.42,480.0,385.3,396.06,196103.8343,196103.8343
72,2021-05-11,441.56,454.67,420.1,453.41,441.56,454.67,420.1,453.41,155338.82386,155338.82386
73,2021-05-10,484.29,497.55,422.22,441.03,484.29,497.55,422.22,441.03,160293.84112,160293.84112
74,2021-05-09,475.95,486.67,446.08,484.0,475.95,486.67,446.08,484.0,139892.38562,139892.38562
75,2021-05-08,454.74,488.98,451.24,475.59,454.74,488.98,451.24,475.59,179011.98516,179011.98516
76,2021-05-07,422.42,519.13,422.2,454.81,422.42,519.13,422.2,454.81,491677.6696,491677.6696
77,2021-05-06,417.11,435.99,404.25,422.45,417.11,435.99,404.25,422.45,190139.20309,190139.20309
78,2021-05-05,379.53,418.0,375.69,417.16,379.53,418.0,375.69,417.16,137891.45801,137891.45801
79,2021-05-04,411.46,411.95,378.28,379.54,411.46,411.95,378.28,379.54,179530.18136,179530.18136
80,2021-05-03,404.28,426.49,399.16,411.31,404.28,426.49,399.16,411.31,140824.84729,140824.84729
81,2021-05-02,425.77,427.0,400.0,404.46,425.77,427.0,400.0,404.46,85980.8397,85980.8397
82,2021-05-01,421.67,434.56,415.5,425.76,421.67,434.56,415.5,425.76,112349.41376,112349.41376
83,2021-04-30,407.32,423.01,403.1,421.78,407.32,423.01,403.1,421.78,137253.18848,137253.18848
84,2021-04-29,413.28,426.04,399.0,407.32,413.28,426.04,399.0,407.32,126240.6008,126240.6008
85,2021-04-28,401.65,440.0,399.15,413.54,401.65,440.0,399.15,413.54,223848.53162,223848.53162
86,2021-04-27,405.43,413.0,384.78,401.6,405.43,413.0,384.78,401.6,132782.10155,132782.10155
87,2021-04-26,355.35,406.14,340.04,405.46,355.35,406.14,340.04,405.46,208448.37907,208448.37907
88,2021-04-25,381.45,406.45,334.65,355.44,381.45,406.45,334.65,355.44,198016.52708,198016.52708
89,2021-04-24,354.73,397.28,338.01,381.18,354.73,397.28,338.01,381.18,209628.37482,209628.37482
90,2021-04-23,346.77,355.0,300.47,354.37,346.77,355.0,300.47,354.37,303931.55487,303931.55487
91,2021-04-22,375.39,390.99,343.32,346.68,375.39,390.99,343.32,346.68,217278.20616,217278.20616
92,2021-04-21,404.49,426.47,372.5,375.44,404.49,426.47,372.5,375.44,358054.95445,358054.95445
93,2021-04-20,357.45,415.4,328.01,404.34,357.45,415.4,328.01,404.34,453203.21601,453203.21601
94,2021-04-19,338.45,366.25,305.12,358.07,338.45,366.25,305.12,358.07,266251.51766,266251.51766
95,2021-04-18,363.69,376.24,281.0,338.48,363.69,376.24,281.0,338.48,283448.8737,283448.8737
96,2021-04-17,340.61,375.4,340.58,363.77,340.61,375.4,340.58,363.77,214569.34882,214569.34882
97,2021-04-16,344.2,347.0,313.49,340.66,344.2,347.0,313.49,340.66,151851.51493,151851.51493
98,2021-04-15,320.71,347.88,318.4,344.4,320.71,347.88,318.4,344.4,121789.11963,121789.11963
99,2021-04-14,327.62,331.1,308.29,320.65,327.62,331.1,308.29,320.65,126806.44872,126806.44872
100,2021-04-13,314.29,331.38,307.0,327.43,314.29,331.38,307.0,327.43,156125.65899,156125.65899
101,2021-04-12,328.93,345.0,313.67,314.32,328.93,345.0,313.67,314.32,221086.95365,221086.95365
102,2021-04-11,291.79,329.51,291.35,328.9,291.79,329.51,291.35,328.9,182394.78305,182394.78305
103,2021-04-10,273.37,299.0,272.98,291.72,273.37,299.0,272.98,291.72,181166.11218,181166.11218
104,2021-04-09,269.69,290.0,265.94,273.37,269.69,290.0,265.94,273.37,126545.26566,126545.26566
105,2021-04-08,257.26,271.88,250.54,269.69,257.26,271.88,250.54,269.69,112446.41379,112446.41379
106,2021-04-07,270.73,280.0,252.68,257.44,270.73,280.0,252.68,257.44,186019.49264,186019.49264
107,2021-04-06,265.56,277.2,261.58,270.68,265.56,277.2,261.58,270.68,123865.71576,123865.71576
108,2021-04-05,263.49,270.0,260.0,265.37,263.49,270.0,260.0,265.37,118545.24642,118545.24642
109,2021-04-04,257.2,272.5,247.12,263.6,257.2,272.5,247.12,263.6,159614.35177,159614.35177
110,2021-04-03,257.72,267.22,253.18,257.23,257.72,267.22,253.18,257.23,109072.31411,109072.31411
111,2021-04-02,250.65,261.4,249.0,257.7,250.65,261.4,249.0,257.7,126702.70643,126702.70643
112,2021-04-01,245.82,255.55,244.42,250.65,245.82,255.55,244.42,250.65,110224.84804,110224.84804
