,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.0275,0.02808,0.0275,0.02783,0.0275,0.02808,0.0275,0.02783,7695261.0,7695261.0
1,2021-08-28,0.02862,0.029,0.027,0.02749,0.02862,0.029,0.027,0.02749,246780269.0,246780269.0
2,2021-08-27,0.02612,0.0299,0.02561,0.02862,0.02612,0.0299,0.02561,0.02862,264593668.0,264593668.0
3,2021-08-26,0.029,0.02944,0.02554,0.02612,0.029,0.02944,0.02554,0.02612,253856707.0,253856707.0
4,2021-08-25,0.02775,0.02943,0.02654,0.029,0.02775,0.02943,0.02654,0.029,276962902.0,276962902.0
5,2021-08-24,0.03045,0.03145,0.02755,0.02775,0.03045,0.03145,0.02755,0.02775,326263479.0,326263479.0
6,2021-08-23,0.03069,0.032,0.03005,0.03043,0.03069,0.032,0.03005,0.03043,315580437.0,315580437.0
7,2021-08-22,0.03185,0.03243,0.02956,0.03069,0.03185,0.03243,0.02956,0.03069,515850786.0,515850786.0
8,2021-08-21,0.03383,0.03477,0.03152,0.03184,0.03383,0.03477,0.03152,0.03184,726040419.0,726040419.0
9,2021-08-20,0.03437,0.03521,0.03328,0.03383,0.03437,0.03521,0.03328,0.03383,335350957.0,335350957.0
10,2021-08-19,0.03241,0.03457,0.031,0.03439,0.03241,0.03457,0.031,0.03439,347857053.0,347857053.0
11,2021-08-18,0.03187,0.03402,0.0308,0.03241,0.03187,0.03402,0.0308,0.03241,356758754.0,356758754.0
12,2021-08-17,0.03549,0.03661,0.03135,0.03189,0.03549,0.03661,0.03135,0.03189,487295587.0,487295587.0
13,2021-08-16,0.03474,0.03783,0.03418,0.03548,0.03474,0.03783,0.03418,0.03548,581599311.0,581599311.0
14,2021-08-15,0.03471,0.03549,0.03275,0.03478,0.03471,0.03549,0.03275,0.03478,572300857.0,572300857.0
