,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.05861,0.06,0.05784,0.05945,0.05861,0.06,0.05784,0.05945,9514431.6,9514431.6
1,2021-07-21,0.05339,0.06032,0.05186,0.05862,0.05339,0.06032,0.05186,0.05862,173014431.0,173014431.0
2,2021-07-20,0.05809,0.05915,0.0507,0.0534,0.05809,0.05915,0.0507,0.0534,220076607.6,220076607.6
3,2021-07-19,0.06327,0.06368,0.05777,0.05811,0.06327,0.06368,0.05777,0.05811,110019627.8,110019627.8
4,2021-07-18,0.06224,0.06504,0.06142,0.06325,0.06224,0.06504,0.06142,0.06325,90316325.5,90316325.5
5,2021-07-17,0.06173,0.06339,0.06033,0.0622,0.06173,0.06339,0.06033,0.0622,102328241.1,102328241.1
6,2021-07-16,0.06739,0.06833,0.06139,0.06174,0.06739,0.06833,0.06139,0.06174,140663510.9,140663510.9
7,2021-07-15,0.07125,0.07151,0.065,0.06734,0.07125,0.07151,0.065,0.06734,130086331.7,130086331.7
8,2021-07-14,0.06918,0.07135,0.06454,0.07127,0.06918,0.07135,0.06454,0.07127,142644793.5,142644793.5
9,2021-07-13,0.07176,0.07224,0.0677,0.06916,0.07176,0.07224,0.0677,0.06916,105142682.9,105142682.9
10,2021-07-12,0.07397,0.07502,0.07016,0.07179,0.07397,0.07502,0.07016,0.07179,85198798.9,85198798.9
11,2021-07-11,0.07297,0.07459,0.07155,0.07395,0.07297,0.07459,0.07155,0.07395,88694438.4,88694438.4
12,2021-07-10,0.07498,0.07588,0.07132,0.07295,0.07498,0.07588,0.07132,0.07295,84565280.3,84565280.3
13,2021-07-09,0.07491,0.07569,0.07073,0.07503,0.07491,0.07569,0.07073,0.07503,132555011.5,132555011.5
14,2021-07-08,0.08128,0.08136,0.07372,0.07484,0.08128,0.08136,0.07372,0.07484,172743453.7,172743453.7
15,2021-07-07,0.08083,0.08542,0.0791,0.08135,0.08083,0.08542,0.0791,0.08135,232855272.1,232855272.1
16,2021-07-06,0.0797,0.08265,0.078,0.08083,0.0797,0.08265,0.078,0.08083,165970163.9,165970163.9
17,2021-07-05,0.08298,0.08298,0.077,0.07964,0.08298,0.08298,0.077,0.07964,176984829.3,176984829.3
18,2021-07-04,0.08231,0.08449,0.07892,0.083,0.08231,0.08449,0.07892,0.083,166431628.8,166431628.8
