,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,5.1,5.159,5.04,5.131,5.1,5.159,5.04,5.131,19541.625,19541.625
1,2021-07-21,4.392,5.175,4.283,5.1,4.392,5.175,4.283,5.1,788060.217,788060.217
2,2021-07-20,4.748,4.854,4.223,4.388,4.748,4.854,4.223,4.388,878823.955,878823.955
3,2021-07-19,4.967,5.157,4.647,4.75,4.967,5.157,4.647,4.75,796680.199,796680.199
4,2021-07-18,5.099,5.321,4.939,4.965,5.099,5.321,4.939,4.965,687952.922,687952.922
5,2021-07-17,5.071,5.186,4.945,5.096,5.071,5.186,4.945,5.096,579142.538,579142.538
6,2021-07-16,5.546,5.679,5.039,5.07,5.546,5.679,5.039,5.07,1047661.473,1047661.473
7,2021-07-15,5.988,6.125,5.457,5.547,5.988,6.125,5.457,5.547,1033717.052,1033717.052
8,2021-07-14,6.351,6.395,5.735,5.99,6.351,6.395,5.735,5.99,1069682.869,1069682.869
9,2021-07-13,6.386,6.914,6.229,6.355,6.386,6.914,6.229,6.355,1704635.315,1704635.315
10,2021-07-12,6.7,6.701,6.167,6.385,6.7,6.701,6.167,6.385,910703.31,910703.31
11,2021-07-11,6.289,6.95,6.195,6.698,6.289,6.95,6.195,6.698,1306484.032,1306484.032
12,2021-07-10,6.595,6.843,6.141,6.296,6.595,6.843,6.141,6.296,1027042.342,1027042.342
13,2021-07-09,6.105,6.752,5.825,6.588,6.105,6.752,5.825,6.588,1097007.956,1097007.956
14,2021-07-08,6.698,6.748,6.003,6.106,6.698,6.748,6.003,6.106,1435817.257,1435817.257
15,2021-07-07,6.383,7.163,6.249,6.698,6.383,7.163,6.249,6.698,1602646.765,1602646.765
16,2021-07-06,5.999,6.76,5.987,6.388,5.999,6.76,5.987,6.388,1472338.483,1472338.483
17,2021-07-05,6.238,6.335,5.778,5.995,6.238,6.335,5.778,5.995,1293340.75,1293340.75
18,2021-07-04,5.77,6.48,5.651,6.238,5.77,6.48,5.651,6.238,1417403.151,1417403.151
19,2021-07-03,5.566,5.83,5.457,5.772,5.566,5.83,5.457,5.772,685830.854,685830.854
20,2021-07-02,5.507,5.606,5.224,5.565,5.507,5.606,5.224,5.565,644655.697,644655.697
21,2021-07-01,5.962,5.963,5.34,5.511,5.962,5.963,5.34,5.511,1210925.234,1210925.234
22,2021-06-30,6.056,6.115,5.537,5.957,6.056,6.115,5.537,5.957,1535252.003,1535252.003
23,2021-06-29,5.263,6.083,5.24,6.056,5.263,6.083,5.24,6.056,1957575.612,1957575.612
24,2021-06-28,5.17,5.54,5.019,5.262,5.17,5.54,5.019,5.262,1445751.981,1445751.981
25,2021-06-27,4.89,5.22,4.673,5.168,4.89,5.22,4.673,5.168,1070599.227,1070599.227
26,2021-06-26,5.061,5.224,4.56,4.895,5.061,5.224,4.56,4.895,2280179.631,2280179.631
