,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.503,0.5099,0.499,0.5032,0.503,0.5099,0.499,0.5032,892587.78,892587.78
1,2021-07-21,0.4665,0.507,0.456,0.5033,0.4665,0.507,0.456,0.5033,15546966.45,15546966.45
2,2021-07-20,0.4953,0.5027,0.4557,0.4661,0.4953,0.5027,0.4557,0.4661,14663833.9,14663833.9
3,2021-07-19,0.519,0.5202,0.4877,0.4955,0.519,0.5202,0.4877,0.4955,11781402.35,11781402.35
4,2021-07-18,0.5344,0.5549,0.5135,0.5189,0.5344,0.5549,0.5135,0.5189,17565413.33,17565413.33
5,2021-07-17,0.5493,0.6023,0.5307,0.5341,0.5493,0.6023,0.5307,0.5341,57439066.66,57439066.66
6,2021-07-16,0.5072,0.5796,0.494,0.5494,0.5072,0.5796,0.494,0.5494,40555068.49,40555068.49
7,2021-07-15,0.531,0.5393,0.4981,0.5069,0.531,0.5393,0.4981,0.5069,8438487.45,8438487.45
8,2021-07-14,0.5363,0.5384,0.497,0.531,0.5363,0.5384,0.497,0.531,8541813.59,8541813.59
9,2021-07-13,0.548,0.5535,0.5271,0.5357,0.548,0.5535,0.5271,0.5357,6771942.7,6771942.7
10,2021-07-12,0.5633,0.5719,0.5405,0.5484,0.5633,0.5719,0.5405,0.5484,6231040.44,6231040.44
11,2021-07-11,0.5586,0.5667,0.546,0.5629,0.5586,0.5667,0.546,0.5629,6175735.17,6175735.17
12,2021-07-10,0.5699,0.58,0.5466,0.5575,0.5699,0.58,0.5466,0.5575,6598421.04,6598421.04
13,2021-07-09,0.5686,0.5734,0.5373,0.5696,0.5686,0.5734,0.5373,0.5696,12681456.21,12681456.21
14,2021-07-08,0.6135,0.6168,0.5599,0.5679,0.6135,0.6168,0.5599,0.5679,15264230.9,15264230.9
15,2021-07-07,0.5924,0.6476,0.5861,0.6134,0.5924,0.6476,0.5861,0.6134,16901885.26,16901885.26
16,2021-07-06,0.567,0.5995,0.5658,0.5929,0.567,0.5995,0.5658,0.5929,10542925.59,10542925.59
17,2021-07-05,0.605,0.6054,0.5561,0.5663,0.605,0.6054,0.5561,0.5663,8828839.51,8828839.51
18,2021-07-04,0.5889,0.62,0.5675,0.606,0.5889,0.62,0.5675,0.606,7738386.15,7738386.15
19,2021-07-03,0.5812,0.5974,0.5669,0.589,0.5812,0.5974,0.5669,0.589,6390638.29,6390638.29
20,2021-07-02,0.5808,0.59,0.5463,0.5812,0.5808,0.59,0.5463,0.5812,5086857.89,5086857.89
21,2021-07-01,0.6158,0.6188,0.5601,0.5813,0.6158,0.6188,0.5601,0.5813,9524818.27,9524818.27
22,2021-06-30,0.587,0.6163,0.5616,0.6158,0.587,0.6163,0.5616,0.6158,10125640.43,10125640.43
23,2021-06-29,0.5577,0.6194,0.5552,0.5866,0.5577,0.6194,0.5552,0.5866,11975354.65,11975354.65
24,2021-06-28,0.5425,0.5697,0.5313,0.5575,0.5425,0.5697,0.5313,0.5575,8222684.73,8222684.73
25,2021-06-27,0.5111,0.5426,0.5002,0.541,0.5111,0.5426,0.5002,0.541,7648662.63,7648662.63
26,2021-06-26,0.5181,0.5311,0.4851,0.5111,0.5181,0.5311,0.4851,0.5111,11315955.7,11315955.7
27,2021-06-25,0.573,0.592,0.5103,0.5179,0.573,0.592,0.5103,0.5179,13029023.75,13029023.75
28,2021-06-24,0.5509,0.5791,0.526,0.5735,0.5509,0.5791,0.526,0.5735,10131651.4,10131651.4
29,2021-06-23,0.4838,0.5674,0.4679,0.5508,0.4838,0.5674,0.4679,0.5508,15194506.52,15194506.52
30,2021-06-22,0.5102,0.5326,0.425,0.4836,0.5102,0.5326,0.425,0.4836,35426983.32,35426983.32
31,2021-06-21,0.6002,0.6042,0.4985,0.5105,0.6002,0.6042,0.4985,0.5105,23063081.61,23063081.61
32,2021-06-20,0.5956,0.6084,0.559,0.6005,0.5956,0.6084,0.559,0.6005,10745233.12,10745233.12
33,2021-06-19,0.6103,0.6281,0.5909,0.5958,0.6103,0.6281,0.5909,0.5958,5022689.32,5022689.32
34,2021-06-18,0.6578,0.6586,0.5875,0.6104,0.6578,0.6586,0.5875,0.6104,13051603.4,13051603.4
35,2021-06-17,0.6562,0.6894,0.6421,0.6576,0.6562,0.6894,0.6421,0.6576,8065439.27,8065439.27
36,2021-06-16,0.6905,0.6912,0.6491,0.656,0.6905,0.6912,0.6491,0.656,9877811.76,9877811.76
37,2021-06-15,0.6715,0.7233,0.6667,0.6906,0.6715,0.7233,0.6667,0.6906,17381806.39,17381806.39
38,2021-06-14,0.6486,0.677,0.6382,0.6716,0.6486,0.677,0.6382,0.6716,12787488.22,12787488.22
39,2021-06-13,0.6168,0.66,0.5973,0.6486,0.6168,0.66,0.5973,0.6486,12391091.7,12391091.7
40,2021-06-12,0.6467,0.6478,0.5916,0.6168,0.6467,0.6478,0.5916,0.6168,14755802.68,14755802.68
41,2021-06-11,0.6644,0.719,0.6391,0.6466,0.6644,0.719,0.6391,0.6466,17357058.81,17357058.81
42,2021-06-10,0.703,0.7082,0.6452,0.6643,0.703,0.7082,0.6452,0.6643,9886878.53,9886878.53
43,2021-06-09,0.6692,0.7038,0.6349,0.7029,0.6692,0.7038,0.6349,0.7029,12771071.03,12771071.03
44,2021-06-08,0.6946,0.7087,0.6061,0.6696,0.6946,0.7087,0.6061,0.6696,20816045.12,20816045.12
45,2021-06-07,0.7625,0.7999,0.6879,0.6948,0.7625,0.7999,0.6879,0.6948,14150596.86,14150596.86
46,2021-06-06,0.7508,0.7786,0.7418,0.7628,0.7508,0.7786,0.7418,0.7628,8344119.9,8344119.9
47,2021-06-05,0.7607,0.8191,0.7188,0.7506,0.7607,0.8191,0.7188,0.7506,15375892.29,15375892.29
48,2021-06-04,0.8304,0.8307,0.7152,0.7609,0.8304,0.8307,0.7152,0.7609,17115084.07,17115084.07
49,2021-06-03,0.797,0.85,0.7866,0.83,0.797,0.85,0.7866,0.83,12880206.93,12880206.93
50,2021-06-02,0.7472,0.8475,0.7324,0.7969,0.7472,0.8475,0.7324,0.7969,21380592.73,21380592.73
51,2021-06-01,0.7673,0.775,0.7225,0.747,0.7673,0.775,0.7225,0.747,12224651.15,12224651.15
52,2021-05-31,0.7036,0.7681,0.6675,0.7679,0.7036,0.7681,0.6675,0.7679,13648087.96,13648087.96
53,2021-05-30,0.6803,0.7403,0.6359,0.7036,0.6803,0.7403,0.6359,0.7036,14438359.98,14438359.98
54,2021-05-29,0.7471,0.7881,0.6394,0.6811,0.7471,0.7881,0.6394,0.6811,19190114.6,19190114.6
55,2021-05-28,0.8449,0.856,0.7009,0.7482,0.8449,0.856,0.7009,0.7482,25859323.19,25859323.19
56,2021-05-27,0.8887,0.93,0.7918,0.8445,0.8887,0.93,0.7918,0.8445,31338052.37,31338052.37
57,2021-05-26,0.737,0.8887,0.7328,0.8887,0.737,0.8887,0.7328,0.8887,25297626.12,25297626.12
58,2021-05-25,0.7263,0.7731,0.66,0.7376,0.7263,0.7731,0.66,0.7376,22408633.41,22408633.41
59,2021-05-24,0.5588,0.7454,0.5471,0.7258,0.5588,0.7454,0.5471,0.7258,36694512.98,36694512.98
60,2021-05-23,0.6806,0.7086,0.4541,0.5576,0.6806,0.7086,0.4541,0.5576,50330774.78,50330774.78
