,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,46.25,46.99,45.87,46.53,46.25,46.99,45.87,46.53,62496.3386,62496.3386
1,2021-07-21,41.24,47.86,40.08,46.24,41.24,47.86,40.08,46.24,2153384.2785,2153384.2785
2,2021-07-20,44.72,45.17,41.0,41.23,44.72,45.17,41.0,41.23,1602636.2175,1602636.2175
3,2021-07-19,46.82,47.16,44.36,44.71,46.82,47.16,44.36,44.71,954857.6425,954857.6425
4,2021-07-18,45.62,47.47,45.55,46.83,45.62,47.47,45.55,46.83,1053811.862,1053811.862
5,2021-07-17,45.82,46.18,45.12,45.62,45.82,46.18,45.12,45.62,890656.2726,890656.2726
6,2021-07-16,47.32,48.36,45.77,45.82,47.32,48.36,45.77,45.82,992668.9548,992668.9548
7,2021-07-15,49.68,50.35,46.2,47.32,49.68,50.35,46.2,47.32,1250561.1023,1250561.1023
8,2021-07-14,50.97,51.24,48.1,49.68,50.97,51.24,48.1,49.68,1201652.4769,1201652.4769
9,2021-07-13,52.47,53.05,50.38,50.98,52.47,53.05,50.38,50.98,1047433.3331,1047433.3331
10,2021-07-12,55.11,55.49,52.2,52.48,55.11,55.49,52.2,52.48,787505.487,787505.487
11,2021-07-11,54.22,55.8,53.92,55.12,54.22,55.8,53.92,55.12,484171.092,484171.092
12,2021-07-10,55.26,56.03,53.55,54.25,55.26,56.03,53.55,54.25,669931.579,669931.579
13,2021-07-09,53.86,55.56,52.71,55.26,53.86,55.56,52.71,55.26,851839.5536,851839.5536
14,2021-07-08,56.42,56.51,52.79,53.85,56.42,56.51,52.79,53.85,1320214.8867,1320214.8867
15,2021-07-07,57.01,58.04,56.32,56.42,57.01,58.04,56.32,56.42,869871.8958,869871.8958
16,2021-07-06,56.08,58.33,55.98,57.01,56.08,58.33,55.98,57.01,1175663.1875,1175663.1875
17,2021-07-05,58.72,58.72,54.77,56.06,58.72,58.72,54.77,56.06,1319253.4142,1319253.4142
18,2021-07-04,58.92,60.63,58.01,58.72,58.92,60.63,58.01,58.72,1018822.3384,1018822.3384
19,2021-07-03,57.17,59.98,56.63,58.92,57.17,59.98,56.63,58.92,1238571.5294,1238571.5294
20,2021-07-02,56.65,57.41,54.94,57.19,56.65,57.41,54.94,57.19,1314268.3262,1314268.3262
21,2021-07-01,60.4,60.45,55.2,56.65,60.4,60.45,55.2,56.65,2019639.4159,2019639.4159
22,2021-06-30,64.59,65.39,56.4,60.4,64.59,65.39,56.4,60.4,3555416.4221,3555416.4221
23,2021-06-29,56.45,66.31,56.1,64.59,56.45,66.31,56.1,64.59,3394748.9252,3394748.9252
24,2021-06-28,56.19,57.94,54.88,56.44,56.19,57.94,54.88,56.44,2325097.628,2325097.628
25,2021-06-27,53.04,56.52,52.66,56.2,53.04,56.52,52.66,56.2,2000162.7598,2000162.7598
26,2021-06-26,52.03,53.29,50.0,53.04,52.03,53.29,50.0,53.04,2132210.4816,2132210.4816
27,2021-06-25,57.1,57.93,50.36,52.03,57.1,57.93,50.36,52.03,3034948.4686,3034948.4686
28,2021-06-24,58.72,59.35,54.17,57.1,58.72,59.35,54.17,57.1,2749730.2502,2749730.2502
29,2021-06-23,49.45,59.25,47.48,58.7,49.45,59.25,47.48,58.7,3757619.7571,3757619.7571
30,2021-06-22,46.15,53.18,42.53,49.45,46.15,53.18,42.53,49.45,5375956.744,5375956.744
31,2021-06-21,63.19,63.73,45.0,46.18,63.19,63.73,45.0,46.18,4690895.531,4690895.531
32,2021-06-20,64.71,65.0,59.92,63.2,64.71,65.0,59.92,63.2,2188031.129,2188031.129
33,2021-06-19,65.69,66.85,64.23,64.72,65.69,66.85,64.23,64.72,1076377.4604,1076377.4604
34,2021-06-18,68.93,68.97,63.5,65.69,68.93,68.97,63.5,65.69,1365880.8778,1365880.8778
35,2021-06-17,69.72,72.1,67.04,68.93,69.72,72.1,67.04,68.93,1167009.0885,1167009.0885
36,2021-06-16,72.57,72.57,68.56,69.72,72.57,72.57,68.56,69.72,1373941.1216,1373941.1216
37,2021-06-15,74.89,75.89,71.58,72.56,74.89,75.89,71.58,72.56,1476074.4786,1476074.4786
38,2021-06-14,73.11,77.72,71.82,74.89,73.11,77.72,71.82,74.89,1645829.1476,1645829.1476
39,2021-06-13,69.68,73.73,68.62,73.13,69.68,73.73,68.62,73.13,1281781.8007,1281781.8007
40,2021-06-12,70.79,71.3,66.0,69.68,70.79,71.3,66.0,69.68,1819483.5683,1819483.5683
41,2021-06-11,73.32,74.12,69.62,70.8,73.32,74.12,69.62,70.8,1554746.0402,1554746.0402
42,2021-06-10,77.78,79.13,71.61,73.31,77.78,79.13,71.61,73.31,2308661.7351,2308661.7351
43,2021-06-09,75.98,78.91,70.89,77.76,75.98,78.91,70.89,77.76,3182405.9298,3182405.9298
44,2021-06-08,82.0,83.75,70.36,76.02,82.0,83.75,70.36,76.02,4778130.601,4778130.601
45,2021-06-07,86.98,92.1,80.15,81.99,86.98,92.1,80.15,81.99,2876771.7351,2876771.7351
46,2021-06-06,88.15,89.05,86.01,86.99,88.15,89.05,86.01,86.99,1401268.0488,1401268.0488
47,2021-06-05,88.0,93.03,85.85,88.16,88.0,93.03,85.85,88.16,2864255.0793,2864255.0793
48,2021-06-04,89.47,97.99,84.51,88.0,89.47,97.99,84.51,88.0,6430417.6017,6430417.6017
49,2021-06-03,70.09,94.05,69.47,89.48,70.09,94.05,69.47,89.48,5210285.1494,5210285.1494
50,2021-06-02,69.18,72.06,68.15,70.09,69.18,72.06,68.15,70.09,1314034.6086,1314034.6086
51,2021-06-01,72.52,73.17,68.02,69.18,72.52,73.17,68.02,69.18,1611400.0277,1611400.0277
52,2021-05-31,68.34,72.92,66.28,72.52,68.34,72.92,66.28,72.52,2040700.7409,2040700.7409
53,2021-05-30,68.25,69.44,65.25,68.34,68.25,69.44,65.25,68.34,1796269.4258,1796269.4258
54,2021-05-29,66.74,69.87,64.5,68.24,66.74,69.87,64.5,68.24,1921950.2407,1921950.2407
55,2021-05-28,71.44,71.8,64.98,66.75,71.44,71.8,64.98,66.75,2444585.5519,2444585.5519
56,2021-05-27,74.51,74.56,68.86,71.43,74.51,74.56,68.86,71.43,1919835.4393,1919835.4393
57,2021-05-26,72.28,74.99,70.03,74.5,72.28,74.99,70.03,74.5,2469525.8135,2469525.8135
58,2021-05-25,74.74,79.76,65.73,72.24,74.74,79.76,65.73,72.24,3399202.8305,3399202.8305
59,2021-05-24,64.87,78.0,62.24,74.75,64.87,78.0,62.24,74.75,4372237.2018,4372237.2018
60,2021-05-23,72.23,74.73,55.2,64.88,72.23,74.73,55.2,64.88,4404400.1297,4404400.1297
61,2021-05-22,76.9,77.43,66.48,72.21,76.9,77.43,66.48,72.21,3395285.8229,3395285.8229
62,2021-05-21,88.62,94.99,67.76,76.84,88.62,94.99,67.76,76.84,4394753.383,4394753.383
63,2021-05-20,65.29,95.26,61.13,88.66,65.29,95.26,61.13,88.66,5722650.4379,5722650.4379
