,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,5.9,6.06,5.79,5.84,5.9,6.06,5.79,5.84,84417.89,84417.89
1,2021-07-21,5.4,5.93,5.21,5.89,5.4,5.93,5.21,5.89,1162064.51,1162064.51
2,2021-07-20,5.06,5.58,4.79,5.4,5.06,5.58,4.79,5.4,1603348.76,1603348.76
3,2021-07-19,5.83,5.89,4.97,5.06,5.83,5.89,4.97,5.06,1036380.49,1036380.49
4,2021-07-18,6.04,6.84,5.7,5.82,6.04,6.84,5.7,5.82,2154723.45,2154723.45
5,2021-07-17,5.04,6.22,4.82,6.04,5.04,6.22,4.82,6.04,1645627.27,1645627.27
6,2021-07-16,5.4,5.57,5.02,5.05,5.4,5.57,5.02,5.05,399214.55,399214.55
7,2021-07-15,5.75,5.97,5.21,5.4,5.75,5.97,5.21,5.4,851671.01,851671.01
8,2021-07-14,5.75,5.98,5.34,5.75,5.75,5.98,5.34,5.75,522126.67,522126.67
9,2021-07-13,6.1,6.26,5.56,5.75,6.1,6.26,5.56,5.75,714078.56,714078.56
10,2021-07-12,6.35,6.45,5.86,6.12,6.35,6.45,5.86,6.12,322382.91,322382.91
11,2021-07-11,6.32,6.53,6.27,6.36,6.32,6.53,6.27,6.36,258364.03,258364.03
12,2021-07-10,6.48,6.75,6.14,6.31,6.48,6.75,6.14,6.31,570244.43,570244.43
13,2021-07-09,6.49,6.7,6.16,6.47,6.49,6.7,6.16,6.47,603561.65,603561.65
14,2021-07-08,6.97,7.0,6.2,6.51,6.97,7.0,6.2,6.51,753029.39,753029.39
15,2021-07-07,7.13,7.46,6.91,7.0,7.13,7.46,6.91,7.0,703706.84,703706.84
16,2021-07-06,6.84,7.46,6.83,7.13,6.84,7.46,6.83,7.13,844664.4,844664.4
17,2021-07-05,7.22,7.29,6.61,6.82,7.22,7.29,6.61,6.82,921379.55,921379.55
18,2021-07-04,7.36,7.8,6.96,7.23,7.36,7.8,6.96,7.23,717849.7,717849.7
19,2021-07-03,6.84,7.9,6.7,7.36,6.84,7.9,6.7,7.36,1166624.0,1166624.0
20,2021-07-02,7.05,7.36,6.41,6.87,7.05,7.36,6.41,6.87,886583.44,886583.44
21,2021-07-01,7.76,7.79,6.68,7.05,7.76,7.79,6.68,7.05,1340832.64,1340832.64
22,2021-06-30,8.48,8.8,7.19,7.74,8.48,8.8,7.19,7.74,1444834.34,1444834.34
23,2021-06-29,7.45,9.02,7.36,8.49,7.45,9.02,7.36,8.49,1975602.63,1975602.63
24,2021-06-28,7.2,8.59,7.13,7.45,7.2,8.59,7.13,7.45,3638112.95,3638112.95
25,2021-06-27,5.82,7.61,5.58,7.2,5.82,7.61,5.58,7.2,2255156.49,2255156.49
26,2021-06-26,5.72,6.2,5.29,5.8,5.72,6.2,5.29,5.8,861984.23,861984.23
27,2021-06-25,5.7,6.8,5.57,5.74,5.7,6.8,5.57,5.74,1658987.19,1658987.19
28,2021-06-24,5.73,6.12,5.26,5.7,5.73,6.12,5.26,5.7,868629.99,868629.99
29,2021-06-23,5.24,6.29,5.09,5.73,5.24,6.29,5.09,5.73,1130490.53,1130490.53
30,2021-06-22,5.53,6.17,4.62,5.25,5.53,6.17,4.62,5.25,1597056.11,1597056.11
31,2021-06-21,7.45,7.68,5.4,5.53,7.45,7.68,5.4,5.53,1826273.79,1826273.79
32,2021-06-20,7.98,8.12,6.69,7.45,7.98,8.12,6.69,7.45,1317191.79,1317191.79
33,2021-06-19,7.99,8.4,7.82,7.97,7.99,8.4,7.82,7.97,830724.77,830724.77
34,2021-06-18,8.44,8.9,7.61,7.97,8.44,8.9,7.61,7.97,1929344.08,1929344.08
35,2021-06-17,9.21,9.72,8.24,8.43,9.21,9.72,8.24,8.43,931958.7,931958.7
36,2021-06-16,10.7,11.2,8.96,9.19,10.7,11.2,8.96,9.19,1381029.17,1381029.17
37,2021-06-15,10.38,11.11,10.21,10.73,10.38,11.11,10.21,10.73,1093578.02,1093578.02
38,2021-06-14,10.46,12.0,10.0,10.4,10.46,12.0,10.0,10.4,2088772.9,2088772.9
39,2021-06-13,11.22,11.3,9.54,10.48,11.22,11.3,9.54,10.48,2158172.41,2158172.41
40,2021-06-12,11.99,12.25,10.6,11.21,11.99,12.25,10.6,11.21,2520009.16,2520009.16
41,2021-06-11,13.23,18.36,11.79,11.97,13.23,18.36,11.79,11.97,9870831.32,9870831.32
42,2021-06-10,9.52,24.0,9.52,13.26,9.52,24.0,9.52,13.26,7044984.5,7044984.5
