,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,1.27,1.287,1.257,1.272,1.27,1.287,1.257,1.272,79551.012,79551.012
1,2021-07-21,1.167,1.304,1.13,1.269,1.167,1.304,1.13,1.269,2984436.825,2984436.825
2,2021-07-20,1.226,1.258,1.126,1.167,1.226,1.258,1.126,1.167,3047994.391,3047994.391
3,2021-07-19,1.311,1.315,1.215,1.227,1.311,1.315,1.215,1.227,1861967.444,1861967.444
4,2021-07-18,1.293,1.351,1.281,1.311,1.293,1.351,1.281,1.311,1806473.9,1806473.9
5,2021-07-17,1.278,1.328,1.259,1.293,1.278,1.328,1.259,1.293,1929149.81,1929149.81
6,2021-07-16,1.356,1.388,1.27,1.28,1.356,1.388,1.27,1.28,2010715.034,2010715.034
7,2021-07-15,1.427,1.45,1.331,1.354,1.427,1.45,1.331,1.354,2536258.197,2536258.197
8,2021-07-14,1.439,1.447,1.346,1.429,1.439,1.447,1.346,1.429,2200439.833,2200439.833
9,2021-07-13,1.504,1.505,1.414,1.439,1.504,1.505,1.414,1.439,2315432.08,2315432.08
10,2021-07-12,1.524,1.583,1.47,1.504,1.524,1.583,1.47,1.504,3135267.408,3135267.408
11,2021-07-11,1.496,1.544,1.463,1.525,1.496,1.544,1.463,1.525,2229996.058,2229996.058
12,2021-07-10,1.534,1.556,1.456,1.494,1.534,1.556,1.456,1.494,1641113.013,1641113.013
13,2021-07-09,1.529,1.551,1.439,1.535,1.529,1.551,1.439,1.535,3389098.106,3389098.106
14,2021-07-08,1.675,1.678,1.486,1.528,1.675,1.678,1.486,1.528,4337800.299,4337800.299
15,2021-07-07,1.627,1.773,1.592,1.667,1.627,1.773,1.592,1.667,7474931.117,7474931.117
16,2021-07-06,1.55,1.679,1.55,1.626,1.55,1.679,1.55,1.626,6528526.692,6528526.692
17,2021-07-05,1.621,1.632,1.508,1.552,1.621,1.632,1.508,1.552,3738312.213,3738312.213
18,2021-07-04,1.601,1.692,1.556,1.622,1.601,1.692,1.556,1.622,3329616.64,3329616.64
19,2021-07-03,1.572,1.637,1.514,1.601,1.572,1.637,1.514,1.601,2021401.645,2021401.645
20,2021-07-02,1.562,1.584,1.463,1.573,1.562,1.584,1.463,1.573,3264809.534,3264809.534
21,2021-07-01,1.681,1.684,1.5,1.564,1.681,1.684,1.5,1.564,5436897.905,5436897.905
22,2021-06-30,1.542,1.731,1.447,1.681,1.542,1.731,1.447,1.681,11712523.51,11712523.51
23,2021-06-29,1.402,1.569,1.398,1.542,1.402,1.569,1.398,1.542,4735199.779,4735199.779
24,2021-06-28,1.353,1.433,1.314,1.4,1.353,1.433,1.314,1.4,4620803.003,4620803.003
25,2021-06-27,1.343,1.359,1.237,1.35,1.343,1.359,1.237,1.35,3880335.523,3880335.523
26,2021-06-26,1.229,1.349,1.157,1.343,1.229,1.349,1.157,1.343,6025568.081,6025568.081
27,2021-06-25,1.408,1.448,1.22,1.228,1.408,1.448,1.22,1.228,5716367.78,5716367.78
28,2021-06-24,1.35,1.43,1.258,1.407,1.35,1.43,1.258,1.407,3360107.245,3360107.245
29,2021-06-23,1.227,1.44,1.173,1.349,1.227,1.44,1.173,1.349,4944530.799,4944530.799
30,2021-06-22,1.305,1.414,1.082,1.227,1.305,1.414,1.082,1.227,11111497.918,11111497.918
31,2021-06-21,1.716,1.726,1.303,1.305,1.716,1.726,1.303,1.305,6216363.897,6216363.897
32,2021-06-20,1.742,1.767,1.601,1.716,1.742,1.767,1.601,1.716,2782453.79,2782453.79
33,2021-06-19,1.786,1.835,1.728,1.743,1.786,1.835,1.728,1.743,2109470.799,2109470.799
34,2021-06-18,1.945,1.946,1.722,1.785,1.945,1.946,1.722,1.785,3592239.304,3592239.304
35,2021-06-17,2.081,2.085,1.906,1.945,2.081,2.085,1.906,1.945,5007241.08,5007241.08
36,2021-06-16,1.86,2.12,1.761,2.081,1.86,2.12,1.761,2.081,13774270.728,13774270.728
37,2021-06-15,1.903,1.956,1.84,1.86,1.903,1.956,1.84,1.86,3749962.332,3749962.332
38,2021-06-14,1.915,2.07,1.857,1.903,1.915,2.07,1.857,1.903,10115138.369,10115138.369
39,2021-06-13,1.669,1.959,1.599,1.915,1.669,1.959,1.599,1.915,6480658.027,6480658.027
40,2021-06-12,1.79,1.791,1.582,1.668,1.79,1.791,1.582,1.668,3898504.287,3898504.287
