,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-04-05,0.0071335,0.0073499,0.007,0.0070301,0.0071335,0.0073499,0.007,0.0070301,2686146813.0,2686146813.0
1,2021-04-04,0.0071707,0.00795,0.0070127,0.007138,0.0071707,0.00795,0.0070127,0.007138,21119807538.0,21119807538.0
2,2021-04-03,0.0070385,0.00854,0.0065368,0.0071707,0.0070385,0.00854,0.0065368,0.0071707,37802666592.0,37802666592.0
3,2021-04-02,0.0074203,0.00775,0.0067698,0.0070302,0.0074203,0.00775,0.0067698,0.0070302,10874294765.0,10874294765.0
4,2021-04-01,0.0079309,0.008,0.0070694,0.0074202,0.0079309,0.008,0.0070694,0.0074202,13757250190.0,13757250190.0
5,2021-03-31,0.0074937,0.0090919,0.007288,0.0079307,0.0074937,0.0090919,0.007288,0.0079307,31671791027.000004,31671791027.000004
6,2021-03-30,0.0074504,0.0080715,0.007189,0.0074923,0.0074504,0.0080715,0.007189,0.0074923,16236872196.0,16236872196.0
7,2021-03-29,0.0074749,0.008,0.0068802,0.0074664,0.0074749,0.008,0.0068802,0.0074664,14733299053.0,14733299053.0
8,2021-03-28,0.007962,0.0080989,0.0072505,0.0074746,0.007962,0.0080989,0.0072505,0.0074746,10754469064.0,10754469064.0
9,2021-03-27,0.0082134,0.008325,0.0077806,0.0079612,0.0082134,0.008325,0.0077806,0.0079612,11084740633.0,11084740633.0
10,2021-03-26,0.0079497,0.008461,0.0077148,0.0082155,0.0079497,0.008461,0.0077148,0.0082155,15141371867.0,15141371867.0
11,2021-03-25,0.0074903,0.0085,0.0071164,0.0079523,0.0074903,0.0085,0.0071164,0.0079523,32397882252.999996,32397882252.999996
12,2021-03-24,0.0062459,0.0087,0.0061914,0.0074999,0.0062459,0.0087,0.0061914,0.0074999,44441873237.0,44441873237.0
13,2021-03-23,0.0067016,0.007,0.0058172,0.0062459,0.0067016,0.007,0.0058172,0.0062459,13961612518.0,13961612518.0
14,2021-03-22,0.0073697,0.0075,0.0065317,0.0066965,0.0073697,0.0075,0.0065317,0.0066965,18290271479.0,18290271479.0
15,2021-03-21,0.0061012,0.0078888,0.00603,0.0073698,0.0061012,0.0078888,0.00603,0.0073698,24859045068.999996,24859045068.999996
16,2021-03-20,0.0056586,0.00799,0.0056507,0.0061012,0.0056586,0.00799,0.0056507,0.0061012,54833338951.0,54833338951.0
17,2021-03-19,0.003737,0.0059749,0.003726,0.0056486,0.003737,0.0059749,0.003726,0.0056486,51731850339.0,51731850339.0
18,2021-03-18,0.0034664,0.0039,0.00331,0.003737,0.0034664,0.0039,0.00331,0.003737,10707245872.0,10707245872.0
19,2021-03-17,0.0035254,0.0035376,0.0031,0.003467,0.0035254,0.0035376,0.0031,0.003467,8916342231.0,8916342231.0
20,2021-03-16,0.0034092,0.0035537,0.003162,0.0035254,0.0034092,0.0035537,0.003162,0.0035254,10320404802.0,10320404802.0
21,2021-03-15,0.003755,0.003965,0.00325,0.0034093,0.003755,0.003965,0.00325,0.0034093,15771444563.0,15771444563.0
22,2021-03-14,0.0034405,0.00448,0.00311,0.003755,0.0034405,0.00448,0.00311,0.003755,43640525839.0,43640525839.0
23,2021-03-13,0.0022128,0.00415,0.0021903,0.0034405,0.0022128,0.00415,0.0021903,0.0034405,71879022368.0,71879022368.0
24,2021-03-12,0.0023571,0.0023795,0.0021237,0.0022179,0.0023571,0.0023795,0.0021237,0.0022179,7369768035.0,7369768035.0
25,2021-03-11,0.0023908,0.0023999,0.0022,0.002357,0.0023908,0.0023999,0.0022,0.002357,8280151965.0,8280151965.0
26,2021-03-10,0.0022644,0.0026545,0.0022254,0.0023907,0.0022644,0.0026545,0.0022254,0.0023907,17422057910.0,17422057910.0
27,2021-03-09,0.0020076,0.0026095,0.00198,0.0022644,0.0020076,0.0026095,0.00198,0.0022644,17294258268.0,17294258268.0
28,2021-03-08,0.0020455,0.002074,0.0019427,0.0020076,0.0020455,0.002074,0.0019427,0.0020076,6226789358.0,6226789358.0
