,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,4.3,4.448,4.198,4.283,4.3,4.448,4.198,4.283,693706.502,693706.502
1,2021-07-21,3.518,4.519,3.447,4.297,3.518,4.519,3.447,4.297,17854024.556,17854024.556
2,2021-07-20,3.674,3.85,3.01,3.524,3.674,3.85,3.01,3.524,16700211.452,16700211.452
3,2021-07-19,4.098,4.12,3.548,3.673,4.098,4.12,3.548,3.673,9940348.319,9940348.319
4,2021-07-18,4.246,4.648,4.091,4.095,4.246,4.648,4.091,4.095,5415438.607,5415438.607
5,2021-07-17,4.591,4.651,3.961,4.246,4.591,4.651,3.961,4.246,9977892.812,9977892.812
6,2021-07-16,4.9,5.135,4.528,4.59,4.9,5.135,4.528,4.59,9030033.167,9030033.167
7,2021-07-15,5.731,5.92,4.61,4.9,5.731,5.92,4.61,4.9,13833671.872,13833671.872
8,2021-07-14,5.627,6.099,5.216,5.731,5.627,6.099,5.216,5.731,5093357.923,5093357.923
9,2021-07-13,6.098,6.228,5.512,5.621,6.098,6.228,5.512,5.621,3799939.734,3799939.734
10,2021-07-12,6.29,6.7,5.78,6.109,6.29,6.7,5.78,6.109,5019528.203,5019528.203
11,2021-07-11,6.118,6.359,5.97,6.288,6.118,6.359,5.97,6.288,2189057.514,2189057.514
12,2021-07-10,6.215,6.562,5.9,6.117,6.215,6.562,5.9,6.117,3243875.343,3243875.343
13,2021-07-09,6.211,6.401,5.851,6.208,6.211,6.401,5.851,6.208,5908433.704,5908433.704
14,2021-07-08,7.102,7.135,6.019,6.206,7.102,7.135,6.019,6.206,8089524.64,8089524.64
15,2021-07-07,7.02,7.698,6.907,7.102,7.02,7.698,6.907,7.102,8840344.954,8840344.954
16,2021-07-06,6.12,7.48,6.104,7.02,6.12,7.48,6.104,7.02,15031637.12,15031637.12
17,2021-07-05,6.245,6.261,5.787,6.109,6.245,6.261,5.787,6.109,6221100.108,6221100.108
18,2021-07-04,5.987,6.55,5.8,6.25,5.987,6.55,5.8,6.25,5981561.875,5981561.875
19,2021-07-03,5.795,6.255,5.618,5.985,5.795,6.255,5.618,5.985,6124501.801,6124501.801
20,2021-07-02,6.153,6.348,5.554,5.795,6.153,6.348,5.554,5.795,7410847.068,7410847.068
21,2021-07-01,6.773,6.779,6.066,6.154,6.773,6.779,6.066,6.154,6027652.702,6027652.702
22,2021-06-30,6.625,7.0,6.134,6.77,6.625,7.0,6.134,6.77,7645563.235,7645563.235
23,2021-06-29,6.315,7.16,6.266,6.637,6.315,7.16,6.266,6.637,8611957.841,8611957.841
24,2021-06-28,6.107,6.729,5.949,6.32,6.107,6.729,5.949,6.32,11210006.544,11210006.544
25,2021-06-27,5.418,6.109,5.266,6.101,5.418,6.109,5.266,6.101,7308185.442,7308185.442
26,2021-06-26,5.406,5.696,5.01,5.409,5.406,5.696,5.01,5.409,8936197.827,8936197.827
27,2021-06-25,6.377,6.87,5.27,5.412,6.377,6.87,5.27,5.412,14163208.939,14163208.939
28,2021-06-24,5.593,6.66,5.244,6.377,5.593,6.66,5.244,6.377,9926938.636,9926938.636
29,2021-06-23,5.313,6.676,5.0,5.595,5.313,6.676,5.0,5.595,15752655.539,15752655.539
30,2021-06-22,5.976,6.664,4.48,5.319,5.976,6.664,4.48,5.319,23420982.387,23420982.387
31,2021-06-21,8.358,8.474,5.936,5.97,8.358,8.474,5.936,5.97,16118197.447,16118197.447
32,2021-06-20,7.298,8.4,6.88,8.354,7.298,8.4,6.88,8.354,7804461.436,7804461.436
33,2021-06-19,8.158,8.324,7.194,7.292,8.158,8.324,7.194,7.292,7357968.276,7357968.276
34,2021-06-18,8.74,8.958,7.3,8.15,8.74,8.958,7.3,8.15,8734292.333,8734292.333
35,2021-06-17,9.337,10.0,8.501,8.736,9.337,10.0,8.501,8.736,6742316.936,6742316.936
36,2021-06-16,9.836,10.293,8.9,9.336,9.836,10.293,8.9,9.336,6776707.194,6776707.194
37,2021-06-15,8.87,10.5,8.766,9.842,8.87,10.5,8.766,9.842,8244466.59,8244466.59
38,2021-06-14,8.336,9.14,7.905,8.869,8.336,9.14,7.905,8.869,6922131.145,6922131.145
39,2021-06-13,7.069,8.499,6.889,8.328,7.069,8.499,6.889,8.328,6595002.688,6595002.688
40,2021-06-12,7.265,7.896,6.6,7.07,7.265,7.896,6.6,7.07,9282591.525,9282591.525
41,2021-06-11,8.48,8.723,7.05,7.267,8.48,8.723,7.05,7.267,7023141.113,7023141.113
42,2021-06-10,9.729,9.998,8.314,8.473,9.729,9.998,8.314,8.473,6278940.282,6278940.282
43,2021-06-09,9.08,10.2,8.232,9.735,9.08,10.2,8.232,9.735,9527073.2,9527073.2
44,2021-06-08,9.11,9.461,7.875,9.08,9.11,9.461,7.875,9.08,12113592.295,12113592.295
45,2021-06-07,10.797,11.258,8.951,9.107,10.797,11.258,8.951,9.107,5732538.715,5732538.715
46,2021-06-06,10.603,11.183,10.378,10.813,10.603,11.183,10.378,10.813,3254451.453,3254451.453
47,2021-06-05,11.532,12.3,10.282,10.602,11.532,12.3,10.282,10.602,5104307.376,5104307.376
48,2021-06-04,13.256,13.326,10.737,11.52,13.256,13.326,10.737,11.52,7711530.583,7711530.583
49,2021-06-03,12.343,13.722,12.079,13.264,12.343,13.722,12.079,13.264,4784707.632,4784707.632
50,2021-06-02,11.527,12.697,11.221,12.374,11.527,12.697,11.221,12.374,4416333.389,4416333.389
51,2021-06-01,12.613,12.9,11.103,11.544,12.613,12.9,11.103,11.544,6331544.703,6331544.703
52,2021-05-31,11.017,12.762,10.186,12.631,11.017,12.762,10.186,12.631,7143527.584,7143527.584
53,2021-05-30,9.987,11.948,9.3,11.036,9.987,11.948,9.3,11.036,8094173.823,8094173.823
54,2021-05-29,10.791,11.99,9.282,9.971,10.791,11.99,9.282,9.971,11191163.331,11191163.331
55,2021-05-28,14.123,14.62,10.0,10.791,14.123,14.62,10.0,10.791,13369660.37,13369660.37
