,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,16.727,16.933,16.526,16.808,16.727,16.933,16.526,16.808,101411.913,101411.913
1,2021-07-21,14.569,16.876,14.013,16.727,14.569,16.876,14.013,16.727,3689271.238,3689271.238
2,2021-07-20,15.735,15.97,14.394,14.554,15.735,15.97,14.394,14.554,3276914.078,3276914.078
3,2021-07-19,16.311,16.791,15.398,15.742,16.311,16.791,15.398,15.742,3004534.037,3004534.037
4,2021-07-18,16.112,17.168,16.024,16.305,16.112,17.168,16.024,16.305,2646507.712,2646507.712
5,2021-07-17,16.353,16.744,15.928,16.098,16.353,16.744,15.928,16.098,2244463.838,2244463.838
6,2021-07-16,17.07,17.6,15.918,16.337,17.07,17.6,15.918,16.337,2512504.072,2512504.072
7,2021-07-15,17.889,18.389,16.797,17.068,17.889,18.389,16.797,17.068,3278504.789,3278504.789
8,2021-07-14,18.461,18.542,16.721,17.885,18.461,18.542,16.721,17.885,4782786.984,4782786.984
9,2021-07-13,19.531,19.738,18.172,18.47,19.531,19.738,18.172,18.47,2357239.528,2357239.528
10,2021-07-12,20.7,21.45,19.205,19.528,20.7,21.45,19.205,19.528,1844838.187,1844838.187
11,2021-07-11,20.245,20.947,19.98,20.7,20.245,20.947,19.98,20.7,1315491.272,1315491.272
12,2021-07-10,20.978,21.515,19.95,20.244,20.978,21.515,19.95,20.244,1405443.519,1405443.519
13,2021-07-09,20.342,21.686,19.78,20.986,20.342,21.686,19.78,20.986,2534220.366,2534220.366
14,2021-07-08,22.254,22.311,19.908,20.353,22.254,22.311,19.908,20.353,3124268.554,3124268.554
15,2021-07-07,22.373,23.456,21.65,22.253,22.373,23.456,21.65,22.253,3088190.073,3088190.073
16,2021-07-06,20.062,23.235,20.03,22.376,20.062,23.235,20.03,22.376,5911864.441,5911864.441
17,2021-07-05,20.751,20.906,19.068,20.063,20.751,20.906,19.068,20.063,3729063.072,3729063.072
18,2021-07-04,19.474,21.498,18.931,20.757,19.474,21.498,18.931,20.757,3396421.138,3396421.138
19,2021-07-03,18.216,19.559,17.789,19.474,18.216,19.559,17.789,19.474,1969946.1,1969946.1
20,2021-07-02,17.781,18.262,16.939,18.213,17.781,18.262,16.939,18.213,1673825.913,1673825.913
21,2021-07-01,19.279,19.288,17.544,17.779,19.279,19.288,17.544,17.779,2155310.322,2155310.322
22,2021-06-30,18.64,19.299,17.149,19.278,18.64,19.299,17.149,19.278,2596846.284,2596846.284
23,2021-06-29,17.734,19.189,17.66,18.652,17.734,19.189,17.66,18.652,2732626.335,2732626.335
24,2021-06-28,17.082,18.148,16.87,17.727,17.082,18.148,16.87,17.727,2122095.862,2122095.862
25,2021-06-27,16.119,17.101,15.617,17.097,16.119,17.101,15.617,17.097,1849690.818,1849690.818
26,2021-06-26,15.821,16.472,15.104,16.122,15.821,16.472,15.104,16.122,2113043.446,2113043.446
27,2021-06-25,18.052,18.354,15.704,15.822,18.052,18.354,15.704,15.822,3191117.772,3191117.772
28,2021-06-24,17.804,18.601,16.611,18.051,17.804,18.601,16.611,18.051,2840757.25,2840757.25
29,2021-06-23,16.411,18.493,15.772,17.802,16.411,18.493,15.772,17.802,3802110.641,3802110.641
30,2021-06-22,15.787,17.2,13.93,16.421,15.787,17.2,13.93,16.421,6573754.006,6573754.006
31,2021-06-21,20.705,20.873,15.74,15.774,20.705,20.873,15.74,15.774,4733664.598,4733664.598
32,2021-06-20,19.763,21.025,18.622,20.704,19.763,21.025,18.622,20.704,2410717.378,2410717.378
