,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.0176,0.01797,0.0175,0.01764,0.0176,0.01797,0.0175,0.01764,2308110.0,2308110.0
1,2021-07-21,0.01629,0.0183,0.01591,0.01755,0.01629,0.0183,0.01591,0.01755,116245509.0,116245509.0
2,2021-07-20,0.01765,0.01768,0.01581,0.01631,0.01765,0.01768,0.01581,0.01631,136613931.0,136613931.0
3,2021-07-19,0.01878,0.01888,0.01701,0.01765,0.01878,0.01888,0.01701,0.01765,127236047.0,127236047.0
4,2021-07-18,0.01839,0.01899,0.0183,0.0188,0.01839,0.01899,0.0183,0.0188,73395593.0,73395593.0
5,2021-07-17,0.01834,0.02076,0.01787,0.01836,0.01834,0.02076,0.01787,0.01836,105348654.0,105348654.0
6,2021-07-16,0.0202,0.02038,0.01784,0.01833,0.0202,0.02038,0.01784,0.01833,178784936.0,178784936.0
7,2021-07-15,0.01963,0.02096,0.01865,0.0202,0.01963,0.02096,0.01865,0.0202,261090738.0,261090738.0
8,2021-07-14,0.01979,0.02044,0.01871,0.01963,0.01979,0.02044,0.01871,0.01963,92998300.0,92998300.0
9,2021-07-13,0.01994,0.02084,0.01946,0.01975,0.01994,0.02084,0.01946,0.01975,93760424.0,93760424.0
10,2021-07-12,0.02107,0.02136,0.01972,0.01997,0.02107,0.02136,0.01972,0.01997,84015233.0,84015233.0
11,2021-07-11,0.02058,0.02139,0.02038,0.02111,0.02058,0.02139,0.02038,0.02111,64821676.0,64821676.0
12,2021-07-10,0.02097,0.02145,0.02025,0.02056,0.02097,0.02145,0.02025,0.02056,50108026.0,50108026.0
13,2021-07-09,0.02079,0.02145,0.01997,0.02099,0.02079,0.02145,0.01997,0.02099,80049972.0,80049972.0
14,2021-07-08,0.02225,0.02231,0.02053,0.0208,0.02225,0.02231,0.02053,0.0208,114403570.0,114403570.0
15,2021-07-07,0.02284,0.02337,0.022,0.02226,0.02284,0.02337,0.022,0.02226,144687042.0,144687042.0
16,2021-07-06,0.0222,0.02342,0.022,0.02285,0.0222,0.02342,0.022,0.02285,152995232.0,152995232.0
17,2021-07-05,0.02347,0.02349,0.02178,0.0222,0.02347,0.02349,0.02178,0.0222,126141649.0,126141649.0
18,2021-07-04,0.02369,0.02432,0.02282,0.02358,0.02369,0.02432,0.02282,0.02358,140072684.0,140072684.0
19,2021-07-03,0.02311,0.02433,0.02276,0.02362,0.02311,0.02433,0.02276,0.02362,185799287.0,185799287.0
20,2021-07-02,0.02177,0.024,0.02101,0.0231,0.02177,0.024,0.02101,0.0231,187236861.0,187236861.0
21,2021-07-01,0.02305,0.02311,0.02084,0.0217,0.02305,0.02311,0.02084,0.0217,110273274.0,110273274.0
