,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,95.21,95.9,94.47,95.12,95.21,95.9,94.47,95.12,5278.86333,5278.86333
1,2021-07-21,85.65,95.58,84.2,95.18,85.65,95.58,84.2,95.18,275778.08049,275778.08049
2,2021-07-20,89.29,91.8,83.02,85.65,89.29,91.8,83.02,85.65,308430.92608,308430.92608
3,2021-07-19,93.94,100.75,88.88,89.25,93.94,100.75,88.88,89.25,517063.83908,517063.83908
4,2021-07-18,93.18,99.64,92.36,93.95,93.18,99.64,92.36,93.95,202755.62653,202755.62653
5,2021-07-17,93.07,95.84,91.84,93.16,93.07,95.84,91.84,93.16,172564.40149,172564.40149
6,2021-07-16,100.17,102.45,92.54,93.06,100.17,102.45,92.54,93.06,224639.58441,224639.58441
7,2021-07-15,104.52,106.16,97.92,100.17,104.52,106.16,97.92,100.17,243951.08162,243951.08162
8,2021-07-14,104.1,105.88,97.47,104.55,104.1,105.88,97.47,104.55,235639.53525,235639.53525
9,2021-07-13,107.68,108.61,101.83,104.1,107.68,108.61,101.83,104.1,165862.04556,165862.04556
10,2021-07-12,110.86,112.99,104.67,107.68,110.86,112.99,104.67,107.68,172514.9137,172514.9137
11,2021-07-11,108.14,112.54,106.08,110.84,108.14,112.54,106.08,110.84,106991.48231,106991.48231
12,2021-07-10,111.01,113.21,106.32,108.12,111.01,113.21,106.32,108.12,127833.95163,127833.95163
13,2021-07-09,109.45,112.96,105.14,111.01,109.45,112.96,105.14,111.01,195088.76356,195088.76356
14,2021-07-08,118.56,118.73,107.04,109.46,118.56,118.73,107.04,109.46,220517.50271,220517.50271
15,2021-07-07,117.47,122.2,115.41,118.55,117.47,122.2,115.41,118.55,190721.93942,190721.93942
16,2021-07-06,111.17,119.05,110.83,117.51,111.17,119.05,110.83,117.51,228450.82023,228450.82023
17,2021-07-05,120.28,120.3,110.28,111.17,120.28,120.3,110.28,111.17,188195.55782,188195.55782
18,2021-07-04,116.23,125.68,113.25,120.25,116.23,125.68,113.25,120.25,224472.68692,224472.68692
19,2021-07-03,118.49,118.96,113.02,116.22,118.49,118.96,113.02,116.22,139816.44933,139816.44933
20,2021-07-02,120.15,121.66,112.43,118.5,120.15,121.66,112.43,118.5,227303.3183,227303.3183
21,2021-07-01,130.92,130.94,118.51,120.17,130.92,130.94,118.51,120.17,191998.97839,191998.97839
22,2021-06-30,126.5,133.22,122.05,130.91,126.5,133.22,122.05,130.91,382664.62464,382664.62464
23,2021-06-29,118.0,129.67,116.1,126.49,118.0,129.67,116.1,126.49,280397.06541,280397.06541
24,2021-06-28,107.71,118.0,104.58,118.0,107.71,118.0,104.58,118.0,239341.47209,239341.47209
25,2021-06-27,103.59,107.81,98.74,107.71,103.59,107.81,98.74,107.71,207999.95086,207999.95086
26,2021-06-26,100.1,103.61,96.57,103.61,100.1,103.61,96.57,103.61,239913.74256,239913.74256
27,2021-06-25,112.85,116.67,99.77,100.08,112.85,116.67,99.77,100.08,363911.86603,363911.86603
28,2021-06-24,111.79,116.8,106.75,112.82,111.79,116.8,106.75,112.82,205422.32703,205422.32703
29,2021-06-23,106.5,117.61,102.56,111.79,106.5,117.61,102.56,111.79,354525.20617,354525.20617
30,2021-06-22,101.26,110.5,86.27,106.5,101.26,110.5,86.27,106.5,683577.57724,683577.57724
31,2021-06-21,131.82,133.18,100.9,101.3,131.82,133.18,100.9,101.3,505453.55752,505453.55752
32,2021-06-20,127.9,132.33,119.47,131.81,127.9,132.33,119.47,131.81,175407.8963,175407.8963
33,2021-06-19,132.87,134.89,127.11,127.9,132.87,134.89,127.11,127.9,128056.31155,128056.31155
34,2021-06-18,142.3,143.1,129.0,132.88,142.3,143.1,129.0,132.88,201411.30461,201411.30461
35,2021-06-17,137.25,146.72,136.48,142.27,137.25,146.72,136.48,142.27,200606.73151,200606.73151
36,2021-06-16,136.58,143.98,132.28,137.31,136.58,143.98,132.28,137.31,290393.20637,290393.20637
37,2021-06-15,139.0,141.2,133.33,136.58,139.0,141.2,133.33,136.58,132763.73567,132763.73567
38,2021-06-14,133.04,139.31,128.58,139.0,133.04,139.31,128.58,139.0,180195.60143,180195.60143
39,2021-06-13,125.86,133.23,120.93,133.06,125.86,133.23,120.93,133.06,169028.37143,169028.37143
40,2021-06-12,124.73,129.24,118.77,125.85,124.73,129.24,118.77,125.85,192471.71228,192471.71228
41,2021-06-11,134.11,135.78,122.57,124.74,134.11,135.78,122.57,124.74,187144.17535,187144.17535
42,2021-06-10,145.07,151.71,131.87,134.0,145.07,151.71,131.87,134.0,281395.88974,281395.88974
43,2021-06-09,130.93,145.09,124.19,145.05,130.93,145.09,124.19,145.05,324389.48712,324389.48712
44,2021-06-08,135.79,139.15,119.14,130.88,135.79,139.15,119.14,130.88,408389.00581,408389.00581
45,2021-06-07,149.62,154.9,134.48,135.72,149.62,154.9,134.48,135.72,207576.89231,207576.89231
46,2021-06-06,153.16,156.58,147.0,149.63,153.16,156.58,147.0,149.63,184617.26286,184617.26286
47,2021-06-05,155.26,161.31,147.63,153.17,155.26,161.31,147.63,153.17,261473.43911,261473.43911
48,2021-06-04,173.01,173.04,146.16,155.28,173.01,173.04,146.16,155.28,376736.75698,376736.75698
49,2021-06-03,164.39,175.15,160.14,172.95,164.39,175.15,160.14,172.95,251658.87753,251658.87753
50,2021-06-02,154.03,170.45,148.85,164.35,154.03,170.45,148.85,164.35,286169.23457,286169.23457
51,2021-06-01,161.68,164.48,148.16,154.04,161.68,164.48,148.16,154.04,262046.70367,262046.70367
52,2021-05-31,149.87,162.57,140.85,161.65,149.87,162.57,140.85,161.65,375823.80953,375823.80953
