,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,646.6,663.94,646.5,661.0,646.6,663.94,646.5,661.0,25596.2081,25596.2081
1,2021-08-28,635.9,646.8,622.4,646.6,635.9,646.8,622.4,646.6,59859.89069,59859.89069
2,2021-08-27,606.2,636.4,596.2,636.0,606.2,636.4,596.2,636.0,81897.10718,81897.10718
3,2021-08-26,650.4,656.26,603.89,606.1,650.4,656.26,603.89,606.1,85550.87441,85550.87441
4,2021-08-25,636.25,658.76,626.28,650.39,636.25,658.76,626.28,650.39,85748.25743,85748.25743
5,2021-08-24,678.05,683.68,633.27,636.38,678.05,683.68,633.27,636.38,92281.60481,92281.60481
6,2021-08-23,672.32,694.24,664.12,678.22,672.32,694.24,664.12,678.22,148585.12555,148585.12555
7,2021-08-22,675.32,689.39,652.0,672.29,675.32,689.39,652.0,672.29,69491.00267,69491.00267
8,2021-08-21,694.08,700.0,671.25,675.56,694.08,700.0,671.25,675.56,88300.18374,88300.18374
9,2021-08-20,659.71,700.45,652.13,693.99,659.71,700.45,652.13,693.99,97292.22596,97292.22596
10,2021-08-19,631.95,660.27,619.6,659.83,631.95,660.27,619.6,659.83,87859.81953,87859.81953
11,2021-08-18,639.13,655.25,619.72,632.04,639.13,655.25,619.72,632.04,108628.80486,108628.80486
12,2021-08-17,673.26,691.05,637.66,639.19,673.26,691.05,637.66,639.19,109258.83752,109258.83752
13,2021-08-16,703.25,714.76,673.16,673.31,703.25,714.76,673.16,673.31,119743.49098,119743.49098
14,2021-08-15,691.95,709.66,672.03,703.42,691.95,709.66,672.03,703.42,164209.90548,164209.90548
15,2021-08-14,654.5,692.88,642.0,692.08,654.5,692.88,642.0,692.08,147262.58574,147262.58574
16,2021-08-13,606.09,655.48,601.1,654.44,606.09,655.48,601.1,654.44,109691.85796,109691.85796
17,2021-08-12,620.28,649.86,592.37,606.21,620.28,649.86,592.37,606.21,164788.81625,164788.81625
18,2021-08-11,592.24,632.46,590.49,620.37,592.24,632.46,590.49,620.37,143601.15167,143601.15167
19,2021-08-10,591.32,607.57,573.4,592.06,591.32,607.57,573.4,592.06,144091.9939,144091.9939
20,2021-08-09,555.57,601.0,543.08,591.37,555.57,601.0,543.08,591.37,162018.25286,162018.25286
21,2021-08-08,583.61,590.01,554.05,555.56,583.61,590.01,554.05,555.56,144243.45952,144243.45952
22,2021-08-07,557.45,590.76,553.42,583.53,557.45,590.76,553.42,583.53,190862.13152,190862.13152
23,2021-08-06,548.42,561.17,536.93,557.42,548.42,561.17,536.93,557.42,132109.43214,132109.43214
24,2021-08-05,545.73,550.82,522.66,548.39,545.73,550.82,522.66,548.39,128862.96248,128862.96248
25,2021-08-04,538.52,552.84,524.44,545.72,538.52,552.84,524.44,545.72,87376.84649,87376.84649
26,2021-08-03,543.27,551.92,521.32,538.6,543.27,551.92,521.32,538.6,91067.60739,91067.60739
27,2021-08-02,526.26,567.57,519.5,543.3,526.26,567.57,519.5,543.3,132569.06316,132569.06316
28,2021-08-01,545.8,564.57,512.0,526.26,545.8,564.57,512.0,526.26,128112.36165,128112.36165
29,2021-07-31,552.78,558.0,536.73,545.98,552.78,558.0,536.73,545.98,93489.27141,93489.27141
30,2021-07-30,539.01,553.38,516.55,552.77,539.01,553.38,516.55,552.77,126232.68551,126232.68551
