,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.9993,0.9994,0.9993,0.9994,0.9993,0.9994,0.9993,0.9994,24712048.0,24712048.0
1,2021-08-28,0.9995,0.9996,0.9993,0.9994,0.9995,0.9996,0.9993,0.9994,576234494.0,576234494.0
2,2021-08-27,0.9997,0.9998,0.9995,0.9996,0.9997,0.9998,0.9995,0.9996,785310933.0,785310933.0
3,2021-08-26,0.9999,1.0,0.9996,0.9997,0.9999,1.0,0.9996,0.9997,867306495.23,867306495.23
4,2021-08-25,0.9998,1.0,0.9997,0.9998,0.9998,1.0,0.9997,0.9998,881220230.87,881220230.87
5,2021-08-24,0.9997,1.0,0.9994,0.9998,0.9997,1.0,0.9994,0.9998,1088849477.98,1088849477.98
6,2021-08-23,0.9993,0.9998,0.9992,0.9997,0.9993,0.9998,0.9992,0.9997,1055618145.21,1055618145.21
7,2021-08-22,0.9993,0.9994,0.9992,0.9992,0.9993,0.9994,0.9992,0.9992,641285475.14,641285475.14
8,2021-08-21,0.9998,0.9998,0.9991,0.9993,0.9998,0.9998,0.9991,0.9993,849587987.69,849587987.69
9,2021-08-20,1.0001,1.0001,0.9997,0.9997,1.0001,1.0001,0.9997,0.9997,1090878489.57,1090878489.57
10,2021-08-19,0.9997,1.0002,0.9997,1.0,0.9997,1.0002,0.9997,1.0,1141193715.06,1141193715.06
11,2021-08-18,1.0,1.0001,0.9996,0.9998,1.0,1.0001,0.9996,0.9998,1096492989.82,1096492989.82
12,2021-08-17,0.9997,1.0001,0.9996,1.0,0.9997,1.0001,0.9996,1.0,1210092766.07,1210092766.07
13,2021-08-16,0.9992,0.9999,0.9992,0.9997,0.9992,0.9999,0.9992,0.9997,1100478537.91,1100478537.91
14,2021-08-15,0.9992,0.9995,0.9991,0.9993,0.9992,0.9995,0.9991,0.9993,661519005.39,661519005.39
15,2021-08-14,0.9996,0.9996,0.9991,0.9992,0.9996,0.9996,0.9991,0.9992,816989700.38,816989700.38
16,2021-08-13,0.9997,0.9998,0.9995,0.9996,0.9997,0.9998,0.9995,0.9996,673804084.66,673804084.66
17,2021-08-12,0.9995,0.9998,0.9994,0.9996,0.9995,0.9998,0.9994,0.9996,865327401.21,865327401.21
18,2021-08-11,0.9996,0.9999,0.9994,0.9995,0.9996,0.9999,0.9994,0.9995,964234472.0,964234472.0
19,2021-08-10,0.9997,0.9998,0.9994,0.9996,0.9997,0.9998,0.9994,0.9996,747672351.0599998,747672351.0599998
20,2021-08-09,0.9994,0.9999,0.9993,0.9998,0.9994,0.9999,0.9993,0.9998,846816923.6599998,846816923.6599998
21,2021-08-08,0.9993,0.9996,0.999,0.9993,0.9993,0.9996,0.999,0.9993,934165181.04,934165181.04
22,2021-08-07,0.9995,0.9996,0.9992,0.9993,0.9995,0.9996,0.9992,0.9993,1068721471.91,1068721471.91
