,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,51.16,51.57,50.6,50.98,51.16,51.57,50.6,50.98,269151.66,269151.66
1,2021-08-28,49.53,54.1,48.0,51.15,49.53,54.1,48.0,51.15,6118615.351,6118615.351
2,2021-08-27,45.82,49.58,45.0,49.52,45.82,49.58,45.0,49.52,813726.328,813726.328
3,2021-08-26,49.586,50.68,44.81,45.84,49.586,50.68,44.81,45.84,899105.461,899105.461
4,2021-08-25,47.499,50.124,46.33,49.58,47.499,50.124,46.33,49.58,839410.474,839410.474
5,2021-08-24,50.696,51.046,45.02,47.465,50.696,51.046,45.02,47.465,1092528.225,1092528.225
6,2021-08-23,50.226,51.996,50.163,50.673,50.226,51.996,50.163,50.673,1089901.685,1089901.685
7,2021-08-22,51.267,51.95,48.365,50.194,51.267,51.95,48.365,50.194,807899.344,807899.344
8,2021-08-21,50.329,52.0,49.214,51.229,50.329,52.0,49.214,51.229,1635373.468,1635373.468
9,2021-08-20,49.767,53.792,47.72,50.315,49.767,53.792,47.72,50.315,6438529.6,6438529.6
10,2021-08-19,46.637,49.876,44.728,49.755,46.637,49.876,44.728,49.755,1190383.057,1190383.057
11,2021-08-18,44.723,48.118,43.544,46.61,44.723,48.118,43.544,46.61,1773413.4,1773413.4
12,2021-08-17,47.043,48.915,43.0,44.71,47.043,48.915,43.0,44.71,4920329.517,4920329.517
13,2021-08-16,51.416,53.491,44.92,47.043,51.416,53.491,44.92,47.043,5053112.511,5053112.511
14,2021-08-15,50.155,52.013,47.0,51.411,50.155,52.013,47.0,51.411,1030538.795,1030538.795
15,2021-08-14,50.606,50.665,46.747,50.155,50.606,50.665,46.747,50.155,3863713.876,3863713.876
16,2021-08-13,49.176,54.16,48.008,50.634,49.176,54.16,48.008,50.634,4836818.101,4836818.101
17,2021-08-12,50.464,51.947,46.737,49.168,50.464,51.947,46.737,49.168,444760.509,444760.509
18,2021-08-11,48.913,52.742,48.85,50.464,48.913,52.742,48.85,50.464,656450.996,656450.996
19,2021-08-10,48.816,50.3,47.449,48.884,48.816,50.3,47.449,48.884,610290.611,610290.611
20,2021-08-09,43.563,49.74,41.861,48.779,43.563,49.74,41.861,48.779,969587.59,969587.59
21,2021-08-08,44.815,45.964,42.552,43.583,44.815,45.964,42.552,43.583,468834.064,468834.064
22,2021-08-07,41.233,44.941,40.763,44.828,41.233,44.941,40.763,44.828,571452.159,571452.159
23,2021-08-06,39.933,41.845,39.264,41.203,39.933,41.845,39.264,41.203,459848.242,459848.242
24,2021-08-05,37.819,41.0,35.718,39.934,37.819,41.0,35.718,39.934,275746.096,275746.096
25,2021-08-04,35.987,38.154,34.412,37.822,35.987,38.154,34.412,37.822,471914.504,471914.504
26,2021-08-03,38.191,39.989,35.291,35.947,38.191,39.989,35.291,35.947,501908.925,501908.925
27,2021-08-02,34.907,38.208,34.335,38.003,34.907,38.208,34.335,38.003,383811.74,383811.74
28,2021-08-01,35.241,36.305,34.351,34.928,35.241,36.305,34.351,34.928,328726.686,328726.686
29,2021-07-31,34.981,35.609,33.874,35.148,34.981,35.609,33.874,35.148,299346.541,299346.541
30,2021-07-30,32.602,35.044,32.296,35.0,32.602,35.044,32.296,35.0,491742.039,491742.039
31,2021-07-29,31.912,32.877,31.292,32.564,31.912,32.877,31.292,32.564,259985.655,259985.655
32,2021-07-28,31.183,32.317,30.72,31.882,31.183,32.317,30.72,31.882,413382.017,413382.017
33,2021-07-27,29.741,31.2,28.556,31.187,29.741,31.2,28.556,31.187,1773073.589,1773073.589
34,2021-07-26,30.488,33.392,29.58,29.754,30.488,33.392,29.58,29.754,1622979.452,1622979.452
35,2021-07-25,30.243,30.532,28.946,30.482,30.243,30.532,28.946,30.482,225036.744,225036.744
36,2021-07-24,29.581,30.458,29.289,30.216,29.581,30.458,29.289,30.216,261264.772,261264.772
37,2021-07-23,28.773,29.578,28.08,29.578,28.773,29.578,28.08,29.578,342793.099,342793.099
38,2021-07-22,28.176,29.152,27.463,28.777,28.176,29.152,27.463,28.777,423089.341,423089.341
39,2021-07-21,25.805,28.949,25.375,28.159,25.805,28.949,25.375,28.159,1309200.983,1309200.983
40,2021-07-20,24.905,26.422,23.613,25.797,24.905,26.422,23.613,25.797,1472530.2,1472530.2
41,2021-07-19,26.052,26.251,24.449,24.904,26.052,26.251,24.449,24.904,387308.274,387308.274
42,2021-07-18,26.383,27.186,25.754,26.037,26.383,27.186,25.754,26.037,259829.133,259829.133
43,2021-07-17,25.489,27.177,25.382,26.355,25.489,27.177,25.382,26.355,651800.55,651800.55
44,2021-07-16,25.966,27.124,23.31,25.489,25.966,27.124,23.31,25.489,1860015.686,1860015.686
45,2021-07-15,28.413,28.863,25.711,25.941,28.413,28.863,25.711,25.941,561404.313,561404.313
46,2021-07-14,29.729,29.756,28.146,28.442,29.729,29.756,28.146,28.442,365788.812,365788.812
47,2021-07-13,30.454,30.958,29.25,29.708,30.454,30.958,29.25,29.708,361048.044,361048.044
48,2021-07-12,30.991,32.118,30.122,30.49,30.991,32.118,30.122,30.49,369866.611,369866.611
49,2021-07-11,30.175,31.632,29.757,30.983,30.175,31.632,29.757,30.983,215100.931,215100.931
50,2021-07-10,30.24,30.701,29.583,30.164,30.24,30.701,29.583,30.164,158998.286,158998.286
51,2021-07-09,28.74,30.472,28.027,30.224,28.74,30.472,28.027,30.224,287816.9,287816.9
52,2021-07-08,30.005,30.125,27.962,28.754,30.005,30.125,27.962,28.754,355896.704,355896.704
53,2021-07-07,28.785,30.534,28.436,30.044,28.785,30.534,28.436,30.044,624848.194,624848.194
54,2021-07-06,25.344,28.899,25.192,28.8,25.344,28.899,25.192,28.8,2026761.341,2026761.341
55,2021-07-05,27.459,27.46,25.145,25.321,27.459,27.46,25.145,25.321,1244170.455,1244170.455
56,2021-07-04,28.031,28.18,26.687,27.465,28.031,28.18,26.687,27.465,1509610.011,1509610.011
57,2021-07-03,27.291,28.263,26.747,28.0,27.291,28.263,26.747,28.0,410816.517,410816.517
58,2021-07-02,26.226,27.332,25.337,27.3,26.226,27.332,25.337,27.3,385724.066,385724.066
59,2021-07-01,27.535,27.54,25.646,26.241,27.535,27.54,25.646,26.241,188380.319,188380.319
60,2021-06-30,26.952,27.613,25.696,27.481,26.952,27.613,25.696,27.481,147071.834,147071.834
61,2021-06-29,25.538,27.72,25.461,26.994,25.538,27.72,25.461,26.994,434507.38,434507.38
62,2021-06-28,24.612,25.993,24.289,25.492,24.612,25.993,24.289,25.492,253760.632,253760.632
63,2021-06-27,22.843,24.615,22.638,24.594,22.843,24.615,22.638,24.594,184310.592,184310.592
64,2021-06-26,23.298,23.9,21.919,22.843,23.298,23.9,21.919,22.843,288102.334,288102.334
65,2021-06-25,26.303,26.874,23.179,23.319,26.303,26.874,23.179,23.319,379110.281,379110.281
66,2021-06-24,26.371,27.068,25.126,26.302,26.371,27.068,25.126,26.302,239983.091,239983.091
67,2021-06-23,24.847,27.603,24.223,26.351,24.847,27.603,24.223,26.351,409237.81,409237.81
68,2021-06-22,25.15,26.266,22.417,24.871,25.15,26.266,22.417,24.871,490752.217,490752.217
69,2021-06-21,29.887,30.124,24.87,25.149,29.887,30.124,24.87,25.149,420597.594,420597.594
70,2021-06-20,29.459,30.177,27.697,29.882,29.459,30.177,27.697,29.882,199747.543,199747.543
71,2021-06-19,29.74,30.455,29.042,29.56,29.74,30.455,29.042,29.56,148734.431,148734.431
72,2021-06-18,32.067,32.299,28.973,29.755,32.067,32.299,28.973,29.755,608745.084,608745.084
73,2021-06-17,31.904,32.973,31.463,32.093,31.904,32.973,31.463,32.093,229220.272,229220.272
74,2021-06-16,33.776,33.954,31.692,31.894,33.776,33.954,31.692,31.894,363069.679,363069.679
75,2021-06-15,34.067,34.754,33.444,33.834,34.067,34.754,33.444,33.834,359586.738,359586.738
76,2021-06-14,32.85,34.242,32.547,34.122,32.85,34.242,32.547,34.122,432839.812,432839.812
77,2021-06-13,30.748,33.108,30.102,32.85,30.748,33.108,30.102,32.85,174654.322,174654.322
78,2021-06-12,31.485,31.581,29.689,30.74,31.485,31.581,29.689,30.74,327884.622,327884.622
79,2021-06-11,32.68,33.189,31.143,31.517,32.68,33.189,31.143,31.517,294063.91,294063.91
80,2021-06-10,33.713,33.956,32.001,32.66,33.713,33.956,32.001,32.66,413861.501,413861.501
81,2021-06-09,30.94,33.814,29.798,33.644,30.94,33.814,29.798,33.644,611376.05,611376.05
82,2021-06-08,31.9,32.414,28.52,30.865,31.9,32.414,28.52,30.865,485215.372,485215.372
83,2021-06-07,33.822,35.646,31.616,31.9,33.822,35.646,31.616,31.9,416019.539,416019.539
84,2021-06-06,33.54,34.608,33.351,33.787,33.54,34.608,33.351,33.787,236092.38,236092.38
85,2021-06-05,34.686,36.731,32.58,33.508,34.686,36.731,32.58,33.508,833586.429,833586.429
86,2021-06-04,36.482,36.5,32.926,34.652,36.482,36.5,32.926,34.652,680473.488,680473.488
87,2021-06-03,34.914,36.841,34.261,36.46,34.914,36.841,34.261,36.46,286695.426,286695.426
88,2021-06-02,33.853,36.223,32.96,34.939,33.853,36.223,32.96,34.939,422135.998,422135.998
89,2021-06-01,34.0,34.788,32.685,33.804,34.0,34.788,32.685,33.804,189817.368,189817.368
90,2021-05-31,31.408,34.169,29.86,34.026,31.408,34.169,29.86,34.026,483724.607,483724.607
91,2021-05-30,30.351,32.729,29.142,31.429,30.351,32.729,29.142,31.429,184675.673,184675.673
92,2021-05-29,32.225,33.936,29.387,30.333,32.225,33.936,29.387,30.333,294741.11,294741.11
93,2021-05-28,35.813,36.278,31.231,32.226,35.813,36.278,31.231,32.226,272775.917,272775.917
94,2021-05-27,36.722,37.426,34.02,35.866,36.722,37.426,34.02,35.866,359505.12,359505.12
95,2021-05-26,33.269,37.001,32.71,36.722,33.269,37.001,32.71,36.722,520801.808,520801.808
96,2021-05-25,33.409,34.668,30.265,33.276,33.409,34.668,30.265,33.276,438491.527,438491.527
