,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.03278,0.03294,0.0325,0.03279,0.03278,0.03294,0.0325,0.03279,19270569.0,19270569.0
1,2021-08-28,0.03104,0.03389,0.0308,0.03278,0.03104,0.03389,0.0308,0.03278,652113500.0,652113500.0
2,2021-08-27,0.03048,0.03129,0.02975,0.03105,0.03048,0.03129,0.02975,0.03105,553779000.0,553779000.0
3,2021-08-26,0.032569,0.0328,0.0298,0.03045,0.032569,0.0328,0.0298,0.03045,360158884.0,360158884.0
4,2021-08-25,0.033018,0.034532,0.031273,0.03257,0.033018,0.034532,0.031273,0.03257,986276215.0,986276215.0
5,2021-08-24,0.033774,0.038299,0.0312,0.032903,0.033774,0.038299,0.0312,0.032903,1602683846.0,1602683846.0
6,2021-08-23,0.03282,0.035,0.031113,0.033809,0.03282,0.035,0.031113,0.033809,546844902.0,546844902.0
7,2021-08-22,0.035441,0.0375,0.031463,0.03282,0.035441,0.0375,0.031463,0.03282,541292570.0,541292570.0
8,2021-08-21,0.029829,0.037565,0.029407,0.035385,0.029829,0.037565,0.029407,0.035385,933828648.0,933828648.0
9,2021-08-20,0.027421,0.0302,0.02727,0.029816,0.027421,0.0302,0.02727,0.029816,555355059.0,555355059.0
10,2021-08-19,0.023096,0.0276,0.022771,0.027422,0.023096,0.0276,0.022771,0.027422,484058146.0,484058146.0
11,2021-08-18,0.023657,0.024723,0.023021,0.023089,0.023657,0.024723,0.023021,0.023089,281180322.0,281180322.0
12,2021-08-17,0.022012,0.026,0.021698,0.023656,0.022012,0.026,0.021698,0.023656,570659687.0,570659687.0
13,2021-08-16,0.022625,0.023452,0.021883,0.02201,0.022625,0.023452,0.021883,0.02201,180339299.0,180339299.0
14,2021-08-15,0.023174,0.023332,0.022,0.022625,0.023174,0.023332,0.022,0.022625,142212344.0,142212344.0
15,2021-08-14,0.023645,0.023742,0.022336,0.023208,0.023645,0.023742,0.022336,0.023208,182513586.0,182513586.0
16,2021-08-13,0.020229,0.02565,0.020146,0.023645,0.020229,0.02565,0.020146,0.023645,619717843.0,619717843.0
17,2021-08-12,0.020487,0.021424,0.019527,0.020192,0.020487,0.021424,0.019527,0.020192,211524048.0,211524048.0
18,2021-08-11,0.019273,0.021378,0.019251,0.020481,0.019273,0.021378,0.019251,0.020481,317183432.0,317183432.0
19,2021-08-10,0.019494,0.019536,0.018696,0.019246,0.019494,0.019536,0.018696,0.019246,184424081.0,184424081.0
20,2021-08-09,0.018885,0.0197,0.018567,0.019476,0.018885,0.0197,0.018567,0.019476,206686660.0,206686660.0
21,2021-08-08,0.019688,0.019738,0.018715,0.018861,0.019688,0.019738,0.018715,0.018861,186546677.0,186546677.0
22,2021-08-07,0.020173,0.0206,0.019445,0.019688,0.020173,0.0206,0.019445,0.019688,232760053.0,232760053.0
23,2021-08-06,0.020041,0.0205,0.019491,0.020137,0.020041,0.0205,0.019491,0.020137,386920639.0,386920639.0
24,2021-08-05,0.018266,0.02038,0.017499,0.020058,0.018266,0.02038,0.017499,0.020058,1107257677.0,1107257677.0
25,2021-08-04,0.018464,0.0186,0.017427,0.018266,0.018464,0.0186,0.017427,0.018266,640486455.0,640486455.0
26,2021-08-03,0.019613,0.020599,0.018367,0.018461,0.019613,0.020599,0.018367,0.018461,839757854.0,839757854.0
27,2021-08-02,0.017523,0.022964,0.017362,0.019614,0.017523,0.022964,0.017362,0.019614,1733652599.0,1733652599.0
28,2021-08-01,0.017351,0.01832,0.017001,0.017532,0.017351,0.01832,0.017001,0.017532,620401428.0,620401428.0
29,2021-07-31,0.015673,0.017692,0.015533,0.017341,0.015673,0.017692,0.015533,0.017341,930176684.0,930176684.0
30,2021-07-30,0.015416,0.01579,0.014891,0.015656,0.015416,0.01579,0.014891,0.015656,784445531.0,784445531.0
31,2021-07-29,0.016149,0.016281,0.015339,0.015412,0.016149,0.016281,0.015339,0.015412,776657122.0,776657122.0
32,2021-07-28,0.015371,0.016638,0.015222,0.016153,0.015371,0.016638,0.015222,0.016153,224768652.0,224768652.0
33,2021-07-27,0.014989,0.015485,0.0147,0.015349,0.014989,0.015485,0.0147,0.015349,85201904.0,85201904.0
34,2021-07-26,0.015391,0.016609,0.0147,0.015009,0.015391,0.016609,0.0147,0.015009,221712090.0,221712090.0
35,2021-07-25,0.015359,0.015488,0.014829,0.015391,0.015359,0.015488,0.014829,0.015391,80082349.0,80082349.0
36,2021-07-24,0.014878,0.015397,0.014682,0.015359,0.014878,0.015397,0.014682,0.015359,77070877.0,77070877.0
37,2021-07-23,0.01469,0.015008,0.014391,0.014888,0.01469,0.015008,0.014391,0.014888,46811775.0,46811775.0
38,2021-07-22,0.014358,0.014688,0.0142,0.014659,0.014358,0.014688,0.0142,0.014659,65815286.0,65815286.0
39,2021-07-21,0.013524,0.014566,0.013406,0.01433,0.013524,0.014566,0.013406,0.01433,53895305.0,53895305.0
40,2021-07-20,0.014006,0.014119,0.013336,0.013488,0.014006,0.014119,0.013336,0.013488,60955433.0,60955433.0
41,2021-07-19,0.014684,0.014764,0.013919,0.013983,0.014684,0.014764,0.013919,0.013983,45245881.0,45245881.0
42,2021-07-18,0.014666,0.015058,0.014522,0.014675,0.014666,0.015058,0.014522,0.014675,47316262.0,47316262.0
43,2021-07-17,0.015028,0.015044,0.014481,0.01469,0.015028,0.015044,0.014481,0.01469,50033324.0,50033324.0
44,2021-07-16,0.014855,0.015445,0.014481,0.015019,0.014855,0.015445,0.014481,0.015019,81398954.0,81398954.0
45,2021-07-15,0.015031,0.015096,0.014367,0.014904,0.015031,0.015096,0.014367,0.014904,60774028.0,60774028.0
46,2021-07-14,0.014763,0.015042,0.014357,0.015031,0.014763,0.015042,0.014357,0.015031,49145039.0,49145039.0
47,2021-07-13,0.015438,0.015483,0.014651,0.014768,0.015438,0.015483,0.014651,0.014768,64538981.0,64538981.0
48,2021-07-12,0.015943,0.016006,0.01511,0.015423,0.015943,0.016006,0.01511,0.015423,75174859.0,75174859.0
49,2021-07-11,0.015626,0.015985,0.015556,0.015955,0.015626,0.015985,0.015556,0.015955,39188198.0,39188198.0
50,2021-07-10,0.015772,0.015968,0.015386,0.015639,0.015772,0.015968,0.015386,0.015639,49362431.0,49362431.0
51,2021-07-09,0.015535,0.016744,0.015246,0.015763,0.015535,0.016744,0.015246,0.015763,113450961.0,113450961.0
52,2021-07-08,0.01657,0.016587,0.015275,0.015555,0.01657,0.016587,0.015275,0.015555,77764181.0,77764181.0
53,2021-07-07,0.016454,0.016837,0.016381,0.016574,0.016454,0.016837,0.016381,0.016574,56915181.0,56915181.0
54,2021-07-06,0.016382,0.016848,0.016137,0.016483,0.016382,0.016848,0.016137,0.016483,97954772.0,97954772.0
55,2021-07-05,0.016926,0.016926,0.016179,0.016424,0.016926,0.016926,0.016179,0.016424,76087655.0,76087655.0
56,2021-07-04,0.017034,0.017248,0.016697,0.01692,0.017034,0.017248,0.016697,0.01692,79610715.0,79610715.0
57,2021-07-03,0.016753,0.0172,0.016512,0.017034,0.016753,0.0172,0.016512,0.017034,80040448.0,80040448.0
