,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.04923,0.04939,0.04873,0.04904,0.04923,0.04939,0.04873,0.04904,2269139.2,2269139.2
1,2021-08-28,0.05097,0.05148,0.04862,0.04923,0.05097,0.05148,0.04862,0.04923,66053000.2,66053000.2
2,2021-08-27,0.04902,0.05286,0.04709,0.05092,0.04902,0.05286,0.04709,0.05092,63130562.3,63130562.3
3,2021-08-26,0.05421,0.05498,0.04753,0.04898,0.05421,0.05498,0.04753,0.04898,98587985.7,98587985.7
4,2021-08-25,0.05682,0.0585,0.05112,0.05408,0.05682,0.0585,0.05112,0.05408,155623748.4,155623748.4
5,2021-08-24,0.05324,0.05804,0.05171,0.05686,0.05324,0.05804,0.05171,0.05686,224729300.9,224729300.9
6,2021-08-23,0.05104,0.05379,0.05053,0.05322,0.05104,0.05379,0.05053,0.05322,87068208.3,87068208.3
7,2021-08-22,0.05121,0.05316,0.04953,0.05101,0.05121,0.05316,0.04953,0.05101,47984565.4,47984565.4
8,2021-08-21,0.05353,0.0559,0.05075,0.05113,0.05353,0.0559,0.05075,0.05113,90565098.7,90565098.7
9,2021-08-20,0.05204,0.05588,0.05126,0.05357,0.05204,0.05588,0.05126,0.05357,87775753.2,87775753.2
10,2021-08-19,0.04981,0.054,0.04789,0.05204,0.04981,0.054,0.04789,0.05204,118203928.5,118203928.5
11,2021-08-18,0.04558,0.05635,0.04452,0.04964,0.04558,0.05635,0.04452,0.04964,241739798.9,241739798.9
12,2021-08-17,0.05015,0.0517,0.04514,0.04558,0.05015,0.0517,0.04514,0.04558,71932059.7,71932059.7
13,2021-08-16,0.05213,0.05663,0.05001,0.05026,0.05213,0.05663,0.05001,0.05026,109518471.5,109518471.5
14,2021-08-15,0.05334,0.05385,0.04991,0.05201,0.05334,0.05385,0.04991,0.05201,100928884.9,100928884.9
15,2021-08-14,0.0586,0.06271,0.05143,0.05334,0.0586,0.06271,0.05143,0.05334,260691332.7,260691332.7
16,2021-08-13,0.04142,0.06836,0.04111,0.0586,0.04142,0.06836,0.04111,0.0586,992009234.6,992009234.6
17,2021-08-12,0.04284,0.0457,0.0396,0.04151,0.04284,0.0457,0.0396,0.04151,86049207.8,86049207.8
18,2021-08-11,0.04136,0.04909,0.0404,0.04292,0.04136,0.04909,0.0404,0.04292,172771908.4,172771908.4
19,2021-08-10,0.03922,0.04137,0.03861,0.0413,0.03922,0.04137,0.03861,0.0413,105342413.7,105342413.7
20,2021-08-09,0.03663,0.0396,0.035,0.03922,0.03663,0.0396,0.035,0.03922,65301835.8,65301835.8
21,2021-08-08,0.03921,0.0406,0.03592,0.03663,0.03921,0.0406,0.03592,0.03663,237075717.0,237075717.0
22,2021-08-07,0.03834,0.04149,0.03744,0.03928,0.03834,0.04149,0.03744,0.03928,111830307.5,111830307.5
23,2021-08-06,0.03612,0.04,0.03511,0.03833,0.03612,0.04,0.03511,0.03833,115815705.8,115815705.8
24,2021-08-05,0.03315,0.03849,0.03251,0.03612,0.03315,0.03849,0.03251,0.03612,168870337.0,168870337.0
25,2021-08-04,0.03222,0.03384,0.03198,0.03319,0.03222,0.03384,0.03198,0.03319,38555906.2,38555906.2
26,2021-08-03,0.03326,0.03416,0.03184,0.0322,0.03326,0.03416,0.03184,0.0322,69302634.3,69302634.3
27,2021-08-02,0.03328,0.03402,0.03233,0.03326,0.03328,0.03402,0.03233,0.03326,33592657.4,33592657.4
28,2021-08-01,0.03337,0.0351,0.03303,0.03328,0.03337,0.0351,0.03303,0.03328,67351444.3,67351444.3
29,2021-07-31,0.03258,0.03431,0.03181,0.03339,0.03258,0.03431,0.03181,0.03339,58885503.6,58885503.6
30,2021-07-30,0.03248,0.03285,0.0306,0.03258,0.03248,0.03285,0.0306,0.03258,50307356.1,50307356.1
31,2021-07-29,0.03148,0.03288,0.03101,0.03248,0.03148,0.03288,0.03101,0.03248,34379092.0,34379092.0
32,2021-07-28,0.03139,0.034,0.03051,0.03146,0.03139,0.034,0.03051,0.03146,55311570.6,55311570.6
33,2021-07-27,0.03086,0.032,0.02889,0.0314,0.03086,0.032,0.02889,0.0314,53303234.4,53303234.4
34,2021-07-26,0.03094,0.03498,0.03066,0.0309,0.03094,0.03498,0.03066,0.0309,133189571.2,133189571.2
35,2021-07-25,0.03071,0.03112,0.02948,0.03091,0.03071,0.03112,0.02948,0.03091,39326994.7,39326994.7
36,2021-07-24,0.03112,0.03153,0.03,0.03071,0.03112,0.03153,0.03,0.03071,53313616.5,53313616.5
37,2021-07-23,0.02951,0.03138,0.02913,0.0311,0.02951,0.03138,0.02913,0.0311,68958181.5,68958181.5
38,2021-07-22,0.02857,0.02963,0.028,0.02949,0.02857,0.02963,0.028,0.02949,50395186.3,50395186.3
39,2021-07-21,0.02712,0.03029,0.0265,0.02858,0.02712,0.03029,0.0265,0.02858,49655502.4,49655502.4
40,2021-07-20,0.0285,0.02907,0.0257,0.02712,0.0285,0.02907,0.0257,0.02712,42488571.2,42488571.2
41,2021-07-19,0.03085,0.03141,0.02809,0.02852,0.03085,0.03141,0.02809,0.02852,47960474.5,47960474.5
42,2021-07-18,0.03111,0.03288,0.03034,0.03087,0.03111,0.03288,0.03034,0.03087,47836876.0,47836876.0
43,2021-07-17,0.03071,0.03262,0.02965,0.03104,0.03071,0.03262,0.02965,0.03104,54133952.6,54133952.6
44,2021-07-16,0.03369,0.03458,0.03053,0.03073,0.03369,0.03458,0.03053,0.03073,52453981.6,52453981.6
45,2021-07-15,0.03656,0.0371,0.03281,0.03369,0.03656,0.0371,0.03281,0.03369,97072223.6,97072223.6
46,2021-07-14,0.03712,0.0382,0.03441,0.03655,0.03712,0.0382,0.03441,0.03655,112338403.9,112338403.9
47,2021-07-13,0.03726,0.03827,0.03516,0.03702,0.03726,0.03827,0.03516,0.03702,140717689.2,140717689.2
48,2021-07-12,0.03928,0.04101,0.03635,0.03726,0.03928,0.04101,0.03635,0.03726,171285509.6,171285509.6
49,2021-07-11,0.03629,0.04499,0.03588,0.03927,0.03629,0.04499,0.03588,0.03927,423286980.1,423286980.1
50,2021-07-10,0.03526,0.03833,0.03422,0.03629,0.03526,0.03833,0.03422,0.03629,106835190.6,106835190.6
51,2021-07-09,0.03392,0.0364,0.03275,0.03526,0.03392,0.0364,0.03275,0.03526,98451072.2,98451072.2
52,2021-07-08,0.03583,0.038,0.03266,0.03392,0.03583,0.038,0.03266,0.03392,147695769.7,147695769.7
53,2021-07-07,0.03364,0.03934,0.0334,0.03583,0.03364,0.03934,0.0334,0.03583,205122738.2,205122738.2
54,2021-07-06,0.03243,0.03458,0.03236,0.03367,0.03243,0.03458,0.03236,0.03367,70890608.3,70890608.3
55,2021-07-05,0.03334,0.03421,0.03172,0.03238,0.03334,0.03421,0.03172,0.03238,83759492.8,83759492.8
56,2021-07-04,0.03279,0.0342,0.03181,0.03334,0.03279,0.0342,0.03181,0.03334,72583415.1,72583415.1
57,2021-07-03,0.03319,0.03375,0.03221,0.03276,0.03319,0.03375,0.03221,0.03276,64347034.8,64347034.8
58,2021-07-02,0.03101,0.03436,0.02981,0.03327,0.03101,0.03436,0.02981,0.03327,132806045.9,132806045.9
59,2021-07-01,0.03303,0.03309,0.0302,0.03106,0.03303,0.03309,0.0302,0.03106,61396135.4,61396135.4
60,2021-06-30,0.0346,0.03491,0.03042,0.03301,0.0346,0.03491,0.03042,0.03301,108980617.1,108980617.1
61,2021-06-29,0.03386,0.0365,0.03349,0.0346,0.03386,0.0365,0.03349,0.0346,126964534.4,126964534.4
62,2021-06-28,0.03268,0.0365,0.03209,0.03386,0.03268,0.0365,0.03209,0.03386,163839693.6,163839693.6
63,2021-06-27,0.03244,0.03315,0.0307,0.03266,0.03244,0.03315,0.0307,0.03266,106492882.5,106492882.5
64,2021-06-26,0.03092,0.0348,0.02954,0.03252,0.03092,0.0348,0.02954,0.03252,251365221.3,251365221.3
65,2021-06-25,0.03232,0.03715,0.02955,0.03092,0.03232,0.03715,0.02955,0.03092,275657622.2,275657622.2
66,2021-06-24,0.0324,0.03482,0.02982,0.03231,0.0324,0.03482,0.02982,0.03231,192137717.1,192137717.1
67,2021-06-23,0.03014,0.03549,0.02826,0.03238,0.03014,0.03549,0.02826,0.03238,360805903.2,360805903.2
68,2021-06-22,0.03238,0.03671,0.0252,0.03011,0.03238,0.03671,0.0252,0.03011,253278820.8,253278820.8
69,2021-06-21,0.04326,0.04371,0.03184,0.03236,0.04326,0.04371,0.03184,0.03236,194438172.2,194438172.2
70,2021-06-20,0.0448,0.0465,0.04014,0.04326,0.0448,0.0465,0.04014,0.04326,265568291.7,265568291.7
71,2021-06-19,0.04265,0.05176,0.04125,0.04479,0.04265,0.05176,0.04125,0.04479,401915678.0,401915678.0
72,2021-06-18,0.04862,0.04898,0.04112,0.04273,0.04862,0.04898,0.04112,0.04273,260970174.4,260970174.4
73,2021-06-17,0.04913,0.053,0.04713,0.04857,0.04913,0.053,0.04713,0.04857,259402522.7,259402522.7
74,2021-06-16,0.0561,0.0575,0.04873,0.04915,0.0561,0.0575,0.04873,0.04915,349343919.0,349343919.0
75,2021-06-15,0.06259,0.06312,0.05468,0.05609,0.06259,0.06312,0.05468,0.05609,385883607.4,385883607.4
76,2021-06-14,0.06853,0.072,0.06059,0.06252,0.06853,0.072,0.06059,0.06252,493194796.4,493194796.4
77,2021-06-13,0.05965,0.07687,0.05759,0.06856,0.05965,0.07687,0.05759,0.06856,1038905847.4,1038905847.4
78,2021-06-12,0.06096,0.07009,0.0517,0.0595,0.06096,0.07009,0.0517,0.0595,966894990.5,966894990.5
79,2021-06-11,0.07835,0.08307,0.06059,0.06089,0.07835,0.08307,0.06059,0.06089,516138071.7,516138071.7
80,2021-06-10,0.07669,0.09076,0.0674,0.07835,0.07669,0.09076,0.0674,0.07835,1018953398.0,1018953398.0
81,2021-06-09,0.07773,0.09172,0.07027,0.0767,0.07773,0.09172,0.07027,0.0767,1642697773.6,1642697773.6
