,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,1.402,1.41,1.386,1.4,1.402,1.41,1.386,1.4,181365.9,181365.9
1,2021-08-28,1.397,1.426,1.36,1.401,1.397,1.426,1.36,1.401,7438661.76,7438661.76
2,2021-08-27,1.32,1.397,1.257,1.397,1.32,1.397,1.257,1.397,9850282.86,9850282.86
3,2021-08-26,1.4917,1.5218,1.301,1.318,1.4917,1.5218,1.301,1.318,9937263.9,9937263.9
4,2021-08-25,1.4359,1.5218,1.365,1.4938,1.4359,1.5218,1.365,1.4938,11518601.82,11518601.82
5,2021-08-24,1.5744,1.5745,1.4159,1.4367,1.5744,1.5745,1.4159,1.4367,15168588.83,15168588.83
6,2021-08-23,1.4848,1.61,1.462,1.5689,1.4848,1.61,1.462,1.5689,17819914.41,17819914.41
7,2021-08-22,1.4074,1.508,1.3717,1.4833,1.4074,1.508,1.3717,1.4833,14259881.6,14259881.6
8,2021-08-21,1.4358,1.5149,1.3512,1.4074,1.4358,1.5149,1.3512,1.4074,17248914.78,17248914.78
9,2021-08-20,1.2714,1.4899,1.2508,1.4356,1.2714,1.4899,1.2508,1.4356,15650393.74,15650393.74
10,2021-08-19,1.1683,1.2735,1.1379,1.2728,1.1683,1.2735,1.1379,1.2728,8365702.46,8365702.46
11,2021-08-18,1.1764,1.2074,1.0982,1.1708,1.1764,1.2074,1.0982,1.1708,7774908.18,7774908.18
12,2021-08-17,1.275,1.3166,1.1614,1.1763,1.275,1.3166,1.1614,1.1763,13332940.99,13332940.99
13,2021-08-16,1.26,1.3727,1.2421,1.2747,1.26,1.3727,1.2421,1.2747,16977605.64,16977605.64
14,2021-08-15,1.2514,1.2866,1.1906,1.26,1.2514,1.2866,1.1906,1.26,8869487.31,8869487.31
15,2021-08-14,1.2274,1.263,1.1704,1.25,1.2274,1.263,1.1704,1.25,8944622.71,8944622.71
16,2021-08-13,1.1246,1.228,1.1085,1.2274,1.1246,1.228,1.1085,1.2274,6049392.15,6049392.15
17,2021-08-12,1.1809,1.2377,1.0802,1.1256,1.1809,1.2377,1.0802,1.1256,10058363.65,10058363.65
18,2021-08-11,1.1238,1.2496,1.1093,1.1789,1.1238,1.2496,1.1093,1.1789,15483987.06,15483987.06
19,2021-08-10,1.1153,1.1695,1.063,1.1239,1.1153,1.1695,1.063,1.1239,10068001.83,10068001.83
20,2021-08-09,1.0561,1.1166,1.0042,1.1142,1.0561,1.1166,1.0042,1.1142,9648287.75,9648287.75
21,2021-08-08,1.1241,1.1532,1.0384,1.0553,1.1241,1.1532,1.0384,1.0553,8156850.15,8156850.15
22,2021-08-07,1.1076,1.1695,1.0771,1.1257,1.1076,1.1695,1.0771,1.1257,7331317.71,7331317.71
23,2021-08-06,1.0633,1.108,1.0363,1.1064,1.0633,1.108,1.0363,1.1064,5914583.62,5914583.62
24,2021-08-05,1.0487,1.1446,1.0065,1.0637,1.0487,1.1446,1.0065,1.0637,11676466.08,11676466.08
25,2021-08-04,1.0116,1.049,0.964,1.0489,1.0116,1.049,0.964,1.0489,6394312.6,6394312.6
26,2021-08-03,1.0246,1.0776,0.9554,1.0121,1.0246,1.0776,0.9554,1.0121,9234386.89,9234386.89
27,2021-08-02,0.9908,1.0249,0.9437,1.0239,0.9908,1.0249,0.9437,1.0239,9956100.43,9956100.43
28,2021-08-01,1.0019,1.0897,0.9711,0.992,1.0019,1.0897,0.9711,0.992,12960985.27,12960985.27
29,2021-07-31,0.9897,1.029,0.9575,1.0024,0.9897,1.029,0.9575,1.0024,11391072.97,11391072.97
30,2021-07-30,0.9194,1.0,0.8805,0.9888,0.9194,1.0,0.8805,0.9888,13014432.54,13014432.54
31,2021-07-29,0.8685,0.96,0.8477,0.9188,0.8685,0.96,0.8477,0.9188,19706916.76,19706916.76
32,2021-07-28,0.8671,0.8829,0.835,0.8683,0.8671,0.8829,0.835,0.8683,6116862.18,6116862.18
33,2021-07-27,0.8372,0.8796,0.813,0.8677,0.8372,0.8796,0.813,0.8677,6820459.99,6820459.99
34,2021-07-26,0.8263,0.8853,0.8185,0.8388,0.8263,0.8853,0.8185,0.8388,11387780.84,11387780.84
35,2021-07-25,0.8079,0.8298,0.775,0.8259,0.8079,0.8298,0.775,0.8259,5303832.51,5303832.51
36,2021-07-24,0.7973,0.8238,0.7801,0.8075,0.7973,0.8238,0.7801,0.8075,5333145.86,5333145.86
37,2021-07-23,0.7711,0.8022,0.7453,0.7982,0.7711,0.8022,0.7453,0.7982,5088933.35,5088933.35
38,2021-07-22,0.7452,0.7824,0.7303,0.7708,0.7452,0.7824,0.7303,0.7708,5422416.97,5422416.97
39,2021-07-21,0.6799,0.759,0.6573,0.7456,0.6799,0.759,0.6573,0.7456,10425663.59,10425663.59
40,2021-07-20,0.7288,0.7408,0.65,0.6807,0.7288,0.7408,0.65,0.6807,7696694.26,7696694.26
41,2021-07-19,0.767,0.771,0.718,0.7277,0.767,0.771,0.718,0.7277,6767530.31,6767530.31
42,2021-07-18,0.7904,0.8071,0.7577,0.7666,0.7904,0.8071,0.7577,0.7666,5247305.46,5247305.46
43,2021-07-17,0.7374,0.8102,0.72,0.7903,0.7374,0.8102,0.72,0.7903,12683974.32,12683974.32
44,2021-07-16,0.7878,0.7998,0.7266,0.7371,0.7878,0.7998,0.7266,0.7371,6535252.21,6535252.21
45,2021-07-15,0.8326,0.8499,0.7571,0.7868,0.8326,0.8499,0.7571,0.7868,7816823.69,7816823.69
46,2021-07-14,0.8598,0.8775,0.7675,0.8336,0.8598,0.8775,0.7675,0.8336,7666926.64,7666926.64
47,2021-07-13,0.9093,0.9148,0.8443,0.8598,0.9093,0.9148,0.8443,0.8598,9410650.54,9410650.54
48,2021-07-12,0.9517,0.9529,0.8755,0.9104,0.9517,0.9529,0.8755,0.9104,12831476.27,12831476.27
49,2021-07-11,0.9194,0.9536,0.879,0.9519,0.9194,0.9536,0.879,0.9519,6821365.2,6821365.2
50,2021-07-10,0.9779,0.978,0.8982,0.9184,0.9779,0.978,0.8982,0.9184,7889051.95,7889051.95
51,2021-07-09,1.0413,1.0433,0.8941,0.9786,1.0413,1.0433,0.8941,0.9786,18314044.28,18314044.28
52,2021-07-08,0.9279,1.0718,0.9013,1.0412,0.9279,1.0718,0.9013,1.0412,31818282.49,31818282.49
53,2021-07-07,0.9015,0.9699,0.8719,0.9283,0.9015,0.9699,0.8719,0.9283,7694732.65,7694732.65
54,2021-07-06,0.8986,0.9203,0.856,0.9021,0.8986,0.9203,0.856,0.9021,9407376.68,9407376.68
55,2021-07-05,0.8492,0.9153,0.7903,0.8979,0.8492,0.9153,0.7903,0.8979,13794217.15,13794217.15
56,2021-07-04,0.833,0.8663,0.7982,0.8507,0.833,0.8663,0.7982,0.8507,6533958.53,6533958.53
57,2021-07-03,0.8172,0.8385,0.7874,0.8333,0.8172,0.8385,0.7874,0.8333,5029116.65,5029116.65
58,2021-07-02,0.8036,0.82,0.7558,0.8172,0.8036,0.82,0.7558,0.8172,4989149.74,4989149.74
59,2021-07-01,0.8366,0.8453,0.7733,0.8043,0.8366,0.8453,0.7733,0.8043,9554425.06,9554425.06
60,2021-06-30,0.8198,0.8437,0.75,0.8365,0.8198,0.8437,0.75,0.8365,12518112.68,12518112.68
61,2021-06-29,0.7637,0.847,0.7588,0.8184,0.7637,0.847,0.7588,0.8184,12143355.45,12143355.45
62,2021-06-28,0.7399,0.7733,0.7189,0.7632,0.7399,0.7733,0.7189,0.7632,13701806.09,13701806.09
63,2021-06-27,0.7262,0.7482,0.6851,0.7388,0.7262,0.7482,0.6851,0.7388,8557998.46,8557998.46
64,2021-06-26,0.7247,0.7555,0.6738,0.7259,0.7247,0.7555,0.6738,0.7259,11937102.12,11937102.12
65,2021-06-25,0.8126,0.8295,0.7131,0.724,0.8126,0.8295,0.7131,0.724,12743873.81,12743873.81
66,2021-06-24,0.7839,0.83,0.695,0.813,0.7839,0.83,0.695,0.813,9938543.78,9938543.78
67,2021-06-23,0.71,0.8105,0.6824,0.7848,0.71,0.8105,0.6824,0.7848,14202634.62,14202634.62
68,2021-06-22,0.7437,0.8656,0.632,0.7093,0.7437,0.8656,0.632,0.7093,27992632.63,27992632.63
69,2021-06-21,0.9606,0.9661,0.742,0.7441,0.9606,0.9661,0.742,0.7441,18230389.08,18230389.08
70,2021-06-20,0.9541,0.9872,0.8698,0.9606,0.9541,0.9872,0.8698,0.9606,11904542.09,11904542.09
71,2021-06-19,0.9863,1.0392,0.94,0.9541,0.9863,1.0392,0.94,0.9541,12242999.27,12242999.27
72,2021-06-18,1.0728,1.1102,0.94,0.9871,1.0728,1.1102,0.94,0.9871,14161543.06,14161543.06
73,2021-06-17,1.0086,1.161,1.0056,1.0726,1.0086,1.161,1.0056,1.0726,18573626.55,18573626.55
74,2021-06-16,1.1073,1.1136,0.9934,1.0095,1.1073,1.1136,0.9934,1.0095,14855718.76,14855718.76
75,2021-06-15,0.9852,1.18,0.9718,1.1075,0.9852,1.18,0.9718,1.1075,28033423.61,28033423.61
76,2021-06-14,0.9473,0.991,0.9129,0.9871,0.9473,0.991,0.9129,0.9871,10232558.97,10232558.97
77,2021-06-13,0.8981,0.9482,0.8538,0.9465,0.8981,0.9482,0.8538,0.9465,8345635.36,8345635.36
78,2021-06-12,0.9043,0.9222,0.8402,0.8972,0.9043,0.9222,0.8402,0.8972,12276957.73,12276957.73
79,2021-06-11,0.9853,0.9992,0.875,0.905,0.9853,0.9992,0.875,0.905,10451150.86,10451150.86
80,2021-06-10,1.0442,1.0534,0.9564,0.9849,1.0442,1.0534,0.9564,0.9849,10119752.99,10119752.99
81,2021-06-09,1.004,1.0692,0.9503,1.0451,1.004,1.0692,0.9503,1.0451,12464287.93,12464287.93
82,2021-06-08,1.0393,1.0646,0.8735,1.0052,1.0393,1.0646,0.8735,1.0052,17295934.34,17295934.34
83,2021-06-07,1.1529,1.23,1.0351,1.0402,1.1529,1.23,1.0351,1.0402,11637690.89,11637690.89
84,2021-06-06,1.1067,1.1692,1.0952,1.1533,1.1067,1.1692,1.0952,1.1533,5041350.45,5041350.45
85,2021-06-05,1.1481,1.2157,1.0631,1.1067,1.1481,1.2157,1.0631,1.1067,7680327.3,7680327.3
86,2021-06-04,1.2574,1.2591,1.0863,1.1474,1.2574,1.2591,1.0863,1.1474,8316868.06,8316868.06
87,2021-06-03,1.2136,1.3427,1.2063,1.2575,1.2136,1.3427,1.2063,1.2575,11288035.33,11288035.33
88,2021-06-02,1.1487,1.3072,1.111,1.2138,1.1487,1.3072,1.111,1.2138,12340003.84,12340003.84
89,2021-06-01,1.1341,1.1575,1.0736,1.1483,1.1341,1.1575,1.0736,1.1483,8858981.8,8858981.8
90,2021-05-31,1.0577,1.1581,1.0039,1.1341,1.0577,1.1581,1.0039,1.1341,9921883.24,9921883.24
91,2021-05-30,1.0125,1.1078,0.945,1.0584,1.0125,1.1078,0.945,1.0584,8840547.18,8840547.18
92,2021-05-29,1.0788,1.16,0.9525,1.0142,1.0788,1.16,0.9525,1.0142,11954085.28,11954085.28
93,2021-05-28,1.2327,1.2488,1.0342,1.079,1.2327,1.2488,1.0342,1.079,14440063.41,14440063.41
94,2021-05-27,1.3381,1.34,1.1803,1.2327,1.3381,1.34,1.1803,1.2327,13858770.29,13858770.29
95,2021-05-26,1.141,1.341,1.1139,1.3394,1.141,1.341,1.1139,1.3394,19964948.21,19964948.21
96,2021-05-25,1.174,1.2197,1.0224,1.1406,1.174,1.2197,1.0224,1.1406,15935841.24,15935841.24
97,2021-05-24,0.9771,1.1929,0.9362,1.1779,0.9771,1.1929,0.9362,1.1779,16764224.04,16764224.04
98,2021-05-23,1.1359,1.2306,0.7973,0.9756,1.1359,1.2306,0.7973,0.9756,31646108.27,31646108.27
99,2021-05-22,1.2692,1.2776,1.089,1.1386,1.2692,1.2776,1.089,1.1386,15354336.53,15354336.53
100,2021-05-21,1.39,1.48,1.0703,1.2715,1.39,1.48,1.0703,1.2715,21859901.54,21859901.54
101,2021-05-20,1.1765,1.48,1.04,1.3884,1.1765,1.48,1.04,1.3884,23289269.12,23289269.12
102,2021-05-19,1.9106,1.9592,0.8374,1.1823,1.9106,1.9592,0.8374,1.1823,42322784.38,42322784.38
103,2021-05-18,1.856,2.025,1.822,1.9111,1.856,2.025,1.822,1.9111,9864644.06,9864644.06
104,2021-05-17,1.9926,2.0294,1.76,1.8558,1.9926,2.0294,1.76,1.8558,15323890.21,15323890.21
105,2021-05-16,2.0108,2.25,1.8658,1.9916,2.0108,2.25,1.8658,1.9916,14002852.28,14002852.28
106,2021-05-15,2.138,2.2175,1.9446,2.01,2.138,2.2175,1.9446,2.01,14463974.23,14463974.23
107,2021-05-14,2.0972,2.2785,2.0563,2.138,2.0972,2.2785,2.0563,2.138,12922842.43,12922842.43
108,2021-05-13,2.0411,2.2656,1.91,2.1,2.0411,2.2656,1.91,2.1,19328968.28,19328968.28
109,2021-05-12,2.5092,2.5794,1.9971,2.0412,2.5092,2.5794,1.9971,2.0412,16194469.37,16194469.37
110,2021-05-11,2.2959,2.5495,2.1441,2.5093,2.2959,2.5495,2.1441,2.5093,25302840.92,25302840.92
111,2021-05-10,2.6404,2.8726,2.1505,2.2957,2.6404,2.8726,2.1505,2.2957,23419528.48,23419528.48
112,2021-05-09,2.6729,2.6896,2.44,2.6422,2.6729,2.6896,2.44,2.6422,11291602.6,11291602.6
113,2021-05-08,2.7323,2.8738,2.573,2.6727,2.7323,2.8738,2.573,2.6727,18767086.88,18767086.88
114,2021-05-07,2.483,3.0959,2.4,2.7322,2.483,3.0959,2.4,2.7322,44670892.67,44670892.67
115,2021-05-06,2.3838,2.552,2.2457,2.483,2.3838,2.552,2.2457,2.483,15738815.61,15738815.61
116,2021-05-05,2.1536,2.417,2.13,2.3844,2.1536,2.417,2.13,2.3844,11131374.01,11131374.01
117,2021-05-04,2.4555,2.4614,2.1375,2.1529,2.4555,2.4614,2.1375,2.1529,11420203.4,11420203.4
118,2021-05-03,2.508,2.5894,2.4107,2.4556,2.508,2.5894,2.4107,2.4556,8226258.43,8226258.43
119,2021-05-02,2.6035,2.6329,2.4535,2.5085,2.6035,2.6329,2.4535,2.5085,7321498.85,7321498.85
120,2021-05-01,2.5981,2.717,2.5449,2.6035,2.5981,2.717,2.5449,2.6035,8462618.75,8462618.75
121,2021-04-30,2.3602,2.7946,2.2982,2.5999,2.3602,2.7946,2.2982,2.5999,20427402.17,20427402.17
122,2021-04-29,2.3924,2.4738,2.1879,2.3613,2.3924,2.4738,2.1879,2.3613,12467458.16,12467458.16
123,2021-04-28,2.3205,2.3966,2.0578,2.3933,2.3205,2.3966,2.0578,2.3933,14160247.04,14160247.04
124,2021-04-27,1.9784,2.3399,1.9247,2.3196,1.9784,2.3399,1.9247,2.3196,16805402.96,16805402.96
125,2021-04-26,1.7332,2.032,1.6906,1.9813,1.7332,2.032,1.6906,1.9813,19078774.14,19078774.14
126,2021-04-25,1.6555,1.8749,1.5753,1.7332,1.6555,1.8749,1.5753,1.7332,10698827.66,10698827.66
127,2021-04-24,1.8334,1.9,1.6371,1.6537,1.8334,1.9,1.6371,1.6537,12272424.9,12272424.9
128,2021-04-23,1.9178,1.9767,1.5228,1.8336,1.9178,1.9767,1.5228,1.8336,23432536.82,23432536.82
129,2021-04-22,2.1398,2.26,1.8851,1.9181,2.1398,2.26,1.8851,1.9181,15102391.93,15102391.93
130,2021-04-21,2.2136,2.35,2.111,2.14,2.2136,2.35,2.111,2.14,10667272.14,10667272.14
131,2021-04-20,2.1369,2.3049,1.878,2.2134,2.1369,2.3049,1.878,2.2134,17971700.12,17971700.12
132,2021-04-19,2.3545,2.4406,1.9514,2.1366,2.3545,2.4406,1.9514,2.1366,17702236.41,17702236.41
133,2021-04-18,2.6851,2.7329,1.85,2.354,2.6851,2.7329,1.85,2.354,19444087.54,19444087.54
