,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,1.652,1.672,1.649,1.672,1.652,1.672,1.649,1.672,37170.8,37170.8
1,2021-08-28,1.744,1.758,1.611,1.652,1.744,1.758,1.611,1.652,4105229.0,4105229.0
2,2021-08-27,1.638,1.767,1.555,1.743,1.638,1.767,1.555,1.743,2861541.3,2861541.3
3,2021-08-26,1.747,1.7893,1.577,1.639,1.747,1.7893,1.577,1.639,6867435.8,6867435.8
4,2021-08-25,1.6828,1.7558,1.6276,1.7452,1.6828,1.7558,1.6276,1.7452,2518739.0,2518739.0
5,2021-08-24,1.8293,1.8409,1.6674,1.681,1.8293,1.8409,1.6674,1.681,2395075.0,2395075.0
6,2021-08-23,1.84,1.9319,1.8019,1.8344,1.84,1.9319,1.8019,1.8344,1799771.0,1799771.0
7,2021-08-22,1.85,1.8847,1.7579,1.84,1.85,1.8847,1.7579,1.84,1412496.0,1412496.0
8,2021-08-21,1.9254,1.9274,1.85,1.85,1.9254,1.9274,1.85,1.85,1734623.0,1734623.0
9,2021-08-20,1.8712,1.975,1.8587,1.9204,1.8712,1.975,1.8587,1.9204,2450092.0,2450092.0
10,2021-08-19,1.7505,1.9023,1.677,1.8712,1.7505,1.9023,1.677,1.8712,3407576.0,3407576.0
11,2021-08-18,1.6722,1.8432,1.5501,1.7458,1.6722,1.8432,1.5501,1.7458,3293095.0,3293095.0
12,2021-08-17,1.8103,1.8989,1.6586,1.6757,1.8103,1.8989,1.6586,1.6757,3808569.0,3808569.0
13,2021-08-16,1.9197,1.9799,1.8,1.8115,1.9197,1.9799,1.8,1.8115,3325715.0,3325715.0
14,2021-08-15,1.7846,1.9397,1.6697,1.9169,1.7846,1.9397,1.6697,1.9169,2265103.0,2265103.0
15,2021-08-14,1.6808,1.9249,1.6514,1.7784,1.6808,1.9249,1.6514,1.7784,5742374.0,5742374.0
16,2021-08-13,1.4771,1.6804,1.4733,1.6799,1.4771,1.6804,1.4733,1.6799,3203969.0,3203969.0
17,2021-08-12,1.4306,1.602,1.4,1.4783,1.4306,1.602,1.4,1.4783,4418124.0,4418124.0
18,2021-08-11,1.2629,1.5251,1.2587,1.4306,1.2629,1.5251,1.2587,1.4306,4585332.0,4585332.0
19,2021-08-10,1.232,1.3048,1.2057,1.2582,1.232,1.3048,1.2057,1.2582,2663766.0,2663766.0
20,2021-08-09,1.1989,1.2359,1.1505,1.2304,1.1989,1.2359,1.1505,1.2304,1549975.0,1549975.0
21,2021-08-08,1.2464,1.2933,1.1778,1.1989,1.2464,1.2933,1.1778,1.1989,2054376.0,2054376.0
22,2021-08-07,1.1884,1.3006,1.1824,1.2469,1.1884,1.3006,1.1824,1.2469,3874372.0,3874372.0
23,2021-08-06,1.0836,1.25,1.0625,1.1886,1.0836,1.25,1.0625,1.1886,3421098.0,3421098.0
24,2021-08-05,1.0773,1.0844,1.0233,1.0837,1.0773,1.0844,1.0233,1.0837,1942617.0,1942617.0
25,2021-08-04,1.0091,1.0814,1.0053,1.0773,1.0091,1.0814,1.0053,1.0773,2551755.0,2551755.0
26,2021-08-03,1.0291,1.0354,0.9976,1.009,1.0291,1.0354,0.9976,1.009,1490159.0,1490159.0
27,2021-08-02,1.0191,1.0452,1.0061,1.0287,1.0191,1.0452,1.0061,1.0287,835606.0,835606.0
28,2021-08-01,1.0568,1.0805,1.0047,1.0229,1.0568,1.0805,1.0047,1.0229,1108709.0,1108709.0
29,2021-07-31,1.047,1.0916,1.0244,1.0569,1.047,1.0916,1.0244,1.0569,951881.0,951881.0
30,2021-07-30,1.0244,1.0734,1.0004,1.047,1.0244,1.0734,1.0004,1.047,1754002.0,1754002.0
31,2021-07-29,1.0087,1.0378,0.9984,1.0244,1.0087,1.0378,0.9984,1.0244,1129008.0,1129008.0
32,2021-07-28,1.0057,1.0463,0.9962,1.0086,1.0057,1.0463,0.9962,1.0086,1243423.0,1243423.0
33,2021-07-27,1.0023,1.0124,0.9525,1.0056,1.0023,1.0124,0.9525,1.0056,1278914.0,1278914.0
34,2021-07-26,0.9924,1.0999,0.984,1.0003,0.9924,1.0999,0.984,1.0003,2812904.0,2812904.0
35,2021-07-25,0.9931,0.999,0.9592,0.9902,0.9931,0.999,0.9592,0.9902,1083261.0,1083261.0
36,2021-07-24,0.972,1.0,0.9561,0.9888,0.972,1.0,0.9561,0.9888,1527307.0,1527307.0
37,2021-07-23,0.9467,0.985,0.9234,0.9707,0.9467,0.985,0.9234,0.9707,1483181.0,1483181.0
38,2021-07-22,0.9371,0.9561,0.9166,0.944,0.9371,0.9561,0.9166,0.944,928017.0,928017.0
39,2021-07-21,0.8875,0.96,0.8646,0.938,0.8875,0.96,0.8646,0.938,2142352.0,2142352.0
40,2021-07-20,0.9111,1.23,0.824,0.8876,0.9111,1.23,0.824,0.8876,8143823.0,8143823.0
41,2021-07-19,0.9076,0.9729,0.8743,0.9165,0.9076,0.9729,0.8743,0.9165,2389598.0,2389598.0
42,2021-07-18,0.8868,0.9217,0.8857,0.9042,0.8868,0.9217,0.8857,0.9042,777185.0,777185.0
43,2021-07-17,0.879,0.8926,0.861,0.8899,0.879,0.8926,0.861,0.8899,765046.0,765046.0
44,2021-07-16,0.9044,0.9246,0.8698,0.879,0.9044,0.9246,0.8698,0.879,667048.0,667048.0
45,2021-07-15,0.919,0.9485,0.8788,0.9001,0.919,0.9485,0.8788,0.9001,778470.0,778470.0
46,2021-07-14,0.9214,0.9353,0.8645,0.9186,0.9214,0.9353,0.8645,0.9186,1719300.0,1719300.0
47,2021-07-13,0.9489,0.9516,0.903,0.917,0.9489,0.9516,0.903,0.917,1135100.0,1135100.0
48,2021-07-12,0.985,0.99,0.9312,0.9453,0.985,0.99,0.9312,0.9453,1854646.0,1854646.0
49,2021-07-11,0.9517,0.9999,0.94,0.9827,0.9517,0.9999,0.94,0.9827,1187757.0,1187757.0
50,2021-07-10,0.955,0.9754,0.93,0.9517,0.955,0.9754,0.93,0.9517,1154327.0,1154327.0
51,2021-07-09,0.9421,1.0392,0.9,0.9581,0.9421,1.0392,0.9,0.9581,2538217.0,2538217.0
52,2021-07-08,1.005,1.0086,0.931,0.9405,1.005,1.0086,0.931,0.9405,1847518.0,1847518.0
53,2021-07-07,1.0235,1.0522,1.002,1.0045,1.0235,1.0522,1.002,1.0045,2355550.0,2355550.0
54,2021-07-06,1.017,1.06,1.0046,1.0235,1.017,1.06,1.0046,1.0235,2682586.0,2682586.0
55,2021-07-05,1.0199,1.0763,0.9997,1.017,1.0199,1.0763,0.9997,1.017,3772542.0,3772542.0
