,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,1.048,1.053,1.0416,1.0525,1.048,1.053,1.0416,1.0525,14286.0,14286.0
1,2021-08-28,1.0894,1.0968,1.0382,1.0456,1.0894,1.0968,1.0382,1.0456,1964796.0,1964796.0
2,2021-08-27,1.049,1.0919,1.0065,1.0894,1.049,1.0919,1.0065,1.0894,2269144.19,2269144.19
3,2021-08-26,1.1371,1.146,1.025,1.0493,1.1371,1.146,1.025,1.0493,2696671.95,2696671.95
4,2021-08-25,1.094,1.1372,1.042,1.1361,1.094,1.1372,1.042,1.1361,6660827.87,6660827.87
5,2021-08-24,1.2031,1.2257,1.0938,1.0946,1.2031,1.2257,1.0938,1.0946,4738949.18,4738949.18
6,2021-08-23,1.1769,1.2465,1.172,1.2031,1.1769,1.2465,1.172,1.2031,2827588.32,2827588.32
7,2021-08-22,1.1371,1.1926,1.1276,1.1733,1.1371,1.1926,1.1276,1.1733,1860632.64,1860632.64
8,2021-08-21,1.1791,1.1809,1.1222,1.1394,1.1791,1.1809,1.1222,1.1394,1630491.95,1630491.95
9,2021-08-20,1.1344,1.2098,1.11,1.1796,1.1344,1.2098,1.11,1.1796,3086875.07,3086875.07
10,2021-08-19,1.0315,1.141,1.0054,1.1357,1.0315,1.141,1.0054,1.1357,2626057.04,2626057.04
11,2021-08-18,1.0609,1.082,0.9918,1.0333,1.0609,1.082,0.9918,1.0333,3569499.77,3569499.77
12,2021-08-17,1.1751,1.2337,1.0555,1.0602,1.1751,1.2337,1.0555,1.0602,4439607.84,4439607.84
13,2021-08-16,1.2365,1.2595,1.1637,1.1795,1.2365,1.2595,1.1637,1.1795,2180333.15,2180333.15
14,2021-08-15,1.2693,1.2751,1.1197,1.2365,1.2693,1.2751,1.1197,1.2365,3810398.12,3810398.12
15,2021-08-14,1.1384,1.32,1.1188,1.2691,1.1384,1.32,1.1188,1.2691,8108830.75,8108830.75
16,2021-08-13,0.9483,1.2067,0.94,1.1384,0.9483,1.2067,0.94,1.1384,8499892.07,8499892.07
17,2021-08-12,1.0064,1.04,0.9057,0.9466,1.0064,1.04,0.9057,0.9466,10239614.97,10239614.97
18,2021-08-11,0.9876,1.0617,0.9621,1.005,0.9876,1.0617,0.9621,1.005,4136998.44,4136998.44
19,2021-08-10,0.8808,1.0645,0.8651,0.9874,0.8808,1.0645,0.8651,0.9874,11256283.25,11256283.25
20,2021-08-09,0.8484,0.898,0.8167,0.8796,0.8484,0.898,0.8167,0.8796,3183847.28,3183847.28
21,2021-08-08,0.9103,0.9132,0.8238,0.8471,0.9103,0.9132,0.8238,0.8471,3889852.71,3889852.71
22,2021-08-07,0.9018,0.9492,0.8669,0.9094,0.9018,0.9492,0.8669,0.9094,6106633.24,6106633.24
23,2021-08-06,0.847,0.9063,0.83,0.8999,0.847,0.9063,0.83,0.8999,3672524.22,3672524.22
24,2021-08-05,0.8252,0.8534,0.7861,0.8455,0.8252,0.8534,0.7861,0.8455,2053221.97,2053221.97
25,2021-08-04,0.8017,0.8356,0.77,0.8251,0.8017,0.8356,0.77,0.8251,1936650.93,1936650.93
26,2021-08-03,0.8339,0.8539,0.794,0.8008,0.8339,0.8539,0.794,0.8008,1994780.5,1994780.5
27,2021-08-02,0.8613,0.8692,0.8222,0.8339,0.8613,0.8692,0.8222,0.8339,2343964.76,2343964.76
28,2021-08-01,0.7998,0.9591,0.7943,0.8602,0.7998,0.9591,0.7943,0.8602,8988311.77,8988311.77
29,2021-07-31,0.7673,0.82,0.7441,0.8012,0.7673,0.82,0.7441,0.8012,3499919.88,3499919.88
30,2021-07-30,0.7401,0.79,0.7125,0.7657,0.7401,0.79,0.7125,0.7657,3580242.63,3580242.63
31,2021-07-29,0.7084,0.7534,0.6929,0.7407,0.7084,0.7534,0.6929,0.7407,2716621.11,2716621.11
32,2021-07-28,0.6913,0.77,0.6783,0.709,0.6913,0.77,0.6783,0.709,4951429.76,4951429.76
33,2021-07-27,0.68,0.71,0.6607,0.6914,0.68,0.71,0.6607,0.6914,2255046.51,2255046.51
34,2021-07-26,0.6674,0.7278,0.6649,0.6814,0.6674,0.7278,0.6649,0.6814,4256208.36,4256208.36
35,2021-07-25,0.6602,0.6691,0.6321,0.668,0.6602,0.6691,0.6321,0.668,2128441.42,2128441.42
36,2021-07-24,0.6541,0.6901,0.645,0.6602,0.6541,0.6901,0.645,0.6602,2498148.25,2498148.25
37,2021-07-23,0.6543,0.6661,0.618,0.6541,0.6543,0.6661,0.618,0.6541,1823368.89,1823368.89
38,2021-07-22,0.6356,0.6776,0.6261,0.6536,0.6356,0.6776,0.6261,0.6536,4452669.33,4452669.33
39,2021-07-21,0.5974,0.66,0.5871,0.6356,0.5974,0.66,0.5871,0.6356,2010307.87,2010307.87
40,2021-07-20,0.6525,0.6602,0.5754,0.5971,0.6525,0.6602,0.5754,0.5971,2790904.21,2790904.21
